Tbt,entropy,AttC,TtR,MpbtA,Tmc,surrgain,optimgain,MtR,meankl,TimestepsSoFar,entloss,AttNC,Tmt,TimeElapsed,EpisodesSoFar,MpbtN,Ptt
328892.0816326531,0.684159,3.0,-228.21428571428572,5.2370448221407795,23.70116618075802,0.010901053,0.010901053,-71.11977728851079,0.009217032,9996,0.0,0.0,80.29591836734694,1541.7478148937225,686,94.7629551778591,78.1412015038804
330533.075862069,0.6582266,3.0,-226.54655172413794,6.39812147075597,23.3,0.005253772,0.005253772,-69.6958792026408,0.008944166,19986,0.0,0.0,80.69655172413793,2858.8115136623383,1266,93.601878529244,78.51497802080237
331028.1825726141,0.6150559,3.0,-224.72614107883817,7.286590879797943,23.17427385892116,0.007857731,0.007857731,-68.00437686134318,0.009813543,29988,0.0,0.0,80.81742738589212,3960.3131194114685,1748,92.71340912020196,78.63135118959133
332759.04,0.5726933,3.0,-223.36,8.321327581877021,22.749333333333333,0.006718654,0.006718654,-65.78226816065083,0.00783192,39998,0.0,0.0,81.24,4825.424791574478,2123,91.67867241812301,79.02622217711576
334167.9389312977,0.52097446,3.0,-219.99618320610688,10.098144680840058,22.400763358778626,0.009518826,0.009518826,-61.81775491549393,0.009296811,49990,0.0,0.0,81.58396946564885,5431.67875790596,2385,89.90185531915998,79.35046760155018
331982.273381295,0.4722293,3.0,-205.53237410071944,15.49747603105889,22.949640287769785,0.007324776,0.007324776,-51.248995853507516,0.008220915,59979,0.0,0.0,81.05035971223022,5754.0868237018585,2524,84.50252396894113,78.84346085037733
329024.9552238806,0.44638997,2.8358208955223883,-184.43283582089552,23.438240038352244,23.65671641791045,0.0032094147,0.0032094147,-38.86700753906502,0.00536359,69986,0.0,0.16417910447761194,80.32835820895522,5917.117599248886,2591,76.56175996164777,78.18389710739099
327307.63636363635,0.41174388,2.0454545454545454,-166.36363636363637,30.648863549318193,24.09090909090909,0.0016963247,0.0016963247,-32.20525388793845,0.0063517275,79928,0.0,0.9545454545454546,79.9090909090909,6031.9140775203705,2635,69.35113645068179,77.78209210794199
325152.6808510638,0.3528694,2.1702127659574466,-163.9787234042553,31.284408675972436,24.617021276595743,0.0040542693,0.0040542693,-33.071487889066894,0.007449951,89788,0.0,0.8297872340425532,79.38297872340425,6157.284133195877,2682,68.71559132402757,77.29258450841124
324283.31707317074,0.37434056,0.975609756097561,-159.0731707317073,33.07026864566475,24.829268292682926,0.0043275757,0.0043275757,-30.995242463212357,0.008658962,99752,0.0,2.024390243902439,79.17073170731707,6276.449210643768,2723,66.92973135433522,77.09621729310166
