AttC,Fce,EpisodesSoFar,TtR,AttNC,TimestepsSoFar,meankl,entropy,surrgain,TimeElapsed,optimgain,entloss,MtR
0.0,1.0,8141,2500.0,10.0,1929883,0.008933102,-1.4478208,0.00020953109,19998.85863995552,0.00020953109,0.0,142.8784238871937
0.0,1.0,8181,2500.0,10.0,1939883,0.010172724,-1.5454068,0.0005486512,20102.722502470016,0.0005486512,0.0,142.8784238871937
0.0,1.0,8221,2500.0,10.0,1949883,0.008930675,-1.4478216,0.0003773437,20197.124732255936,0.0003773437,0.0,142.8784238871937
0.0,1.0,8261,2500.0,10.0,1959883,0.008933204,-1.3502233,0.00017800728,20300.073486566544,0.00017800728,0.0,142.8784238871937
0.0,1.0,8301,2500.0,10.0,1969883,0.010174863,-1.4478216,0.00023889325,20386.939099788666,0.00023889325,0.0,142.8784238871937
0.0,1.0,8341,2500.0,10.0,1979883,0.0101734325,-1.5454096,0.00064294756,20488.743221998215,0.00064294756,0.0,142.8784238871937
0.0,1.0,8381,2500.0,10.0,1989883,0.010174863,-1.6429908,0.00012757565,20579.087345838547,0.00012757565,0.0,142.8784238871937
0.0,1.0,8421,2500.0,10.0,1999883,0.010172359,-1.7405897,0.0003860719,20670.786455392838,0.0003860719,0.0,142.8784238871937
0.0,1.0,8461,2500.0,10.0,2009883,0.008933204,-1.6429833,0.00022585064,20765.731583833694,0.00022585064,0.0,142.8784238871937
0.0,1.0,8501,2500.0,10.0,2019883,0.010174863,-1.7405897,0.00021817061,20861.106860876083,0.00021817061,0.0,142.8784238871937
0.0,1.0,8541,2500.0,10.0,2029883,0.010172003,-1.8381431,0.00049735466,20967.325235128403,0.00049735466,0.0,142.8784238871937
0.0,1.0,8581,2500.0,10.0,2039883,0.010174781,-1.9357519,0.00033459454,21062.33603668213,0.00033459454,0.0,142.8784238871937
0.0,1.0,8621,2500.0,10.0,2049883,0.008933204,-1.8381431,0.0006417863,21157.67611169815,0.0006417863,0.0,142.8784238871937
0.0,1.0,8661,2500.0,10.0,2059883,0.008933102,-1.7405639,3.152151e-05,21245.55757665634,3.152151e-05,0.0,142.8784238871937
0.0,1.0,8701,2500.0,10.0,2069883,0.010174863,-1.8381431,0.0002061349,21349.926319360733,0.0002061349,0.0,142.8784238871937
0.0,1.0,8741,2500.0,10.0,2079883,0.010174863,-1.9357522,0.000311582,21435.977995872498,0.000311582,0.0,142.8784238871937
0.0,1.0,8781,2500.0,10.0,2089883,0.010174781,-2.033326,0.00012127842,21532.932144403458,0.00012127842,0.0,142.8784238871937
0.0,1.0,8821,2500.0,10.0,2099883,0.008933204,-1.9357522,0.00015900268,21620.818412542343,0.00015900268,0.0,142.8784238871937
0.0,1.0,8861,2500.0,10.0,2109883,0.010174781,-2.033326,0.00014961162,21720.145946979523,0.00014961162,0.0,142.8784238871937
0.0,1.0,8901,2500.0,10.0,2119883,0.01017192,-2.1308947,0.00054416613,21808.91035246849,0.00054416613,0.0,142.8784238871937
0.0,1.0,8941,2500.0,10.0,2129883,0.010174871,-2.2285087,0.0002890744,21910.834352970123,0.0002890744,0.0,142.8784238871937
0.0,1.0,8981,2500.0,10.0,2139883,0.008933196,-2.1308947,0.0004736288,22001.759428024292,0.0004736288,0.0,142.8784238871937
0.0,1.0,9021,2500.0,10.0,2149883,0.010174863,-2.2285087,0.00033142662,22098.879357099533,0.00033142662,0.0,142.8784238871937
0.0,1.0,9061,2500.0,10.0,2159883,0.010174781,-2.3260772,0.00016480265,22194.49683523178,0.00016480265,0.0,142.8784238871937
0.0,1.0,9101,2500.0,10.0,2169883,0.008933204,-2.2285087,0.0004255838,22287.458748579025,0.0004255838,0.0,142.8784238871937
0.0,1.0,9141,2500.0,10.0,2179883,0.008933102,-2.1308947,0.00012118091,22384.911351680756,0.00012118091,0.0,142.8784238871937
0.0,1.0,9181,2500.0,10.0,2189883,0.010174781,-2.2285087,0.00018492276,22478.093903064728,0.00018492276,0.0,142.8784238871937
0.0,1.0,9221,2500.0,10.0,2199883,0.008933204,-2.1308947,0.00014588512,22572.094792366028,0.00014588512,0.0,142.8784238871937
0.0,1.0,9261,2500.0,10.0,2209883,0.008933204,-2.0333247,0.000238243,22662.269563674927,0.000238243,0.0,142.8784238871937
0.0,1.0,9301,2500.0,10.0,2219883,0.008933204,-1.9357103,0.0002168433,22760.481376171112,0.0002168433,0.0,142.8784238871937
0.0,1.0,9341,2500.0,10.0,2229883,0.008933102,-1.8381354,0.00013342568,22843.416663646698,0.00013342568,0.0,142.8784238871937
0.0,1.0,9381,2500.0,10.0,2239883,0.008933102,-1.7405568,0.0002500325,22943.588362455368,0.0002500325,0.0,142.8784238871937
0.0,1.0,9421,2500.0,10.0,2249883,0.008933077,-1.6429536,5.013054e-05,23038.685935258865,5.013054e-05,0.0,142.8784238871937
