Tmt,TimestepsSoFar,optimgain,MtR,Ptt,MpbtN,TimeElapsed,MpbtA,AttNC,Tbt,entropy,entloss,meankl,EpisodesSoFar,AttC,Tmc,TtR,surrgain
84.46593673965937,9997,0.024211053,-75.99912371342421,82.1419430361205,95.07629389426386,2077.88898229599,4.923706105735813,0.0,345972.4768856448,0.6845534,0.0,0.008584868,822,1.0,19.371046228710462,-80.30048661800487,0.024211053
84.30229419703105,19993,0.0127451755,-75.61245269070236,81.9961167273521,95.38633442245002,3949.071841239929,4.613665577549718,0.0,345302.19703103916,0.658304,0.0,0.009138292,1563,1.0,19.526315789473685,-80.40620782726046,0.0127451755
84.13302034428796,29967,0.017405817,-74.74686692730388,81.80151968262261,95.42442302107858,5577.460738658905,4.575576978921169,0.0,344608.85133020347,0.61410505,0.0,0.009642646,2202,1.0,19.7433489827856,-80.27856025039124,0.017405817
84.37837837837837,39965,0.022988183,-73.78232811991273,82.03283353613436,95.50196306278961,6904.991544246674,4.498036937210262,0.0,345613.8378378378,0.55266875,0.0,0.009887975,2720,1.0,19.494208494208493,-80.57722007722008,0.022988183
84.25984251968504,49996,0.023884479,-71.50529667901407,81.92554337301975,95.30920433311574,7897.937375068665,4.690795666884268,0.0,345128.3149606299,0.47210625,0.0,0.009808612,3101,1.0,19.608923884514436,-80.30446194225722,0.023884479
84.33613445378151,59959,0.018287709,-67.88095412779795,82.0164871185286,94.45164864106724,8513.03501200676,5.548351358932723,0.012605042016806723,345440.80672268907,0.37926415,0.0,0.008940736,3339,0.9873949579831933,19.508403361344538,-79.65966386554622,0.018287709
82.98290598290598,69786,0.019587904,-58.78843415272241,80.69020607527784,91.78270445391706,8847.195879220963,8.217295546082946,0.07692307692307693,339897.9829059829,0.28916943,0.0,0.0085632885,3456,0.9230769230769231,20.94871794871795,-76.19658119658119,0.019587904
82.94642857142857,79826,0.010085426,-45.792462183847725,80.68874205978136,87.41253235701716,9020.819100856781,12.587467642982888,0.25,339748.5714285714,0.23255454,0.0,0.007386241,3512,0.75,20.946428571428573,-72.55357142857143,0.010085426
82.66666666666667,89838,0.002689415,-39.04066361583711,80.38294620959951,85.66057021548762,9153.59735918045,14.33942978451237,0.5897435897435898,338602.6666666667,0.17600597,0.0,0.0076991804,3551,0.41025641025641024,21.28205128205128,-70.82051282051282,0.002689415
83.4054054054054,99735,0.003602847,-41.75994851899556,81.07360845189011,90.58345597501571,9289.36144375801,9.416544024984292,0.8378378378378378,341628.54054054053,0.18541259,0.0,0.0020148659,3588,0.16216216216216217,20.54054054054054,-75.5945945945946,0.003602847
83.08333333333333,109924,0.0067970636,-40.94047714589479,80.81941194547204,90.9685288261261,9406.647945165634,9.031471173873891,0.9166666666666666,340309.3333333333,0.24090874,0.0,0.006793399,3624,0.08333333333333333,20.805555555555557,-75.61111111111111,0.0067970636
82.23684210526316,119773,0.0025330365,-39.32745247395464,79.96504667221673,86.78611458028334,9545.759107589722,13.21388541971667,0.3684210526315789,336842.1052631579,0.2607674,0.0,0.0029927613,3662,0.631578947368421,21.736842105263158,-71.36842105263158,0.0025330365
82.55263157894737,129789,0.0055846954,-39.23380018154056,80.25966506742031,85.31991285969347,9674.332279920578,14.680087140306538,0.6842105263157895,338135.5789473684,0.32974526,0.0,0.0069583952,3700,0.3157894736842105,21.42105263157895,-70.44736842105263,0.0055846954
82.75,139851,0.005370604,-41.612877360373425,80.48656629718539,84.00326348112387,9832.286252737045,15.996736518876126,0.2708333333333333,338944.0,0.24118835,0.0,0.007364824,3748,0.7291666666666666,21.166666666666668,-69.5625,0.005370604
82.0952380952381,149789,0.0049266997,-40.67352792570726,79.83442026191753,85.70629354782287,9981.746103048325,14.293706452177146,0.40476190476190477,336262.09523809527,0.23108785,0.0,0.0054417998,3790,0.5952380952380952,21.88095238095238,-70.35714285714286,0.0049266997
83.0,159860,0.0055414033,-40.257909543033335,80.6543421126498,86.17486126968014,10118.509848594666,13.825138730319871,0.14634146341463414,339968.0,0.20077737,0.0,0.0050637634,3831,0.8536585365853658,21.0,-71.53658536585365,0.0055414033
82.62162162162163,169982,0.0035089904,-40.154857234422316,80.32356724970403,88.00780191176354,10253.285742998123,11.992198088236455,0.7027027027027027,338418.1621621622,0.21890068,0.0,0.0029521142,3868,0.2972972972972973,21.35135135135135,-72.75675675675676,0.0035089904
83.56756756756756,179852,0.0071649384,-41.1147249646007,81.24646256640156,88.45908916724262,10378.354957818985,11.540910832757351,0.6216216216216216,342292.75675675675,0.26056993,0.0,0.007378834,3905,0.3783783783783784,20.35135135135135,-73.94594594594595,0.0071649384
83.4047619047619,189877,0.005468034,-41.25170060808845,81.06917949083943,87.36081229053256,10517.890797615051,12.63918770946743,0.21428571428571427,341625.90476190473,0.28641957,0.0,0.0054455237,3947,0.7857142857142857,20.547619047619047,-72.88095238095238,0.005468034
83.23255813953489,199974,0.004360765,-40.3624106855753,80.90819083036075,85.37741072917773,10659.097246646881,14.622589270822253,0.32558139534883723,340920.5581395349,0.22786,0.0,0.004670284,3990,0.6744186046511628,20.72093023255814,-71.04651162790698,0.004360765
83.33333333333333,209888,0.006541522,-40.26324939737306,81.02504497849385,85.61494245880738,10788.564069986343,14.385057541192635,0.6410256410256411,341333.3333333333,0.21954094,0.0,0.006580896,4029,0.358974358974359,20.58974358974359,-71.35897435897436,0.006541522
83.175,219993,0.003745697,-39.91914685041983,80.91600476056335,87.13391949426594,10925.435042142868,12.866080505734066,0.425,340684.8,0.2200272,0.0,0.0028730643,4069,0.575,20.7,-72.5,0.003745697
81.8157894736842,229913,0.002290393,-39.12627121228113,79.55450643248373,86.96991185055606,11055.381772518158,13.030088149443932,0.47368421052631576,335117.4736842105,0.18719208,0.0,0.003513448,4107,0.5263157894736842,22.18421052631579,-71.15789473684211,0.002290393
83.5,239993,0.0051478026,-41.11968104102971,81.20159518035575,88.19953868873051,11187.348861455917,11.800461311269475,0.5526315789473685,342016.0,0.23551902,0.0,0.0035230198,4145,0.4473684210526316,20.394736842105264,-73.65789473684211,0.0051478026
83.92105263157895,249838,0.005960708,-41.09878133732145,81.55377648790922,87.31828271526278,11317.866512537003,12.681717284737225,0.7105263157894737,343740.63157894736,0.23138584,0.0,0.0028833444,4183,0.2894736842105263,20.026315789473685,-73.3157894736842,0.005960708
83.47368421052632,259883,0.0023133361,-40.08276057550939,81.17801782051303,85.9126378962044,11444.220601558685,14.087362103795634,0.6052631578947368,341908.2105263158,0.2609395,0.0,0.0018027857,4221,0.39473684210526316,20.42105263157895,-71.73684210526316,0.0023133361
82.73170731707317,269957,0.006764694,-40.42256298844142,80.44299388816668,85.35424739705199,11585.786650180817,14.64575260294799,0.34146341463414637,338869.0731707317,0.216084,0.0,0.005573772,4262,0.6585365853658537,21.21951219512195,-70.65853658536585,0.006764694
82.28947368421052,279948,0.0015240937,-39.60399219581756,79.9941619598155,86.7376939469336,11720.47780251503,13.262306053066382,0.39473684210526316,337057.6842105263,0.18185468,0.0,0.0035042122,4300,0.6052631578947368,21.710526315789473,-71.39473684210526,0.0015240937
82.97297297297297,289812,0.0054762084,-40.502539124372944,80.67286651685818,87.2005567981368,11850.160136461258,12.79944320186318,0.5675675675675675,339857.2972972973,0.19978331,0.0,0.003132154,4337,0.43243243243243246,20.972972972972972,-72.35135135135135,0.0054762084
82.88888888888889,299854,0.009440175,-40.37771695132258,80.57293130037237,88.11879160799714,11976.712764024734,11.881208392002874,0.8611111111111112,339512.8888888889,0.27228156,0.0,0.008781309,4373,0.1388888888888889,21.083333333333332,-73.05555555555556,0.009440175
82.26829268292683,309937,0.0040063364,-39.10053317103781,80.01149187593107,86.1294213138231,12112.795716047287,13.8705786861769,0.2682926829268293,336970.9268292683,0.19879782,0.0,0.007250421,4414,0.7317073170731707,21.682926829268293,-70.85365853658537,0.0040063364
82.61111111111111,319751,0.004216058,-39.63401361998361,80.31445037388158,86.94021712275536,12253.113256931305,13.059782877244636,0.8611111111111112,338375.1111111111,0.24650146,0.0,0.0033450713,4450,0.1388888888888889,21.36111111111111,-71.83333333333333,0.004216058
82.91891891891892,329807,0.0051586,-39.4118724987456,80.62074065309339,86.14253884253,12382.823393583298,13.857461157469988,0.8918918918918919,339635.8918918919,0.27279028,0.0,0.002800941,4487,0.10810810810810811,21.027027027027028,-71.4054054054054,0.0051586
