EpisodesSoFar,TtR,AttNC,entropy,Fce,TimestepsSoFar,optimgain,AttC,surrgain,MtR,meankl,TimeElapsed,entloss
10498,2481.75,10.0,0.22887199,0.9926999999999998,2539872,0.0010750641,0.0,0.0010750641,141.77326893758286,0.005360657,15672.409708023071,0.0
10538,2475.5,10.0,0.20827657,0.9902000000000001,2549872,0.00072527764,0.0,0.00072527764,141.32884397581597,0.0046853693,15720.190327644348,0.0
10578,2490.5,10.0,0.22686352,0.9962,2559872,0.0007904436,0.0,0.0007904436,142.19342975180626,0.0042315186,15768.042099952698,0.0
10618,2488.75,10.0,0.23891817,0.9955000000000004,2569872,0.0011524251,0.0,0.0011524251,142.08937258893673,0.010205906,15816.395733356476,0.0
10658,2495.25,10.0,0.23942569,0.9980999999999998,2579872,0.00052278413,0.0,0.00052278413,142.48703616794631,0.007967065,15862.555582046509,0.0
10698,2496.25,10.0,0.1920928,0.9984999999999999,2589872,0.00087378954,0.0,0.00087378954,142.52596411075814,0.0054130126,15910.244090080261,0.0
10738,2497.25,10.0,0.20906188,0.9989000000000001,2599872,0.00042606174,0.0,0.00042606174,142.60752829656863,0.0027245726,15955.808434724808,0.0
10778,2498.5,10.0,0.13136525,0.9994000000000002,2609872,0.0005921974,0.0,0.0005921974,142.745546830981,0.0068537,16001.387113809586,0.0
10818,2498.25,10.0,0.15885888,0.9993000000000001,2619872,0.0011458347,0.0,0.0011458347,142.71091003162996,0.008770477,16048.808713197708,0.0
10858,2497.5,10.0,0.11889447,0.999,2629872,0.0007060405,0.0,0.0007060405,142.6763526910153,0.006312554,16095.283688306808,0.0
10898,2499.25,10.0,0.08459104,0.9997,2639872,0.0004055051,0.0,0.0004055051,142.81130171247656,0.003039873,16141.56910443306,0.0
10938,2499.5,10.0,0.13453457,0.9998000000000001,2649872,0.00047522652,0.0,0.00047522652,142.82917014344366,0.004437872,16188.142643928528,0.0
10978,2498.75,10.0,0.085891716,0.9995,2659872,0.0004448824,0.0,0.0004448824,142.75684312159433,0.004265302,16237.270412445068,0.0
11018,2499.75,10.0,0.16780691,0.9999,2669872,0.0006837749,0.0,0.0006837749,142.85379701531866,0.0080352565,16282.535204172134,0.0
11058,2498.25,10.0,0.24983332,0.9993000000000001,2679872,0.0009420504,0.0,0.0009420504,142.73777472050247,0.0069879834,16329.38230919838,0.0
11098,2497.5,10.0,0.23853664,0.9989999999999999,2689872,0.00085190247,0.0,0.00085190247,142.6795484242899,0.0051624486,16375.128110170364,0.0
11138,2497.75,10.0,0.31026092,0.9991,2699872,0.0007247515,0.0,0.0007247515,142.69926122970466,0.006365702,16421.140192747116,0.0
11178,2497.5,10.0,0.2862082,0.999,2709872,0.0005344738,0.0,0.0005344738,142.7055115232909,0.005187656,16466.100893497467,0.0
11218,2499.25,10.0,0.22040361,0.9997000000000001,2719872,0.0003100258,0.0,0.0003100258,142.82039113324558,0.0051726294,16512.594980239868,0.0
11258,2499.5,10.0,0.2547418,0.9998000000000001,2729872,0.00042932204,0.0,0.00042932204,142.82917014344366,0.0073260474,16557.133732557297,0.0
11298,2499.75,10.0,0.20518988,0.9998999999999999,2739872,0.00042445923,0.0,0.00042445923,142.86792041288055,0.006779151,16603.910444498062,0.0
11338,2498.5,10.0,0.14686531,0.9994,2749872,0.0007841973,0.0,0.0007841973,142.77882010078756,0.0053663854,16649.784657478333,0.0
11378,2499.5,10.0,0.16953453,0.9998000000000001,2759872,0.00078402937,0.0,0.00078402937,142.82917014344366,0.0035740314,16695.795570135117,0.0
11418,2498.75,10.0,0.15056413,0.9995,2769872,0.0013383058,0.0,0.0013383058,142.75752672492527,0.009817357,16740.954220056534,0.0
