Ptt,MpbtA,TimestepsSoFar,MpbtN,surrgain,optimgain,entropy,Tmc,entloss,AttC,meankl,EpisodesSoFar,AttNC,TimeElapsed,TtR,Tbt,MtR,Tmt
72.64470696821809,2.4746404821692596,9994,97.52535951783074,0.0034683468,0.0034683468,0.68517315,29.601063829787233,0.0,10.0,0.007941006,564,0.0,1421.540608882904,-725.9929078014185,304926.86524822697,-66.79978219227475,74.44503546099291
71.92195030224477,3.1671062436148416,19990,96.832893756385,0.0025794392,0.0025794392,0.66132396,30.391038696537677,0.0,10.0,0.008423894,1055,0.0,2647.9237706661224,-713.6659877800407,301919.41344195517,-64.81824092436003,73.71079429735234
70.78681586211866,4.601286200767501,29980,95.39871379923244,0.004834321,0.004834321,0.6201271,31.62168674698795,0.0,10.0,0.009505056,1470,0.0,3688.8761053085327,-691.9277108433735,297122.8530120482,-61.699995008554296,72.53975903614457
70.06377907178612,7.695500527337478,39998,92.30449947266254,0.0050574434,0.0050574434,0.56374204,32.411764705882355,0.0,10.0,0.009582405,1793,0.0,4489.605493307114,-662.6934984520124,294113.0897832817,-57.17766704132847,71.80495356037152
69.57988565649963,14.385731311633528,49972,85.61426868836644,0.0057186894,0.0057186894,0.4997346,32.952153110047846,0.0,10.0,0.011031665,2002,0.0,5029.075031280518,-610.4784688995215,292187.8660287081,-48.931041953095075,71.33492822966507
66.72447449458511,40.33107373528393,59834,59.66892626471609,0.0019926012,0.0019926012,0.4194753,36.15,0.0,8.916666666666666,0.0060411,2062,1.0833333333333333,5280.607712507248,-411.8333333333333,280917.3333333333,-25.173308730540672,68.58333333333333
64.5607916377918,64.07835564426084,69859,35.92164435573915,0.0010663037,0.0010663037,0.2599213,38.49090909090909,0.0,3.3636363636363638,0.0033327213,2117,6.636363636363637,5539.896870613098,-238.1818181818182,271676.5090909091,-15.151650569112205,66.32727272727273
65.32595197682365,63.27481453173849,79836,36.7251854682615,0.000929832,0.000929832,0.25325656,37.648148148148145,0.0,1.462962962962963,0.0021408114,2171,8.537037037037036,5809.478378772736,-246.4814814814815,274811.25925925927,-16.490066879414353,67.0925925925926
64.31251261926694,66.37908367761025,89836,33.62091632238974,0.0014958914,0.0014958914,0.29639262,38.767857142857146,0.0,2.5892857142857144,0.0042496272,2227,7.410714285714286,6086.43367266655,-221.96428571428572,270701.71428571426,-15.021532401350564,66.08928571428571
61.573672235406605,69.28495862290757,99932,30.715041377092412,0.0033406443,0.0033406443,0.34005755,41.719298245614034,0.0,3.754385964912281,0.0077441847,2284,6.245614035087719,6356.023049592972,-194.21052631578948,259054.0350877193,-13.30645496196868,63.24561403508772
