EpisodesSoFar,surrgain,AttC,TtR,TimeElapsed,entloss,meankl,optimgain,TimestepsSoFar,Fce,AttNC,entropy,MtR
44,3.404938e-05,7.0227272727272725,414.77272727272725,135.29676961898804,0.0,0.0017920743,3.404938e-05,9975,0.17308497733361614,2.977272727272727,1.4172256,23.956642423187432
91,0.00026733856,7.148936170212766,424.8936170212766,257.62520122528076,0.0,0.0009822212,0.00026733856,19918,0.18730099584923782,2.851063829787234,1.4130172,25.248403850661003
134,0.00056901044,7.511627906976744,430.93023255813955,372.372597694397,0.0,0.0034431294,0.00056901044,29857,0.18386550934111406,2.488372093023256,1.412856,25.33997417969263
191,0.0017036239,7.947368421052632,375.6140350877193,497.9366645812988,0.0,0.006487785,0.0017036239,39909,0.19402727396721156,2.0526315789473686,1.4082593,22.408464210426512
252,0.0036478413,7.213114754098361,434.91803278688525,623.5209534168243,0.0,0.0035183313,0.0036478413,49762,0.2236256422778392,2.7868852459016393,1.4009246,26.588748536924438
330,0.0017632773,7.743589743589744,361.79487179487177,749.5898904800415,0.0,0.0021940356,0.0017632773,59894,0.22845464716541364,2.2564102564102564,1.3919822,22.87841903171402
406,0.0012229012,6.7368421052631575,415.6578947368421,875.8549563884735,0.0,0.0016246722,0.0012229012,69770,0.2485975735117045,3.263157894736842,1.379761,25.578415398810563
479,0.000772832,6.931506849315069,444.93150684931504,1001.8477981090546,0.0,0.0013487223,0.000772832,79964,0.2601375628512569,3.0684931506849313,1.3619497,27.582890580461545
551,0.0009504573,6.25,486.52777777777777,1133.916666984558,0.0,0.0015775,0.0009504573,89992,0.27241819943837087,3.75,1.3492906,29.678131231158034
632,0.0009928944,6.839506172839506,416.6666666666667,1261.2335596084595,0.0,0.0015424667,0.0009928944,99790,0.2622879787641065,3.1604938271604937,1.3309813,25.7863365126675
701,0.0007980995,5.666666666666667,583.768115942029,1376.0280013084412,0.0,0.0017886041,0.0007980995,109945,0.3079019850428223,4.333333333333333,1.314808,35.25894308993242
757,0.00072859484,4.910714285714286,735.8928571428571,1499.0001261234283,0.0,0.00096190703,0.00072859484,119893,0.35152648419574184,5.089285714285714,1.3021853,43.69439353054201
820,0.000974006,4.9523809523809526,666.031746031746,1628.2080483436584,0.0,0.0026817792,0.000974006,129820,0.33832029747134373,5.0476190476190474,1.2863286,39.44729538849397
883,0.00088953064,4.698412698412699,743.3333333333334,1750.7072112560272,0.0,0.0036980486,0.00088953064,139956,0.3644381503757836,5.301587301587301,1.2650785,43.88335434168513
951,0.0013905374,5.323529411764706,715.2941176470588,1876.405520439148,0.0,0.0016812967,0.0013905374,149918,0.3716262242884249,4.676470588235294,1.2502478,42.64674377140303
1011,0.0009061331,4.45,879.1666666666666,1993.608950138092,0.0,0.0015802054,0.0009061331,160000,0.4105907277397461,5.55,1.2282075,51.690622834658285
1067,0.0011535389,3.642857142857143,985.1785714285714,2102.8145747184753,0.0,0.0028401276,0.0011535389,169863,0.4438633735631739,6.357142857142857,1.2065295,57.56446085094762
1123,0.0011753119,3.517857142857143,1077.3214285714287,2229.6895735263824,0.0,0.0033882037,0.0011753119,179963,0.49757690244588465,6.482142857142857,1.1789423,62.586204394216225
1174,0.0009808448,2.6666666666666665,1256.2745098039215,2346.983016014099,0.0,0.0022642042,0.0009808448,189975,0.5462126244713961,7.333333333333333,1.1651742,72.44633542206707
1232,0.0011202197,3.793103448275862,1154.4827586206898,2470.1739223003387,0.0,0.002802387,0.0011202197,199810,0.5255906420271593,6.206896551724138,1.134382,67.28682117154743
1284,0.0010810546,2.576923076923077,1435.3846153846155,2590.3229427337646,0.0,0.0020092933,0.0010810546,209793,0.6258421011158002,7.423076923076923,1.1074977,82.95995904395691
1335,0.0010111692,2.4313725490196076,1508.4313725490197,2713.734066963196,0.0,0.0021725332,0.0010111692,219773,0.6335336690049326,7.568627450980392,1.0717598,86.87084837028817
1382,0.0010678637,1.5957446808510638,1746.1702127659576,2826.215256214142,0.0,0.0037904682,0.0010678637,229924,0.7172323196203048,8.404255319148936,1.0454725,100.47871970972591
1433,0.0006418345,2.549019607843137,1627.8431372549019,2951.2164788246155,0.0,0.0004242048,0.0006418345,239825,0.6899747494385152,7.450980392156863,1.0491521,93.78676947364372
1481,0.00059437146,1.7083333333333333,1761.25,3071.9658632278442,0.0,0.0023305586,0.00059437146,249925,0.7354575355101783,8.291666666666666,1.017024,100.97545531404091
1526,0.0006055286,1.3333333333333333,1937.111111111111,3186.783966064453,0.0,0.0024218895,0.0006055286,259751,0.8045294837715893,8.666666666666666,0.98102283,110.77101595803484
1573,0.00050001295,1.5106382978723405,1969.787234042553,3307.264719724655,0.0,0.0022400722,0.00050001295,269910,0.8220566041930681,8.48936170212766,0.9600419,113.16126878857706
1619,0.00049522973,1.5217391304347827,1998.4782608695652,3420.999307155609,0.0,0.008713648,0.00049522973,279831,0.8323063075397986,8.478260869565217,0.87158245,114.68237205092917
1661,0.0003949833,0.5476190476190477,2254.7619047619046,3538.8348717689514,0.0,0.002344175,0.0003949833,289869,0.9151919191919193,9.452380952380953,0.9129017,128.97552867348418
1705,0.000322433,1.0454545454545454,2145.2272727272725,3654.246672153473,0.0,0.0009226011,0.000322433,299939,0.8772669129501973,8.954545454545455,0.942805,122.60282609926195
1750,0.00035513335,1.3555555555555556,2051.5555555555557,3777.8162558078766,0.0,0.0023717815,0.00035513335,309785,0.8471093242040612,8.644444444444444,0.9004464,117.4732363129284
1795,5.4470445e-05,1.1111111111111112,2147.5555555555557,3886.1452066898346,0.0,0.008166989,5.4470445e-05,319844,0.881537341456182,8.88888888888889,0.9935875,122.78445749360114
1836,0.0002294663,0.24390243902439024,2305.3658536585367,4007.870445728302,0.0,0.008281829,0.0002294663,329857,0.9310393996247658,9.75609756097561,0.9053289,131.8937705393439
1879,9.933529e-05,0.6976744186046512,2248.3720930232557,4109.819246292114,0.0,0.008933102,9.933529e-05,339882,0.9064569083447334,9.30232558139535,1.0029137,128.45841949963398
1929,0.00038891556,2.22,1839.8,4233.614979982376,0.0,0.010171048,0.00038891556,349895,0.7851768929230987,7.78,0.90533483,105.62314257032892
1974,0.0001827773,1.1333333333333333,2150.6666666666665,4350.241149663925,0.0,0.010174863,0.0001827773,359992,0.883289597731703,8.866666666666667,0.8077408,123.1231007750673
2017,0.0001215675,0.9302325581395349,2228.3720930232557,4467.196518659592,0.0,0.008867738,0.0001215675,369814,0.9201681935635423,9.069767441860465,0.90496796,127.41756861572733
2059,0.00035024842,0.5714285714285714,2255.4761904761904,4582.356305837631,0.0,0.008805877,0.00035024842,379880,0.9144761904761906,9.428571428571429,1.0018313,128.95192135429264
2106,0.000119635464,1.6170212765957446,1980.0,4696.771409034729,0.0,0.01002919,0.000119635464,389987,0.8177504798305465,8.382978723404255,0.9049128,113.4195170515353
2149,0.00035778977,0.9302325581395349,2179.3023255813955,4813.281551122665,0.0,0.010162833,0.00035778977,399765,0.8951171309310844,9.069767441860465,0.80739164,124.76953319993342
2191,4.6417543e-05,0.5238095238095238,2322.6190476190477,4923.460163116455,0.0,0.008999562,4.6417543e-05,409777,0.9394391534391531,9.476190476190476,0.7154524,132.88756388263346
2231,0.00016048818,0.0,2474.25,5042.569470405579,0.0,0.008799481,0.00016048818,419777,0.9896999999999997,10.0,0.8122574,141.35014919541237
2273,0.0002556769,0.5238095238095238,2319.0476190476193,5143.139908313751,0.0,0.0017295944,0.0002556769,429789,0.9405608465608466,9.476190476190476,0.8446892,132.45967983808075
2316,0.00050410855,0.7209302325581395,2238.8372093023254,5262.685965538025,0.0,0.0040147826,0.00050410855,439834,0.91390644874841,9.279069767441861,0.82942516,127.90176817834825
2358,0.0006048795,0.5,2269.285714285714,5377.2722318172455,0.0,0.00061411277,0.0006048795,449850,0.9219773242630382,9.5,0.84712577,129.7298336177068
2403,0.0006824153,1.1555555555555554,2074.222222222222,5489.198265552521,0.0,0.00351982,0.0006824153,459925,0.8556698412698415,8.844444444444445,0.8111619,118.88060689552641
2448,0.00037135938,1.3333333333333333,2086.4444444444443,5616.0295832157135,0.0,0.0045048525,0.00037135938,469755,0.8714125005636923,8.666666666666666,0.7534163,119.59262642787746
2492,0.00066667737,0.9090909090909091,2222.5,5742.221054553986,0.0,0.007531012,0.00066667737,479805,0.907041292041292,9.090909090909092,0.8426527,127.08251636998544
2535,0.00037050986,0.6976744186046512,2251.1627906976746,5866.561942100525,0.0,0.0059080273,0.00037050986,489830,0.9165384073291047,9.30232558139535,0.91471213,128.73609905704836
2581,0.00037141415,1.3043478260869565,2030.4347826086957,5972.018727064133,0.0,0.0048266887,0.00037141415,499948,0.8478188596658649,8.695652173913043,0.8565678,116.5584540168977
2624,0.00043975044,0.9302325581395349,2196.7441860465115,6099.077920198441,0.0,0.006210376,0.00043975044,509842,0.8931764153159502,9.069767441860465,0.784723,125.81756782136402
2665,0.00040344725,0.43902439024390244,2352.1951219512193,6213.154287576675,0.0,0.005878055,0.00040344725,519853,0.9472372505543237,9.560975609756097,0.7102104,134.50579508479294
2712,0.000496191,1.4893617021276595,2110.6382978723404,6329.865115404129,0.0,0.010174781,0.000496191,529938,0.880279758066992,8.51063829787234,0.6126177,120.86372014266767
2752,1.0661412e-05,0.0,2487.75,6443.246809720993,0.0,0.009564558,1.0661412e-05,539938,0.9951000000000001,10.0,0.5179132,142.1983609528817
2793,0.00017364173,0.24390243902439024,2433.170731707317,6567.96790599823,0.0,0.008933204,0.00017364173,549941,0.9732682926829267,9.75609756097561,0.6155029,139.06971986532653
2835,0.00011023108,0.47619047619047616,2371.6666666666665,6678.437001466751,0.0,0.008933204,0.00011023108,559957,0.9683463203463203,9.523809523809524,0.71309483,135.63431926583954
2876,4.4452e-05,0.24390243902439024,2417.8048780487807,6791.343670845032,0.0,0.010174781,4.4452e-05,569960,0.9912195121951219,9.75609756097561,0.6155029,138.1173015546518
2916,9.351177e-05,0.0,2490.5,6910.7128303050995,0.0,0.010174781,9.351177e-05,579960,0.9962,10.0,0.5179132,142.34824461189456
2956,0.00035719978,0.0,2495.25,7025.206122636795,0.0,0.010174863,0.00035719978,589960,0.9981,10.0,0.42031917,142.54413555648506
2996,0.00028937642,0.0,2498.0,7149.656948566437,0.0,0.01017476,0.00028937642,599960,0.9991999999999999,10.0,0.32272726,142.74894036535466
3037,0.0008497811,0.24390243902439024,2438.048780487805,7262.287461519241,0.0,0.010174871,0.0008497811,609965,0.98,9.75609756097561,0.22514214,139.32973187039954
3077,0.00027970003,0.0,2499.75,7384.506370306015,0.0,0.010174781,0.00027970003,619965,0.9998999999999999,10.0,0.12755017,142.86444677744817
3117,0.00016592545,0.0,2500.0,7491.819794893265,0.0,0.008933196,0.00016592545,629965,1.0,10.0,0.22514214,142.8784238871937
3157,1.5309754e-05,0.0,2499.75,7615.324353456497,0.0,0.010174781,1.5309754e-05,639965,0.9998999999999999,10.0,0.12755017,142.8671002286128
3197,3.3527565e-06,0.0,2500.0,7723.382042169571,0.0,0.0024602725,3.3527565e-06,649965,1.0,10.0,0.078755185,142.8784238871937
3237,0.00013636543,0.0,2500.0,7848.218418836594,0.0,0.008933204,0.00013636543,659965,1.0,10.0,0.1763458,142.8784238871937
3277,0.00027723736,0.0,2500.0,7964.690355062485,0.0,0.008933102,0.00027723736,669965,1.0,10.0,0.27393675,142.8784238871937
3317,0.0005803748,0.0,2499.75,8073.178469419479,0.0,0.008933204,0.0005803748,679965,0.9998999999999999,10.0,0.3715236,142.85896607326694
3357,0.00027146182,0.0,2498.5,8190.883227825165,0.0,0.008933204,0.00027146182,689965,0.9994,10.0,0.46911618,142.78614107237723
3397,0.00042700476,0.0,2495.25,8310.3022377491,0.0,0.01017476,0.00042700476,699965,0.9981,10.0,0.3715236,142.59781409106907
