meankl,Tbt,entropy,TimeElapsed,Ptt,Tmc,MpbtN,TtR,MpbtA,Tmt,optimgain,EpisodesSoFar,TimestepsSoFar,entloss,surrgain,AttC,AttNC,MtR
0.008195382,329289.3589364845,0.6850996,1538.1476366519928,78.23503604678098,23.59970457902511,94.7196739926712,-228.38552437223044,5.28032600732859,80.39290989660266,0.01029211,677,9997,0.0,0.01029211,3.0,0.0,-71.10594984575201
0.007448858,329871.04599659285,0.6646835,2896.5228011608124,78.3644257063786,23.461669505962522,93.82366912361289,-226.63032367972744,6.176330876387058,80.53492333901193,0.0063684406,1264,19989,0.0,0.0063684406,3.0,0.0,-69.78789678484137
0.0088582225,330995.42632612964,0.6283648,4092.8301119804382,78.62682654719691,23.178781925343813,92.7095022001545,-224.69941060903733,7.29049779984542,80.80943025540275,0.009191467,1773,29993,0.0,0.009191467,3.0,0.0,-68.32948592941992
0.009241392,332549.01960784313,0.5810929,5035.248593091965,78.99291321336479,22.78186274509804,91.55198992238897,-222.9191176470588,8.448010077611,81.18872549019608,0.010493418,2181,39981,0.0,0.010493418,3.0,0.0,-66.2881599085336
0.0092648165,333611.66555183945,0.5312902,5726.9904692173,79.22228203968285,22.53846153846154,89.9512634324437,-219.7123745819398,10.048736567556377,81.44816053511705,0.011699216,2480,49975,0.0,0.011699216,3.0,0.0,-62.867377275970654
0.008508074,334447.3043478261,0.48739794,6153.546072721481,79.41061365185719,22.33695652173913,87.17075171317092,-213.45652173913044,12.829248286829156,81.65217391304348,0.010700385,2664,59954,0.0,0.010700385,3.0,0.0,-56.33531183670908
0.007843903,335003.1515151515,0.4452042,6384.204396247864,79.53005576945283,22.21212121212121,82.57402919443238,-202.54545454545453,17.42597080556763,81.78787878787878,0.0075311684,2763,69963,0.0,0.0075311684,3.0,0.0,-45.85350754315848
0.007840003,331776.0,0.3886666,6540.856161594391,78.79628387211194,23.0,77.61957213158333,-188.70967741935485,22.380427868416646,81.0,0.0067224316,2825,79900,0.0,0.0067224316,3.0,0.0,-37.798705477732135
0.0029894197,330442.4186046512,0.38246277,6658.374249458313,78.47810254931649,23.348837209302324,75.23467199030996,-182.37209302325581,24.765328009690016,80.67441860465117,0.0030924133,2868,89959,0.0,0.0030924133,2.395348837209302,0.6046511627906976,-35.36155728088027
0.0034521802,328145.45454545453,0.35965598,6773.274863004684,77.97271714941714,23.886363636363637,72.3292272716574,-174.0,27.670772728342612,80.11363636363636,0.0039280783,2912,99936,0.0,0.0039280783,2.3863636363636362,0.6136363636363636,-33.874552043810915
0.0023388143,324982.6341463415,0.3526316,6885.464748620987,77.25598390288044,24.658536585365855,69.80304010317421,-166.3170731707317,30.196959896825785,79.34146341463415,0.0035430768,2953,109858,0.0,0.0035430768,1.951219512195122,1.048780487804878,-32.55333367450516
0.0042196433,323677.0909090909,0.35649577,6999.446823596954,76.9575707958124,24.977272727272727,67.82947142713128,-160.97727272727272,32.17052857286867,79.02272727272727,0.004496384,2997,119819,0.0,0.004496384,1.7954545454545454,1.2045454545454546,-31.942336763296364
0.0040087104,323766.0444444445,0.35189483,7115.876640081406,76.97910256921436,24.955555555555556,66.90804899851356,-158.8,33.09195100148641,79.04444444444445,0.00340658,3042,129930,0.0,0.00340658,1.9555555555555555,1.0444444444444445,-31.616931819926453
0.0024673475,322059.9069767442,0.34308222,7233.689866304398,76.58849569444179,25.372093023255815,63.47341076829458,-149.7906976744186,36.52658923170542,78.62790697674419,0.0033572428,3085,139785,0.0,0.0033572428,1.9767441860465116,1.0232558139534884,-30.068225342971918
0.005040388,323770.1818181818,0.3668358,7346.614693880081,76.98003000268103,24.954545454545453,63.26929062328729,-150.20454545454547,36.73070937671271,79.04545454545455,0.0045464872,3129,149911,0.0,0.0045464872,1.6136363636363635,1.3863636363636365,-30.642256707289754
0.0027908087,322746.1818181818,0.37074316,7461.707268476486,76.74782991862209,25.204545454545453,61.39542794420785,-145.29545454545453,38.604572055792154,78.79545454545455,0.0033756273,3173,159993,0.0,0.0033756273,1.9772727272727273,1.0227272727272727,-29.265520515809193
0.00356457,323490.9090909091,0.35632116,7575.737017869949,76.91696456280363,25.022727272727273,61.22303636658721,-145.22727272727272,38.776963633412784,78.97727272727273,0.0036330028,3217,169864,0.0,0.0036330028,2.022727272727273,0.9772727272727273,-29.02167642379219
0.002224966,320853.3333333333,0.36135072,7691.1493854522705,76.30162152849311,25.68888888888889,62.76093443228295,-147.46666666666667,37.23906556771706,78.33333333333333,0.0039728265,3262,179990,0.0,0.0039728265,2.0444444444444443,0.9555555555555556,-29.461647277099807
0.005197509,315684.5714285714,0.35881394,7805.784505367279,75.13763915700522,26.928571428571427,59.28458936052733,-137.28571428571428,40.71541063947269,77.07142857142857,0.004750254,3304,189858,0.0,0.004750254,1.6666666666666667,1.3333333333333333,-27.73568508381159
0.005101139,317533.0909090909,0.36281458,7922.356401205063,75.5415732276543,26.5,61.85236340398376,-144.13636363636363,38.147636596016255,77.52272727272727,0.0043805623,3348,199883,0.0,0.0043805623,1.8181818181818181,1.1818181818181819,-28.837412574430598
0.003669929,317868.6511627907,0.37229335,8034.568088054657,75.63719419985259,26.3953488372093,60.52660436374819,-141.06976744186048,39.4733956362518,77.6046511627907,0.0042316276,3391,209909,0.0,0.0042316276,1.4651162790697674,1.5348837209302326,-27.67953139898444
0.0034231052,320821.5813953488,0.37005728,8148.394007444382,76.30780630015133,25.674418604651162,59.96968365260788,-141.0,40.03031634739213,78.32558139534883,0.0035569763,3434,219821,0.0,0.0035569763,1.7906976744186047,1.2093023255813953,-27.314100832506355
