MpbtN,AttNC,entropy,MtR,Tmt,Ptt,AttC,entloss,TimeElapsed,TtR,Tmc,meankl,EpisodesSoFar,TimestepsSoFar,Tbt,MpbtA,optimgain,surrgain
94.69115885683301,0.0,0.68376225,-70.90343463315145,80.24441132637854,78.0965096855007,3.0,0.0,1544.0057127475739,-227.87928464977645,23.748137108792847,0.009148197,671,9986,328681.1087928465,5.3088411431669185,0.00974456,0.00974456
93.70211471401892,0.0,0.65553784,-69.67544749789823,80.61937716262976,78.44703770062081,3.0,0.0,2836.0743436813354,-226.5726643598616,23.3719723183391,0.0100745885,1249,19994,330216.9688581315,6.29788528598097,0.0065129567,0.0065129567
92.58958428719158,0.0,0.61109465,-68.26887068510338,81.07707910750507,78.87438189491165,3.0,0.0,3937.1013045310974,-225.1521298174442,22.912778904665313,0.009485386,1742,29992,332091.71602434077,7.4104157128084065,0.00896816,0.00896816
91.64707252259745,0.0,0.5524768,-65.9583647699194,81.06632653061224,78.87197182580486,3.0,0.0,4827.9981598854065,-222.8112244897959,22.913265306122447,0.010439867,2134,39994,332047.67346938775,8.352927477402623,0.010030859,0.010030859
89.72259383126038,0.0,0.49447826,-62.252208817375035,81.70609318996416,79.46392846991994,3.0,0.0,5459.849081039429,-219.8709677419355,22.27956989247312,0.009019671,2413,49963,334668.1577060932,10.277406168739663,0.010238982,0.010238982
85.57311173701345,0.0,0.45337045,-53.80204336583686,81.66455696202532,79.44333849775083,3.0,0.0,5827.583979129791,-209.65822784810126,22.29746835443038,0.0050085695,2571,59931,334498.0253164557,14.426888262986521,0.0053312215,0.0053312215
82.31677530379028,0.01652892561983471,0.38337898,-48.104070115907234,81.17355371900827,78.9587169710873,2.9834710743801653,0.0,6105.359439134598,-200.4297520661157,22.826446280991735,0.008137269,2692,69937,332486.87603305787,17.68322469620974,0.008170276,0.008170276
73.55471964165324,0.3125,0.33772,-37.312807010776226,80.25,78.11269834730048,2.6875,0.0,6259.8405585289,-177.28125,23.734375,0.0052453727,2756,79889,328704.0,26.445280358346746,0.00618899,0.00618899
66.42488188920777,0.9130434782608695,0.2863692,-31.339816136268936,79.3695652173913,77.28093927830093,2.0869565217391304,0.0,6384.607288122177,-158.2173913043478,24.630434782608695,0.0044044084,2802,89814,325097.73913043475,33.57511811079221,0.0044103637,0.0044103637
66.90697184855723,1.8571428571428572,0.30651712,-32.06285149042076,80.19047619047619,78.04777199574907,1.1428571428571428,0.0,6499.949301958084,-161.0,23.80952380952381,0.0034301146,2844,99744,328460.1904761905,33.093028151442766,0.0046602846,0.0046602846
68.71715395875601,0.8958333333333334,0.30484053,-32.689532611404886,78.66666666666667,76.61161777631459,2.1041666666666665,0.0,6621.618243694305,-162.3125,25.354166666666668,0.002656123,2892,109931,322218.6666666667,31.282846041244014,0.005413914,0.005413914
65.17341297667777,1.302325581395349,0.34523445,-31.041219715114025,78.67441860465117,76.63184919524367,1.697674418604651,0.0,6740.088547468185,-153.97674418604652,25.325581395348838,0.00399561,2935,119897,322250.4186046512,34.82658702332222,0.0045766043,0.0045766043
67.93030736262439,0.7,0.33251992,-31.958141170085945,79.24,77.15991045743245,2.3,0.0,6868.060910463333,-161.58,24.76,0.003385599,2985,129832,324567.04,32.06969263737559,0.0054855687,0.0054855687
66.45863042415554,0.9111111111111111,0.32761765,-30.94788722725043,79.13333333333334,77.07708334478883,2.088888888888889,0.0,6986.719469070435,-158.06666666666666,24.844444444444445,0.003048339,3030,139915,324130.13333333336,33.54136957584444,0.004485062,0.004485062
68.33902946113645,1.3571428571428572,0.3682007,-31.647669939145327,79.23809523809524,77.1583403066593,1.6428571428571428,0.0,7104.333473443985,-162.71428571428572,24.761904761904763,0.0034839113,3072,149883,324559.2380952381,31.660970538863552,0.0049262675,0.0049262675
65.86651165374403,1.3333333333333333,0.35169685,-30.316943898313443,78.14285714285714,76.13664123032102,1.6666666666666667,0.0,7220.8087203502655,-154.5,25.857142857142858,0.002735433,3114,159840,320073.14285714284,34.133488346255945,0.004272762,0.004272762
66.59836335159267,1.1162790697674418,0.335054,-30.742081626590377,78.6046511627907,76.56599702406314,1.8837209302325582,0.0,7338.175579547882,-157.46511627906978,25.3953488372093,0.00337931,3157,169883,321964.6511627907,33.40163664840734,0.0055415668,0.0055415668
66.14770816969705,1.4761904761904763,0.33886212,-30.205633005090426,77.61904761904762,75.64712990599571,1.5238095238095237,0.0,7455.459648132324,-154.28571428571428,26.38095238095238,0.0032085057,3199,179733,317927.61904761905,33.85229183030293,0.0058453246,0.0058453246
66.40930637487583,1.2272727272727273,0.372362,-30.987607668767545,78.8409090909091,76.78964793285692,1.7727272727272727,0.0,7571.30425620079,-157.22727272727272,25.15909090909091,0.0039350307,3243,189813,322932.36363636365,33.59069362512418,0.006015045,0.006015045
66.62768213231482,1.0,0.3442951,-30.748078246833035,78.57777777777778,76.5417766793211,2.0,0.0,7691.633849620819,-157.2,25.42222222222222,0.0033297117,3288,199884,321854.5777777778,33.372317867685155,0.004255602,0.004255602
64.68806858540734,1.3095238095238095,0.3352681,-29.269604905321394,77.42857142857143,75.47061601567046,1.6904761904761905,0.0,7806.095014572144,-150.35714285714286,26.571428571428573,0.002605488,3330,209890,317147.4285714286,35.31193141459267,0.004129232,0.004129232
66.48860317194021,1.2857142857142858,0.3442103,-30.45510224142551,77.83333333333333,75.83150163255925,1.7142857142857142,0.0,7927.293857574463,-155.28571428571428,26.19047619047619,0.0032824203,3372,219976,318805.3333333333,33.51139682805977,0.005191771,0.005191771
