optimgain,Fce,AttNC,MtR,AttC,entloss,surrgain,TimeElapsed,EpisodesSoFar,TtR,entropy,TimestepsSoFar,meankl
0.0019261658,0.12166799815847748,0.2585034013605442,5.966766443577395,0.7414965986394558,0.0,0.0019261658,43.48000144958496,147,10.020408163265307,1.4136351,9999,0.005622925
0.0013937652,0.09305043992490729,0.40625,8.762303739245885,0.59375,0.0,0.0013937652,84.37379145622253,243,15.020833333333334,1.4026477,19944,0.0037425663
0.00091095275,0.1335196866680754,0.5492957746478874,11.447239994418895,0.4507042253521127,0.0,0.00091095275,125.05432844161987,314,19.788732394366196,1.3843386,29792,0.0023060846
0.0012227737,0.08950668156683193,0.5194805194805194,10.386093389674842,0.4805194805194805,0.0,0.0012227737,167.90031933784485,391,17.896103896103895,1.3675536,39925,0.0014453195
0.0022533112,0.07770943549204419,0.42391304347826086,8.06583609315872,0.5760869565217391,0.0,0.0022533112,205.76043558120728,483,13.967391304347826,1.3332696,49834,0.0036969963
0.0015994877,0.11797578692493944,0.6779661016949152,13.128609669221342,0.3220338983050847,0.0,0.0015994877,245.5135064125061,542,22.677966101694917,1.3385159,59899,0.0033895958
0.0019491165,0.10031617979444064,0.5909090909090909,12.040955660857906,0.4090909090909091,0.0,0.0019491165,297.12336349487305,608,20.742424242424242,1.3136168,69764,0.0017088478
0.0015239111,0.0893219616204691,0.5970149253731343,11.687998196591728,0.40298507462686567,0.0,0.0015239111,341.43523478507996,675,20.776119402985074,1.2776065,79839,0.0022888738
0.0014333554,0.10987232872947159,0.6349206349206349,11.873047128260097,0.36507936507936506,0.0,0.0014333554,379.22563457489014,738,20.793650793650794,1.248764,89914,0.0049570543
0.0012302139,0.11090834879406306,0.5714285714285714,11.210352780553064,0.42857142857142855,0.0,0.0012302139,419.90185141563416,808,19.214285714285715,1.2019044,99982,0.0027609256
0.001656456,0.07664516129032259,0.6290322580645161,10.860324063487285,0.3709677419354839,0.0,0.001656456,460.1690285205841,870,19.161290322580644,1.1976516,109775,0.0048615513
0.002476709,0.09826900584795326,0.7017543859649122,13.220317830698134,0.2982456140350877,0.0,0.002476709,503.9993498325348,927,23.12280701754386,1.1703931,119808,0.0037911672
0.0020823188,0.09851920122887863,0.6451612903225806,12.214220671312418,0.3548387096774194,0.0,0.0020823188,550.3012964725494,989,21.161290322580644,1.1072612,129846,0.0048183664
0.0017736878,0.10000000000000002,0.7692307692307693,14.132686992743723,0.23076923076923078,0.0,0.0017736878,591.0335426330566,1041,25.0,1.0869707,139864,0.0019606093
0.0024208436,0.12100488758553271,0.6451612903225806,12.16936554788348,0.3548387096774194,0.0,0.0024208436,631.0419189929962,1103,20.596774193548388,1.0667905,149928,0.0054782974
0.0019168098,0.09465321611238128,0.6896551724137931,12.543752922078594,0.3103448275862069,0.0,0.0019168098,674.2653036117554,1161,21.67241379310345,1.0353334,159992,0.0025630912
0.0028678954,0.09840064634094484,0.582089552238806,10.55908541738512,0.417910447761194,0.0,0.0028678954,715.6255893707275,1228,18.149253731343283,1.017537,169844,0.0022476916
0.0025175277,0.09418181818181819,0.7272727272727273,13.508160961030347,0.2727272727272727,0.0,0.0025175277,761.4655134677887,1283,23.545454545454547,0.9936727,179871,0.0027569411
0.0020910462,0.09269731800766284,0.6896551724137931,12.672125221178835,0.3103448275862069,0.0,0.0020910462,806.5852921009064,1341,22.17241379310345,0.95541984,189917,0.0031701108
0.0027975952,0.10584296296296297,0.8,14.149639228321085,0.2,0.0,0.0027975952,848.1126883029938,1391,24.82,0.9557512,199957,0.004378962
0.0025027588,0.10885333333333333,0.8,14.22736244601743,0.2,0.0,0.0025027588,886.1098594665527,1441,24.94,0.9638623,209987,0.0029043374
0.0028858748,0.11341503959852584,0.75,14.783951581259686,0.25,0.0,0.0028858748,930.6015348434448,1493,25.807692307692307,0.94639003,219870,0.0023675996
0.0022340596,0.10564726631393301,0.7407407407407407,13.535239589929544,0.25925925925925924,0.0,0.0022340596,972.3890161514282,1547,23.77777777777778,0.93070334,229924,0.0012962086
0.0027000508,0.10368404009643445,0.78,13.36583076314988,0.22,0.0,0.0027000508,1015.7088959217072,1597,23.36,0.917638,239821,0.0018732781
0.0031824585,0.1043939393939394,0.7692307692307693,14.129623207970017,0.23076923076923078,0.0,0.0031824585,1055.6220843791962,1649,24.26923076923077,0.938105,249889,0.002878242
0.0023141326,0.10033846153846156,0.8,14.177497131847897,0.2,0.0,0.0023141326,1100.1599531173706,1699,24.72,0.9478755,259911,0.002510467
0.002576738,0.11813333333333337,0.8888888888888888,16.809761176251875,0.1111111111111111,0.0,0.002576738,1141.4713006019592,1744,29.533333333333335,0.9665928,269918,0.00198987
0.002008818,0.11399999999999999,0.8695652173913043,16.276760215963588,0.13043478260869565,0.0,0.002008818,1179.800763130188,1790,28.5,0.96027267,279928,0.0029243818
0.0022908056,0.10871264367816096,0.6896551724137931,12.240341785370298,0.3103448275862069,0.0,0.0022908056,1218.214096546173,1848,21.46551724137931,0.966437,289960,0.0012503812
0.0017649933,0.09654901960784318,0.7843137254901961,13.713362730207301,0.21568627450980393,0.0,0.0017649933,1259.2252724170685,1899,24.137254901960784,0.9537415,299973,0.0015160063
0.0023394101,0.10067924528301887,0.7547169811320755,14.442630687826389,0.24528301886792453,0.0,0.0023394101,1303.1632845401764,1952,25.169811320754718,0.97673947,309988,0.0021915694
0.0025865738,0.10865579710144925,0.8125,15.275430276077628,0.1875,0.0,0.0025865738,1344.717073917389,2000,26.958333333333332,0.9813281,319769,0.0013336916
0.002137998,0.11652287581699347,0.7843137254901961,14.930360423543982,0.21568627450980393,0.0,0.002137998,1388.5615074634552,2051,25.901960784313726,1.005534,329784,0.0019238655
0.0027330047,0.10636734693877552,0.8163265306122449,15.188269363886231,0.1836734693877551,0.0,0.0027330047,1430.6709897518158,2100,26.591836734693878,0.9994522,339793,0.0058491095
0.0030819108,0.09286905566824435,0.6896551724137931,12.617650931924327,0.3103448275862069,0.0,0.0030819108,1476.1590538024902,2158,21.810344827586206,0.98901975,349845,0.003434241
0.002025989,0.10121433267587115,0.7692307692307693,13.89002667031569,0.23076923076923078,0.0,0.002025989,1512.6406753063202,2210,23.923076923076923,0.9818967,359877,0.0013143377
0.0025233247,0.10264923747276689,0.7843137254901961,14.466121858976697,0.21568627450980393,0.0,0.0025233247,1552.1117205619812,2261,25.137254901960784,0.9837289,369896,0.0028205952
0.0015734665,0.09442145593869732,0.6724137931034483,12.760545554446335,0.3275862068965517,0.0,0.0015734665,1596.1866834163666,2319,21.862068965517242,0.9785959,379765,0.0017196534
0.0030283509,0.10610629716367424,0.7142857142857143,14.25075762565225,0.2857142857142857,0.0,0.0030283509,1640.6240396499634,2375,24.714285714285715,0.97119004,389867,0.003909682
0.0026540817,0.11133686067019401,0.7407407407407407,14.440803303097937,0.25925925925925924,0.0,0.0026540817,1679.592882156372,2429,24.98148148148148,0.95709354,399963,0.0022890884
0.0027337982,0.10315372855444199,0.6724137931034483,13.029896470763022,0.3275862068965517,0.0,0.0027337982,1724.0429501533508,2487,22.810344827586206,0.92820233,409780,0.0022231697
0.002523828,0.11424941176470588,0.8,15.492448981775722,0.2,0.0,0.002523828,1767.2146780490875,2537,26.76,0.93068457,419812,0.0013615735
0.0025482883,0.09398870056497177,0.6779661016949152,12.398174958548678,0.3220338983050847,0.0,0.0025482883,1808.295767068863,2596,22.10169491525424,0.9264883,429857,0.0030381167
0.0025514488,0.0947652799178223,0.6779661016949152,12.360508324387634,0.3220338983050847,0.0,0.0025514488,1850.622750043869,2655,21.559322033898304,0.89635694,439894,0.0039681215
0.0047361404,0.13048675893514958,0.7358490566037735,14.095249173036315,0.2641509433962264,0.0,0.0047361404,1891.8515453338623,2708,24.62264150943396,0.8499202,449826,0.005928862
