AttC,MtR,AttNC,TimeElapsed,surrgain,entropy,optimgain,TtR,entloss,TimestepsSoFar,EpisodesSoFar,Fce,meankl
0.6837606837606838,7.200036906609924,0.3162393162393162,37.383948802948,0.0016680298,1.4113728,0.0016680298,12.222222222222221,0.0,9860,117,0.12706760757426466,0.0058768876
0.6020408163265306,8.443279974316694,0.3979591836734694,69.22157311439514,0.0013923172,1.3868984,0.0013923172,14.551020408163266,0.0,19941,215,0.10014928609664042,0.0060187425
0.6176470588235294,8.159909489939931,0.38235294117647056,100.62243485450745,0.001779026,1.3540083,0.001779026,13.794117647058824,0.0,29956,317,0.07422662626754696,0.0048572463
0.38461538461538464,12.105768228597837,0.6153846153846154,135.098464012146,0.0008972977,1.3544885,0.0008972977,21.076923076923077,0.0,39995,382,0.0923897435897436,0.002774068
0.47297297297297297,10.561505843990215,0.527027027027027,165.81191873550415,0.0012221559,1.3384364,0.0012221559,18.175675675675677,0.0,49834,456,0.09057915057915057,0.0022483638
0.5125,9.751376351126336,0.4875,200.36821913719177,0.0010692219,1.3200827,0.0010692219,17.025,0.0,59757,536,0.11428470491772377,0.0017638494
0.42028985507246375,11.244655781625728,0.5797101449275363,234.13904976844788,0.0010254852,1.3112781,0.0010254852,19.666666666666668,0.0,69920,605,0.11375546089389166,0.002434673
0.4507042253521127,11.024510105990133,0.5492957746478874,264.64225220680237,0.0013243271,1.279907,0.0013243271,19.154929577464788,0.0,79764,676,0.10663520517041643,0.002906995
0.3939393939393939,11.86804452891615,0.6060606060606061,300.26621198654175,0.0015248383,1.2579943,0.0015248383,20.62121212121212,0.0,89896,742,0.09096090448778622,0.004641322
0.4264705882352941,10.63688638047522,0.5735294117647058,331.8927752971649,0.0017527832,1.2154136,0.0017527832,18.573529411764707,0.0,99773,810,0.08834108917044628,0.0048705996
0.2982456140350877,13.913096013112389,0.7017543859649122,363.0303690433502,0.0014840941,1.2245647,0.0014840941,23.982456140350877,0.0,109834,867,0.10783588601132459,0.0036039802
0.25925925925925924,15.109901517135015,0.7407407407407407,398.64755034446716,0.0011491684,1.1976149,0.0011491684,26.38888888888889,0.0,119914,921,0.11083820662768033,0.0032499023
0.2857142857142857,13.368806708360236,0.7142857142857143,428.7332875728607,0.0016179936,1.1995654,0.0016179936,23.142857142857142,0.0,129978,977,0.09794877344877347,0.0060377466
0.2909090909090909,13.87582869242357,0.7090909090909091,462.1575815677643,0.0017450483,1.1852818,0.0017450483,24.21818181818182,0.0,139764,1032,0.10444077134986228,0.0034619786
0.36507936507936506,12.438345237041842,0.6349206349206349,495.266592502594,0.001401146,1.1397663,0.001401146,21.603174603174605,0.0,149881,1095,0.1124207312554651,0.0041929632
0.24528301886792453,15.094421816498034,0.7547169811320755,527.4966862201691,0.0023906052,1.1376549,0.0023906052,26.22641509433962,0.0,159950,1148,0.11577711574533817,0.0049607097
0.3709677419354839,12.471298695975015,0.6290322580645161,560.8680419921875,0.0025739837,1.1001811,0.0025739837,21.758064516129032,0.0,169793,1210,0.12806338426711936,0.0062025418
0.3442622950819672,13.132283221975941,0.6557377049180327,590.5870184898376,0.001055085,1.0839888,0.001055085,22.918032786885245,0.0,179854,1271,0.09484722413555588,0.0027087068
0.2857142857142857,14.03115830869921,0.7142857142857143,622.694497346878,0.0025353783,1.0576353,0.0025353783,24.107142857142858,0.0,189910,1327,0.10789874411302984,0.0044969968
0.21568627450980393,14.51998570090491,0.7843137254901961,653.8286848068237,0.0015894066,1.0490724,0.0015894066,25.745098039215687,0.0,199963,1378,0.10885206094821831,0.0029351818
0.2777777777777778,14.352611892175773,0.7222222222222222,686.2182161808014,0.0019111938,1.0208081,0.0019111938,25.25925925925926,0.0,209774,1432,0.11327692786516318,0.004223954
0.24528301886792453,15.205844141198016,0.7547169811320755,718.7335233688354,0.0020560042,1.0049629,0.0020560042,26.32075471698113,0.0,219839,1485,0.10935623393719049,0.0036930905
0.3333333333333333,13.788775522703508,0.6666666666666666,749.7746160030365,0.0015385685,0.95370954,0.0015385685,24.2,0.0,229925,1545,0.10677660818713447,0.0040691104
0.4,12.29298046602774,0.6,781.6022026538849,0.0032212173,0.9249064,0.0032212173,21.276923076923076,0.0,239787,1610,0.12086604697931641,0.0066741426
0.16666666666666666,16.32964910646228,0.8333333333333334,814.4774339199066,0.0019555846,0.8991155,0.0019555846,28.625,0.0,249795,1658,0.11449999999999999,0.002573679
0.1836734693877551,16.21998010462248,0.8163265306122449,845.7166094779968,0.002188176,0.9085152,0.002188176,28.06122448979592,0.0,259810,1707,0.11224489795918371,0.004575182
0.3103448275862069,14.456084769020913,0.6896551724137931,879.2142674922943,0.0017594538,0.861728,0.0017594538,25.20689655172414,0.0,269928,1765,0.1067817321285881,0.0037741135
0.21568627450980393,16.989921948939365,0.7843137254901961,910.0736076831818,0.0017917079,0.8313372,0.0017917079,29.431372549019606,0.0,279997,1816,0.12511747819840244,0.002880951
0.20408163265306123,16.067353477604307,0.7959183673469388,943.503000497818,0.0023404495,0.82364064,0.0023404495,27.877551020408163,0.0,289799,1865,0.11444897959183675,0.003837815
0.2,16.890732083618808,0.8,976.0265278816223,0.002793219,0.7966078,0.002793219,29.92,0.0,299817,1915,0.15010666666666667,0.003928396
0.1111111111111111,17.84919973001052,0.8888888888888888,1007.0460572242737,0.0025875785,0.8215958,0.0025875785,31.288888888888888,0.0,309826,1960,0.12515555555555558,0.0033180127
