entloss,meankl,optimgain,TimestepsSoFar,Fce,AttC,AttNC,surrgain,TimeElapsed,EpisodesSoFar,TtR,entropy,MtR
0.0,0.00507594,0.0006979187,9991,0.09408001431540433,0.75,0.25,0.0006979187,48.26576614379883,148,9.635135135135135,1.4387852,5.779756931299157
0.0,0.007051638,0.0011738526,20000,0.09905695347315309,0.59375,0.40625,0.0011738526,148.5873408317566,244,14.208333333333334,1.4153441,8.31536539300655
0.0,0.0010454293,0.00048220454,29838,0.10426594301221166,0.417910447761194,0.582089552238806,0.00048220454,226.87570643424988,311,21.29850746268657,1.3937377,12.352577475353298
0.0,0.003302159,0.0009885037,39988,0.10737162238632825,0.5,0.5,0.0009885037,307.5315833091736,391,17.45,1.362431,10.077001011387448
0.0,0.008739427,0.0012783966,49850,0.08422509462258088,0.417910447761194,0.582089552238806,0.0012783966,391.52643847465515,458,19.34328358208955,1.3744464,11.00878789361343
0.0,0.003307691,0.0009943107,59829,0.10755641456814423,0.35,0.65,0.0009943107,453.00432991981506,518,22.816666666666666,1.3379368,13.127714946278546
0.0,0.0015661574,0.0008492012,69954,0.07568724279835391,0.5061728395061729,0.49382716049382713,0.0008492012,552.1216986179352,599,17.296296296296298,1.3037565,9.853807770340753
0.0,0.008223914,0.0015695717,79855,0.11123882729736388,0.44285714285714284,0.5571428571428572,0.0015695717,623.002614736557,669,19.67142857142857,1.255183,11.512400800935941
0.0,0.0009118557,0.0010232917,89877,0.1260910973084886,0.13043478260869565,0.8695652173913043,0.0010232917,702.267580986023,715,28.97826086956522,1.2579994,16.48208883434048
0.0,0.0014307905,0.0006164795,99942,0.11192953078667364,0.36507936507936506,0.6349206349206349,0.0006164795,771.2058763504028,778,21.571428571428573,1.2336466,12.203502543216855
0.0,0.004807809,0.0017319748,109994,0.09596934865900385,0.3103448275862069,0.6896551724137931,0.0017319748,841.8688762187958,836,23.06896551724138,1.2462157,13.090174467368799
0.0,0.0030526284,0.0015884644,119800,0.09457685064464728,0.3389830508474576,0.6610169491525424,0.0015884644,939.3492543697357,895,22.88135593220339,1.21934,13.084795572615423
0.0,0.003932787,0.0012270714,129885,0.08252789464057071,0.43661971830985913,0.5633802816901409,0.0012270714,1009.717732667923,966,18.859154929577464,1.1738282,10.78479749132835
0.0,0.0066195647,0.0013883652,139759,0.10106730768657185,0.3389830508474576,0.6610169491525424,0.0013883652,1087.375529050827,1025,22.491525423728813,1.1385502,13.152880685511667
0.0,0.009356413,0.0016744125,149819,0.10009613319011819,0.2857142857142857,0.7142857142857143,0.0016744125,1159.2356686592102,1081,23.535714285714285,1.0905206,13.35223590881603
0.0,0.006464699,0.0013013553,159856,0.0924848484848485,0.2727272727272727,0.7272727272727273,0.0013013553,1246.28498005867,1136,22.836363636363636,1.0323683,12.94720354624528
0.0,0.0045478605,0.001701491,169887,0.12152639517345401,0.21568627450980393,0.7843137254901961,0.001701491,1333.4201035499573,1187,24.784313725490197,1.0482742,14.218183540069711
0.0,0.0032318002,0.0015798066,179940,0.13830145163478497,0.36507936507936506,0.6349206349206349,0.0015798066,1397.9665925502777,1250,21.0,1.0086001,12.128527077200713
0.0,0.005167408,0.0015243666,189954,0.10156410256410262,0.23076923076923078,0.7692307692307693,0.0015243666,1478.3102502822876,1302,23.807692307692307,0.9686876,13.673516698715478
0.0,0.005266457,0.0014671135,199976,0.10525641025641028,0.23076923076923078,0.7692307692307693,0.0014671135,1553.084629058838,1354,24.73076923076923,0.90081954,14.119241480615205
