meankl,Ptt,surrgain,optimgain,TtR,TimeElapsed,EpisodesSoFar,AttNC,TimestepsSoFar,MpbtN,AttC,Tbt,Tmt,Tmc,MpbtA,entropy,MtR,entloss
0.008733606,82.04923385780536,0.019699961,0.019699961,-80.22679200940071,2157.28911280632,851,0.0,9986,95.10683915424202,1.0,345546.4535840188,84.36192714453584,19.47003525264395,4.893160845757676,0.68444,-76.08427714584829,0.0
0.008277607,82.20285143624628,0.009893407,0.009893407,-80.51771117166213,4035.2980177402496,1585,0.0,19990,95.25855339458107,1.0,346240.348773842,84.53133514986376,19.30517711171662,4.741446605418708,0.65966916,-75.67190429254163,0.0
0.009158687,82.05835741163398,0.016823811,0.016823811,-80.52099533437014,5676.020282268524,2228,0.0,29993,95.42142999859514,1.0,345662.9051321928,84.39035769828926,19.46345256609642,4.578570001404543,0.61706865,-74.99625141728424,0.0
0.009962878,82.13111209523467,0.019621508,0.019621508,-80.52207293666027,7036.242549657822,2749,0.0,39984,95.33627436062936,1.0,345950.8330134357,84.46065259117083,19.383877159309023,4.663725639370491,0.55601496,-73.79995418323395,0.0
0.009987506,82.03422939947058,0.025549402,0.025549402,-80.248,8014.926545381546,3124,0.0,49989,95.13588399347609,1.0,345516.71466666664,84.35466666666666,19.488,4.8641160065238065,0.4797503,-71.4072919748011,0.0
0.009894344,82.24502057203456,0.025303962,0.025303962,-80.11969111969113,8684.621034860611,3383,0.0,59993,94.71748296337275,1.0,346467.8301158301,84.58687258687259,19.26254826254826,5.28251703662729,0.3923057,-68.06154120652236,0.0
0.008563069,81.46337420759508,0.013748636,0.013748636,-77.0078125,9036.235918998718,3511,0.0390625,69985,91.92189841282756,0.9609375,343136.0,83.7734375,20.109375,8.078101587172457,0.30977887,-58.72033753386423,0.0
0.006381502,80.62382921779522,0.008906133,0.008906133,-73.52857142857142,9249.299439668655,3581,0.14285714285714285,79943,88.6496653193824,0.8571428571428571,339733.9428571428,82.94285714285714,21.02857142857143,11.350334680617623,0.25813103,-48.707084000687615,0.0
0.0052294577,81.2004757260188,0.004845462,0.004845462,-72.98,9408.077321529388,3631,0.3,89788,87.38413109431318,0.7,342097.92,83.52,20.4,12.615868905686861,0.22838852,-43.502965961907215,0.0
0.0017782979,81.07424412669724,0.0029610123,0.0029610123,-72.82926829268293,9548.362640857697,3672,0.5853658536585366,99829,87.29294954926715,0.4146341463414634,341566.43902439025,83.39024390243902,20.536585365853657,12.707050450732831,0.2377382,-41.1047273124657,0.0
0.008007243,80.60331131769166,0.004706433,0.004706433,-71.73170731707317,9687.832044363022,3713,0.4878048780487805,109874,86.49146255778444,0.5121951219512195,339568.39024390245,82.90243902439025,21.048780487804876,13.508537442215534,0.17813402,-40.46868479425626,0.0
0.007084874,80.94332223023079,0.004958725,0.004958725,-74.51351351351352,9814.597486972809,3750,0.8648648648648649,119869,89.4655979485738,0.13513513513513514,340964.3243243243,83.24324324324324,20.675675675675677,10.534402051426225,0.26145962,-42.009761692534525,0.0
0.0053840904,80.61401891833074,0.0068290452,0.0068290452,-71.28205128205128,9957.2104241848,3789,0.7692307692307693,129845,85.96136554652936,0.23076923076923078,339442.8717948718,82.87179487179488,21.025641025641026,14.038634453470623,0.23097627,-40.22207905088266,0.0
0.004902818,80.57866618757063,0.003553746,0.003553746,-71.47368421052632,10089.036343812943,3827,0.7105263157894737,139773,86.19463157158387,0.2894736842105263,339536.84210526315,82.89473684210526,21.07894736842105,13.805368428416136,0.19614725,-39.57956269269744,0.0
0.0057220245,80.81938987574732,0.0064274445,0.0064274445,-73.0,10220.064056396484,3864,0.6216216216216216,149781,87.81668779063494,0.3783783783783784,340410.8108108108,83.10810810810811,20.81081081081081,12.183312209365052,0.26877785,-40.64669257454031,0.0
0.0031644376,80.16368192321357,0.0040421174,0.0040421174,-71.15,10354.03176188469,3904,0.2,159814,86.25480314387495,0.8,337715.2,82.45,21.525,13.745196856125048,0.28028864,-39.41371652828247,0.0
0.0062637255,80.12747352613634,0.0046463287,0.0046463287,-71.54545454545455,10496.22440981865,3948,0.29545454545454547,169821,86.78040846501264,0.7045454545454546,337640.7272727273,82.43181818181819,21.568181818181817,13.219591534987385,0.19634162,-40.861076678230155,0.0
0.004244766,80.85704862934676,0.0042359834,0.0042359834,-72.2,10636.29701590538,3988,0.35,179831,86.76566192482485,0.65,340684.8,83.175,20.775,13.234338075175131,0.20387572,-40.54092739052438,0.0
0.0054654228,80.3233465427083,0.0041801054,0.0041801054,-71.83783783783784,10764.805119276047,4025,0.6756756756756757,189794,86.95013738011009,0.32432432432432434,338418.1621621622,82.62162162162163,21.35135135135135,13.049862619889888,0.19761953,-39.81158347879089,0.0
0.0035110263,81.16615452332096,0.0024688323,0.0024688323,-74.58333333333333,10895.284132003784,4061,0.8333333333333334,199775,89.3084800354112,0.16666666666666666,342129.77777777775,83.52777777777777,20.444444444444443,10.691519964588808,0.22547454,-41.030114924453244,0.0
0.0070185135,81.13676541821268,0.0071849977,0.0071849977,-73.8,11032.213637590408,4101,0.775,209963,88.38916941375975,0.225,341913.6,83.475,20.475,11.610830586240235,0.2287372,-42.534975996291806,0.0
0.0022528155,81.25381947981309,0.003417842,0.003417842,-71.63157894736842,11161.130945444107,4139,0.631578947368421,219932,85.64141364853755,0.3684210526315789,342339.36842105264,83.57894736842105,20.342105263157894,14.358586351462458,0.24868213,-40.01783233207514,0.0
