surrgain,entloss,meankl,AttNC,TtR,Fce,TimestepsSoFar,entropy,optimgain,MtR,AttC,EpisodesSoFar,TimeElapsed
0.0016025711,0.0,0.005026104,0.31666666666666665,12.016666666666667,0.09171488235172702,9942,1.4180157,0.0016025711,7.089685570991557,0.6833333333333333,120,42.90851545333862
0.0018687805,0.0,0.0052942564,0.3939393939393939,14.282828282828282,0.10404476014904944,19940,1.3948839,0.0018687805,8.271423905838686,0.6060606060606061,219,84.94864559173584
0.001721994,0.0,0.005984298,0.6557377049180327,23.42622950819672,0.12349622690606296,29983,1.4077761,0.001721994,13.467392321831353,0.3442622950819672,280,127.72805309295654
0.0016682846,0.0,0.00445831,0.6,23.076923076923077,0.12994086377248376,39955,1.3891463,0.0016682846,13.566993424962362,0.4,345,170.51585865020752
0.0014406586,0.0,0.0016858948,0.5555555555555556,19.84722222222222,0.0793888888888889,49995,1.363418,0.0014406586,11.496081924195257,0.4444444444444444,417,217.22646045684814
0.0014907562,0.0,0.0026954624,0.4875,16.325,0.08591731601731603,59870,1.32298,0.0014907562,9.384621419924105,0.5125,497,260.4366772174835
0.00126754,0.0,0.0027212305,0.5970149253731343,22.074626865671643,0.11547147416746785,69991,1.2916211,0.00126754,12.709241531951355,0.40298507462686567,564,304.04402470588684
0.0018973938,0.0,0.0022553168,0.609375,19.96875,0.09229467468805702,79874,1.2653798,0.0018973938,11.453925636306115,0.390625,628,342.22543263435364
0.0015648773,0.0,0.001287987,0.6349206349206349,21.650793650793652,0.10741404710032161,89987,1.2692881,0.0015648773,12.564474270552786,0.36507936507936506,691,381.42110085487366
0.0015974854,0.0,0.004441986,0.6842105263157895,23.56140350877193,0.12197390913180388,99839,1.2704663,0.0015974854,13.36995767974044,0.3157894736842105,748,425.8898720741272
0.0018208947,0.0,0.0016726785,0.7017543859649122,24.403508771929825,0.11505643933714108,109948,1.257076,0.0018208947,14.050815744038708,0.2982456140350877,805,473.23043513298035
0.0026346513,0.0,0.0047888076,0.527027027027027,17.89189189189189,0.0928794987567366,119865,1.2159629,0.0026346513,10.406124288009936,0.47297297297297297,879,515.4680423736572
0.0020064209,0.0,0.003824993,0.6153846153846154,21.6,0.0953915417915418,129950,1.207747,0.0020064209,12.401260188115486,0.38461538461538464,944,558.2020676136017
0.0019604492,0.0,0.0014786005,0.578125,21.671875,0.12160339604520638,139803,1.210322,0.0019604492,12.603721442336425,0.421875,1008,599.5008747577667
0.0025379998,0.0,0.0034218666,0.475,17.875,0.10226781942949878,149879,1.1783855,0.0025379998,10.40081330247381,0.525,1088,641.4042086601257
