Ptt,TimestepsSoFar,MtR,Tbt,Tmc,entloss,MpbtA,MpbtN,AttNC,TimeElapsed,meankl,optimgain,entropy,TtR,EpisodesSoFar,Tmt,AttC,surrgain
78.13305862980653,9980,-70.86020620001221,328850.28571428574,23.709774436090225,0.0,5.3810152430716665,94.61898475692823,0.0,1552.326767206192,0.008493303,0.010044264,0.6847796,-227.85563909774436,665,80.28571428571429,3.0,0.010044264
78.18769596039958,19982,-69.64831013047144,329101.6357388316,23.651202749140893,0.0,6.075647431903858,93.92435256809607,0.0,2891.24059176445,0.008208586,0.0075738146,0.6606187,-226.33505154639175,1247,80.34707903780068,3.0,0.0075738146
78.7734675125179,29983,-68.19836095215696,331641.1522633745,23.020576131687243,0.0,7.25981505078919,92.74018494921071,0.0,3987.9577589035034,0.009309581,0.010107751,0.6197615,-225.21604938271605,1733,80.96707818930041,3.0,0.010107751
79.04677693544534,39998,-65.49508196644557,332883.02702702704,22.72972972972973,0.0,8.71216691216429,91.28783308783572,0.0,4842.605553150177,0.008911974,0.0124357445,0.570956,-222.51081081081082,2103,81.27027027027027,3.0,0.0124357445
79.14002504703961,49969,-59.68748399443668,333212.5118483412,22.62559241706161,0.0,10.989927891882823,89.01007210811721,0.0,5339.034478902817,0.0075264145,0.008096237,0.5252166,-217.15165876777252,2314,81.35071090047393,3.0,0.008096237
78.94476582289002,59964,-47.59567449681457,332429.6170212766,22.840425531914892,0.0,16.89813920314996,83.10186079685002,0.07446808510638298,5565.12456703186,0.0071882512,0.007220534,0.48924568,-202.37234042553192,2408,81.15957446808511,2.925531914893617,0.007220534
78.37710047140233,69802,-36.096920206109125,329853.387755102,23.448979591836736,0.0,23.917102537939684,76.08289746206033,0.40816326530612246,5689.376605510712,0.0054314686,0.004352007,0.45007205,-183.79591836734693,2457,80.53061224489795,2.5918367346938775,0.004352007
78.228110897746,79900,-32.695883478978686,329262.54545454547,23.613636363636363,0.0,29.07186952942583,70.92813047057416,0.5909090909090909,5805.6861000061035,0.00574546,0.004176471,0.3427061,-171.3409090909091,2501,80.38636363636364,2.409090909090909,0.004176471
77.8186530298312,89783,-32.369037326371824,327469.9487179487,24.05128205128205,0.0,30.003095785064367,69.99690421493563,1.564102564102564,5911.947611570358,0.0031852396,0.0030624375,0.33407623,-168.07692307692307,2540,79.94871794871794,1.435897435897436,0.0030624375
76.95742869012867,99782,-30.817329895809774,323683.9024390244,24.975609756097562,0.0,32.89746724927974,67.10253275072023,1.7804878048780488,6023.169539451599,0.0029311005,0.0031037393,0.31411585,-159.21951219512195,2581,79.02439024390245,1.2195121951219512,0.0031037393
77.1792950542381,109786,-32.428855676922545,324656.7619047619,24.738095238095237,0.0,32.15081342537129,67.8491865746287,1.2857142857142858,6138.7610902786255,0.004633231,0.0037764283,0.35582978,-161.57142857142858,2623,79.26190476190476,1.7142857142857142,0.0037764283
76.70381191375269,119878,-29.74886636137169,322560.0,25.25,0.0,35.16605832010906,64.83394167989094,0.8636363636363636,6251.545832395554,0.0031298292,0.0032537912,0.34754875,-153.27272727272728,2667,78.75,2.1363636363636362,0.0032537912
76.29224170615409,129894,-29.553909171062504,320821.5813953488,25.697674418604652,0.0,36.250162814218726,63.749837185781246,1.6046511627906976,6366.942800045013,0.005685601,0.004509313,0.36486107,-149.93023255813952,2710,78.32558139534883,1.3953488372093024,0.004509313
76.34871874928707,139917,-30.90763963481,321001.73913043475,25.630434782608695,0.0,33.398111559252705,66.6018884407473,0.6956521739130435,6487.46587061882,0.004601837,0.0037976257,0.34385157,-156.65217391304347,2756,78.3695652173913,2.3043478260869565,0.0037976257
76.75819134108644,149972,-29.753822519343665,322803.8095238095,25.19047619047619,0.0,37.235070219496684,62.76492978050332,1.7619047619047619,6600.010993003845,0.004302823,0.003822249,0.3353441,-148.35714285714286,2798,78.80952380952381,1.2380952380952381,0.003822249
