entropy,surrgain,entloss,EpisodesSoFar,TimeElapsed,AttC,Fce,TimestepsSoFar,AttNC,TtR,optimgain,meankl,MtR
-0.35267633,0.0024740722,0.0,12285,9677.210906744003,0.025,0.13322670807453418,2639780,0.975,32.975,0.0024740722,0.006932837,18.268243744782826
-0.33563143,0.002791596,0.0,12325,9711.602936506271,0.0,0.12380000000000005,2649780,1.0,30.95,0.002791596,0.008557485,17.116125852287624
-0.38803107,0.0018411743,0.0,12365,9746.212172985077,0.0,0.11620000000000004,2659780,1.0,29.05,0.0018411743,0.007904573,15.878625079594888
-0.3292703,0.003981671,0.0,12405,9783.65132522583,0.0,0.1199,2669780,1.0,29.975,0.003981671,0.007828947,16.709375024857138
-0.25278297,0.0030664443,0.0,12446,9820.81910610199,0.024390243902439025,0.13782979470082476,2679919,0.975609756097561,33.853658536585364,0.0030664443,0.008344005,18.954411989442765
-0.30627337,0.0024001831,0.0,12488,9859.600707054138,0.16666666666666666,0.14101076410898103,2689954,0.8333333333333334,33.76190476190476,0.0024001831,0.00997436,18.906440136942297
-0.2833917,0.0026031975,0.0,12529,9896.063971996307,0.12195121951219512,0.14154685421656069,2699839,0.8780487804878049,34.0,0.0026031975,0.0067522926,18.926065173406673
-0.26867205,0.0025339127,0.0,12570,9930.047266244888,0.04878048780487805,0.13438407793202842,2709955,0.9512195121951219,33.146341463414636,0.0025339127,0.0075775697,18.299897355860814
-0.30502352,0.003922792,0.0,12612,9964.17309308052,0.14285714285714285,0.13685300257223446,2719959,0.8571428571428571,32.54761904761905,0.003922792,0.008200462,18.162017549322574
-0.28735384,0.003565872,0.0,12652,10002.218611478806,0.025,0.13630992907801423,2729850,0.975,33.575,0.003565872,0.008966824,18.761492094003238
-0.31178254,0.0042779357,0.0,12692,10039.14109992981,0.025,0.12554634146341465,2739805,0.975,31.2,0.0042779357,0.008157909,17.47010719043779
-0.28262338,0.003950945,0.0,12732,10078.190549373627,0.0,0.12710000000000005,2749805,1.0,31.775,0.003950945,0.008861738,17.744225631224392
-0.25939798,0.0032449462,0.0,12772,10114.479036092758,0.0,0.11730000000000003,2759805,1.0,29.325,0.0032449462,0.0070045977,16.636212380593918
-0.25963876,0.00057249906,0.0,12812,10147.649173259735,0.0,0.11360000000000003,2769805,1.0,28.4,0.00057249906,0.009546493,15.991404363410686
