entloss,entropy,TtR,surrgain,AttC,MtR,meankl,TimestepsSoFar,optimgain,EpisodesSoFar,Fce,TimeElapsed,AttNC
0.0,1.4328616,8.938650306748466,0.0014082916,0.7791411042944786,5.3571916487655695,0.0033661209,9781,0.0014082916,163,0.07273918641934182,40.50975704193115,0.22085889570552147
0.0,1.4188267,18.275,0.0011277222,0.5125,10.511811719031623,0.0063986094,19788,0.0011277222,243,0.08331901214727301,81.88277125358582,0.4875
0.0,1.4176646,16.058823529411764,0.00093598786,0.5294117647058824,9.184179832896492,0.00089585636,29941,0.00093598786,328,0.09766268574165131,130.2422866821289,0.47058823529411764
0.0,1.3897129,17.13095238095238,0.0016083672,0.5357142857142857,9.82868092453736,0.0026914168,39820,0.0016083672,412,0.08013135495744192,172.61486911773682,0.4642857142857143
0.0,1.3852584,19.2,0.0017111023,0.42857142857142855,11.134744735251479,0.0027674655,49856,0.0017111023,482,0.10525714285714287,213.18537998199463,0.5714285714285714
0.0,1.3659625,17.60810810810811,0.0014659005,0.47297297297297297,10.111279531557656,0.0026248733,59819,0.0014659005,556,0.09743393606447141,256.0309135913849,0.527027027027027
0.0,1.3416702,21.582089552238806,0.0020966148,0.40298507462686567,12.553884406456215,0.00712095,69898,0.0020966148,623,0.10814194760463418,297.93294858932495,0.5970149253731343
0.0,1.3170164,21.15625,0.0015684937,0.375,12.019084117768314,0.0016145405,79950,0.0015684937,687,0.11729861111111109,337.8348433971405,0.625
0.0,1.3059037,23.35593220338983,0.0018095124,0.3389830508474576,13.25640358750929,0.0014616561,89880,0.0018095124,746,0.10272325570713334,386.0898816585541,0.6610169491525424
0.0,1.2659715,19.391304347826086,0.0020229218,0.43478260869565216,11.0216895390468,0.0047132997,99798,0.0020229218,815,0.08913107372753763,431.2769470214844,0.5652173913043478
0.0,1.2199708,19.78787878787879,0.0024477676,0.3939393939393939,11.333471489000308,0.004076655,109864,0.0024477676,881,0.10965560365560366,472.789888381958,0.6060606060606061
0.0,1.2125906,21.467741935483872,0.0024586457,0.3548387096774194,12.472073235140565,0.003926259,119964,0.0024586457,943,0.10084054599987756,513.7471573352814,0.6451612903225806
0.0,1.1761515,21.142857142857142,0.0021314316,0.38095238095238093,12.117003419864076,0.0024375662,129814,0.0021314316,1006,0.09180530932911886,556.1683969497681,0.6190476190476191
0.0,1.1312648,23.389830508474578,0.0022348922,0.3220338983050847,13.313001920701664,0.0030883714,139897,0.0022348922,1065,0.11984022804938779,598.1718547344208,0.6779661016949152
0.0,1.1070944,21.42622950819672,0.0026595336,0.3442622950819672,12.436351269955184,0.0026362846,149984,0.0026595336,1126,0.11305151807369741,646.5070445537567,0.6557377049180327
0.0,1.0872858,22.83050847457627,0.002236203,0.3389830508474576,12.895269424508902,0.0020857796,159764,0.002236203,1185,0.10022598870056496,690.7627031803131,0.6610169491525424
0.0,1.0851485,24.22641509433962,0.0014648536,0.24528301886792453,13.90466686235438,0.0029546814,169809,0.0014648536,1238,0.12704874654264223,733.3120880126953,0.7547169811320755
0.0,1.0631047,23.160714285714285,0.0017025772,0.2857142857142857,13.467071978604483,0.0012905619,179899,0.0017025772,1294,0.11979831932773109,773.8743546009064,0.7142857142857143
0.0,1.0726377,26.5,0.0027650406,0.2,14.960144922313157,0.001477071,189911,0.0027650406,1344,0.11258666666666668,821.7738645076752,0.8
0.0,1.0942997,25.66,0.0020619247,0.2,14.791353072057282,0.0018057922,199969,0.0020619247,1394,0.12394162162162163,865.2797544002533,0.8
0.0,1.0598147,23.27777777777778,0.0014571708,0.2777777777777778,13.321451769715159,0.0023180095,209752,0.0014571708,1448,0.09707818930041154,909.4375958442688,0.7222222222222222
0.0,1.0416309,22.90740740740741,0.0021005112,0.25925925925925924,13.157595945456778,0.0014416525,219780,0.0021005112,1502,0.09772839506172838,950.4194748401642,0.7407407407407407
0.0,1.0118829,24.49019607843137,0.002484996,0.21568627450980393,13.937997161309372,0.0024347922,229799,0.002484996,1553,0.09796078431372553,996.9178726673126,0.7843137254901961
0.0,0.99254763,23.81132075471698,0.0020816284,0.24528301886792453,13.637885684242196,0.0027532203,239812,0.0020816284,1606,0.11403773584905659,1038.872279882431,0.7547169811320755
0.0,0.9772754,28.8,0.0030535462,0.1111111111111111,16.328729150120417,0.0026228267,249825,0.0030535462,1651,0.11828571428571427,1079.8484480381012,0.8888888888888888
0.0,0.9435624,23.846153846153847,0.0022365695,0.23076923076923078,13.540969270640751,0.0024861954,259843,0.0022365695,1703,0.0953846153846154,1125.115458726883,0.7692307692307693
0.0,0.9333513,23.4,0.003508313,0.2727272727272727,13.399615867916676,0.007661922,269876,0.003508313,1758,0.09716363636363638,1172.1598191261292,0.7272727272727273
0.0,0.96303254,25.096153846153847,0.003585338,0.23076923076923078,14.681929758190934,0.004192706,279912,0.003585338,1810,0.1058606130711394,1214.4615762233734,0.7692307692307693
0.0,0.94838935,23.67924528301887,0.0024201202,0.24528301886792453,13.573108743433027,0.0026897476,289925,0.0024201202,1863,0.0947169811320755,1257.9786944389343,0.7547169811320755
0.0,0.9422661,28.06,0.0022745957,0.2,15.87664705734682,0.0018399593,299937,0.0022745957,1913,0.11882666666666668,1302.6378617286682,0.8
0.0,0.93640304,27.08,0.0029511643,0.2,15.526641939850906,0.0022474488,309949,0.0029511643,1963,0.10832000000000001,1345.2166664600372,0.8
0.0,0.9352634,28.695652173913043,0.003244333,0.13043478260869565,16.235682306220674,0.0028383571,319963,0.003244333,2009,0.1147826086956522,1384.8004593849182,0.8695652173913043
