TtR,EpisodesSoFar,Tbt,MtR,meankl,Tmt,entropy,Tmc,entloss,Ptt,MpbtA,MpbtN,AttNC,optimgain,surrgain,TimestepsSoFar,AttC,TimeElapsed
-227.06666666666666,675,327740.6814814815,-70.676627803387,0.008701733,80.01481481481481,0.6845268,23.982222222222223,0.0,77.87920199477048,5.385614794530793,94.61438520546902,0.0,0.00967019,0.00967019,9995,3.0,1555.469098329544
-227.57355371900826,1280,330767.23305785126,-70.25167634970774,0.009149183,80.75371900826447,0.65812045,23.234710743801653,0.0,78.57439622625374,6.036114173124937,93.96388582687501,0.0,0.006728069,0.006728069,19990,3.0,3006.3969192504883
-225.3406374501992,1782,331906.54980079684,-68.45775551617149,0.009709603,81.03187250996017,0.61597973,22.96414342629482,0.0,78.8276826671552,7.2735995583555075,92.72640044164451,0.0,0.010064926,0.010064926,29977,3.0,4162.083434343338
-222.52272727272728,2178,332231.1111111111,-65.95205796332476,0.009145851,81.11111111111111,0.5640315,22.873737373737374,0.0,78.90971757920856,8.519275594584673,91.48072440541534,0.0,0.00977248,0.00977248,39988,3.0,5094.596621513367
-221.25783972125436,2465,335686.4668989547,-62.94767482941891,0.009182842,81.95470383275261,0.5045394,22.027874564459932,0.0,79.69749719161145,9.995598936122935,90.00440106387707,0.0,0.010237305,0.010237305,49985,3.0,5753.139441251755
-211.3542857142857,2640,335052.8,-55.36881295780092,0.007839571,81.8,0.44909698,22.177142857142858,0.0,79.55917533394474,13.849439843250428,86.15056015674959,0.0,0.010605281,0.010605281,60000,3.0,6158.288865804672
-199.39830508474577,2758,331637.1525423729,-47.473467481889266,0.0073222523,80.96610169491525,0.38754758,23.02542372881356,0.0,78.77116127221993,17.89109663422325,82.10890336577673,0.0,0.008240236,0.008240236,69938,3.0,6440.328809022903
-186.53164556962025,2837,332553.7215189873,-40.178127446881525,0.0052174996,81.18987341772151,0.367548,22.759493670886076,0.0,79.01369660462274,23.410379665580177,76.58962033441982,0.02531645569620253,0.0065073133,0.0065073133,79950,2.9746835443037973,6633.218782901764
-169.76785714285714,2893,325924.5714285714,-34.2146006394354,0.006593324,79.57142857142857,0.33581716,24.428571428571427,0.0,77.46743277819577,28.886079190097142,71.11392080990287,0.16071428571428573,0.0071301106,0.0071301106,89969,2.8392857142857144,6776.593240261078
-165.19565217391303,2939,326255.3043478261,-32.69805247905061,0.002987895,79.65217391304348,0.34399888,24.32608695652174,0.0,77.56142346347227,30.91629473097814,69.08370526902185,0.6956521739130435,0.0056693316,0.0056693316,99954,2.3043478260869565,6897.558565855026
-159.66666666666666,2984,325404.44444444444,-32.263096993590956,0.0031823693,79.44444444444444,0.35749292,24.57777777777778,0.0,77.33769735193763,33.082235045259495,66.9177649547405,0.7555555555555555,0.005245105,0.005245105,109958,2.2444444444444445,7018.2994294166565
-159.12765957446808,3031,322625.3617021277,-31.986092493213487,0.0031894806,78.76595744680851,0.32567632,25.25531914893617,0.0,76.70462644706923,32.729135879390434,67.27086412060959,0.5531914893617021,0.004614114,0.004614114,119815,2.4468085106382977,7147.683759689331
-159.64285714285714,3073,321438.4761904762,-31.452624967506534,0.002957511,78.47619047619048,0.33055526,25.523809523809526,0.0,76.44605056067226,32.28560867750592,67.71439132249407,1.1666666666666667,0.004812321,0.004812321,129897,1.8333333333333333,7268.863417863846
-156.8372093023256,3116,324346.0465116279,-31.32325521030278,0.002983476,79.18604651162791,0.33748227,24.813953488372093,0.0,77.11002626297022,34.081351753116806,65.9186482468832,1.2093023255813953,0.004754528,0.004754528,139924,1.7906976744186047,7389.877249717712
-156.88636363636363,3160,324421.8181818182,-31.68055670115746,0.0037611132,79.20454545454545,0.34660769,24.795454545454547,0.0,77.13022976184628,33.95404901125312,66.0459509887469,1.5227272727272727,0.0060082497,0.0060082497,149907,1.4772727272727273,7511.705080032349
-157.46666666666667,3205,321490.4888888889,-31.507047413336775,0.0028779802,78.4888888888889,0.3513262,25.511111111111113,0.0,76.46006441054682,33.20077870908216,66.79922129091786,0.9111111111111111,0.0057934094,0.0057934094,159840,2.088888888888889,7636.088997840881
-152.5909090909091,3249,320884.36363636365,-30.34484768763501,0.0031552527,78.3409090909091,0.34557903,25.681818181818183,0.0,76.30743269135706,35.13344744698594,64.86655255301406,1.2954545454545454,0.004869788,0.004869788,169924,1.7045454545454546,7753.858622789383
-159.7674418604651,3292,326727.4418604651,-31.17076371092399,0.0030039968,79.76744186046511,0.37287974,24.232558139534884,0.0,77.65097652211352,33.33152750303298,66.66847249696706,1.2093023255813953,0.0045646704,0.0045646704,179966,1.7906976744186047,7873.6109499931335
-148.11627906976744,3335,316439.81395348837,-29.34970346518513,0.002337642,77.25581395348837,0.3585112,26.767441860465116,0.0,75.29256562818162,36.16022303302873,63.83977696697128,1.255813953488372,0.003876625,0.003876625,189895,1.744186046511628,7994.062870025635
-155.34782608695653,3381,325721.04347826086,-31.13067728016328,0.0029239312,79.52173913043478,0.37622535,24.456521739130434,0.0,77.43852940916396,34.99025198436896,65.00974801563105,0.9130434782608695,0.004406888,0.004406888,199991,2.0869565217391304,8119.28483581543
-152.79545454545453,3425,320232.7272727273,-29.882950192005993,0.0028796901,78.18181818181819,0.38090575,25.818181818181817,0.0,76.1711869981132,34.934543878730054,65.06545612126992,0.6590909090909091,0.0041203406,0.0041203406,209866,2.340909090909091,8237.948345899582
-154.63636363636363,3469,318929.45454545453,-29.74333136652442,0.0030884505,77.86363636363636,0.38637117,26.15909090909091,0.0,75.86182137005854,33.97339994371294,66.02660005628708,0.9772727272727273,0.004575897,0.004575897,219919,2.022727272727273,8356.946994066238
-156.54545454545453,3513,319581.0909090909,-30.128015069627963,0.004137385,78.02272727272727,0.36404017,25.977272727272727,0.0,76.0226174806305,33.2965737209783,66.7034262790217,0.7272727272727273,0.0056527397,0.0056527397,229830,2.272727272727273,8483.087886095047
-153.33333333333334,3558,319123.9111111111,-30.247068564946197,0.002672169,77.91111111111111,0.32991537,26.08888888888889,0.0,75.91987359525874,34.41292573297986,65.58707426702014,1.0666666666666667,0.004843237,0.004843237,239867,1.9333333333333333,8606.243686914444
-154.5,3600,320560.7619047619,-30.010226206166966,0.0042096428,78.26190476190476,0.35583177,25.761904761904763,0.0,76.23347215677889,34.24656463404794,65.75343536595203,1.5238095238095237,0.0050430265,0.0050430265,249974,1.4761904761904763,8722.675962209702
-149.06666666666666,3645,322491.73333333334,-29.967657659863303,0.0034141906,78.73333333333333,0.35622564,25.266666666666666,0.0,76.68914347459165,36.90600512737621,63.09399487262379,1.0666666666666667,0.005415882,0.005415882,259999,1.9333333333333333,8844.792644262314
-147.8181818181818,3689,318743.2727272727,-29.32261324646845,0.0037315756,77.81818181818181,0.3846694,26.204545454545453,0.0,75.81977255299381,36.708814177610456,63.29118582238952,1.1136363636363635,0.005567524,0.005567524,269993,1.8863636363636365,8964.208475351334
-151.5,3735,320289.39130434784,-30.310465194620775,0.0031020024,78.19565217391305,0.37846935,25.804347826086957,0.0,76.18715892656417,35.53536883024875,64.46463116975121,0.8260869565217391,0.005704716,0.005704716,279962,2.1739130434782608,9085.819665908813
-154.56521739130434,3781,320912.6956521739,-29.90149116863044,0.0032239105,78.34782608695652,0.38386726,25.652173913043477,0.0,76.32797431497963,34.244179591220934,65.75582040877906,0.5869565217391305,0.0051705497,0.0051705497,289946,2.4130434782608696,9208.395034074783
-157.1590909090909,3825,321163.63636363635,-31.312796158267698,0.0040803696,78.4090909090909,0.38571382,25.613636363636363,0.0,76.37109609615226,33.1605147445302,66.83948525546978,1.0227272727272727,0.0062474087,0.0062474087,299880,1.9772727272727273,9329.469280004501
-151.36363636363637,3869,317719.2727272727,-28.959030914709203,0.0031735997,77.56818181818181,0.3790027,26.477272727272727,0.0,75.57092734823995,34.9832585900277,65.01674140997233,0.6136363636363636,0.0066074533,0.0066074533,309907,2.3863636363636362,9448.202563524246
-152.35714285714286,3911,321828.5714285714,-29.81333451927706,0.0034309158,78.57142857142857,0.3869837,25.452380952380953,0.0,76.51962207336672,35.468885451040336,64.53111454895965,0.8095238095238095,0.004669755,0.004669755,319947,2.1904761904761907,9562.842962741852
-149.79545454545453,3955,317626.1818181818,-29.258288774325255,0.0038151043,77.54545454545455,0.37089446,26.454545454545453,0.0,75.58030502862646,35.660900413336954,64.33909958666305,0.7727272727272727,0.005728522,0.005728522,329973,2.227272727272727,9682.418474197388
-150.62790697674419,3998,319583.25581395347,-29.34002092519601,0.0035148936,78.02325581395348,0.37351325,25.976744186046513,0.0,76.02613337539468,35.71274089197299,64.287259108027,1.0232558139534884,0.0050452133,0.0050452133,339865,1.9767441860465116,9800.638813972473
-157.71428571428572,4040,319975.61904761905,-30.594088764906598,0.0036927368,78.11904761904762,0.39117557,25.88095238095238,0.0,76.11435287634913,32.705371774632304,67.2946282253677,0.9523809523809523,0.0055918964,0.0055918964,349957,2.0476190476190474,9917.239778757095
-158.85714285714286,4082,322511.2380952381,-30.67043465805317,0.0042069918,78.73809523809524,0.41095242,25.261904761904763,0.0,76.68998033159612,32.84304648770084,67.15695351229915,0.7142857142857143,0.005439603,0.005439603,359787,2.2857142857142856,10038.08458328247
-156.8372093023256,4125,317963.9069767442,-30.290937707050013,0.004073352,77.62790697674419,0.38766736,26.372093023255815,0.0,75.65498660597561,32.69839944221433,67.30160055778568,0.9302325581395349,0.0055756406,0.0055756406,369911,2.0697674418604652,10156.539565086365
-157.70454545454547,4169,319767.2727272727,-30.783676856289762,0.0052328166,78.06818181818181,0.40188184,25.931818181818183,0.0,76.06788478130399,32.65582268018065,67.34417731981934,0.75,0.006800718,0.006800718,379916,2.25,10276.419279813766
-158.0,4214,319670.0444444445,-30.915067490110168,0.00335525,78.04444444444445,0.38561594,25.955555555555556,0.0,76.046281957756,32.79434180987174,67.20565819012826,0.4444444444444444,0.004563017,0.004563017,389920,2.5555555555555554,10399.339352846146
-156.97674418604652,4257,320440.5581395349,-30.70077699391173,0.003510818,78.23255813953489,0.38412806,25.790697674418606,0.0,76.20495781544516,33.16757590386112,66.83242409613888,0.813953488372093,0.0048730173,0.0048730173,399882,2.186046511627907,10516.959685087204
-154.91489361702128,4304,322276.7659574468,-30.740196522552132,0.0044854977,78.68085106382979,0.35116336,25.319148936170212,0.0,76.63933371598345,34.38195472572865,65.61804527427134,0.574468085106383,0.0057628946,0.0057628946,409948,2.425531914893617,10638.921186208725
-147.53333333333333,4349,320944.35555555555,-29.542682021717035,0.0031491301,78.35555555555555,0.34770295,25.644444444444446,0.0,76.33692065893754,37.24104504660618,62.75895495339383,1.0888888888888888,0.0049681813,0.0049681813,419886,1.9111111111111112,10757.946173667908
-150.95454545454547,4393,316509.0909090909,-29.719732861041482,0.0041401405,77.27272727272727,0.35041544,26.727272727272727,0.0,75.32513821785459,34.86353970217495,65.13646029782505,0.8636363636363636,0.005904138,0.005904138,429921,2.1363636363636362,10878.870274543762
-150.34883720930233,4436,316249.3023255814,-29.646446409878305,0.0034810272,77.20930232558139,0.3522447,26.790697674418606,0.0,75.26543045259685,35.105090778988234,64.89490922101176,1.1627906976744187,0.0055783503,0.0055783503,439986,1.8372093023255813,10997.235733032227
-155.33333333333334,4481,321035.3777777778,-31.062257766113337,0.0025323278,78.37777777777778,0.35111406,25.622222222222224,0.0,76.35679311479294,33.895190466959576,66.10480953304044,0.8888888888888888,0.004659681,0.004659681,449825,2.111111111111111,11117.60832643509
-151.29545454545453,4525,320791.2727272727,-30.501936455399527,0.0038883076,78.31818181818181,0.37795675,25.681818181818183,0.0,76.3015955021625,35.59371723224371,64.40628276775627,1.0,0.0060473834,0.0060473834,459826,2.0,11240.126715183258
-152.64285714285714,4567,317440.0,-29.472919694142927,0.003449559,77.5,0.37196898,26.5,0.0,75.53728324229233,34.377284592557736,65.62271540744224,0.9047619047619048,0.0050294865,0.0050294865,469819,2.0952380952380953,11359.977276563644
-147.6,4612,319488.0,-29.26027813662188,0.0031647226,78.0,0.38457552,26.0,0.0,76.00383682940816,36.96794541917725,63.03205458082274,0.8666666666666667,0.004471125,0.004471125,479953,2.1333333333333333,11481.415576219559
-152.8,4657,319032.8888888889,-29.87044668012667,0.0032862935,77.88888888888889,0.37227356,26.11111111111111,0.0,75.90073079241023,34.707510934296,65.29248906570399,0.7111111111111111,0.0044589294,0.0044589294,489907,2.2888888888888888,11601.868921756744
-149.67391304347825,4703,317618.0869565217,-29.473561066364685,0.003118941,77.54347826086956,0.3611403,26.456521739130434,0.0,75.57576164472525,35.770837485820365,64.22916251417959,0.6956521739130435,0.005779427,0.005779427,499971,2.3043478260869565,11722.351194858551
-148.6046511627907,4746,320821.5813953488,-28.878224256445893,0.0040501654,78.32558139534883,0.37194318,25.697674418604652,0.0,76.29428081366208,36.733343411136325,63.266656588863675,0.8837209302325582,0.0058143414,0.0058143414,509878,2.116279069767442,11839.562582969666
-156.2,4791,319943.1111111111,-30.523841963918752,0.0041868407,78.11111111111111,0.37546405,25.88888888888889,0.0,76.10626982861271,33.384986834282756,66.61501316571724,0.7555555555555555,0.0062520974,0.0062520974,519837,2.2444444444444445,11962.932152986526
-159.8,4836,321217.4222222222,-30.87649947951604,0.00433134,78.42222222222222,0.36107656,25.57777777777778,0.0,76.3975436377329,32.18848285072102,67.81151714927896,0.7777777777777778,0.0055338317,0.0055338317,529854,2.2222222222222223,12083.33266711235
