optimgain,entloss,entropy,meankl,EpisodesSoFar,AttC,TimestepsSoFar,AttNC,surrgain,TimeElapsed,TtR,Fce,MtR
1.4613851e-05,0.0,2.2943,0.010174845,14542,2.0384615384615383,2989818,0.9615384615384616,1.4613851e-05,37195.38827896118,80.01923076923077,0.15240048840048837,15.305092312311295
9.284592e-06,0.0,2.1966844,0.010174845,14598,1.7678571428571428,2999940,1.2321428571428572,9.284592e-06,37321.6104016304,76.55357142857143,0.14260056995771278,14.763135769733022
2.2225951e-05,0.0,2.2943,0.008933181,14644,1.608695652173913,3009980,1.391304347826087,2.2225951e-05,37448.35033798218,85.82608695652173,0.16219415688980907,16.688475782567547
5.5353674e-05,0.0,2.3918672,0.008933174,14690,1.673913043478261,3019767,1.326086956521739,5.5353674e-05,37572.182524204254,86.67391304347827,0.1418213091256569,16.428076671886835
1.0805766e-05,0.0,2.4894953,0.008933095,14741,1.8235294117647058,3029854,1.1764705882352942,1.0805766e-05,37691.504209280014,82.11764705882354,0.1185635118790018,15.98877689860415
1.1727905e-05,0.0,2.5870614,0.008933181,14792,1.9019607843137254,3039935,1.0980392156862746,1.1727905e-05,37808.97326827049,82.52941176470588,0.13848475903883872,15.87468842449051
5.4040273e-05,0.0,2.4894953,0.010174758,14841,1.8775510204081634,3049825,1.1224489795918366,5.4040273e-05,37927.59992361069,83.3265306122449,0.12163447172012058,16.183401563000313
3.1643678e-05,0.0,2.3918672,0.010174845,14892,1.803921568627451,3059880,1.196078431372549,3.1643678e-05,38051.30129766464,80.52941176470588,0.1357553818730289,15.374060406092534
2.9595947e-05,0.0,2.2943,0.010174852,14939,1.553191489361702,3069915,1.446808510638298,2.9595947e-05,38163.90271282196,90.0,0.12450596212298343,16.893352474073563
1.3236745e-05,0.0,2.3918672,0.008933181,14985,1.6521739130434783,3079955,1.3478260869565217,1.3236745e-05,38286.24835705757,89.6086956521739,0.14324485125858122,16.754370069009003
6.0628765e-05,0.0,2.4894953,0.008933095,15033,1.5625,3089766,1.4375,6.0628765e-05,38408.943673849106,78.1875,0.1301771708683473,14.823737075714526
2.4281566e-05,0.0,2.5870614,0.008933181,15090,1.8596491228070176,3099841,1.1403508771929824,2.4281566e-05,38519.52889704704,73.6842105263158,0.14753175868965338,14.339609918492423
1.8725077e-05,0.0,2.6846497,0.008933181,15149,2.0338983050847457,3109932,0.9661016949152542,1.8725077e-05,38636.06524157524,72.96610169491525,0.1399552094467349,13.903409326933112
1.6724904e-05,0.0,2.7822313,0.008933181,15202,1.9622641509433962,3119764,1.0377358490566038,1.6724904e-05,38745.753308057785,77.20754716981132,0.11157951482479787,14.819511048580418
1.1206054e-05,0.0,2.6846497,0.010174758,15254,1.8461538461538463,3129830,1.1538461538461537,1.1206054e-05,38857.44939875603,80.1923076923077,0.16070407370407366,15.276769592273455
1.06170655e-05,0.0,2.7822313,0.008933181,15307,1.9622641509433962,3139943,1.0377358490566038,1.06170655e-05,38976.07104682922,77.26415094339623,0.17754423896488258,15.035564808008056
5.8724722e-06,0.0,2.8798606,0.008933181,15357,1.86,3149760,1.14,5.8724722e-06,39090.6046397686,78.06,0.13694798534798533,14.8732984677911
1.276652e-05,0.0,2.7822313,0.010174776,15415,1.9827586206896552,3159897,1.0172413793103448,1.276652e-05,39197.057255506516,75.15517241379311,0.1341127802289286,14.641397939486025
