TtR,surrgain,EpisodesSoFar,AttNC,meankl,TimestepsSoFar,TimeElapsed,entloss,entropy,MtR,AttC,optimgain,Fce
38.36585365853659,0.0043939245,18498,0.975609756097561,0.00666563,4239897,13291.858888864517,0.0,-0.2174687,22.023747205422488,0.024390243902439025,0.0043939245,0.15957723577235775
37.18604651162791,0.005526282,18541,0.9069767441860465,0.007784134,4249941,13322.566236257553,0.0,-0.21208237,21.541234324509155,0.09302325581395349,0.005526282,0.16194224868684204
38.11904761904762,0.0052068327,18583,0.9523809523809523,0.009576903,4259999,13353.08449935913,0.0,-0.2420132,21.8084462476165,0.047619047619047616,0.0052068327,0.15854249001187773
36.71111111111111,0.0036142794,18628,0.8666666666666667,0.007177666,4269921,13383.845074653625,0.0,-0.21708825,20.959880060214225,0.13333333333333333,0.0036142794,0.1588427169017886
34.15909090909091,0.0045089973,18672,0.8863636363636364,0.008386395,4279764,13414.64730834961,0.0,-0.24097168,19.444168977508,0.11363636363636363,0.0045089973,0.15166655266074994
35.30232558139535,0.0053879763,18715,0.9302325581395349,0.009791603,4289823,13445.558429479599,0.0,-0.2819963,20.285184600843966,0.06976744186046512,0.0053879763,0.14931663685152058
37.73170731707317,0.003384584,18756,0.975609756097561,0.008912808,4299836,13476.532538890839,0.0,-0.2904361,21.76179842567583,0.024390243902439025,0.003384584,0.1562626641651032
34.68181818181818,0.004573751,18800,0.9090909090909091,0.00801295,4309932,13507.79299235344,0.0,-0.27089503,19.941331114912888,0.09090909090909091,0.004573751,0.14953043179177483
36.357142857142854,0.005111142,18842,0.9285714285714286,0.0070658135,4319765,13538.948702812195,0.0,-0.2592667,20.641852033134473,0.07142857142857142,0.005111142,0.16092512741773826
35.348837209302324,0.0056947162,18885,0.9069767441860465,0.008281851,4329811,13569.578927278519,0.0,-0.26979208,20.485016936239152,0.09302325581395349,0.0056947162,0.14845638547471324
35.604651162790695,0.005297113,18928,0.9069767441860465,0.007080574,4339877,13600.859493255615,0.0,-0.24384035,20.45851131071088,0.09302325581395349,0.005297113,0.15448206703826017
39.55,0.004879327,18968,1.0,0.009811623,4349877,13631.25696015358,0.0,-0.2343498,22.51100817524094,0.0,0.004879327,0.15819999999999998
36.97560975609756,0.0062128967,19009,0.975609756097561,0.0074092834,4359902,13661.582092523575,0.0,-0.2343124,21.174110671340316,0.024390243902439025,0.0062128967,0.15141463414634146
39.35,0.0048347404,19049,1.0,0.007879141,4369902,13692.107203245163,0.0,-0.24327077,22.140796355422264,0.0,0.0048347404,0.1574
38.30952380952381,0.006429286,19091,0.9285714285714286,0.008331461,4379845,13722.874672412872,0.0,-0.27199885,21.749411527683623,0.07142857142857142,0.006429286,0.16477238550922757
39.69047619047619,0.0041557914,19133,0.9523809523809523,0.008165045,4389941,13754.13571190834,0.0,-0.25503424,22.782184878012757,0.047619047619047616,0.0041557914,0.1676938623550686
33.36363636363637,0.005070378,19177,0.8863636363636364,0.0052569145,4399858,13784.801577329636,0.0,-0.2442614,18.799830031138807,0.11363636363636363,0.005070378,0.14751274781431656
37.904761904761905,0.004282263,19219,0.9523809523809523,0.0071217855,4409876,13815.863428592682,0.0,-0.25686616,21.515749630596368,0.047619047619047616,0.004282263,0.15553501400560224
38.627906976744185,0.0051191277,19262,0.9302325581395349,0.007556595,4419987,13846.724869966507,0.0,-0.243997,22.26106671204097,0.06976744186046512,0.0051191277,0.1699857917613226
39.41463414634146,0.00547473,19303,0.975609756097561,0.0062332465,4429994,13877.808505773544,0.0,-0.24109495,22.517802554282436,0.024390243902439025,0.00547473,0.1610452961672474
38.05,0.0043304428,19343,0.975,0.006709615,4439753,13909.043980836868,0.0,-0.21946712,21.780990094002398,0.025,0.0043304428,0.15487777777777778
37.857142857142854,0.0044982363,19385,0.9523809523809523,0.008408988,4449799,13939.883552074432,0.0,-0.24046975,21.767860087284188,0.047619047619047616,0.0044982363,0.16277931387608802
34.82608695652174,0.008405116,19431,0.8695652173913043,0.008261778,4459983,13971.013364553452,0.0,-0.28122497,19.9566508949556,0.13043478260869565,0.008405116,0.15851940816123483
38.951219512195124,0.0046575037,19472,0.9512195121951219,0.0072651566,4469783,14001.763392686844,0.0,-0.26230007,21.977113553914876,0.04878048780487805,0.0046575037,0.1673124274099884
38.595238095238095,0.0034412688,19514,0.9523809523809523,0.006917731,4479865,14032.787096977234,0.0,-0.25070187,21.96334637609843,0.047619047619047616,0.0034412688,0.15931996658312447
39.4,0.0048860437,19554,1.0,0.007333111,4489865,14063.490944385529,0.0,-0.2523205,22.40737887022117,0.0,0.0048860437,0.15760000000000002
37.5,0.0048448606,19596,0.9523809523809523,0.0089324415,4499885,14094.38349866867,0.0,-0.24642795,21.799086153400772,0.047619047619047616,0.0048448606,0.1546315789473684
38.8,0.0032960393,19636,1.0,0.0064181574,4509885,14125.440080881119,0.0,-0.19687639,22.279469996485695,0.0,0.0032960393,0.15520000000000003
38.65,0.0045410185,19676,1.0,0.008679135,4519885,14156.035546064377,0.0,-0.20550725,21.902375712598964,0.0,0.0045410185,0.15460000000000002
38.46341463414634,0.0064919954,19717,0.975609756097561,0.008149115,4529886,14187.793842792511,0.0,-0.19525307,21.479174367915164,0.024390243902439025,0.0064919954,0.15385365853658536
36.69767441860465,0.0050699324,19760,0.9302325581395349,0.007414226,4539925,14218.208640098572,0.0,-0.18898165,20.989527804577737,0.06976744186046512,0.0050699324,0.156296477628179
38.476190476190474,0.0057146302,19802,0.9523809523809523,0.00815415,4549957,14248.904238462448,0.0,-0.1964584,21.91004284796512,0.047619047619047616,0.0057146302,0.1565960061443932
35.906976744186046,0.0059104576,19845,0.9302325581395349,0.008085641,4559992,14279.430737018585,0.0,-0.21551551,20.543362543513958,0.06976744186046512,0.0059104576,0.15539336116080302
37.58536585365854,0.0030960194,19886,0.9512195121951219,0.0054322314,4569778,14310.180704116821,0.0,-0.23551443,21.058253795626108,0.04878048780487805,0.0030960194,0.15273867595818816
37.904761904761905,0.004949723,19928,0.9523809523809523,0.0084104845,4579806,14341.58881521225,0.0,-0.23847798,21.441291906038902,0.047619047619047616,0.004949723,0.16134693877551023
37.92857142857143,0.005129776,19970,0.9523809523809523,0.0073047113,4589842,14372.090651273727,0.0,-0.23220836,21.722343448070173,0.047619047619047616,0.005129776,0.161229650480882
