TimeElapsed,AttNC,entropy,TimestepsSoFar,entloss,AttC,meankl,TtR,Fce,MtR,optimgain,surrgain,EpisodesSoFar
12904.082137346268,1.3404255319148937,2.0757082,2559981,0.0,1.6595744680851063,0.003289361,84.95744680851064,0.11495652173913046,16.300866120587795,6.748797e-05,6.748797e-05,12798
12953.404693603516,1.2291666666666667,2.0804508,2569780,0.0,1.7708333333333333,0.0022361327,84.0625,0.15867982456140348,16.127799267698308,5.9717306e-05,5.9717306e-05,12846
13005.21459388733,1.3404255319148937,2.1292427,2579835,0.0,1.6595744680851063,0.0043797726,88.46808510638297,0.13313475177304962,16.971740138279326,0.0001797456,0.0001797456,12893
13058.6514544487,1.4285714285714286,2.1248856,2589866,0.0,1.5714285714285714,0.001910469,84.18367346938776,0.15417687074829933,16.311190230571185,2.3424276e-05,2.3424276e-05,12942
13107.665534257889,1.4081632653061225,2.1383073,2599905,0.0,1.5918367346938775,0.0061851386,85.59183673469387,0.16079818594104306,16.310052611571713,0.00020603713,0.00020603713,12991
13154.997241020203,0.8771929824561403,2.114868,2609775,0.0,2.1228070175438596,0.004715271,74.0,0.14280824692724006,14.295166871284898,0.00024957556,0.00024957556,13048
13208.746786355972,0.8771929824561403,2.0858395,2619759,0.0,2.1228070175438596,0.0030325854,77.47368421052632,0.15144791973664945,15.000861473442852,0.00020037689,0.00020037689,13105
13260.51541686058,0.6428571428571429,2.080688,2629910,0.0,2.357142857142857,0.0065243775,67.11428571428571,0.13234589457549445,13.307226228488698,7.724406e-05,7.724406e-05,13175
13311.059658288956,1.0,2.0494366,2639825,0.0,2.0,0.002955941,74.625,0.11845240561152434,14.297381713058483,9.0521244e-05,9.0521244e-05,13231
13359.284251213074,1.5,2.0563662,2649855,0.0,1.5,0.011552476,90.47727272727273,0.15070129870129867,17.3236548721822,0.0010489853,0.0010489853,13275
13406.808221817017,1.4081632653061225,2.0267587,2659886,0.0,1.5918367346938775,0.001392897,81.24489795918367,0.134044703595724,15.448099438719204,3.4828696e-05,3.4828696e-05,13324
13462.18822813034,1.22,2.041992,2669910,0.0,1.78,0.004909476,82.5,0.13650666666666667,15.545765278137772,0.0002251447,0.0002251447,13374
13512.56301021576,1.3,2.0488286,2680000,0.0,1.7,0.0052226256,83.58,0.12285889558717145,15.923916483375628,0.00032264812,0.00032264812,13424
13559.181211233139,0.9464285714285714,2.0444074,2689944,0.0,2.0535714285714284,0.006593218,79.39285714285714,0.15757157310923103,15.379198176534421,0.0002551178,0.0002551178,13480
13607.687801122665,1.2666666666666666,2.0445306,2699754,0.0,1.7333333333333334,0.0056288796,90.8,0.12298628841607566,17.63315485922705,0.00018614756,0.00018614756,13525
13663.116264343262,1.18,2.0249102,2709832,0.0,1.82,0.0019453642,81.78,0.14408556776556777,15.704193266491036,0.00014223174,0.00014223174,13575
13717.24700641632,1.4545454545454546,2.030395,2719848,0.0,1.5454545454545454,0.007301462,90.27272727272727,0.12431404958677689,17.40245863279952,8.810832e-05,8.810832e-05,13619
13766.50696849823,1.2826086956521738,2.036253,2729892,0.0,1.7173913043478262,0.007696453,93.58695652173913,0.13439061421670118,17.890769272428717,0.0005143903,0.0005143903,13665
13815.71096253395,1.3584905660377358,2.0057623,2739973,0.0,1.6415094339622642,0.0048342287,75.28301886792453,0.1513123689727463,14.36697828827262,8.150406e-05,8.150406e-05,13718
13869.995978832245,1.2641509433962264,1.9278485,2749807,0.0,1.7358490566037736,0.00685864,73.9245283018868,0.12456641890604155,14.077637135098362,0.00012845764,0.00012845764,13771
13920.340409517288,1.574468085106383,1.9319794,2759866,0.0,1.425531914893617,0.00010303615,84.76595744680851,0.12368867066739409,16.037675615286886,4.5920817e-05,4.5920817e-05,13818
13967.20270705223,1.375,2.0295472,2769906,0.0,1.625,0.008933174,82.6875,0.1117692307692308,15.698926592827638,0.00010237325,0.00010237325,13866
14014.956341028214,1.565217391304348,1.9319794,2779954,0.0,1.434782608695652,0.010174845,85.8913043478261,0.11777338603425562,16.45685100932903,7.0302325e-05,7.0302325e-05,13912
14068.922003746033,1.7209302325581395,2.0295472,2789965,0.0,1.2790697674418605,0.008933174,92.72093023255815,0.12362790697674422,17.759629916281607,0.00012403031,0.00012403031,13955
14117.349859952927,1.6097560975609757,2.1271675,2799972,0.0,1.3902439024390243,0.008933174,94.97560975609755,0.13002090592334495,18.08739020510564,0.00010803578,0.00010803578,13996
14167.657764911652,1.2826086956521738,2.2247343,2809763,0.0,1.7173913043478262,0.008933095,82.56521739130434,0.14841043014956054,15.919991318859395,0.00010540695,0.00010540695,14042
14214.582966566086,1.24,2.322352,2819801,0.0,1.76,0.008933181,77.04,0.11144888888888889,14.807937946820575,4.016571e-05,4.016571e-05,14092
14264.796620130539,1.2448979591836735,2.2247338,2829860,0.0,1.7551020408163265,0.010174845,86.26530612244898,0.15205298961689942,16.636333699809573,2.5856654e-05,2.5856654e-05,14141
14314.051455020905,1.320754716981132,2.3222942,2839945,0.0,1.679245283018868,0.008933174,76.01886792452831,0.12904238446814326,14.522498721449013,3.5533525e-05,3.5533525e-05,14194
14363.580605268478,1.2666666666666666,2.4199214,2849964,0.0,1.7333333333333334,0.008933038,90.8,0.12106666666666667,17.399048669918812,1.0661316e-05,1.0661316e-05,14239
14411.264227867126,1.2115384615384615,2.517497,2859833,0.0,1.7884615384615385,0.008933181,78.40384615384616,0.17660075631283056,15.354261476246108,1.5663147e-05,1.5663147e-05,14291
14462.49208021164,1.1636363636363636,2.6150875,2869926,0.0,1.8363636363636364,0.008933174,79.74545454545455,0.116978811087902,15.45500137045543,5.0091297e-05,5.0091297e-05,14346
14511.134853839874,1.0172413793103448,2.712665,2879807,0.0,1.9827586206896552,0.00893264,70.86206896551724,0.1485292102533482,13.640428235931566,6.9249472e-06,6.9249472e-06,14404
14559.369131803513,1.1666666666666667,2.8102834,2889837,0.0,1.8333333333333333,0.0089312745,89.5625,0.1292857142857143,17.12382913381809,1.3488769e-06,1.3488769e-06,14452
14607.672860860825,1.125,2.9078689,2899921,0.0,1.875,0.008933075,77.14285714285714,0.1443688750862664,14.685958021275864,5.0437925e-06,5.0437925e-06,14508
14660.288990974426,0.9827586206896551,2.8102834,2909862,0.0,2.0172413793103448,0.010174852,68.94827586206897,0.1407776051913983,13.43212981774016,1.5282187e-05,1.5282187e-05,14566
