EpisodesSoFar,AttC,AttNC,MtR,MpbtN,TimeElapsed,Ptt,TtR,meankl,Tmc,optimgain,TimestepsSoFar,entropy,Tmt,entloss,MpbtA,surrgain,Tbt
690,3.0,0.0,-71.10992041820627,94.7923667994656,1600.6534070968628,78.075248545393,-228.09565217391304,0.009361341,23.771014492753622,0.009264487,10000,0.68339854,80.22173913043478,0.0,5.207633200534325,0.009264487,328588.2434782609
1275,3.0,0.0,-69.84985761066258,93.86068256074019,2959.2403194904327,78.41751041935028,-226.8820512820513,0.009317114,23.405128205128204,0.0068207216,19990,0.65639436,80.59316239316239,0.0,6.139317439259782,0.0068207216,330109.59316239314
1770,3.0,0.0,-68.27978501872748,92.87463609123981,4058.460412502289,78.61853414296864,-225.0909090909091,0.010702707,23.187878787878788,0.009008608,29985,0.6110161,80.80606060606061,0.0,7.125363908760122,0.009008608,330981.62424242427
2168,3.0,0.0,-66.36655647188756,91.63920813258832,4960.071921110153,79.22967951565475,-223.86180904522612,0.008080357,22.530150753768844,0.007866571,39983,0.5630216,81.45477386934674,0.0,8.360791867411722,0.007866571,333638.75376884424
2465,3.0,0.0,-63.015234672843,89.9094225958029,5633.690485239029,79.51994388051105,-220.46464646464648,0.009883317,22.218855218855218,0.010609359,49960,0.506299,81.76430976430976,0.0,10.090577404197102,0.010609359,334906.61279461277
2648,3.0,0.0,-56.01958640612957,87.04839220888043,6060.559599876404,79.39630347898206,-213.0655737704918,0.0077025085,22.349726775956285,0.00858881,59993,0.45646343,81.62841530054645,0.0,12.951607791119642,0.00858881,334349.98907103826
2760,3.0,0.0,-48.14078813071269,83.34600522642766,6330.598005056381,78.88625710670729,-202.84821428571428,0.006996695,22.901785714285715,0.007779816,69990,0.42170408,81.08928571428571,0.0,16.653994773572347,0.007779816,332141.71428571426
2824,2.859375,0.140625,-38.209209073082796,76.9664013275148,6494.202604293823,77.60176335209664,-184.21875,0.002605343,24.28125,0.004402096,79886,0.4249655,79.71875,0.0,23.033598672485198,0.004402096,326528.0
2889,2.8615384615384616,0.13846153846153847,-37.74650903062078,76.45854479783131,6656.5409719944,78.2538566964782,-184.47692307692307,0.0044811885,23.584615384615386,0.005170882,89790,0.37985012,80.41538461538461,0.0,23.541455202168667,0.005170882,329381.41538461536
2941,2.5576923076923075,0.4423076923076923,-34.467115147517376,71.34833815849404,6790.543456792831,77.36365868584973,-170.3653846153846,0.0040415125,24.53846153846154,0.0051158946,99846,0.36778122,79.4423076923077,0.0,28.651661841505934,0.0051158946,325395.6923076923
2985,2.227272727272727,0.7727272727272727,-31.619058176369403,68.18867281423418,6908.9647653102875,77.2306712848363,-162.3409090909091,0.0032365546,24.681818181818183,0.0051648696,109933,0.3654745,79.31818181818181,0.0,31.81132718576583,0.0051648696,324887.2727272727
3026,1.951219512195122,1.048780487804878,-31.24680431187592,68.90427563099732,7024.368820428848,77.05127119236562,-163.609756097561,0.0022384464,24.878048780487806,0.003595587,119859,0.36435062,79.1219512195122,0.0,31.095724369002653,0.003595587,324083.51219512196
