Tbt,Tmc,AttNC,AttC,EpisodesSoFar,TimestepsSoFar,Ptt,surrgain,optimgain,TimeElapsed,meankl,Tmt,MpbtA,MpbtN,TtR,MtR,entropy,entloss
345825.8274605103,19.434993924665857,0.0,1.0,823,9993,82.08680186260433,0.027542109,0.027542109,2098.7452533245087,0.009090436,84.43013365735115,4.931833378405194,95.06816662159453,-80.26123936816525,-75.96802153071847,0.6842405,0.0
345620.1465400271,19.48032564450475,0.0,1.0,1560,19985,82.04402458374254,0.015658932,0.015658932,3935.840512275696,0.008601222,84.3799185888738,4.8245893886405495,95.17541061135921,-80.30529172320217,-75.49638793026685,0.65930784,0.0
345435.8349206349,19.50793650793651,0.0,1.0,2190,30000,82.01502342288293,0.02011781,0.02011781,5540.273578643799,0.009285019,84.33492063492064,4.6345287621907705,95.3654712378089,-80.42063492063492,-74.78298382675992,0.61560774,0.0
344816.48484848486,19.672348484848484,0.0,1.0,2718,39993,81.8645275535655,0.024575867,0.024575867,6894.1038427352905,0.009766295,84.18371212121212,4.557864962167609,95.44213503783216,-80.34469696969697,-73.68369651921824,0.555941,0.0
344662.17821782175,19.72772277227723,0.0,1.0,3122,49992,81.81567817802213,0.025366144,0.025366144,7916.8380744457245,0.009641758,84.14603960396039,4.680734675922278,95.3192653240777,-80.20049504950495,-71.72469646061411,0.481423,0.0
344684.1690140845,19.68661971830986,0.0,1.0,3406,59991,81.84837408450046,0.02513115,0.02513115,8645.703502178192,0.009430514,84.15140845070422,5.18203605478762,94.81796394521243,-79.78873239436619,-68.35360715177576,0.40556273,0.0
343853.9487179487,19.95897435897436,0.0,1.0,3601,69881,81.60681740347687,0.023677502,0.023677502,9147.228471040726,0.008998857,83.94871794871794,6.099525271597326,93.9004747284027,-78.81538461538462,-63.78723102218714,0.3245792,0.0
343997.39837398374,19.910569105691057,0.024390243902439025,0.975609756097561,3724,79895,81.6508281220608,0.01588019,0.01588019,9466.889431715012,0.008711185,83.98373983739837,7.684602716562343,92.31539728343769,-77.52845528455285,-56.97198586512003,0.26530626,0.0
342545.2584269663,20.280898876404493,0.011235955056179775,0.9887640449438202,3813,89925,81.30799346079756,0.014295453,0.014295453,9707.338930368423,0.008345877,83.62921348314607,8.022591801862967,91.97740819813704,-76.92134831460675,-51.52858128782026,0.19793874,0.0
341788.44444444444,20.428571428571427,0.047619047619047616,0.9523809523809523,3876,99869,81.16425953472118,0.008075781,0.008075781,9882.346461772919,0.007731181,83.44444444444444,8.323219500385473,91.67678049961454,-76.5079365079365,-46.54767184425177,0.15695608,0.0
342283.1304347826,20.304347826086957,0.2608695652173913,0.7391304347826086,3922,109790,81.28107198447286,0.0048149736,0.0048149736,10011.880562543869,0.0056000226,83.56521739130434,9.15402354100268,90.84597645899733,-75.93478260869566,-43.49237816294996,0.15040746,0.0
342365.65853658534,20.341463414634145,0.5365853658536586,0.4634146341463415,3963,119800,81.25617847330331,0.0051308046,0.0051308046,10130.2733669281,0.0055581992,83.58536585365853,9.76122817352782,90.23877182647217,-75.4390243902439,-42.51785740247997,0.14895093,0.0
345392.4324324324,19.56756756756757,0.8918918918918919,0.10810810810810811,4000,129933,81.97031090952714,0.005855731,0.005855731,10238.076234817505,0.0070029646,84.32432432432432,8.795283007286642,91.20471699271336,-76.94594594594595,-42.589952071781376,0.23101133,0.0
343848.4210526316,19.94736842105263,0.8157894736842105,0.18421052631578946,4038,139847,81.61879434580801,0.008224528,0.008224528,10348.305179357529,0.0072125597,83.94736842105263,11.914249009949542,88.08575099005046,-73.97368421052632,-42.068964162421686,0.2881634,0.0
337670.243902439,21.51219512195122,0.6341463414634146,0.36585365853658536,4079,149853,80.17285102865499,0.004861307,0.004861307,10467.070177793503,0.0053357612,82.4390243902439,13.94095535199834,86.05904464800167,-70.95121951219512,-40.05724946609475,0.21153702,0.0
338639.5675675676,21.27027027027027,0.6486486486486487,0.35135135135135137,4116,159812,80.39517459844448,0.0043250443,0.0043250443,10578.72943162918,0.003479498,82.67567567567568,13.399488565478753,86.60051143452121,-71.62162162162163,-39.28578498040533,0.21135014,0.0
341296.4324324324,20.56756756756757,0.8378378378378378,0.16216216216216217,4153,169852,81.04147842478801,0.00575672,0.00575672,10685.871965646744,0.0040587513,83.32432432432432,11.95401779601406,88.04598220398591,-73.37837837837837,-40.563255226959704,0.23280078,0.0
341674.6666666667,20.555555555555557,0.8888888888888888,0.1111111111111111,4189,179846,81.0637852970969,0.0038046294,0.0038046294,10793.580335617065,0.0035224217,83.41666666666667,13.103743304239469,86.89625669576053,-72.47222222222223,-39.61024205412873,0.21183586,0.0
342357.3333333333,20.27777777777778,0.8333333333333334,0.16666666666666666,4225,189834,81.30457315480201,0.0048781913,0.0048781913,10901.148849964142,0.0043187025,83.58333333333333,12.496629006155977,87.50337099384403,-73.13888888888889,-39.68670800197963,0.23438066,0.0
340410.8108108108,20.756756756756758,0.7837837837837838,0.21621621621621623,4262,199744,80.86092657919865,0.005215112,0.005215112,11012.098289012909,0.0039262297,83.10810810810811,12.65269637731986,87.34730362268014,-72.62162162162163,-40.28514527790239,0.24534634,0.0
339860.2105263158,20.94736842105263,0.7631578947368421,0.23684210526315788,4300,209953,80.69202045335352,0.005394884,0.005394884,11123.302770137787,0.00351215,82.97368421052632,13.991841209879107,86.0081587901209,-71.36842105263158,-39.7393356543754,0.23875776,0.0
339626.6666666667,21.02777777777778,0.8333333333333334,0.16666666666666666,4336,219766,80.620115644887,0.0057565277,0.0057565277,11234.873110055923,0.004529425,82.91666666666667,14.818311962239205,85.1816880377608,-70.63888888888889,-39.511482067079015,0.2659035,0.0
