entloss,EpisodesSoFar,AttNC,TimeElapsed,Fce,TtR,MtR,optimgain,meankl,surrgain,entropy,TimestepsSoFar,AttC
0.0,40,2.9,73.68372178077698,0.17238095238095236,427.5,24.58686916056713,0.00012590286,0.0058047334,0.00012590286,1.4273813,9855,7.1
0.0,96,1.9821428571428572,148.4593756198883,0.19681776759573186,393.92857142857144,23.644744577207046,0.0008053613,0.0031751618,0.0008053613,1.4296743,19968,8.017857142857142
0.0,139,3.441860465116279,219.61194324493408,0.19122942847513125,460.93023255813955,26.995118102395296,0.00031874236,0.0045684422,0.00031874236,1.4388951,29844,6.558139534883721
0.0,204,1.9384615384615385,290.8105022907257,0.19898416686876874,354.15384615384613,21.354980654350864,0.0013010766,0.002362475,0.0013010766,1.438923,39751,8.061538461538461
0.0,259,2.2,363.5333297252655,0.2029821195599712,394.54545454545456,23.674752768190242,0.0005003552,0.006160915,0.0005003552,1.4305288,49784,7.8
0.0,325,2.4242424242424243,433.41386795043945,0.23334197878757618,438.93939393939394,26.75196642653595,0.0020241556,0.0029546993,0.0020241556,1.4230984,59900,7.575757575757576
0.0,404,2.3544303797468356,504.29903960227966,0.23746547978652385,404.0506329113924,25.49179283059499,0.0014694098,0.002134728,0.0014694098,1.4026012,69965,7.6455696202531644
0.0,471,3.7611940298507465,574.5040969848633,0.31011943268556796,602.2388059701492,36.250526850731504,0.00090542546,0.003697866,0.00090542546,1.3619266,79934,6.2388059701492535
0.0,543,3.875,645.8755941390991,0.2837001298548226,545.0,32.60384296119566,0.0007230066,0.0048934286,0.0007230066,1.3303788,89896,6.125
0.0,615,3.9166666666666665,717.0701491832733,0.3239313644211901,615.0,36.857964794770645,0.00072123046,0.004347449,0.00072123046,1.2807654,99770,6.083333333333333
0.0,691,4.197368421052632,787.7752976417542,0.33894121567415186,621.3157894736842,37.110227536489305,0.001045334,0.0075271856,0.001045334,1.232116,109874,5.802631578947368
0.0,746,6.654545454545454,859.7237255573273,0.4687827518466628,1032.1818181818182,60.28988486861914,0.0008104678,0.0050059725,0.0008104678,1.2022665,119993,3.3454545454545452
0.0,799,6.716981132075472,930.4536046981812,0.5100619796230366,1155.2830188679245,67.3393305351846,0.0006153881,0.005690161,0.0006153881,1.1383067,129827,3.2830188679245285
0.0,856,6.684210526315789,1001.6415121555328,0.5535314864242828,1213.859649122807,70.1535810135924,0.00050172623,0.0028235926,0.00050172623,1.1064454,139923,3.3157894736842106
0.0,908,7.384615384615385,1075.6824033260345,0.580235487068611,1341.7307692307693,77.60624702781426,0.000878303,0.008316585,0.000878303,1.0544424,149938,2.6153846153846154
0.0,956,8.041666666666666,1146.7837200164795,0.6652559474241218,1565.2083333333333,89.88090416480496,0.0008567514,0.006596345,0.0008567514,1.0078126,159879,1.9583333333333333
0.0,999,9.232558139534884,1221.8398888111115,0.7962500755058893,1946.5116279069769,111.5449890127738,0.0005219706,0.0049728947,0.0005219706,0.9795686,169966,0.7674418604651163
0.0,1048,7.959183673469388,1293.3596396446228,0.7521394626082123,1780.0,102.11406235725498,0.0008644939,0.0058313916,0.0008644939,0.91296357,179878,2.0408163265306123
0.0,1097,7.959183673469388,1367.1219539642334,0.7662480264833211,1815.9183673469388,104.01074967250733,0.00051971147,0.0029147035,0.00051971147,0.91347295,189754,2.0408163265306123
0.0,1147,8.0,1437.9388813972473,0.7622040209066295,1779.4,102.22979074263692,0.00043129624,0.0024497376,0.00043129624,0.8973375,199892,2.0
0.0,1198,7.647058823529412,1510.1552956104279,0.7494468418499469,1741.5686274509803,100.10598775845592,0.0007293116,0.004403651,0.0007293116,0.8609575,209842,2.3529411764705883
0.0,1243,8.866666666666667,1582.4674825668335,0.8541566223250435,2062.6666666666665,118.02537521297079,0.00051557197,0.002603092,0.00051557197,0.8873245,219901,1.1333333333333333
0.0,1286,9.069767441860465,1653.013909816742,0.8403637674746383,2044.6511627906978,117.35334630702398,0.000509982,0.002841145,0.000509982,0.86577797,229755,0.9302325581395349
0.0,1334,8.333333333333334,1724.934564113617,0.7847378423492645,1882.2916666666667,107.73301545550542,0.0005655539,0.002901885,0.0005655539,0.8356743,239895,1.6666666666666667
0.0,1375,9.682926829268293,1795.1066064834595,0.9099512195121948,2266.0975609756097,129.75092863067758,0.0005185366,0.002507126,0.0005185366,0.8237305,249920,0.3170731707317073
0.0,1418,9.232558139534884,1864.612773656845,0.9046136270909833,2210.6976744186045,126.51428104445766,0.00024030602,0.00096466567,0.00024030602,0.8502417,259981,0.7674418604651163
0.0,1460,9.285714285714286,1933.2175705432892,0.8994348508634223,2207.3809523809523,126.2365336176108,0.00039442987,0.00208291,0.00039442987,0.82532346,269772,0.7142857142857143
0.0,1502,9.452380952380953,2001.9450132846832,0.9316477214541731,2284.285714285714,130.55688079936544,0.0002914948,0.0037286305,0.0002914948,0.77794796,279806,0.5476190476190477
0.0,1547,8.88888888888889,2069.2347717285156,0.8949924200958683,2174.222222222222,124.43883543203309,0.00021495348,0.0054489435,0.00021495348,0.7117986,289865,1.1111111111111112
0.0,1587,9.95,2137.1611845493317,0.9830000000000003,2457.5,140.37976416108467,0.00046978417,0.008551056,0.00046978417,0.6228317,299865,0.05
0.0,1628,9.75609756097561,2204.118401527405,0.9754688346883468,2425.609756097561,138.60767939823614,0.0002674602,0.010137107,0.0002674602,0.5254189,309874,0.24390243902439024
0.0,1669,9.75609756097561,2274.303697347641,0.9823646922183508,2434.6341463414633,139.27594147210834,0.00035975457,0.010071055,0.00035975457,0.42831406,319895,0.24390243902439024
