EpisodesSoFar,TimeElapsed,MtR,Fce,AttNC,entropy,meankl,AttC,optimgain,surrgain,TtR,entloss,TimestepsSoFar
155,38.96618843078613,5.767838340154598,0.09870192364123406,0.23225806451612904,1.4134966,0.007535336,0.7677419354838709,0.0017458618,0.0017458618,9.535483870967742,0.0,9849
239,74.28592443466187,9.469478692285682,0.1082668178382464,0.4642857142857143,1.4185324,0.0015611872,0.5357142857142857,0.00080020755,0.00080020755,16.30952380952381,0.0,19784
324,107.5771005153656,10.207909145925173,0.13541591438386572,0.4588235294117647,1.3938131,0.0058548083,0.5411764705882353,0.0011403406,0.0011403406,17.58823529411765,0.0,29856
397,147.08332180976868,11.431290440494394,0.09590418969798925,0.547945205479452,1.3715639,0.0072152894,0.4520547945205479,0.0019355804,0.0019355804,19.78082191780822,0.0,39985
463,182.53482151031494,11.625048258813248,0.10552548036758563,0.5909090909090909,1.3256083,0.0048740976,0.4090909090909091,0.0013187012,0.0013187012,20.181818181818183,0.0,49834
529,218.25343203544617,11.360206349213158,0.08656259565350477,0.6060606060606061,1.307927,0.0038567737,0.3939393939393939,0.0006514389,0.0006514389,19.757575757575758,0.0,59920
583,255.69299292564392,13.257233386460145,0.1188728928263812,0.7407407407407407,1.2682338,0.0028350444,0.25925925925925924,0.00029984437,0.00029984437,23.11111111111111,0.0,69990
640,291.0523693561554,11.314694892891012,0.07950877192982458,0.6842105263157895,1.18036,0.008327124,0.3157894736842105,0.0010825868,0.0010825868,19.87719298245614,0.0,79772
700,326.52236676216125,12.211070869291095,0.09133737373737372,0.6666666666666666,1.2745359,0.008364398,0.3333333333333333,0.0007767868,0.0007767868,21.1,0.0,89818
756,362.28775572776794,12.431027434710677,0.09005102040816329,0.7142857142857143,1.1852413,0.008523348,0.2857142857142857,0.00053075864,0.00053075864,21.892857142857142,0.0,99860
818,397.8472101688385,10.946613825784098,0.1100583717357911,0.6451612903225806,1.1894535,0.002682574,0.3548387096774194,0.0002757431,0.0002757431,19.338709677419356,0.0,109912
871,433.65604758262634,13.663846296485238,0.09954716981132078,0.7547169811320755,1.2183267,0.014574603,0.24528301886792453,0.0010515854,0.0010515854,23.962264150943398,0.0,119931
936,469.4800090789795,11.572438371823301,0.11749743589743589,0.6,1.2062417,0.0013572726,0.4,0.0007916565,0.0007916565,20.50769230769231,0.0,129761
997,506.19416761398315,11.938547550492416,0.1239895302383248,0.6557377049180327,1.1759654,0.0046892995,0.3442622950819672,0.0016263475,0.0016263475,20.475409836065573,0.0,139826
1062,542.9657711982727,11.2660362472099,0.09226373626373627,0.6153846153846154,1.1561685,0.010629146,0.38461538461538464,0.0023226046,0.0023226046,19.83076923076923,0.0,149893
1129,577.4034225940704,12.195221177059475,0.08948430262480701,0.5970149253731343,1.1308812,0.0046686456,0.40298507462686567,0.0012071524,0.0012071524,21.29850746268657,0.0,159970
1184,612.5367414951324,14.32655446264418,0.11876363636363638,0.7090909090909091,1.1395267,0.0036500748,0.2909090909090909,0.0008619545,0.0008619545,24.836363636363636,0.0,169790
1256,646.2594838142395,11.395998093909947,0.10526455358923544,0.5416666666666666,1.0956236,0.0044866125,0.4583333333333333,0.0018590797,0.0018590797,19.680555555555557,0.0,179941
1327,681.4227690696716,11.849171459918354,0.10310284803369227,0.5492957746478874,1.0567437,0.0036897396,0.4507042253521127,0.0012082516,0.0012082516,20.450704225352112,0.0,189909
1393,716.6501729488373,12.202618121781438,0.09765387698721031,0.5909090909090909,1.045415,0.0016717075,0.4090909090909091,0.0008162399,0.0008162399,21.272727272727273,0.0,199802
1450,752.5835797786713,14.323838679672182,0.13100812637654743,0.7017543859649122,1.0134509,0.0031818673,0.2982456140350877,0.001549471,0.001549471,25.07017543859649,0.0,209909
1513,791.0964941978455,12.768640644057696,0.13404310139233108,0.6031746031746031,0.97552645,0.010352702,0.3968253968253968,0.0031128784,0.0031128784,22.047619047619047,0.0,219762
