AttNC,MtR,entloss,optimgain,entropy,AttC,Fce,TtR,EpisodesSoFar,TimeElapsed,TimestepsSoFar,surrgain,meankl
0.27007299270072993,6.2554693516721835,0.0,0.0014947647,1.4270664,0.7299270072992701,0.10556870257853826,10.452554744525548,137,32.28121542930603,9778,0.0014947647,0.00326843
0.3577981651376147,7.5219685037613235,0.0,0.0017519622,1.4234045,0.6422018348623854,0.0808449278278369,12.899082568807339,246,63.961997270584106,19820,0.0017519622,0.0046915575
0.4878048780487805,10.199408802147367,0.0,0.0011157105,1.4041705,0.5121951219512195,0.07441114982578395,17.75609756097561,328,95.00906276702881,29896,0.0011157105,0.0018779308
0.527027027027027,10.681115881460505,0.0,0.0010868484,1.3925159,0.47297297297297297,0.08386837766148113,18.635135135135137,402,126.30737328529358,39755,0.0010868484,0.002501394
0.4166666666666667,8.432926961969546,0.0,0.0017734665,1.3689404,0.5833333333333334,0.06842091877981171,14.78125,498,158.48535799980164,49987,0.0017734665,0.0048512286
0.6610169491525424,13.582319585709676,0.0,0.0010952926,1.3598194,0.3389830508474576,0.12231054820885329,23.338983050847457,557,189.63380551338196,59837,0.0010952926,0.0023568687
0.6153846153846154,12.460488288132037,0.0,0.001987471,1.3429749,0.38461538461538464,0.08947692307692309,21.615384615384617,622,219.88099122047424,69890,0.001987471,0.0070311707
0.5416666666666666,11.587160859215915,0.0,0.0017350387,1.3071911,0.4583333333333333,0.12677947604162437,20.15277777777778,694,252.51365733146667,79873,0.0017350387,0.004275761
0.5797101449275363,11.195501807567087,0.0,0.0015793609,1.2831227,0.42028985507246375,0.10306457403940243,19.72463768115942,763,283.82880783081055,89976,0.0015793609,0.0036351245
0.5342465753424658,10.860329592255033,0.0,0.0012791022,1.2262522,0.4657534246575342,0.08395988150277982,18.767123287671232,836,317.55851888656616,99866,0.0012791022,0.004432615
0.609375,12.148247060554151,0.0,0.0016184555,1.1908119,0.390625,0.11778018025567044,21.03125,900,351.6433935165405,109841,0.0016184555,0.004392192
0.5970149253731343,11.169306855290225,0.0,0.0021462669,1.1331832,0.40298507462686567,0.102069307143934,19.71641791044776,967,381.91392970085144,119934,0.0021462669,0.0072451322
0.7017543859649122,13.50721345885352,0.0,0.0013437996,1.1365192,0.2982456140350877,0.09340350877192985,23.350877192982455,1024,416.0121386051178,129951,0.0013437996,0.0024510545
0.625,11.436670987468561,0.0,0.0023890994,1.1204169,0.375,0.08763194444444446,20.203125,1088,448.21610283851624,139993,0.0023890994,0.0043118577
