AttC,AttNC,TtR,TimeElapsed,optimgain,EpisodesSoFar,TimestepsSoFar,Fce,MtR,entropy,meankl,surrgain,entloss
7.066666666666666,2.933333333333333,392.22222222222223,137.20600295066833,0.0007142728,45,9942,0.16804602349813463,22.489553698735758,1.4181015,0.007944896,0.0007142728,0.0
8.0,2.0,414.6938775510204,277.944180727005,0.0017073466,94,19928,0.1878947244617869,24.493230796811105,1.4169232,0.0019328314,0.0017073466,0.0
8.316666666666666,1.6833333333333333,323.8333333333333,418.5588595867157,0.0014728128,154,29996,0.1659053695397989,19.686943120556244,1.4072698,0.0040029213,0.0014728128,0.0
7.688524590163935,2.3114754098360657,389.1803278688525,555.390549659729,0.0015132087,215,39993,0.20632222776860082,23.50941225967134,1.4011794,0.004780962,0.0015132087,0.0
7.205128205128205,2.7948717948717947,389.61538461538464,689.9749143123627,0.0018721903,293,49752,0.23414466143090784,23.843713957637693,1.3899707,0.0030277772,0.0018721903,0.0
7.409638554216867,2.5903614457831323,402.7710843373494,831.7614963054657,0.0012131287,376,59933,0.2509831435575224,25.309692879959183,1.3581578,0.0025985714,0.0012131287,0.0
5.878787878787879,4.121212121212121,597.1212121212121,968.6211845874786,0.0012350656,442,69799,0.3207173225641961,36.48290369441419,1.341785,0.0031016045,0.0012350656,0.0
7.382022471910112,2.6179775280898876,398.87640449438203,1108.0002481937408,0.0013893433,531,79962,0.25943284253989396,25.032682149500836,1.3232913,0.006150359,0.0013893433,0.0
5.957142857142857,4.042857142857143,600.0,1252.0130960941315,0.0012349812,601,89913,0.3196028774882792,36.32236091179768,1.2980499,0.0019675272,0.0012349812,0.0
5.9324324324324325,4.0675675675675675,573.2432432432432,1403.4465472698212,0.0011444655,675,99815,0.31894613379268666,34.4932786654233,1.2787592,0.0039149085,0.0011444655,0.0
4.409836065573771,5.590163934426229,800.983606557377,1548.5344233512878,0.0012071935,736,109890,0.38210846814777744,47.4422267194888,1.2582997,0.0061785183,0.0012071935,0.0
3.6206896551724137,6.379310344827586,1019.6551724137931,1677.2473812103271,0.0009842116,794,119954,0.4577519220248863,59.39170255734536,1.2318084,0.0034113566,0.0009842116,0.0
3.896551724137931,6.103448275862069,1027.0689655172414,1811.874139547348,0.0010160865,852,129753,0.47277366524582315,59.79478724878557,1.2171475,0.0013851321,0.0010160865,0.0
2.6666666666666665,7.333333333333333,1250.3921568627452,1948.4899578094482,0.0010981229,903,139952,0.5409672274681168,72.74583156001961,1.1964754,0.0039696605,0.0010981229,0.0
4.426229508196721,5.573770491803279,1055.2459016393443,2082.3537652492523,0.0010554052,964,149945,0.5086003913449695,61.9265041987667,1.1729169,0.001439007,0.0010554052,0.0
3.240740740740741,6.7592592592592595,1254.8148148148148,2214.778111934662,0.00072901795,1018,159838,0.5579609459515344,72.64919888481779,1.1592407,0.0009298666,0.00072901795,0.0
3.1481481481481484,6.851851851851852,1302.037037037037,2347.10937666893,0.0009946886,1072,169836,0.5681688702441839,75.11303984368311,1.1286445,0.0035503327,0.0009946886,0.0
2.6153846153846154,7.384615384615385,1503.2692307692307,2488.6689453125,0.0011643243,1124,179961,0.6559596976462218,86.61026437825687,1.1008309,0.0033048154,0.0011643243,0.0
2.5,7.5,1581.5384615384614,2609.7116384506226,0.00065800856,1176,189936,0.6834014246622944,90.92514988243413,1.092238,0.0010772359,0.00065800856,0.0
2.26,7.74,1705.4,2748.4082136154175,0.00041956786,1226,199983,0.7403618544021228,97.83106341601695,1.0739597,0.000848369,0.00041956786,0.0
2.392156862745098,7.607843137254902,1724.5098039215686,2872.63002204895,0.00040753666,1277,209967,0.730829957283356,98.8376359616163,1.0266722,0.003147845,0.00040753666,0.0
2.24,7.76,1799.0,3013.489308834076,9.816063e-05,1327,219860,0.7480112215420539,103.2876215933975,0.9970715,0.0013902087,9.816063e-05,0.0
1.7083333333333333,8.291666666666666,1964.5833333333333,3143.568958759308,0.00034972368,1375,229992,0.8196804943257843,112.5485250268884,0.9566247,0.0070480695,0.00034972368,0.0
0.8095238095238095,9.19047619047619,2093.5714285714284,3270.9925043582916,0.0006145326,1417,239815,0.8495572047000619,119.99385448442725,0.89795345,0.004985884,0.0006145326,0.0
1.3043478260869565,8.695652173913043,2040.6521739130435,3414.042437314987,0.0005527556,1463,249925,0.8453230623023924,117.07608581712077,0.9137618,0.0019817192,0.0005527556,0.0
1.9375,8.0625,1876.25,3546.752733230591,0.0005141118,1511,259798,0.773810362866317,107.23878423417808,0.883197,0.0013214931,0.0005141118,0.0
1.6875,8.3125,1963.75,3681.0983204841614,0.00027993598,1559,269996,0.8211584434943567,112.57319869659538,0.8801259,0.00039413208,0.00027993598,0.0
1.6304347826086956,8.369565217391305,2019.1304347826087,3811.005453824997,0.00045740936,1605,279883,0.8378953865385368,115.85667045820682,0.85156244,0.002146606,0.00045740936,0.0
0.24390243902439024,9.75609756097561,2360.487804878049,3941.907311439514,0.00038991272,1646,289892,0.9494200542005419,135.00777715742714,0.78680545,0.0046824487,0.00038991272,0.0
0.24390243902439024,9.75609756097561,2391.2195121951218,4070.5330843925476,7.05394e-05,1687,299901,0.9643252032520327,136.66168222505763,0.68951595,0.010109809,7.05394e-05,0.0
0.24390243902439024,9.75609756097561,2417.317073170732,4203.611724615097,0.00028473325,1728,309906,0.9669268292682924,138.17839272592337,0.7870114,0.0089159,0.00028473325,0.0
0.24390243902439024,9.75609756097561,2396.5853658536585,4325.001180171967,0.00018932723,1769,319925,0.9657509627727857,136.97485775075222,0.8834409,0.008731387,0.00018932723,0.0
0.9090909090909091,9.090909090909092,2194.5454545454545,4463.479885339737,4.3679236e-05,1813,329983,0.8956524566993775,125.6449041328509,0.96189326,0.005848114,4.3679236e-05,0.0
1.1363636363636365,8.863636363636363,2111.590909090909,4592.071368217468,0.00037959468,1857,339808,0.869698809961968,120.97584744266427,0.86431783,0.01017046,0.00037959468,0.0
0.47619047619047616,9.523809523809524,2309.285714285714,4723.556672811508,8.230686e-06,1899,349838,0.9307802425317953,132.10842205755426,0.9618945,0.008930683,8.230686e-06,0.0
1.4893617021276595,8.51063829787234,2025.1063829787233,4850.110352039337,0.0002691732,1946,359975,0.8537379539304317,116.20471594490077,0.8643622,0.010161848,0.0002691732,0.0
0.9767441860465116,9.023255813953488,2194.8837209302324,4977.032964706421,0.000301732,1989,369757,0.9138777811335947,125.49243367401102,0.7667783,0.010174863,0.000301732,0.0
0.9772727272727273,9.022727272727273,2232.7272727272725,5107.865694761276,1.0628433e-05,2033,379815,0.9114805194805196,127.69101186483641,0.8622011,0.008554319,1.0628433e-05,0.0
1.1555555555555554,8.844444444444445,2160.4444444444443,5236.328335523605,0.00012351398,2078,389864,0.907606734006734,123.52991362034999,0.76483685,0.010125311,0.00012351398,0.0
0.7209302325581395,9.279069767441861,2286.7441860465115,5366.703783273697,0.00026997188,2121,399891,0.9264063378481981,130.7462812841285,0.6674823,0.010124348,0.00026997188,0.0
0.0,10.0,2476.5,5487.39223241806,0.000102312355,2161,409891,0.9905999999999997,141.5640445899537,0.57019085,0.010111367,0.000102312355,0.0
0.0,10.0,2492.25,5628.392761468887,0.00011972895,2201,419891,0.9968999999999999,142.4071158307131,0.6676637,0.008912216,0.00011972895,0.0
0.47619047619047616,9.523809523809524,2361.4285714285716,5754.672699689865,9.492541e-06,2243,429897,0.960253968253968,134.91391847749907,0.57007533,0.01017391,9.492541e-06,0.0
0.0,10.0,2491.75,5886.330384969711,0.00020861649,2283,439897,0.9967,142.41665229864537,0.6676255,0.00892497,0.00020861649,0.0
0.47619047619047616,9.523809523809524,2366.190476190476,6011.715670108795,0.00037367374,2325,449929,0.9599459905174191,135.30421864004816,0.76519907,0.008931637,0.00037367374,0.0
0.9302325581395349,9.069767441860465,2237.6744186046512,6158.039081335068,0.00032918525,2368,459759,0.9171887760672561,128.2099720495237,0.7309635,0.008428781,0.00032918525,0.0
0.6976744186046512,9.30232558139535,2256.5116279069766,6285.664835929871,0.000492232,2411,469802,0.9199622218024642,129.21108123769562,0.7167092,0.0020987715,0.000492232,0.0
0.5,9.5,2301.4285714285716,6429.129347324371,0.00056222215,2453,479832,0.9329417989417988,131.54698190176651,0.6915342,0.00086234126,0.00056222215,0.0
0.0,10.0,2423.75,6564.136590957642,0.0007177711,2493,489832,0.9695,138.59258978571756,0.6799985,0.00075736083,0.0007177711,0.0
0.0,10.0,2434.5,6708.077343463898,0.0006136055,2533,499832,0.9738000000000001,139.19757256242056,0.6489317,0.0021638519,0.0006136055,0.0
0.0,10.0,2456.5,6829.015135765076,0.00041785312,2573,509832,0.9825999999999997,140.4365613884858,0.665825,0.00039883362,0.00041785312,0.0
1.1111111111111112,8.88888888888889,2192.222222222222,6971.290495634079,0.00084517343,2618,519883,0.9132998556998555,125.40526488659242,0.60271555,0.004931761,0.00084517343,0.0
0.24390243902439024,9.75609756097561,2419.268292682927,7099.145330429077,0.0004925915,2659,529908,0.9756097560975613,138.33770625653807,0.5700596,0.0031121247,0.0004925915,0.0
0.05,9.95,2480.75,7230.127694129944,0.00066006056,2699,539908,0.9922999999999998,141.79421515098946,0.63842,0.010047251,0.00066006056,0.0
0.24390243902439024,9.75609756097561,2402.439024390244,7367.594194412231,0.00045708084,2740,549913,0.9657560975609754,137.31009125094366,0.6455002,0.0011029814,0.00045708084,0.0
0.0,10.0,2442.5,7502.440775156021,0.00065647555,2780,559913,0.977,139.61080064773597,0.61212784,0.0029643406,0.00065647555,0.0
0.47619047619047616,9.523809523809524,2350.4761904761904,7644.189539909363,0.0004165579,2822,569923,0.9468027210884354,134.22763512776947,0.55890733,0.0044196984,0.0004165579,0.0
0.24390243902439024,9.75609756097561,2418.2926829268295,7758.642365217209,0.00040223158,2863,579936,0.9762101313320828,138.2370964106124,0.49630937,0.004407607,0.00040223158,0.0
0.0,10.0,2491.5,7902.091164827347,0.00020453881,2903,589936,0.9966000000000002,142.38112551720445,0.482086,0.0015503777,0.00020453881,0.0
0.47619047619047616,9.523809523809524,2378.809523809524,8034.1146421432495,0.00018792067,2945,599962,0.9756659765355413,136.03329336126725,0.39410335,0.008352229,0.00018792067,0.0
0.0,10.0,2499.0,8172.489198684692,0.00021863823,2985,609962,0.9996000000000003,142.82347784298616,0.30515644,0.008419583,0.00021863823,0.0
0.0,10.0,2499.75,8301.735327720642,0.00061620184,3025,619962,0.9999,142.8622599172748,0.20760988,0.010165206,0.00061620184,0.0
0.0,10.0,2499.75,8433.21886754036,0.00012895484,3065,629962,0.9999,142.8684838761735,0.11001853,0.01017476,0.00012895484,0.0
0.0,10.0,2500.0,8565.751031398773,0.00018571768,3105,639962,1.0,142.8784238871937,0.0124286525,0.010174863,0.00018571768,0.0
0.0,10.0,2500.0,8696.184787511826,9.231697e-05,3145,649962,1.0,142.8784238871937,0.109919496,0.008915892,9.231697e-05,0.0
0.0,10.0,2499.75,8825.230973243713,0.0001936766,3185,659962,0.9999,142.87068745179926,0.20750992,0.008933204,0.0001936766,0.0
0.0,10.0,2499.75,8955.05497598648,2.4155255e-05,3225,669962,0.9999,142.86726923563256,0.11043478,0.010064577,2.4155255e-05,0.0
0.0,10.0,2500.0,9087.658358097076,0.00022725943,3265,679962,1.0,142.8784238871937,0.20802316,0.008933204,0.00022725943,0.0
0.0,10.0,2500.0,9211.325674295425,0.0001715477,3305,689962,1.0,142.8784238871937,0.11043491,0.01017476,0.0001715477,0.0
0.0,10.0,2500.0,9350.419513225555,0.00033916556,3345,699962,1.0,142.8784238871937,0.012844442,0.01017476,0.00033916556,0.0
0.0,10.0,2500.0,9477.646069049835,0.0002818358,3385,709962,1.0,142.8784238871937,0.11043494,0.008933204,0.0002818358,0.0
0.0,10.0,2500.0,9617.641371011734,0.00034687362,3425,719962,1.0,142.8784238871937,0.012844086,0.010174781,0.00034687362,0.0
0.0,10.0,2500.0,9752.303097486496,8.3657935e-05,3465,729962,1.0,142.8784238871937,-0.08474437,0.0101747215,8.3657935e-05,0.0
0.0,10.0,2500.0,9883.9450776577,0.0001762263,3505,739962,1.0,142.8784238871937,0.012845134,0.008933204,0.0001762263,0.0
0.0,10.0,2500.0,10014.716877698898,4.5358163e-05,3545,749962,1.0,142.8784238871937,0.11043548,0.008933204,4.5358163e-05,0.0
0.0,10.0,2500.0,10145.853306293488,0.00039708367,3585,759962,1.0,142.8784238871937,0.20802422,0.008933204,0.00039708367,0.0
