entropy,AttC,MtR,TimeElapsed,optimgain,EpisodesSoFar,Fce,AttNC,TtR,meankl,entloss,surrgain,TimestepsSoFar
1.426758,2.323529411764706,12.59092217179194,40.929718255996704,0.00044779867,68,0.1306689725592821,0.6764705882352942,64.36764705882354,0.0013446864,0.0,0.00044779867,9813
1.4215841,2.1016949152542375,14.269394663192328,82.69250559806824,0.0005097819,127,0.11722359318130392,0.8983050847457628,73.52542372881356,0.0016742204,0.0,0.0005097819,19931
1.4213955,2.076923076923077,16.848218587219915,122.55864119529724,0.0003715627,179,0.15151031020261788,0.9230769230769231,85.90384615384616,0.0012809387,0.0,0.0003715627,29926
1.4119123,2.090909090909091,15.191997291189766,164.88009572029114,0.0005856476,234,0.12912378973720912,0.9090909090909091,77.50909090909092,0.0019105433,0.0,0.0005856476,39820
1.4070185,2.373134328358209,13.140570242139415,204.42121195793152,0.0012491167,301,0.1157447474179164,0.6268656716417911,67.29850746268657,0.0062923445,0.0,0.0012491167,49765
1.3982402,1.875,17.05399757813751,246.0531542301178,0.0010737991,349,0.12175980392156861,1.125,88.75,0.0024787744,0.0,0.0010737991,59821
1.3899674,2.0545454545454547,15.19658160261134,285.2148597240448,0.0008166637,404,0.12560405208826259,0.9454545454545454,78.16363636363636,0.0021807444,0.0,0.0008166637,69918
1.3959574,1.5625,15.801110953917167,325.5228431224823,0.0008445943,452,0.11175000000000003,1.4375,83.8125,0.002868881,0.0,0.0008445943,79942
1.3839021,1.6888888888888889,18.063772721850555,365.51249742507935,0.0009865173,497,0.12762469135802462,1.3111111111111111,93.93333333333334,0.0041847173,0.0,0.0009865173,89979
1.3893299,1.72,15.05338203250962,408.50412130355835,0.0009402486,547,0.16875627329192538,1.28,78.48,0.0025471172,0.0,0.0009402486,99776
1.3930666,1.6046511627906976,18.58725043535639,448.0738413333893,0.0007271118,590,0.13590402362495385,1.3953488372093024,98.72093023255815,0.0016227692,0.0,0.0007271118,109857
1.3806161,1.7234042553191489,17.152122698096164,489.36774730682373,0.00090498046,637,0.1487011144883485,1.2765957446808511,89.93617021276596,0.0045058555,0.0,0.00090498046,119904
1.3933471,1.7173913043478262,17.059519320482135,528.7190721035004,0.0008293091,683,0.14489765055360512,1.2826086956521738,88.23913043478261,0.0036286013,0.0,0.0008293091,129946
1.4022331,1.7954545454545454,19.43915757376806,571.6891913414001,0.00062962953,727,0.138026936026936,1.2045454545454546,100.70454545454545,0.0044685756,0.0,0.00062962953,139980
1.3797578,1.9803921568627452,15.892911165772949,612.0664901733398,0.0011032415,778,0.13411579278488764,1.0196078431372548,82.47058823529412,0.0047209705,0.0,0.0011032415,149880
1.3691887,1.7272727272727273,17.3019896523585,652.8218421936035,0.0010994242,822,0.1215367965367966,1.2727272727272727,90.4090909090909,0.0043486543,0.0,0.0010994242,159918
1.3714479,1.5238095238095237,17.97198744952652,692.0220727920532,0.0010826818,864,0.14904761904761907,1.4761904761904763,94.0,0.004410068,0.0,0.0010826818,169926
1.3607271,1.4893617021276595,18.155310689089585,733.4490497112274,0.00113843,911,0.1368699763593381,1.5106382978723405,95.23404255319149,0.003833982,0.0,0.00113843,179969
