TimestepsSoFar,MtR,surrgain,AttNC,MpbtA,entloss,TimeElapsed,Tmt,TtR,Tmc,optimgain,AttC,Tbt,Ptt,MpbtN,meankl,EpisodesSoFar,entropy
9999,-71.01893529960502,0.009856713,0.0,5.259458824208274,0.0,1541.3847398757935,80.25920471281296,-228.06185567010309,23.739322533136967,0.009856713,3.0,328741.7025036819,78.10550165655097,94.74054117579165,0.008617937,679,0.6845344
19994,-70.05167692224455,0.007964445,0.0,5.995910019111717,0.0,2881.1679995059967,80.59831932773109,-227.22857142857143,23.389915966386553,0.007964445,3.0,330130.71596638655,78.42999787767079,94.00408998088822,0.008690904,1274,0.6588518
29978,-68.09436393435548,0.010664897,0.0,7.23217716341138,0.0,4006.026770591736,80.75664621676891,-224.68711656441718,23.23926380368098,0.010664897,3.0,330779.2229038855,78.57150310711437,92.76782283658856,0.0089048585,1763,0.6188455
39985,-65.54054101416413,0.011135171,0.0,8.75987681475489,0.0,4862.181514263153,81.27586206896552,-222.3819628647215,22.718832891246684,0.011135171,3.0,332905.9310344828,79.05612975409316,91.24012318524512,0.009140454,2140,0.56650364
49987,-60.45789708711838,0.009916834,0.0,10.955838561461913,0.0,5418.828719854355,81.62809917355372,-217.97107438016528,22.34297520661157,0.009916834,3.0,334348.69421487604,79.40201215791015,89.04416143853811,0.009037258,2382,0.5154577
59948,-52.16250366706518,0.008761353,0.007518796992481203,14.64775420657618,0.0,5733.695520162582,81.9624060150376,-209.88721804511277,22.007518796992482,0.008761353,2.992481203007519,335718.015037594,79.71488454340516,85.3522457934238,0.008017597,2515,0.48045078
69946,-41.71256021069431,0.0060732258,0.02531645569620253,20.446863842219823,0.0,5926.486831903458,81.63291139240506,-194.84810126582278,22.367088607594937,0.0060732258,2.9746835443037973,334368.40506329114,79.38736715841156,79.55313615778017,0.007813958,2594,0.41926542
79906,-32.90862443873406,0.004001359,0.5106382978723404,30.044904700702162,0.0,6045.150282859802,80.34042553191489,-168.70212765957447,23.659574468085108,0.004001359,2.4893617021276597,329074.3829787234,78.1845166274501,69.95509529929782,0.0054071005,2641,0.37406266
89859,-31.523430234631338,0.0046875067,1.475,31.398788788913123,0.0,6159.911946296692,79.5,-163.725,24.5,0.0046875067,1.525,325632.0,77.40108267761137,68.60121121108686,0.0049956283,2681,0.3718429
99920,-31.702680312501876,0.0032851018,0.7954545454545454,31.112186170598886,0.0,6276.546399593353,79.38636363636364,-164.04545454545453,24.59090909090909,0.0032851018,2.2045454545454546,325166.54545454547,77.31369779369976,68.8878138294011,0.0024868138,2725,0.40221477
109943,-29.2666131758771,0.0030417093,0.9523809523809523,36.50114716670872,0.0,6389.41895198822,78.47619047619048,-149.57142857142858,25.523809523809526,0.0030417093,2.0476190476190474,321438.4761904762,76.4483883828315,63.49885283329129,0.0038632632,2767,0.3588019
119968,-31.273482705404373,0.0029906312,1.2093023255813953,34.09714143105503,0.0,6502.595740318298,79.32558139534883,-156.97674418604652,24.674418604651162,0.0029906312,1.7906976744186047,324917.5813953488,77.23942164769504,65.90285856894496,0.002748321,2810,0.33678555
129979,-29.29220487328371,0.004989749,1.7380952380952381,36.929633654110205,0.0,6615.76123547554,77.35714285714286,-146.42857142857142,26.642857142857142,0.004989749,1.2619047619047619,316854.85714285716,75.4036539813777,63.070366345889816,0.0059045837,2852,0.35903028
139934,-30.406558823826355,0.0035524725,0.8085106382978723,35.45282017813513,0.0,6739.169615745544,78.19148936170212,-151.59574468085106,25.80851063829787,0.0035524725,2.1914893617021276,320272.3404255319,76.18232752590443,64.54717982186484,0.005271803,2899,0.31137037
149843,-29.87252399385874,0.0038307935,1.5116279069767442,36.689160969543266,0.0,6854.585325717926,78.0,-148.32558139534885,26.0,0.0038307935,1.4883720930232558,319488.0,76.00459724431623,63.31083903045673,0.0032749304,2942,0.35082006
159793,-28.94391692505275,0.0036690123,1.0909090909090908,37.613737654904064,0.0,6969.408106803894,77.45454545454545,-145.0909090909091,26.545454545454547,0.0036690123,1.9090909090909092,317253.8181818182,75.49496012557893,62.38626234509593,0.004238679,2986,0.3128659
169773,-29.57018893898894,0.0035372386,1.4761904761904763,37.722727401825225,0.0,7084.877781629562,78.38095238095238,-146.57142857142858,25.61904761904762,0.0035372386,1.5238095238095237,321048.38095238095,76.35889358454793,62.27727259817478,0.004405709,3028,0.33452368
179929,-28.9005755191365,0.0031497334,1.3488372093023255,36.87034009566375,0.0,7199.618046760559,77.16279069767442,-146.1627906976744,26.837209302325583,0.0031497334,1.6511627906976745,316058.79069767444,75.2197482281926,63.129659904336286,0.0036898772,3071,0.31217322
189756,-28.873629875895535,0.002771156,1.5952380952380953,39.421549246763455,0.0,7317.1570954322815,78.38095238095238,-142.5,25.61904761904762,0.002771156,1.4047619047619047,321048.38095238095,76.35815963997248,60.57845075323654,0.0027008646,3113,0.2689355
199771,-29.715420605695847,0.0039039266,2.0238095238095237,37.64764759673839,0.0,7432.367975950241,77.57142857142857,-145.21428571428572,26.452380952380953,0.0039039266,0.9761904761904762,317732.5714285714,75.58863087300224,62.35235240326163,0.0047084508,3155,0.30878484
209847,-29.504471571711235,0.0040779435,1.5454545454545454,38.89810366120146,0.0,7550.156220674515,77.56818181818181,-142.1590909090909,26.431818181818183,0.0040779435,1.4545454545454546,317719.2727272727,75.60201947318188,61.10189633879855,0.0034025498,3199,0.29743654
219899,-28.84170185058165,0.0042699925,1.6818181818181819,39.229433447891715,0.0,7667.260848522186,77.0,-140.45454545454547,27.0,0.0042699925,1.3181818181818181,315392.0,75.07078169557172,60.770566552108264,0.0047860793,3243,0.31681576
229951,-27.280508349366972,0.003469751,1.8095238095238095,40.67903532138815,0.0,7778.558304786682,76.64285714285714,-136.35714285714286,27.357142857142858,0.003469751,1.1904761904761905,313929.14285714284,74.7351410879006,59.320964678611844,0.0040381774,3285,0.31694362
239817,-29.320470911899154,0.0042734435,1.6341463414634145,36.84937799746509,0.0,7887.935014486313,78.14634146341463,-148.17073170731706,25.853658536585368,0.0042734435,1.3658536585365855,320087.4146341463,76.14082491246843,63.15062200253492,0.004307233,3326,0.35026342
249912,-29.88807751851763,0.0037377768,1.1136363636363635,36.195383932712545,0.0,8001.480854511261,78.31818181818181,-150.0,25.704545454545453,0.0037377768,1.8863636363636365,320791.2727272727,76.28514842805592,63.80461606728745,0.0036303133,3370,0.32055736
259856,-28.617714394632056,0.005382234,1.3255813953488371,40.049569852806194,0.0,8114.713927030563,78.51162790697674,-141.2093023255814,25.488372093023255,0.005382234,1.6744186046511629,321583.62790697673,76.48209125498077,59.95043014719383,0.0060259392,3413,0.3649981
269935,-28.556230543198215,0.0033602214,0.30434782608695654,37.803106127326075,0.0,8231.58154463768,76.93478260869566,-143.6086956521739,27.108695652173914,0.0033602214,2.6956521739130435,315124.8695652174,74.9801854080503,62.196893872673904,0.00286468,3459,0.35520923
