AttC,optimgain,surrgain,Tbt,entloss,MtR,EpisodesSoFar,AttNC,Tmc,Ptt,MpbtA,TtR,Tmt,MpbtN,TimestepsSoFar,entropy,meankl,TimeElapsed
1.0,0.024419887,0.024419887,346222.9025270758,0.0,-76.1642495860484,831,0.0,19.316486161251504,82.19357086856674,4.8496971106058355,-80.42238267148015,84.52707581227436,95.15030288939388,9996,0.6842859,0.00917383,2057.6491401195526
1.0,0.014110498,0.014110498,345571.2831737346,0.0,-75.54717566046601,1562,0.0,19.49658002735978,82.0293405086745,4.702648155869948,-80.39398084815322,84.36798905608755,95.29735184412982,19987,0.6560589,0.009972647,3862.6719624996185
1.0,0.016734634,0.016734634,345783.7948717949,0.0,-74.84709693353453,2186,0.0,19.432692307692307,82.0869571132803,4.5792646064994855,-80.54807692307692,84.4198717948718,95.42073539350021,29991,0.6078881,0.01062172,5399.596217632294
1.0,0.020993369,0.020993369,344923.3568627451,0.0,-73.51624594458248,2696,0.0,19.662745098039217,81.87642978468598,4.530319624979153,-80.3921568627451,84.20980392156862,95.46968037502062,39976,0.5428664,0.010401527,6676.183620452881
1.0,0.022431906,0.022431906,344272.6434316354,0.0,-70.89615049421765,3069,0.0,19.820375335120644,81.72909986172895,4.804254281512501,-80.00268096514745,84.05093833780161,95.19574571848749,49989,0.46833867,0.010109493,7613.628855228424
1.0,0.02265684,0.02265684,344726.1353383459,0.0,-67.98937473687812,3335,0.0,19.703007518796994,81.83800363499813,5.090753267430858,-79.87593984962406,84.16165413533835,94.90924673256917,59995,0.38682804,0.00968004,8277.463742256165
0.9932885906040269,0.018240366,0.018240366,342991.8926174497,0.0,-59.559440630560445,3484,0.006711409395973154,20.19463087248322,81.39085811284131,7.463635613212048,-77.49664429530202,83.73825503355705,92.5363643867879,69951,0.3079435,0.009470356,8662.116015195847
0.8875,0.012943206,0.012943206,342374.4,0.0,-50.96315401850101,3564,0.1125,20.3875,81.21803001716331,10.154740931090883,-75.1125,83.5875,89.84525906890913,79878,0.24125056,0.008587772,8872.991579771042
0.6,0.0042577516,0.0042577516,339694.93333333335,0.0,-41.22255433505342,3609,0.4,20.977777777777778,80.66270723268498,13.859606563967729,-71.44444444444444,82.93333333333334,86.14039343603228,89843,0.20818721,0.0050789625,8999.787874937057
0.08108108108108109,0.00403209,0.00403209,343178.3783783784,0.0,-41.5040798229247,3646,0.918918918918919,20.10810810810811,81.46951719831458,10.545201083792882,-74.97297297297297,83.78378378378379,89.45479891620712,99745,0.29231742,0.007362635,9104.653545379639
0.5961538461538461,0.007858476,0.007858476,340755.6923076923,0.0,-44.38219908113775,3698,0.40384615384615385,20.75,80.87973301933458,14.075531123169375,-71.51923076923077,83.1923076923077,85.9244688768306,109987,0.21402135,0.006941172,9244.429657936096
0.18421052631578946,0.0042769928,0.0042769928,342123.7894736842,0.0,-40.365032471865966,3736,0.8157894736842105,20.36842105263158,81.2266047688709,13.403699512441563,-72.36842105263158,83.52631578947368,86.59630048755842,119986,0.2798468,0.0048059486,9354.409805059433
0.36585365853658536,0.004517651,0.004517651,339668.2926829268,0.0,-40.70031139397046,3777,0.6341463414634146,21.048780487804876,80.60628564884784,14.684658289857042,-70.78048780487805,82.92682926829268,85.31534171014296,129825,0.21654558,0.0046242243,9462.97121477127
0.2894736842105263,0.0028633056,0.0028633056,338135.5789473684,0.0,-39.91827270289414,3815,0.7105263157894737,21.44736842105263,80.23874139877658,12.913385373173975,-71.92105263157895,82.55263157894737,87.08661462682602,139962,0.19964923,0.0025051998,9572.581366300583
0.2777777777777778,0.005930438,0.005930438,340536.8888888889,0.0,-39.75114264525728,3851,0.7222222222222222,20.86111111111111,80.78388225139258,12.810212574784018,-72.52777777777777,83.13888888888889,87.18978742521597,149792,0.26733539,0.006034981,9681.781445980072
0.42857142857142855,0.00504722,0.00504722,339968.0,0.0,-41.503597257899415,3893,0.5714285714285714,20.952380952380953,80.69243160434075,14.18006421504362,-71.28571428571429,83.0,85.8199357849564,159757,0.21138145,0.005072524,9799.774358272552
0.21621621621621623,0.008533783,0.008533783,341628.54054054053,0.0,-39.470079216819826,3930,0.7837837837837838,20.486486486486488,81.1160556451072,14.242989326162075,-71.54054054054055,83.4054054054054,85.75701067383793,169860,0.30835205,0.009254709,9902.13622713089
0.6956521739130435,0.0058476212,0.0058476212,340324.17391304346,0.0,-41.07735592643688,3976,0.30434782608695654,20.869565217391305,80.77048856375657,14.734202613753554,-70.8913043478261,83.08695652173913,85.26579738624645,179877,0.21653408,0.0069271317,10026.74049282074
0.23684210526315788,0.0039352737,0.0039352737,339321.2631578947,0.0,-39.35249306920371,4014,0.7631578947368421,21.07894736842105,80.56991892986989,14.489539684842551,-70.86842105263158,82.84210526315789,85.51046031515746,189927,0.2775252,0.00460606,10134.192342996597
0.475,0.0030760895,0.0030760895,341401.6,0.0,-40.502140775770854,4054,0.525,20.525,81.07814612288536,14.650530331297514,-71.15,83.35,85.34946966870248,199852,0.25139177,0.0027173485,10248.501465559006
