AttNC,MpbtA,Tmt,optimgain,MpbtN,AttC,MtR,Tbt,TtR,TimestepsSoFar,Tmc,Ptt,meankl,entloss,EpisodesSoFar,TimeElapsed,surrgain,entropy
0.0,2.494491767875862,74.68959435626103,0.0034587705,97.50550823212399,10.0,-67.03571899780844,305928.57848324516,-728.1834215167548,9982,29.354497354497354,72.87519728942736,0.008942095,0.0,567,1341.6984870433807,0.0034587705,0.6842495
0.0,3.43362322178986,73.77142857142857,0.0045129014,96.56637677821003,10.0,-64.67207942784313,302167.77142857143,-712.2857142857143,19977,30.285714285714285,72.00714186927128,0.010972783,0.0,1057,2551.333992958069,0.0045129014,0.65434694
0.0,5.019696701053193,72.75773195876289,0.0042789704,94.98030329894674,10.0,-61.13882317071509,298015.6701030928,-690.9536082474227,29970,31.373711340206185,71.01067188757762,0.009752585,0.0,1445,3413.4682092666626,0.0042789704,0.6102651
0.0,8.625876728130818,71.82578397212544,0.004490952,91.37412327186915,10.0,-55.67063195890259,294198.4111498258,-656.1324041811847,39992,32.40418118466899,70.07490246527088,0.008899556,0.0,1732,4045.042044878006,0.004490952,0.5595741
0.0,18.36717173130902,71.0863309352518,0.0038818542,81.63282826869103,10.0,-42.8909245302254,291169.61151079135,-580.2158273381295,49936,33.24460431654676,69.31995311470682,0.008559797,0.0,1871,4359.122777938843,0.0038818542,0.5242869
1.263157894736842,51.30528425180832,67.84210526315789,0.0014221481,48.69471574819168,8.736842105263158,-19.96340437557092,277881.2631578947,-332.4561403508772,59941,36.92982456140351,66.0076186724613,0.011857595,0.0,1928,4509.117939949036,0.0014221481,0.44665202
5.535714285714286,65.23976170053349,65.66071428571429,0.0037578796,34.7602382994665,4.464285714285714,-15.090290762963416,268946.28571428574,-229.10714285714286,69862,39.285714285714285,63.85376539031508,0.0072327093,0.0,1984,4659.122067928314,0.0037578796,0.42383337
0.8771929824561403,47.074557031812624,67.49122807017544,0.0020977596,52.925442968187376,9.12280701754386,-21.07250958565344,276444.0701754386,-358.94736842105266,79937,37.29824561403509,65.6662776658965,0.007566209,0.0,2041,4811.760149240494,0.0020977596,0.46321392
7.226415094339623,63.61408048258296,66.77358490566037,0.0031433313,36.38591951741702,2.7735849056603774,-15.555553011000656,273504.6037735849,-243.20754716981133,89922,38.0188679245283,64.99394520100681,0.009182444,0.0,2094,4976.450664281845,0.0031433313,0.37808272
2.5,55.37511658392528,67.6923076923077,0.0011403632,44.62488341607472,7.5,-17.79896157953038,277267.6923076923,-303.65384615384613,99898,37.09615384615385,65.85654805780976,0.0034366858,0.0,2146,5118.585629224777,0.0011403632,0.48533398
4.517857142857143,66.16984301997859,64.69642857142857,0.0013373019,33.830156980021385,5.482142857142857,-14.100807177892463,264996.5714285714,-220.35714285714286,109869,40.160714285714285,63.00146513008451,0.004101511,0.0,2202,5270.266649484634,0.0013373019,0.4139891
3.288135593220339,68.87048193863397,62.76271186440678,0.0008309509,31.12951806136601,6.711864406779661,-13.075409514076949,257076.06779661018,-195.59322033898306,119947,42.23728813559322,61.09938306796738,0.0022164485,0.0,2261,5414.3967916965485,0.0008309509,0.4474284
1.5517241379310345,62.34914443500907,64.82758620689656,0.0016955957,37.65085556499091,8.448275862068966,-15.353377628945871,265533.7931034483,-245.86206896551724,129909,40.06896551724138,63.1017036718451,0.007389876,0.0,2319,5555.691126585007,0.0016955957,0.42638308
6.033898305084746,71.24893040413947,62.271186440677965,0.0022777615,28.751069595860546,3.9661016949152543,-12.388534569374205,255062.77966101695,-179.15254237288136,139832,42.728813559322035,60.634856240549844,0.0061612003,0.0,2378,5705.918789625168,0.0022777615,0.3833477
2.5,67.08841638284636,62.8448275862069,0.0017060132,32.91158361715364,7.5,-13.109920777046693,257412.41379310345,-207.75862068965517,149904,42.1551724137931,61.17293462019877,0.008350633,0.0,2436,5855.595936059952,0.0017060132,0.39029652
7.016393442622951,70.79584945684917,62.65573770491803,0.0028593864,29.204150543150853,2.9836065573770494,-13.261915310737905,256637.90163934426,-183.9344262295082,159908,42.31147540983606,61.019445200781256,0.0066299425,0.0,2497,6008.6806972026825,0.0028593864,0.36713007
3.3793103448275863,69.08499518983686,62.86206896551724,0.001515635,30.91500481016312,6.620689655172414,-12.634100449035557,257483.0344827586,-195.17241379310346,169837,42.12068965517241,61.20215659695723,0.005418665,0.0,2555,6159.2042355537415,0.001515635,0.37661397
6.435483870967742,71.73627085871225,61.83870967741935,0.0014268729,28.26372914128774,3.564516129032258,-12.499803601310003,253291.35483870967,-174.83870967741936,179912,43.145161290322584,60.23949824122266,0.004720716,0.0,2617,6307.080478429794,0.0014268729,0.34130353
5.0,72.65697713307077,61.31147540983606,0.00073551515,27.343022866929246,5.0,-11.543121248886385,251131.80327868852,-167.54098360655738,189910,43.68852459016394,59.731932905201454,0.0024566334,0.0,2678,6462.324169874191,0.00073551515,0.37230682
4.694915254237288,69.46312188903256,62.69491525423729,0.0011132065,30.536878110967393,5.305084745762712,-12.726172599827645,256798.37288135593,-193.5593220338983,199870,42.271186440677965,61.05246594269674,0.0032519088,0.0,2737,6608.6482565402985,0.0011132065,0.40344515
3.1724137931034484,66.44393060046396,64.17241379310344,0.0012599673,33.55606939953605,6.827586206896552,-13.734370931445783,262850.2068965517,-216.3793103448276,209909,40.827586206896555,62.42331389519747,0.0065111485,0.0,2795,6756.841359138489,0.0012599673,0.37409762
7.262295081967213,71.40084662586686,61.868852459016395,0.0014289243,28.59915337413315,2.737704918032787,-12.627243733579324,253414.81967213115,-176.88524590163934,219843,43.14754098360656,60.24898433260017,0.0063154614,0.0,2856,6913.224591255188,0.0014289243,0.36091796
3.2203389830508473,65.75210397693232,62.644067796610166,0.0014935121,34.24789602306771,6.779661016949152,-13.577807208090695,256590.10169491524,-215.42372881355934,229837,42.355932203389834,60.984300130233606,0.007669336,0.0,2915,7065.464066028595,0.0014935121,0.3545674
7.885245901639344,70.00490034626073,62.40983606557377,0.0018006713,29.99509965373925,2.1147540983606556,-13.309172407728447,255630.68852459016,-187.21311475409837,239919,42.540983606557376,60.79508096869192,0.006654878,0.0,2976,7220.868505716324,0.0018006713,0.3388858
4.389830508474576,69.46810837152839,62.42372881355932,0.0014536344,30.531891628471627,5.610169491525424,-12.62999181525648,255687.59322033898,-191.1864406779661,249996,42.57627118644068,60.776158773651034,0.003908947,0.0,3035,7377.256666183472,0.0014536344,0.38356733
5.262295081967213,73.57399342963211,60.83606557377049,0.0014790781,26.42600657036791,4.737704918032787,-11.364938984587988,249184.52459016393,-160.81967213114754,259969,44.18032786885246,59.27496982572469,0.0058129174,0.0,3096,7526.689102649689,0.0014790781,0.3887972
2.6166666666666667,68.73186364065151,61.3,0.00060690154,31.268136359348496,7.383333333333334,-12.726467824055863,251084.8,-192.5,269903,43.71666666666667,59.71441827014739,0.0024274357,0.0,3156,7677.376480817795,0.00060690154,0.41216743
3.5081967213114753,73.25317897039362,60.85245901639344,0.0006167712,26.74682102960636,6.491803278688525,-10.998012647720815,249251.67213114753,-163.9344262295082,279884,44.16393442622951,59.29065007823166,0.0023769604,0.0,3217,7823.224628448486,0.0006167712,0.38601252
4.875,74.0735508397459,58.421875,0.0011807032,25.926449160254066,5.125,-10.755097126154146,239296.0,-151.40625,289891,46.640625,56.97638150184175,0.004453651,0.0,3281,7975.973493099213,0.0011807032,0.35672843
5.031746031746032,74.39429198558089,60.04761904761905,0.00083858,25.605708014419154,4.968253968253968,-10.970901744146516,245955.04761904763,-153.4920634920635,299965,44.95238095238095,58.54216203011306,0.0025873596,0.0,3344,8130.262304067612,0.00083858,0.37554345
4.112903225806452,73.22657498268644,60.25806451612903,0.0006568034,26.77342501731358,5.887096774193548,-10.926488588719149,246817.03225806452,-160.96774193548387,309915,44.75806451612903,58.73375189775177,0.005315631,0.0,3406,8279.223874092102,0.0006568034,0.34413797
