Tmt,meankl,TtR,Tbt,entloss,EpisodesSoFar,TimeElapsed,AttC,AttNC,Ptt,optimgain,entropy,MpbtN,surrgain,TimestepsSoFar,Tmc,MpbtA,MtR
74.44543828264759,0.008430152,-724.257602862254,304928.5152057245,0.0,559,1306.0880012512207,10.0,0.0,72.64804017180072,0.004115181,0.68468344,97.30017722015964,0.004115181,9994,29.59570661896243,2.699822779840259,-66.58624610249633
73.56808510638298,0.008664298,-710.2340425531914,301334.8765957447,0.0,1029,2394.245054960251,10.0,0.0,71.79660230201966,0.0023039053,0.6596609,96.55153309008605,0.0023039053,19994,30.52127659574468,3.448466909913937,-64.21985292328627
72.88983050847457,0.008735186,-689.4632768361582,298556.74576271186,0.0,1383,3202.2011954784393,10.0,0.0,71.13679689024235,0.0044534197,0.62081844,94.59740862803224,0.0044534197,29983,31.23728813559322,5.4025913719677545,-60.37533477104159
72.41618497109826,0.0028734268,-640.1734104046243,296616.6936416185,0.0,1556,3590.9020762443542,10.0,0.0,70.66835844531536,0.0031570913,0.62390256,88.42144496684776,0.0031570913,39941,31.751445086705203,11.578555033152222,-50.516351394078654
72.08695652173913,0.007889791,-628.4782608695652,295268.17391304346,0.0,1740,3996.468958377838,10.0,0.0,70.34269868444177,0.00385034,0.5759154,87.19136156019688,0.00385034,49980,32.108695652173914,12.8086384398031,-49.29719628523213
71.2159090909091,0.008249833,-509.3181818181818,291700.36363636365,0.0,1828,4197.429975986481,10.0,0.0,69.46553246964412,0.0024147993,0.54603213,71.52999960810133,0.0024147993,59978,33.07954545454545,28.47000039189867,-32.3843378147642
67.98113207547169,0.003586114,-346.9811320754717,278450.71698113205,0.0,1881,4334.168058872223,9.415094339622641,0.5849056603773585,66.11208383646716,0.0021580823,0.51813185,50.89579231444326,0.0021580823,69839,36.83018867924528,49.10420768555674,-20.100714053609718
66.81481481481481,0.004398728,-262.77777777777777,273673.48148148146,0.0,1935,4462.202367544174,8.074074074074074,1.9259259259259258,65.01958738440555,0.001110841,0.44968316,39.20612334543799,0.001110841,79917,38.0,60.793876654561984,-16.30260576282348
65.87272727272727,0.0028904255,-230.0,269814.6909090909,0.0,1990,4595.374068975449,6.7272727272727275,3.272727272727273,64.10869419446809,0.001358164,0.4118845,34.76582447938765,0.001358164,89985,38.981818181818184,65.23417552061233,-14.92238438930818
64.35087719298245,0.0037607446,-202.4561403508772,263581.1929824561,0.0,2047,4730.593458652496,6.56140350877193,3.43859649122807,62.61425985939029,0.0017375293,0.36991036,31.50979092782171,0.0017375293,99944,40.6140350877193,68.49020907217829,-13.936675932617833
62.5,0.004399122,-184.6551724137931,256000.0,0.0,2105,4869.664670944214,5.155172413793103,4.844827586206897,60.84994448451417,0.002045266,0.38608828,29.466989431881807,0.002045266,109841,42.5,70.53301056811819,-12.899917258036577
62.19672131147541,0.0025364077,-173.11475409836066,254757.77049180327,0.0,2166,5004.527283668518,7.229508196721311,2.7704918032786887,60.575879233508665,0.0012312146,0.3884921,27.864023572096123,0.0012312146,119894,42.78688524590164,72.13597642790388,-12.238932174883935
60.18032786885246,0.0041884044,-157.86885245901638,246498.62295081967,0.0,2227,5139.175708055496,6.39344262295082,3.6065573770491803,58.649549800451744,0.0014116955,0.34443372,26.310817491314484,0.0014116955,129852,44.85245901639344,73.68918250868553,-11.309234650652042
59.885245901639344,0.0060214126,-169.672131147541,245289.96721311475,0.0,2288,5279.725713968277,5.016393442622951,4.983606557377049,58.371689863753915,0.0025382342,0.37447178,28.31139059186293,0.0025382342,139938,45.14754098360656,71.68860940813704,-12.368027931271703
60.33870967741935,0.0038476002,-160.16129032258064,247147.35483870967,0.0,2350,5417.991056680679,7.016129032258065,2.9838709677419355,58.816416607987904,0.0018047207,0.38851875,26.43182730641044,0.0018047207,149850,44.66129032258065,73.56817269358956,-11.177251371089465
61.03174603174603,0.0031053864,-167.61904761904762,249986.03174603175,0.0,2413,5555.762522935867,6.920634920634921,3.0793650793650795,59.46949419086115,0.001528609,0.39024186,27.475483116942733,0.001528609,159986,43.96825396825397,72.52451688305727,-11.494105707600657
60.17741935483871,0.004735688,-152.74193548387098,246486.70967741936,0.0,2475,5695.718014955521,6.435483870967742,3.564516129032258,58.647053603032894,0.0019713487,0.33118314,25.363889366538583,0.0019713487,169925,44.854838709677416,74.6361106334614,-10.802555642112056
59.29032258064516,0.005257554,-164.83870967741936,242853.16129032258,0.0,2537,5843.324990034103,4.951612903225806,5.048387096774194,57.77926626831654,0.0019615307,0.35073876,27.72726399226392,0.0019615307,179892,45.806451612903224,72.27273600773607,-11.8981041672316
60.59016393442623,0.0043382654,-163.11475409836066,248177.31147540984,0.0,2598,5983.9619653224945,5.770491803278689,4.229508196721311,59.05136586072357,0.0017905365,0.34477815,26.887338635692817,0.0017905365,189887,44.40983606557377,73.1126613643072,-11.376064370699325
59.16129032258065,0.0038766833,-155.16129032258064,242324.64516129033,0.0,2660,6122.242763996124,6.209677419354839,3.7903225806451615,57.67916873520438,0.0018112268,0.36086297,26.29515453085027,0.0018112268,199929,45.88709677419355,73.70484546914972,-11.136773540835097
59.15873015873016,0.0030784418,-157.3015873015873,242314.15873015873,0.0,2723,6262.576106071472,7.349206349206349,2.6507936507936507,57.685497390899755,0.0017947848,0.380046,26.535600673874523,0.0017947848,209994,45.87301587301587,73.46439932612546,-10.928223223706118
59.21875,0.0049423943,-161.09375,242560.0,0.0,2787,6403.088707447052,8.34375,1.65625,57.721550426438554,0.002038341,0.3210933,27.115264763164674,0.002038341,219984,45.859375,72.88473523683534,-11.228654968892156
59.096774193548384,0.0034029407,-142.58064516129033,242060.38709677418,0.0,2849,6543.361880302429,6.354838709677419,3.6451612903225805,57.626765077505645,0.0018346512,0.35292855,24.156897123952188,0.0018346512,229953,45.935483870967744,75.84310287604781,-10.139737249052969
58.70967741935484,0.004805492,-147.25806451612902,240474.83870967742,0.0,2911,6682.0089156627655,6.838709677419355,3.161290322580645,57.24690783362328,0.0019623805,0.3833811,25.03892359820382,0.0019623805,239944,46.354838709677416,74.96107640179618,-10.56653755096053
60.032786885245905,0.0024714859,-175.7377049180328,245894.29508196723,0.0,2972,6817.548340082169,8.704918032786885,1.2950819672131149,58.51623160990772,0.0014837548,0.3636632,29.21175643277166,0.0014837548,249846,44.98360655737705,70.7882435672283,-11.613892323887274
59.645161290322584,0.003877249,-160.80645161290323,244306.5806451613,0.0,3034,6956.08585357666,7.532258064516129,2.467741935483871,58.143325239796475,0.001746239,0.36434898,26.89496032476237,0.001746239,259951,45.38709677419355,73.10503967523762,-10.962324434837383
58.20634920634921,0.0035486664,-139.68253968253967,238413.20634920636,0.0,3097,7095.408641338348,7.031746031746032,2.9682539682539684,56.779444105603744,0.001774974,0.35884595,23.979610357226605,0.001774974,269927,46.84126984126984,76.02038964277342,-9.875374216192634
58.25,0.004895749,-149.84375,238592.0,0.0,3161,7234.783895015717,7.390625,2.609375,56.821461681406475,0.00208342,0.3579702,25.622431885933935,0.00208342,279874,46.796875,74.37756811406608,-10.568818192083132
57.44615384615385,0.0033299618,-150.30769230769232,235299.44615384616,0.0,3226,7379.046266794205,6.8307692307692305,3.169230769230769,56.00286594920728,0.0018787474,0.35053578,26.06686522173188,0.0018787474,289959,47.723076923076924,73.93313477826813,-10.903006321795504
59.09375,0.00419291,-145.3125,242048.0,0.0,3290,7520.935473680496,6.5,3.5,57.61122317011549,0.0018545495,0.34507218,24.559953268044666,0.0018545495,299871,45.96875,75.44004673195532,-10.274900149064182
58.5625,0.0045392583,-149.84375,239872.0,0.0,3354,7664.3509640693665,6.5625,3.4375,57.10828606163774,0.0018724881,0.3216164,25.533436718529853,0.0018724881,309865,46.5,74.46656328147014,-10.685796399772661
58.707692307692305,0.008154101,-138.92307692307693,240466.70769230768,0.0,3419,7810.878803014755,4.415384615384616,5.584615384615384,57.241162805427585,0.0033040454,0.37602696,23.681170454752248,0.0033040454,319943,46.36923076923077,76.31882954524775,-10.418313065266688
58.01587301587302,0.0033043378,-153.4920634920635,237633.0158730159,0.0,3482,7954.189180135727,8.571428571428571,1.4285714285714286,56.56911412677936,0.0016388563,0.3739605,26.477197859853245,0.0016388563,329914,47.095238095238095,73.52280214014674,-10.531265578073896
57.953125,0.0041072764,-138.125,237376.0,0.0,3546,8096.7956001758575,6.78125,3.21875,56.48837389390917,0.002033396,0.37974077,23.619727271234535,0.002033396,339859,47.203125,76.38027272876546,-9.866996528918998
59.07936507936508,0.0037669567,-148.25396825396825,241989.07936507938,0.0,3609,8237.819866657257,7.111111111111111,2.888888888888889,57.595689817755385,0.0017867447,0.3984404,25.060027884104677,0.0017867447,349983,45.98412698412698,74.93997211589534,-10.329523582104166
58.25396825396825,0.0034913316,-162.22222222222223,238608.25396825396,0.0,3672,8382.808470487595,8.698412698412698,1.3015873015873016,56.77801738212222,0.0021729828,0.3768607,27.743708556450684,0.0021729828,359892,46.888888888888886,72.25629144354932,-10.828913202932235
57.317460317460316,0.0036407383,-145.23809523809524,234772.31746031746,0.0,3735,8528.44945883751,6.761904761904762,3.238095238095238,55.924692264954835,0.0016536716,0.34803054,25.278180082184967,0.0016536716,369859,47.76190476190476,74.72181991781503,-10.483896206458693
57.578125,0.0025672968,-139.0625,235840.0,0.0,3799,8675.119521141052,6.046875,3.953125,56.16312738048778,0.0016450188,0.34227356,24.10785407919858,0.0016450188,379870,47.515625,75.89214592080143,-10.052948825613083
57.265625,0.0033068066,-142.65625,234560.0,0.0,3863,8819.755244016647,5.625,4.375,55.86882314918553,0.0021606085,0.35485774,24.86557455032654,0.0021606085,389989,47.828125,75.13442544967343,-10.29468899848653
56.46031746031746,0.0062424885,-137.61904761904762,231261.46031746033,0.0,3926,8964.668834924698,6.190476190476191,3.8095238095238093,55.07447991134073,0.0026926352,0.38416278,24.500399509480747,0.0026926352,399876,48.698412698412696,75.49960049051926,-9.876681897446067
57.61538461538461,0.0055439277,-155.3846153846154,235992.61538461538,0.0,3991,9108.855707883835,8.215384615384615,1.7846153846153847,56.2054375408905,0.0027888392,0.36836845,26.770013095181476,0.0027888392,409978,47.46153846153846,73.2299869048185,-10.581358358144028
57.984375,0.0047170366,-141.40625,237504.0,0.0,4055,9253.272008657455,6.5,3.5,56.53838241946231,0.002653907,0.35966277,24.226704359290906,0.002653907,419982,47.125,75.77329564070907,-9.826273215493096
56.28125,0.003451596,-130.46875,230528.0,0.0,4119,9397.098512411118,5.953125,4.046875,54.885741584549244,0.0018887634,0.35317126,23.120298971455522,0.0018887634,429956,48.921875,76.87970102854449,-9.527493530045644
55.71875,0.003460652,-128.90625,228224.0,0.0,4183,9543.37239933014,6.34375,3.65625,54.36867568492652,0.001838447,0.31575364,23.19268822237008,0.001838447,439854,49.453125,76.80731177762992,-9.572534774725346
56.353846153846156,0.005784796,-130.15384615384616,230825.35384615386,0.0,4248,9689.118486881256,5.184615384615385,4.815384615384615,54.97851630028198,0.0028619373,0.3424751,22.991652535806924,0.0028619373,449855,48.8,77.00834746419305,-9.68126330643374
56.46268656716418,0.0041953465,-134.17910447761193,231271.16417910447,0.0,4315,9833.595581531525,6.925373134328358,3.074626865671642,55.07437876156408,0.0024321128,0.34582093,23.575184749475394,0.0024321128,459937,48.701492537313435,76.42481525052463,-9.629507652170053
57.03030303030303,0.0038927828,-151.36363636363637,233596.12121212122,0.0,4381,9980.014124631882,7.757575757575758,2.242424242424242,55.5940612030303,0.0019700124,0.35930374,26.2860032172959,0.0019700124,469921,48.166666666666664,73.71399678270409,-10.38085752604688
57.63076923076923,0.0028301599,-142.46153846153845,236055.63076923077,0.0,4446,10120.312566280365,8.03076923076923,1.9692307692307693,56.21435756029772,0.001890022,0.34174997,24.661267887971057,0.001890022,479925,47.46153846153846,75.33873211202892,-9.71094584649775
57.276923076923076,0.0032994943,-140.92307692307693,234606.27692307692,0.0,4511,10264.693906068802,7.369230769230769,2.6307692307692307,55.871762931841886,0.0018424237,0.3516301,24.545753866788758,0.0018424237,489902,47.83076923076923,75.45424613321123,-9.85354137222344
56.03030303030303,0.0046568452,-136.96969696969697,229500.12121212122,0.0,4577,10410.15245771408,7.575757575757576,2.4242424242424243,54.63735748027455,0.0019818915,0.32095823,24.38430572581926,0.0019818915,499934,49.196969696969695,75.61569427418075,-9.745059753234157
56.375,0.0046339696,-137.03125,230912.0,0.0,4641,10551.672107219696,6.390625,3.609375,55.01215650378943,0.0022549944,0.3130099,24.29953968687543,0.0022549944,509908,48.75,75.7004603131246,-9.774047824459554
55.13846153846154,0.003461819,-129.23076923076923,225847.13846153847,0.0,4706,10699.176989793777,5.153846153846154,4.846153846153846,53.77626305585267,0.0016895554,0.30889136,23.526284640337288,0.0016895554,519937,50.12307692307692,76.47371535966272,-9.685566352004304
55.8,0.006073668,-131.69230769230768,228556.8,0.0,4771,10849.089084148407,4.815384615384615,5.184615384615385,54.45449061265483,0.003095124,0.33026296,23.6823354325267,0.003095124,529916,49.353846153846156,76.31766456747329,-9.89533781507137
55.71212121212121,0.004577216,-134.6969696969697,228196.84848484848,0.0,4837,10996.812152862549,6.2272727272727275,3.772727272727273,54.3428127115608,0.0019415509,0.32189104,24.13209485462652,0.0019415509,539871,49.5,75.8679051453735,-9.72223698793084
55.41538461538462,0.003856638,-126.46153846153847,226981.4153846154,0.0,4902,11143.560369729996,6.015384615384615,3.9846153846153847,54.05486739966299,0.0018130576,0.30922708,22.835725900674433,0.0018130576,549892,49.815384615384616,77.1642740993256,-9.256741847356492
55.96969696969697,0.002846419,-124.6969696969697,229251.87878787878,0.0,4968,11289.50166606903,4.893939393939394,5.106060606060606,54.616007973276986,0.0017981665,0.2989527,22.26750468295694,0.0017981665,559895,49.18181818181818,77.73249531704303,-9.15268091433926
55.16417910447761,0.0040364373,-130.1492537313433,225952.4776119403,0.0,5035,11442.42807006836,4.940298507462686,5.059701492537314,53.81214551240356,0.0022133752,0.29910624,23.46761376645018,0.0022133752,569973,50.07462686567164,76.5323862335498,-9.576881536230012
54.68181818181818,0.0034401373,-127.27272727272727,223976.72727272726,0.0,5101,11595.43219923973,5.0606060606060606,4.9393939393939394,53.30944401033432,0.001882497,0.2852693,23.211079450070173,0.001882497,579953,50.65151515151515,76.7889205499298,-9.137106145435169
55.39393939393939,0.005132899,-125.15151515151516,226893.57575757575,0.0,5167,11750.424193143845,3.606060606060606,6.393939393939394,54.036231951940415,0.002435316,0.30866134,22.588295394012654,0.002435316,589950,49.833333333333336,77.41170460598735,-9.335431175252479
56.723076923076924,0.0033328126,-120.76923076923077,232337.72307692308,0.0,5232,11897.002605199814,6.076923076923077,3.923076923076923,55.33289288208808,0.0021558148,0.29026198,21.25017114226281,0.0021558148,599860,48.41538461538462,78.74982885773719,-8.725697254336474
55.776119402985074,0.0027333319,-138.3582089552239,228458.98507462686,0.0,5299,12045.282122850418,6.417910447761194,3.582089552238806,54.39864007838764,0.0022351893,0.28461874,24.646369332149078,0.0022351893,609974,49.44776119402985,75.35363066785087,-9.99584871111483
55.95454545454545,0.004043356,-130.0,229189.81818181818,0.0,5365,12194.255403518677,5.742424242424242,4.257575757575758,54.57354829006381,0.0019414386,0.28919932,23.2165337172332,0.0019414386,619977,49.25757575757576,76.78346628276682,-9.454248274260966
54.57575757575758,0.003856986,-115.75757575757575,223542.30303030304,0.0,5431,12345.409039258957,5.5,4.5,53.23904638130548,0.002164376,0.29920173,21.204706980008776,0.002164376,629964,50.696969696969695,78.7952930199912,-8.572966932680433
54.582089552238806,0.004932256,-121.34328358208955,223568.23880597015,0.0,5498,12495.061265945435,6.447761194029851,3.5522388059701493,53.19723909190159,0.0026370145,0.28622255,22.237847020369646,0.0026370145,639984,50.791044776119406,77.76215297963034,-8.849616336222029
54.121212121212125,0.003355255,-110.9090909090909,221680.48484848486,0.0,5564,12647.924988269806,4.863636363636363,5.136363636363637,52.751247752262294,0.0024081678,0.2986111,20.544049165007536,0.0024081678,649889,51.27272727272727,79.45595083499244,-8.238613017585578
55.26470588235294,0.004240664,-138.38235294117646,226364.23529411765,0.0,5632,12798.060226678848,7.5,2.5,53.90178478210329,0.002060731,0.29064435,24.83293001228596,0.002060731,659988,49.98529411764706,75.16706998771406,-9.736258329728372
55.28358208955224,0.0040907287,-124.17910447761194,226441.55223880598,0.0,5699,12947.607559680939,5.6716417910447765,4.3283582089552235,53.93228324877244,0.0019375132,0.26401934,22.395108851581348,0.0019375132,669994,49.940298507462686,77.60489114841867,-9.10932168164765
55.723076923076924,0.0026848437,-129.23076923076923,228241.72307692308,0.0,5764,13101.114533901215,4.6,5.4,54.34433346917397,0.0017961331,0.28608644,23.17902277048306,0.0017961331,679999,49.50769230769231,76.82097722951694,-9.690101046528305
55.36923076923077,0.0061784405,-123.23076923076923,226792.36923076923,0.0,5829,13252.851267576218,3.8153846153846156,6.184615384615385,54.00917459182865,0.0027082674,0.30202496,22.287318440263274,0.0027082674,689947,49.86153846153846,77.71268155973672,-9.186179394456548
54.44615384615385,0.004052795,-124.46153846153847,223011.44615384616,0.0,5894,13403.20815873146,5.123076923076923,4.876923076923077,53.107703946796086,0.002190744,0.31601053,22.698603833320554,0.002190744,699932,50.84615384615385,77.30139616667945,-8.97986479083906
55.07575757575758,0.0056311986,-126.96969696969697,225590.30303030304,0.0,5960,13547.277785778046,5.2272727272727275,4.7727272727272725,53.705503861086044,0.002627105,0.32861128,23.0572717506331,0.002627105,709934,50.21212121212121,76.9427282493669,-9.282587561870937
55.705882352941174,0.0046889335,-135.0,228171.29411764705,0.0,6028,13696.099873065948,7.25,2.75,54.33178241040292,0.0024226892,0.30625266,24.115753117462447,0.0024226892,719971,49.51470588235294,75.88424688253755,-9.667245540828645
