Ptt,TtR,MpbtA,surrgain,AttNC,TimeElapsed,optimgain,AttC,MpbtN,Tmc,Tmt,MtR,entropy,TimestepsSoFar,entloss,Tbt,EpisodesSoFar,meankl
82.07936219447038,-80.22340425531915,4.94081044371586,0.023435716,0.0,2061.319605588913,0.023435716,1.0,95.05918955628391,19.43853427895981,84.39834515366431,-76.05045552470465,0.68415105,9996,0.0,345695.621749409,846,0.008973333
82.0549251181673,-80.41953232462173,4.690905855869065,0.012467816,0.0,3831.554074048996,0.012467816,1.0,95.30909414413061,19.46767537826685,84.38651994497937,-75.5377642618562,0.6581099,19993,0.0,345647.1856946355,1573,0.0089921355
81.78603615727683,-80.185667752443,4.665003605220009,0.019906044,0.0,5343.222148656845,0.019906044,1.0,95.33499639477978,19.76058631921824,84.11563517915309,-74.41326472030738,0.6139279,29997,0.0,344537.64169381105,2187,0.009622603
82.02317865552763,-80.55384615384615,4.506331709435972,0.02206894,0.0,6630.33450293541,0.02206894,1.0,95.49366829056385,19.501923076923077,84.35576923076923,-73.78230270791434,0.55410385,39982,0.0,345521.23076923075,2707,0.009725117
81.8566484773081,-80.17910447761194,4.735173475114932,0.024653018,0.0,7644.669036865234,0.024653018,1.0,95.26482652488504,19.67910447761194,84.16666666666667,-71.64646953820187,0.48439166,49999,0.0,344746.6666666667,3109,0.00969322
81.88961112530258,-79.69424460431655,5.364717924597323,0.024379572,0.0,8326.29317331314,0.024379572,1.0,94.63528207540276,19.64748201438849,84.21942446043165,-68.1566270867192,0.41235992,59982,0.0,344962.76258992805,3387,0.009369606
81.69562136192064,-78.22033898305085,6.8682866225024535,0.019108728,0.011299435028248588,8774.797697544098,0.019108728,0.9887005649717514,93.13171337749756,19.853107344632768,83.98870056497175,-62.546606634031235,0.34184253,69969,0.0,344017.7175141243,3564,0.008862018
81.19870443179592,-77.10743801652893,7.692317247305398,0.016985523,0.01652892561983471,9083.961488485336,0.016985523,0.9834710743801653,92.30768275269467,20.39669421487603,83.50413223140495,-56.730935128733485,0.27341595,79957,0.0,342032.9256198347,3685,0.008587213
81.38150967296076,-75.79012345679013,9.475681453577815,0.009028009,0.024691358024691357,9294.822382688522,0.009028009,0.9753086419753086,90.52431854642218,20.19753086419753,83.67901234567901,-50.12931662628247,0.23315273,89942,0.0,342749.23456790124,3766,0.008316686
81.448295418615,-74.41379310344827,11.215665328149722,0.0073119537,0.06896551724137931,9449.248021364212,0.0073119537,0.9310344827586207,88.78433467185026,20.137931034482758,83.8103448275862,-44.55088273879627,0.21218061,99972,0.0,343287.1724137931,3824,0.0065139565
80.94600955745675,-73.57142857142857,11.66711944568621,0.005791623,0.2653061224489796,9583.843456745148,0.005791623,0.7346938775510204,88.33288055431379,20.6734693877551,83.24489795918367,-43.329454262697496,0.18847774,109968,0.0,340971.10204081633,3873,0.005854976
80.89661077298625,-74.46341463414635,10.51116378625971,0.004463797,0.5121951219512195,9701.395505905151,0.004463797,0.4878048780487805,89.48883621374027,20.73170731707317,83.21951219512195,-41.67667076932714,0.16836318,119782,0.0,340867.1219512195,3914,0.0047530103
81.21458283158195,-74.27027027027027,11.100212122572069,0.0048435885,0.8648648648648649,9808.5259847641,0.0048435885,0.13513513513513514,88.89978787742793,20.37837837837838,83.51351351351352,-40.31535119180297,0.16887139,129989,0.0,342071.35135135136,3951,0.003003705
80.95046445277406,-75.05555555555556,9.814512108995121,0.0034535462,0.8055555555555556,9918.375215053558,0.0034535462,0.19444444444444445,90.18548789100488,20.666666666666668,83.25,-40.55455670390646,0.1404952,139735,0.0,340992.0,3987,0.0037925798
