TimestepsSoFar,TtR,meankl,Tmt,Tmc,entloss,TimeElapsed,MpbtN,surrgain,MpbtA,entropy,MtR,Tbt,EpisodesSoFar,AttC,optimgain,AttNC,Ptt
9995,-726.2142857142857,0.007492832,74.63214285714285,29.4125,0.0,1273.379643201828,97.31881101563494,0.0024028942,2.6811889843649372,0.68580055,-66.77271496202019,305693.2571428571,560,10.0,0.0024028942,0.0,72.8208473343082
19993,-712.1516393442623,0.011409446,73.51434426229508,30.55532786885246,0.0,2397.114683866501,96.87997336554217,0.0036469013,3.1200266344578718,0.65691936,-64.63733097100246,301114.75409836066,1048,10.0,0.0036469013,0.0,71.75797173897567
29972,-688.3905013192613,0.007617593,72.7018469656992,31.456464379947228,0.0,3244.262282371521,94.70494753806778,0.0046401606,5.295052461932216,0.621459,-60.75527980638911,297786.76517150394,1427,10.0,0.0046401606,0.0,70.94165526671087
39979,-652.6966292134831,0.008112785,71.78277153558052,32.41573033707865,0.0,3832.081598997116,90.95761849920477,0.00443656,9.04238150079514,0.57620156,-54.86036383779338,294022.2322097378,1694,10.0,0.00443656,0.0,70.05459927726086
49863,-559.7321428571429,0.008693859,71.60714285714286,32.63392857142857,0.0,4078.207411289215,78.09853108401983,0.0034040965,21.901468915980164,0.5435907,-39.94061851902346,293302.85714285716,1806,9.973214285714286,0.0034040965,0.026785714285714284,69.86579145973236
59920,-295.47169811320754,0.00920806,66.67924528301887,38.22641509433962,0.0,4215.241367816925,44.21845269469256,0.0016945716,55.78154730530744,0.48688018,-17.79113141939345,273118.1886792453,1859,7.679245283018868,0.0016945716,2.3207547169811322,64.83409395034064
69789,-306.49122807017545,0.0078237895,67.17543859649123,37.64912280701754,0.0,4353.351190328598,45.37933058007678,0.001343576,54.62066941992321,0.43140578,-18.368171845478983,275150.5964912281,1916,8.807017543859649,0.001343576,1.1929824561403508,65.34976562450771
79868,-225.17857142857142,0.0076180883,65.10714285714286,39.82142857142857,0.0,4494.004348993301,34.464317216890215,0.0020012464,65.5356827831098,0.41244954,-14.625777758044787,266678.85714285716,1972,4.446428571428571,0.0020012464,5.553571428571429,63.34308075091692
89857,-305.89285714285717,0.0072742295,67.01785714285714,37.80357142857143,0.0,4629.461532354355,45.464350629270875,0.0020603198,54.53564937072911,0.45189524,-18.014971271815543,274505.14285714284,2028,8.678571428571429,0.0020603198,1.3214285714285714,65.20223184772286
99976,-223.859649122807,0.012216045,65.80701754385964,39.14035087719298,0.0,4776.14660859108,33.90067211350427,0.0026438294,66.09932788649573,0.4016059,-14.871347789528587,269545.5438596491,2085,3.210526315789474,0.0026438294,6.7894736842105265,63.991177268089885
109932,-305.7894736842105,0.0066665625,66.59649122807018,38.29824561403509,0.0,4910.521314382553,45.713293805765026,0.0015134348,54.28670619423498,0.47746807,-18.2892193035832,272779.22807017545,2142,8.807017543859649,0.0015134348,1.1929824561403508,64.76463949583815
119879,-216.20689655172413,0.01021553,64.75862068965517,40.1551724137931,0.0,5058.163860797882,33.269095497643875,0.0029429758,66.7309045023561,0.40039164,-14.697198168398037,265251.3103448276,2200,3.103448275862069,0.0029429758,6.896551724137931,63.02658388712736
129931,-281.8333333333333,0.007955426,65.61666666666666,39.3,0.0,5200.966449737549,42.695910245594355,0.0018471817,57.30408975440566,0.44313934,-17.274143028350355,268765.86666666664,2260,8.683333333333334,0.0018471817,1.3166666666666667,63.82928025233687
139960,-199.6551724137931,0.008130911,63.275862068965516,41.672413793103445,0.0,5348.590656042099,31.446138954931193,0.0017938977,68.55386104506879,0.37949017,-13.761302318921038,259177.93103448275,2318,3.5344827586206895,0.0017938977,6.4655172413793105,61.610943478289464
149951,-215.9322033898305,0.0027734744,62.47457627118644,42.52542372881356,0.0,5486.413864374161,34.509394467562224,0.0008610016,65.49060553243775,0.4187007,-13.838915665609436,255895.86440677967,2377,7.559322033898305,0.0008610016,2.440677966101695,60.82478003054303
159903,-177.41379310344828,0.00084888685,61.672413793103445,43.327586206896555,0.0,5625.904977083206,28.713986850501335,0.00027515405,71.28601314949867,0.37652314,-11.805536078520953,252610.2068965517,2435,5.689655172413793,0.00027515405,4.310344827586207,60.073210061291064
169913,-176.5,0.005096306,62.083333333333336,42.95,0.0,5770.957777023315,28.449635071202817,0.0013207681,71.55036492879718,0.3810286,-12.124866489558427,254293.33333333334,2495,3.933333333333333,0.0013207681,6.066666666666666,60.442198504370715
179952,-206.77966101694915,0.0042362884,63.59322033898305,41.30508474576271,0.0,5912.9040994644165,32.38042045551385,0.0014385803,67.61957954448613,0.41413704,-13.513862882021725,260477.83050847458,2554,6.169491525423729,0.0014385803,3.830508474576271,61.9415463602829
189961,-167.58064516129033,0.009623543,60.58064516129032,44.435483870967744,0.0,6061.28435587883,27.64677578529911,0.0028865472,72.35322421470089,0.41317156,-12.018750696596326,248138.32258064515,2616,3.8870967741935485,0.0028865472,6.112903225806452,59.03648743900704
199927,-226.61016949152543,0.0069077094,64.0,40.94915254237288,0.0,6199.670526266098,35.25046759599855,0.0016395041,64.74953240400144,0.44177145,-14.111845232764054,262144.0,2675,8.322033898305085,0.0016395041,1.6779661016949152,62.28929623239112
209967,-182.41935483870967,0.009560379,61.403225806451616,43.61290322580645,0.0,6348.837818861008,29.630702723751014,0.0019654608,70.36929727624896,0.41128382,-12.852763680289554,251507.61290322582,2737,4.129032258064516,0.0019654608,5.870967741935484,59.81053740721458
