entropy,TtR,Tbt,optimgain,surrgain,Ptt,AttC,meankl,TimestepsSoFar,MtR,EpisodesSoFar,TimeElapsed,entloss,AttNC,MpbtA,Tmt,Tmc,MpbtN
0.68386936,-80.38164251207729,346176.309178744,0.023357397,0.023357397,82.1863758574248,1.0,0.009285402,9998,-76.10625111142357,828,2136.9910027980804,0.0,0.0,4.886487964081086,84.51570048309179,19.32367149758454,95.11351203591863
0.6561038,-80.32608695652173,345288.347826087,0.013358737,0.013358737,81.98493303892849,1.0,0.009634346,19999,-75.5067593304426,1564,3940.933310985565,0.0,0.0,4.706102469816557,84.29891304347827,19.54076086956522,95.29389753018324
0.60920316,-80.44732576985413,345166.0032414911,0.016815573,0.016815573,81.94794971333812,1.0,0.009984343,29991,-74.69329724732998,2181,5475.8681490421295,0.0,0.0,4.527111768719995,84.26904376012966,19.581847649918963,95.47288823127975
0.5457025,-80.44881889763779,345329.88976377953,0.019016601,0.019016601,81.99495236466932,1.0,0.010059674,39994,-73.53907980275368,2689,6724.663770437241,0.0,0.0,4.567108232633978,84.30905511811024,19.52952755905512,95.43289176736597
0.47013807,-80.11299435028249,345140.0677966102,0.020509906,0.020509906,81.94484410546018,1.0,0.01001216,49973,-70.60564809970516,3043,7602.726795434952,0.0,0.0,4.917455355088392,84.26271186440678,19.584745762711865,95.08254464491164
0.39185306,-79.45487364620939,343295.07581227436,0.021221489,0.021221489,81.49993962504747,1.0,0.009687063,59990,-67.80924745894417,3320,8305.125131368637,0.0,0.0,5.190651966462377,83.81227436823104,20.068592057761734,94.80934803353774
0.31831303,-77.99363057324841,343777.01910828025,0.016994655,0.016994655,81.60223147489262,1.0,0.0087993285,69872,-60.86264321725316,3477,8698.520731210709,0.0,0.0,7.079757917289436,83.92993630573248,19.961783439490446,92.92024208271063
0.24915147,-76.46875,343040.0,0.01290433,0.01290433,81.42421587597461,0.9375,0.008388061,79966,-53.89523093193259,3573,8941.99465417862,0.0,0.0625,8.731734932448877,83.75,20.15625,91.26826506755113
0.19884667,-73.80357142857143,340114.28571428574,0.0058658663,0.0058658663,80.77050726545734,0.7857142857142857,0.006153221,89873,-45.785205853252144,3629,9095.478791952133,0.0,0.21428571428571427,11.144326329080881,83.03571428571429,20.857142857142858,88.85567367091912
0.2669341,-73.02439024390245,343264.7804878049,0.0035645447,0.0035645447,81.44147242548947,0.4634146341463415,0.004511377,99903,-41.458747967639574,3670,9212.827928066254,0.0,0.5365853658536586,12.90220187038433,83.8048780487805,20.146341463414632,87.09779812961568
0.19116253,-71.41304347826087,337920.0,0.005207657,0.005207657,80.20595168979726,0.5,0.0071557616,109972,-42.087468458672404,3716,9342.741296291351,0.0,0.5,13.495616186678951,82.5,21.47826086956522,86.50438381332104
0.18491614,-74.78947368421052,342770.5263157895,0.002247284,0.002247284,81.33208720461953,0.21052631578947367,0.0020473662,119874,-41.69571665588603,3754,9452.974898815155,0.0,0.7894736842105263,10.662700365595587,83.6842105263158,20.263157894736842,89.33729963440443
0.24926455,-74.5,343153.77777777775,0.0063372385,0.0063372385,81.50557045705813,0.027777777777777776,0.0073490487,129987,-40.78302219254498,3790,9560.003417253494,0.0,0.9722222222222222,11.109301323965237,83.77777777777777,20.055555555555557,88.89069867603473
0.32122946,-72.21052631578948,340506.94736842107,0.0032364654,0.0032364654,80.83736972229487,0.13157894736842105,0.0077823577,139925,-40.83047863737394,3828,9671.349795341492,0.0,0.868421052631579,13.167743587810268,83.13157894736842,20.789473684210527,86.83225641218972
0.22878647,-72.12962962962963,340271.4074074074,0.008289375,0.008289375,80.78219793352643,0.6296296296296297,0.007874449,149906,-45.89213852712569,3882,9818.954151630402,0.0,0.37037037037037035,13.234242424278307,83.07407407407408,20.85185185185185,86.76575757572172
0.18658552,-71.55,341913.6,0.0030154572,0.0030154572,81.15472307813903,0.275,0.0051815934,159770,-41.078081001475475,3922,9935.952531576157,0.0,0.725,14.348506424809795,83.475,20.45,85.65149357519022
0.25101012,-73.38888888888889,341902.22222222225,0.0038068253,0.0038068253,81.18045748279167,0.16666666666666666,0.005319708,169772,-40.43109132888473,3958,10042.441021203995,0.0,0.8333333333333334,12.139610157742151,83.47222222222223,20.416666666666668,87.86038984225783
0.31888285,-70.89189189189189,341075.02702702704,0.007415445,0.007415445,80.94751512557745,0.1891891891891892,0.010061369,179763,-38.8209166780963,3995,10148.81960773468,0.0,0.8108108108108109,14.863666080977586,83.27027027027027,20.675675675675677,85.1363339190224
0.22811821,-71.3265306122449,340887.51020408166,0.0072561232,0.0072561232,80.92724765847576,0.6530612244897959,0.006722122,189862,-42.97096279010786,4044,10279.318984270096,0.0,0.3469387755102041,14.303992046537983,83.22448979591837,20.693877551020407,85.69600795346203
0.32117397,-70.52631578947368,338997.8947368421,0.005284198,0.005284198,80.49663079316238,0.21052631578947367,0.0071327994,199740,-40.221796815615654,4082,10391.2015914917,0.0,0.7894736842105263,14.857493410145594,82.76315789473684,21.157894736842106,85.1425065898544
0.22948003,-70.19148936170212,338573.6170212766,0.006691383,0.006691383,80.37161237587844,0.5106382978723404,0.0066811587,209781,-42.1645375229447,4129,10522.715015411377,0.0,0.48936170212765956,15.120634090912162,82.65957446808511,21.29787234042553,84.87936590908784
0.19238959,-71.12820512820512,339232.8205128205,0.0061187423,0.0061187423,80.56788512224674,0.2564102564102564,0.0061127935,219742,-40.2040406032209,4168,10635.262806415558,0.0,0.7435897435897436,14.1456435755771,82.82051282051282,21.076923076923077,85.8543564244229
0.23875293,-71.62162162162163,340300.1081081081,0.0044801147,0.0044801147,80.81450653751321,0.10810810810810811,0.003848751,229860,-38.89754232916046,4205,10743.344218730927,0.0,0.8918918918918919,13.848422571574545,83.08108108108108,20.81081081081081,86.15157742842545
0.18170117,-72.25641025641026,340388.10256410256,0.005340619,0.005340619,80.80886098453706,0.1282051282051282,0.0057336376,239908,-41.52848535169625,4244,10856.755255937576,0.0,0.8717948717948718,13.097583086947676,83.1025641025641,20.82051282051282,86.90241691305233
0.28189492,-72.71428571428571,339616.9142857143,0.0069783805,0.0069783805,80.641629565848,0.02857142857142857,0.010235735,249956,-39.73752892785741,4279,10963.801710367203,0.0,0.9714285714285714,12.347017742403162,82.91428571428571,21.0,87.65298225759688
0.2534387,-69.67567567567568,340521.5135135135,0.0036287033,0.0036287033,80.8219495019092,0.2972972972972973,0.0038070565,259827,-38.68891843175671,4316,11075.923945426941,0.0,0.7027027027027027,16.23901044227205,83.13513513513513,20.81081081081081,83.76098955772794
0.2860184,-71.26315789473684,339644.63157894736,0.0043318574,0.0043318574,80.60286841940082,0.05263157894736842,0.0058919135,269816,-40.60409518874312,4354,11185.350740909576,0.0,0.9473684210526315,14.086674066769227,82.92105263157895,21.05263157894737,85.91332593323074
0.298526,-70.41025641025641,341858.46153846156,0.0053191553,0.0053191553,81.10684247555325,0.2564102564102564,0.0067507257,279802,-38.99607571111853,4393,11296.800936698914,0.0,0.7435897435897436,15.671117539914563,83.46153846153847,20.512820512820515,84.32888246008545
0.23072751,-68.875,338022.4,0.0028407485,0.0028407485,80.2540938096175,0.425,0.0048660645,289737,-39.15350339492228,4433,11409.41159439087,0.0,0.575,16.580809687422335,82.525,21.425,83.41919031257767
0.20881023,-70.9,341094.4,0.004111142,0.004111142,81.00950042026531,0.275,0.0053148856,299946,-40.57690412618956,4473,11521.070406913757,0.0,0.725,14.951310868035979,83.275,20.6,85.04868913196401
0.29066017,-71.13513513513513,341407.13513513515,0.0051528946,0.0051528946,81.06740300100775,0.05405405405405406,0.008195942,309932,-39.51888336495137,4510,11629.031727552414,0.0,0.9459459459459459,14.689182129826678,83.35135135135135,20.54054054054054,85.31081787017332
0.31901762,-68.8157894736842,337920.0,0.0036650116,0.0036650116,80.2121661869176,0.18421052631578946,0.005976988,319996,-38.69525484630779,4548,11738.797828674316,0.0,0.8157894736842105,16.606254354976485,82.5,21.473684210526315,83.39374564502351
0.23293418,-68.91304347826087,339611.82608695654,0.0050213714,0.0050213714,80.60928216519603,0.6304347826086957,0.006842068,329891,-41.54468127317308,4594,11865.593796730042,0.0,0.3695652173913043,16.900750737521005,82.91304347826087,21.043478260869566,83.099249262479
0.23024549,-70.39024390243902,341666.34146341466,0.0051540146,0.0051540146,81.07979683915408,0.36585365853658536,0.005529188,339721,-41.05618253200797,4635,11978.915228843689,0.0,0.6341463414634146,15.630256151168721,83.41463414634147,20.536585365853657,84.36974384883128
0.20094627,-69.63157894736842,340722.5263157895,0.001716082,0.001716082,80.88844752672378,0.21052631578947367,0.0050401245,349754,-38.99164482288084,4673,12089.528883695602,0.0,0.7894736842105263,16.30410619875684,83.1842105263158,20.736842105263158,83.69589380124314
