AttNC,entropy,TimeElapsed,optimgain,MtR,AttC,TtR,surrgain,entloss,TimestepsSoFar,Fce,meankl,EpisodesSoFar
2.6,1.4262661,97.0312750339508,8.841385e-05,25.149363315308104,7.4,435.5,8.841385e-05,0.0,10000,0.1742,0.0015240295,40
2.6341463414634148,1.4223623,202.2483365535736,0.0005900296,27.142314194486467,7.365853658536586,474.390243902439,0.0005900296,0.0,19872,0.19145403078832063,0.0011198473,81
2.4313725490196076,1.4109678,297.27895641326904,0.0012150381,22.691848308819498,7.568627450980392,386.6666666666667,0.0012150381,0.0,29913,0.18463617972881516,0.006917345,132
1.8253968253968254,1.4039271,399.15994238853455,0.002552486,22.73827966281835,8.174603174603174,369.8412698412698,0.002552486,0.0,39824,0.19967093213289916,0.0046218117,195
2.1470588235294117,1.3945202,498.7098562717438,0.0023314944,23.86046731711094,7.852941176470588,386.7647058823529,0.0023314944,0.0,49762,0.2129936836615242,0.003337329,263
1.945054945054945,1.3811069,602.1127603054047,0.0013966616,19.825036982694275,8.054945054945055,310.65934065934067,0.0013966616,0.0,59868,0.2131608771081926,0.0014956231,354
3.9076923076923076,1.3687856,705.740485906601,0.0007449933,30.519827493506124,6.092307692307692,504.61538461538464,0.0007449933,0.0,69840,0.26920360131540266,0.0015174748,419
2.825,1.3746781,803.0114207267761,0.0010758218,23.228555476785978,7.175,372.375,0.0010758218,0.0,79895,0.23604184840329578,0.0013916824,499
4.242424242424242,1.3683606,900.5089447498322,0.00074235717,32.20227466373632,5.757575757575758,537.2727272727273,0.00074235717,0.0,89871,0.27534635597067136,0.0017020124,565
3.984126984126984,1.3687605,1001.1026096343994,0.0018982735,29.703742412595552,6.015873015873016,493.015873015873,0.0018982735,0.0,99922,0.25302041120699414,0.0035484107,628
3.305084745762712,1.3616946,1098.6812646389008,0.0013298665,29.518812649603625,6.694915254237288,488.47457627118644,0.0013298665,0.0,109853,0.24419013220906083,0.003127344,687
4.38,1.3419929,1192.4120063781738,0.0010377477,41.79248641845674,5.62,709.4,0.0010377477,0.0,119846,0.3134228367733652,0.002752819,737
4.547169811320755,1.3345827,1289.7391068935394,0.0019462833,43.89858444893822,5.452830188679245,746.4150943396227,0.0019462833,0.0,129802,0.3376183844293547,0.0033035895,790
4.0508474576271185,1.3260015,1392.4155142307281,0.0008820959,38.76962306018104,5.9491525423728815,651.0169491525423,0.0008820959,0.0,139898,0.3143346754820941,0.0022496532,849
3.7971014492753623,1.3057737,1491.3589885234833,0.0015889903,38.991932843516985,6.202898550724638,649.8550724637681,0.0015889903,0.0,149924,0.3382139397591185,0.0026143757,918
4.207792207792208,1.2748421,1591.5259354114532,0.0013257314,40.4819751246221,5.792207792207792,679.4805194805194,0.0013257314,0.0,159996,0.3613315603468997,0.001993033,995
7.294117647058823,1.267505,1692.8049919605255,0.0009455495,64.59728599517943,2.7058823529411766,1113.3333333333333,0.0009455495,0.0,169791,0.492918938911061,0.0017896997,1046
6.543859649122807,1.2431067,1791.03910446167,0.0010635488,60.24496082689238,3.456140350877193,1042.280701754386,0.0010635488,0.0,179804,0.46758953073380044,0.00366666,1103
6.203389830508475,1.2260128,1890.219985485077,0.0009244319,62.90992276527404,3.7966101694915255,1083.5593220338983,0.0009244319,0.0,189841,0.49984520365176094,0.0013519123,1162
6.7592592592592595,1.1919398,1989.9656822681427,0.0011828563,66.97900522647241,3.240740740740741,1155.5555555555557,0.0011828563,0.0,199824,0.5126467072459211,0.0024904127,1216
6.836363636363636,1.1636491,2087.1239166259766,0.00092414184,71.99621163892694,3.1636363636363636,1241.090909090909,0.00092414184,0.0,209857,0.5413343629757535,0.003450422,1271
7.113207547169812,1.1441814,2187.316423892975,0.00066786376,80.19570685777933,2.8867924528301887,1387.7358490566037,0.00066786376,0.0,219828,0.6129991441272321,0.0008040871,1324
6.9245283018867925,1.1191883,2281.607258796692,0.0009829893,80.06736700097888,3.0754716981132075,1380.0,0.0009829893,0.0,229792,0.5948262406056226,0.0014519941,1377
7.895833333333333,1.0852088,2376.689040660858,0.0011718414,92.04841404345729,2.1041666666666665,1591.6666666666667,0.0011718414,0.0,239809,0.6754824738726465,0.0025845692,1425
8.122448979591837,1.0511284,2479.0655529499054,0.00076673605,97.99587171847023,1.8775510204081634,1704.2857142857142,0.00076673605,0.0,249934,0.732627768604998,0.0026558987,1474
8.6,1.0258973,2568.881433725357,0.00055718876,107.86201893025239,1.4,1880.4444444444443,0.00055718876,0.0,259866,0.7811171418344108,0.0022655155,1519
8.27659574468085,0.97375983,2668.9673426151276,0.0004264405,107.91879161214803,1.7234042553191489,1879.787234042553,0.0004264405,0.0,269838,0.7849184019755095,0.0028859612,1566
8.456521739130435,0.92574173,2761.4773812294006,0.00036289613,112.58993856432122,1.5434782608695652,1962.608695652174,0.00036289613,0.0,279759,0.819526272222123,0.0035101655,1612
8.1875,0.88002217,2861.187953710556,0.0002451343,111.37005412058164,1.8125,1943.75,0.0002451343,0.0,289887,0.8170111229499774,0.0025298104,1660
8.695652173913043,0.7848319,2958.30059671402,9.196306e-05,120.66579656627472,1.3043478260869565,2108.695652173913,9.196306e-05,0.0,299963,0.8663538962943997,0.009664655,1706
9.523809523809524,0.882428,3061.302371263504,0.0002706629,133.56005835186227,0.47619047619047616,2337.8571428571427,0.0002706629,0.0,309969,0.9429841269841271,0.008933416,1748
8.795454545454545,0.7848319,3158.823993206024,0.00037678436,121.74940300951825,1.2045454545454546,2129.5454545454545,0.00037678436,0.0,319776,0.8730025055158744,0.010174781,1792
