surrgain,AttC,Tmc,Tbt,Ptt,meankl,MpbtA,MpbtN,optimgain,entloss,entropy,TimestepsSoFar,EpisodesSoFar,TimeElapsed,MtR,AttNC,TtR,Tmt
0.00863493,3.0,23.726608187134502,328769.8713450292,78.11691046641202,0.0089335,5.189299124616812,94.81070087538302,0.00863493,0.0,0.6842378,9999,684,1508.7514221668243,-71.11047878680105,0.0,-228.25,80.26608187134502
0.0062431265,3.0,23.415672913117547,330031.53662691655,78.40571303592068,0.010033089,6.2300708476358775,93.7699291523641,0.0062431265,0.0,0.65626955,19986,1271,2811.0662393569946,-69.78594283273486,0.0,-226.59965928449745,80.5741056218058
0.008262887,3.0,23.12877263581489,331199.0985915493,78.67244834198941,0.009924731,7.0670231003044295,92.93297689969553,0.008262887,0.0,0.6111053,29993,1768,3969.0100989341736,-68.37487976269392,0.0,-225.3682092555332,80.85915492957747
0.006859388,3.0,22.632,333272.40533333336,79.13717153355292,0.0074726534,8.562096814610678,91.4379031853893,0.006859388,0.0,0.57059455,39993,2143,4828.068465471268,-65.78294182881528,0.0,-223.152,81.36533333333334
0.00881735,3.0,22.561338289962826,333557.531598513,79.20344661123598,0.008879984,10.170658277659426,89.82934172234059,0.00881735,0.0,0.51630044,49992,2412,5441.801273822784,-61.879645087618854,0.0,-219.41263940520446,81.43494423791822
0.008506744,3.0,22.4375,333977.6,79.31466618953921,0.0089127915,13.873400853452452,86.12659914654753,0.008506744,0.0,0.4590256,59957,2572,5817.241923332214,-54.094492894090685,0.0,-210.6375,81.5375
0.005631705,2.75,22.77777777777778,332629.3333333333,79.00234104648003,0.00674881,22.30981587208863,77.6901841279114,0.005631705,0.0,0.4214129,69983,2644,5985.50949215889,-41.024434010718124,0.25,-189.25,81.20833333333333
0.0016606624,1.9111111111111112,24.377777777777776,326132.6222222222,77.51546004153118,0.0026782951,30.234991806153843,69.76500819384617,0.0016606624,0.0,0.38014808,79750,2689,6106.858833789825,-32.659508063091394,1.0888888888888888,-166.8,79.62222222222222
0.002260529,1.5116279069767442,25.0,323584.0,76.93692295735254,0.0059226276,30.519597447625095,69.48040255237491,0.002260529,0.0,0.40131888,89922,2732,6225.950340509415,-31.686985440726914,1.4883720930232558,-164.72093023255815,79.0
0.0035564331,2.3653846153846154,24.403846153846153,326025.8461538461,77.49123853487481,0.0074575944,26.328475920882035,73.67152407911796,0.0035564331,0.0,0.41195545,99970,2784,6363.324918746948,-35.28640817179315,0.6346153846153846,-176.01923076923077,79.59615384615384
0.006030784,0.75,23.525,329625.6,78.31297797962961,0.009818054,29.713996154689802,70.2860038453102,0.006030784,0.0,0.35398483,109847,2824,6482.0493676662445,-32.983190721040756,2.25,-169.8,80.475
0.001977909,2.425531914893617,25.361702127659573,322102.4680851064,76.59787822789599,0.0031047447,33.82792718501427,66.17207281498573,0.001977909,0.0,0.3987644,119853,2871,6605.247751235962,-30.623047550958248,0.574468085106383,-156.31914893617022,78.63829787234043
0.00202848,1.6666666666666667,24.866666666666667,324130.13333333336,77.06117727378006,0.0032305608,32.36866696016822,67.63133303983179,0.00202848,0.0,0.37038407,129998,2916,6725.796110153198,-31.8246509046614,1.3333333333333333,-160.6,79.13333333333334
0.0027516857,1.0952380952380953,24.976190476190474,323681.5238095238,76.95969989275216,0.006810813,35.94245005268582,64.05754994731421,0.0027516857,0.0,0.3422087,139785,2958,6838.766901254654,-30.402279926895662,1.9047619047619047,-152.0,79.02380952380952
0.0021590504,2.3043478260869565,26.02173913043478,319398.95652173914,75.98412793894283,0.003877632,33.746498208857794,66.25350179114218,0.0021590504,0.0,0.41342008,149931,3004,6957.6547656059265,-30.58331445308191,0.6956521739130435,-155.02173913043478,77.97826086956522
0.0021365618,1.9130434782608696,25.108695652173914,323138.7826086957,76.83501790837485,0.003846743,34.803218865658565,65.19678113434144,0.0021365618,0.0,0.37995878,159845,3050,7083.125867843628,-30.73337074589522,1.0869565217391304,-154.69565217391303,78.8913043478261
0.0024451395,1.4090909090909092,25.977272727272727,319581.0909090909,76.02652252884481,0.0048276247,37.23110115519667,62.76889884480333,0.0024451395,0.0,0.37367883,169908,3094,7203.314762592316,-29.274043002707707,1.5909090909090908,-147.0681818181818,78.02272727272727
0.0021125213,2.0444444444444443,24.91111111111111,323948.0888888889,77.01873323289875,0.0044238414,36.538307957436835,63.46169204256317,0.0021125213,0.0,0.37331185,179953,3139,7321.071055173874,-30.187611157274173,0.9555555555555556,-150.6,79.08888888888889
0.0024648437,1.9111111111111112,26.377777777777776,317940.6222222222,75.6512614653923,0.003829041,36.79230799086074,63.20769200913925,0.0024648437,0.0,0.40462846,189990,3184,7441.940411329269,-28.944752299067428,1.0888888888888888,-147.26666666666668,77.62222222222222
0.003859723,2.1702127659574466,24.574468085106382,325326.97872340423,77.3321490131398,0.0065531465,34.014870044192115,65.98512995580788,0.003859723,0.0,0.37570503,199947,3231,7562.131887435913,-31.61550280747633,0.8297872340425532,-157.53191489361703,79.42553191489361
0.0041177003,0.9772727272727273,25.386363636363637,322001.45454545453,76.57750716654502,0.007863905,37.99134719793741,62.008652802062606,0.0041177003,0.0,0.38025427,209923,3275,7675.954638242722,-29.84205446022014,2.022727272727273,-146.38636363636363,78.61363636363636
0.003685856,2.108695652173913,26.82608695652174,316104.347826087,75.2324742575887,0.0060535716,38.77110605487967,61.22889394512033,0.003685856,0.0,0.33878887,219812,3321,7793.835787534714,-28.526700842478878,0.8913043478260869,-142.1086956521739,77.17391304347827
