optimgain,Tmt,meankl,Tbt,MpbtN,TimestepsSoFar,entloss,MtR,TimeElapsed,EpisodesSoFar,TtR,surrgain,AttC,MpbtA,AttNC,Tmc,Ptt,entropy
0.0090347035,80.19364161849711,0.008297921,328473.15606936417,94.87376737013628,9987,0.0,-71.15387694827851,1571.1890892982483,692,-228.1777456647399,0.0090347035,3.0,5.126232629863667,0.0,23.80057803468208,78.0478188357965,0.6848559
0.0071615144,80.52512998266897,0.008163293,329830.9324090121,93.77336962989548,19999,0.0,-69.63737109062266,2891.42160654068,1269,-226.48700173310226,0.0071615144,3.0,6.226630370104482,0.0,23.469670710571922,78.35661622332991,0.66167694
0.009906822,81.14137214137214,0.008983734,332355.0602910603,92.57632144403955,29985,0.0,-68.17196593887205,3982.29780292511,1750,-225.2806652806653,0.009906822,3.0,7.42367855596047,0.0,22.846153846153847,78.93604135819716,0.6220471
0.012144445,81.31233595800525,0.009237343,333055.3280839895,91.33892373715881,39986,0.0,-65.7647518405358,4867.184240102768,2131,-222.7244094488189,0.012144445,3.0,8.66107626284119,0.0,22.671916010498688,79.09769895758444,0.57030654
0.010461044,81.73015873015873,0.008756898,334766.7301587302,89.67153595280114,49978,0.0,-61.50650330990756,5449.825254678726,2383,-219.82142857142858,0.010461044,3.0,10.328464047198901,0.0,22.246031746031747,79.49277068571502,0.52166426
0.010364232,81.29007633587786,0.008408339,332964.1526717557,85.798318174518,59994,0.0,-51.923046274231545,5742.536852121353,2514,-209.19847328244273,0.010364232,2.984732824427481,14.201681825481996,0.015267175572519083,22.671755725190838,79.09505592210218,0.47575742
0.0049718292,80.51063829787235,0.00636067,329771.57446808513,77.3620976590191,69789,0.0,-36.737552592325116,5870.212547779083,2561,-186.82978723404256,0.0049718292,2.425531914893617,22.63790234098089,0.574468085106383,23.48936170212766,78.3420082020521,0.43163413
0.002644939,80.45,0.0034745678,329523.2,72.73026913736255,79787,0.0,-32.846462472523896,5982.010193347931,2601,-175.8,0.002644939,1.5,27.269730862637438,1.5,23.55,78.28690033425987,0.28983733
0.0039808364,80.36842105263158,0.004991283,329189.05263157893,76.96815182341899,89853,0.0,-34.66262017754529,6092.287372350693,2639,-185.68421052631578,0.0039808364,0.8157894736842105,23.031848176580983,2.1842105263157894,23.63157894736842,78.20995885690716,0.26433837
0.003990223,80.67441860465117,0.004470244,330442.4186046512,70.64256768001151,99809,0.0,-33.68795663418764,6210.015809059143,2682,-171.2093023255814,0.003990223,1.7209302325581395,29.35743231998849,1.2790697674418605,23.302325581395348,78.5140272537677,0.3321403
0.0054903706,79.1219512195122,0.006400476,324083.51219512196,65.91721636062145,109896,0.0,-31.01793712202177,6325.357006549835,2723,-156.58536585365854,0.0054903706,0.975609756097561,34.082783639378576,2.024390243902439,24.878048780487806,77.04859166401341,0.34349483
0.00464786,78.67391304347827,0.0057214,322248.347826087,65.90362757330814,119958,0.0,-31.308121044783658,6445.920519590378,2769,-155.7391304347826,0.00464786,2.239130434782609,34.09637242669186,0.7608695652173914,25.32608695652174,76.63326708449624,0.34262943
0.00480036,78.93023255813954,0.0052623516,323298.23255813954,63.85092597801718,129969,0.0,-30.434564388803754,6558.590016365051,2812,-151.53488372093022,0.00480036,1.627906976744186,36.1490740219828,1.372093023255814,25.069767441860463,76.87198874798705,0.356701
0.0034702667,77.51063829787235,0.0033366585,317483.57446808513,64.2177481839069,139786,0.0,-30.58998463800335,6681.59699344635,2859,-149.4255319148936,0.0034702667,2.4468085106382977,35.7822518160931,0.5531914893617021,26.48936170212766,75.54621581826262,0.33372286
0.0031753108,78.19565217391305,0.0036081055,320289.39130434784,63.35293328447397,149908,0.0,-30.136767011676124,6802.1395807266235,2905,-148.69565217391303,0.0031753108,1.9565217391304348,36.64706671552606,1.0434782608695652,25.804347826086957,76.1863728002445,0.30987173
0.0038415014,78.09302325581395,0.0042776424,319869.0232558139,63.204582184397076,159886,0.0,-29.900194744022198,6918.355335474014,2948,-148.11627906976744,0.0038415014,1.302325581395349,36.79541781560294,1.697674418604651,25.906976744186046,76.09176134479877,0.34876755
0.0049322313,77.11627906976744,0.005382253,315868.27906976745,59.70658180124556,169999,0.0,-27.42049785982773,7032.513726711273,2991,-138.2093023255814,0.0049322313,1.6046511627906976,40.293418198754445,1.3953488372093024,26.88372093023256,75.18022908417055,0.33389613
0.0057245973,77.4047619047619,0.0068364297,317049.90476190473,59.38745086497465,179810,0.0,-27.834334838761862,7145.7817578315735,3033,-137.92857142857142,0.0057245973,1.380952380952381,40.612549135025354,1.619047619047619,26.595238095238095,75.44831494080931,0.37954003
0.003755903,77.61702127659575,0.0050835847,317919.3191489362,62.093053366027185,189880,0.0,-28.950747375871863,7263.088774442673,3080,-144.7659574468085,0.003755903,2.25531914893617,37.906946633972815,0.7446808510638298,26.382978723404257,75.64622221817041,0.32465455
0.0033720206,76.95348837209302,0.003674847,315201.488372093,59.09002841076599,199779,0.0,-27.996511160103843,7375.277886629105,3123,-136.46511627906978,0.0033720206,1.3255813953488371,40.909971589234026,1.6744186046511629,27.069767441860463,75.01187314310522,0.33238932
0.005448032,77.48837209302326,0.0050320965,317392.37209302327,59.59814818791133,209940,0.0,-27.676222770137084,7488.024194717407,3166,-138.5581395348837,0.005448032,1.4186046511627908,40.40185181208867,1.5813953488372092,26.511627906976745,75.52632560884452,0.3524558
