AttC,surrgain,TimestepsSoFar,MtR,AttNC,entloss,meankl,optimgain,Fce,TimeElapsed,TtR,entropy,EpisodesSoFar
1.024390243902439,0.0007573456,1479912,15.62509553897583,1.975609756097561,0.0,0.0018756505,0.0007573456,0.11555400696864111,9608.981052398682,81.58536585365853,1.4278588,6840
1.4042553191489362,0.00086992467,1489997,13.687377307991648,1.5957446808510638,0.0,0.007718422,0.00086992467,0.14103925681750076,9666.781789302826,72.38297872340425,1.4280158,6887
1.2954545454545454,0.0010398657,1499860,15.180543015767713,1.7045454545454546,0.0,0.0018448404,0.0010398657,0.11995262707053587,9729.77055311203,78.4090909090909,1.4218377,6931
1.297872340425532,0.0012074148,1509953,14.741525543889859,1.702127659574468,0.0,0.0018536644,0.0012074148,0.1062927595664794,9788.537713050842,76.91489361702128,1.432655,6978
1.5918367346938775,0.00085944415,1519754,14.367006819314488,1.4081632653061225,0.0,0.001451057,0.00085944415,0.13709245406284898,9855.801929950714,74.3265306122449,1.4471463,7027
1.4,0.0010735511,1529861,15.367900547285577,1.6,0.0,0.0043297717,0.0010735511,0.11262489557226403,9921.341703891754,79.13333333333334,1.4551651,7072
1.3829787234042554,0.0010710647,1539898,15.418913005948914,1.6170212765957446,0.0,0.0064210664,0.0010710647,0.13194011032308908,9983.40815615654,80.42553191489361,1.4480008,7119
1.3488372093023255,0.0012280283,1549798,18.160895252403293,1.6511627906976745,0.0,0.0051706573,0.0012280283,0.1272337292956333,10046.941626787186,93.97674418604652,1.4520234,7162
1.1904761904761905,0.0012869466,1559806,16.505231423941854,1.8095238095238095,0.0,0.004049721,0.0012869466,0.11571428571428577,10114.852418661118,86.78571428571429,1.4505183,7204
1.3,0.0006921771,1569852,14.022600190881738,1.7,0.0,0.0008257436,0.0006921771,0.1223753846153846,10174.370121479034,73.56,1.4416388,7254
1.375,0.00078687666,1579966,14.763967243504538,1.625,0.0,0.0029666778,0.00078687666,0.11377279093455567,10250.946435213089,77.3125,1.4395404,7302
1.3255813953488371,0.0009688817,1589999,17.090436360915156,1.6744186046511629,0.0,0.0016179794,0.0009688817,0.12130232558139538,10305.656935691833,89.09302325581395,1.443688,7345
1.3170731707317074,0.0007401418,1599757,17.63287379306523,1.6829268292682926,0.0,0.0068167998,0.0007401418,0.12370731707317073,10370.534971237183,92.78048780487805,1.4371687,7386
1.0909090909090908,6.9377136e-05,1609777,15.129631690811514,1.9090909090909092,0.0,0.0027356239,6.9377136e-05,0.11179220779220783,10427.319211006165,78.13636363636364,1.4490958,7430
1.1666666666666667,0.00044853007,1619787,15.386992942483118,1.8333333333333333,0.0,0.008484738,0.00044853007,0.11178231292517012,10503.061519861221,81.35714285714286,1.4631349,7472
1.3265306122448979,0.00015730184,1629942,13.479853158605327,1.6734693877551021,0.0,0.0024415897,0.00015730184,0.09721831589778773,10558.579806804657,69.9795918367347,1.4964607,7521
1.125,0.00013108864,1639839,17.191943815835828,1.875,0.0,0.0037688557,0.00013108864,0.123721768707483,10627.770226478577,91.425,1.4898571,7561
1.4583333333333333,0.00079874066,1649891,15.440761534911871,1.5416666666666667,0.0,0.010112188,0.00079874066,0.11791626409017715,10685.82973241806,80.0,1.4842893,7609
