AttC,MtR,optimgain,TimestepsSoFar,AttNC,surrgain,Fce,entloss,meankl,TimeElapsed,EpisodesSoFar,TtR,entropy
1.9615384615384615,15.020671955782811,3.4362793e-06,2519903,1.0384615384615385,3.4362793e-06,0.14038827838827836,0.0,0.008933181,12516.217688560486,12650,78.51923076923077,2.9612546
1.9807692307692308,15.211211345862697,3.058726e-05,2529766,1.0192307692307692,3.058726e-05,0.13688794965718046,0.0,0.010174845,12567.320882320404,12702,79.32692307692308,2.8636823
1.7173913043478262,17.530059130297197,2.065328e-05,2539788,1.2826086956521738,2.065328e-05,0.14684472049689443,0.0,0.008933181,12613.120619058609,12748,91.6304347826087,2.9612546
1.9655172413793103,14.007002920861057,5.0272624e-06,2549990,1.0344827586206897,5.0272624e-06,0.10674260573354473,0.0,0.008933181,12664.436794519424,12806,72.05172413793103,3.0588422
1.9433962264150944,14.674987967269812,2.8231812e-05,2559892,1.0566037735849056,2.8231812e-05,0.13706398677553536,0.0,0.010174852,12715.58108139038,12859,76.81132075471699,2.9612546
1.8541666666666667,17.44420482402934,3.035965e-05,2569998,1.1458333333333333,3.035965e-05,0.13360964912280704,0.0,0.010174744,12766.602135419846,12907,90.5625,2.8636937
1.75,18.034802623701122,3.8225808e-06,2579797,1.25,3.8225808e-06,0.15655411255411256,0.0,0.008933494,12813.19114112854,12951,94.02272727272727,2.9612546
2.135593220338983,14.221075050821481,2.3991903e-05,2589763,0.864406779661017,2.3991903e-05,0.14459953524934854,0.0,0.010174752,12863.21923494339,13010,74.64406779661017,2.8636937
1.72,16.32418363464729,1.1835225e-05,2599791,1.28,1.1835225e-05,0.16733333333333333,0.0,0.010174776,12916.465809583664,13060,85.74,2.7661076
2.0,14.263637071027706,2.7541733e-05,2609894,1.0,2.7541733e-05,0.14110954492843308,0.0,0.010174776,12964.926229000092,13119,74.64406779661017,2.6684773
1.9821428571428572,14.782809692690028,1.1908976e-05,2619982,1.0178571428571428,1.1908976e-05,0.14858516420922435,0.0,0.010174758,13012.509674310684,13175,76.98214285714286,2.5709028
1.5348837209302326,18.45044244534058,2.9766845e-05,2629774,1.4651162790697674,2.9766845e-05,0.153602862254025,0.0,0.010174845,13061.097306251526,13218,95.30232558139535,2.4733062
1.6346153846153846,16.042464129219585,6.0943603e-06,2639882,1.3653846153846154,6.0943603e-06,0.14207570207570208,0.0,0.010174776,13114.513712406158,13270,82.5,2.3757322
1.78,15.667410293970178,2.6864116e-05,2649948,1.22,2.6864116e-05,0.16492776556776556,0.0,0.010175057,13162.948489904404,13320,81.18,2.2781641
1.7083333333333333,15.842161323041163,4.4778444e-05,2659781,1.2916666666666667,4.4778444e-05,0.13798137973137972,0.0,0.008933174,13213.88641667366,13368,81.8125,2.3757322
1.803921568627451,15.32943077541772,1.7746988e-05,2669866,1.196078431372549,1.7746988e-05,0.14849173184756598,0.0,0.008933181,13257.299039125443,13419,79.58823529411765,2.4733062
2.036363636363636,15.370069920018187,5.2068073e-05,2679989,0.9636363636363636,5.2068073e-05,0.14114417413572342,0.0,0.010174758,13310.595157146454,13474,80.07272727272728,2.3757322
1.88,15.054478954752677,2.5541942e-05,2689864,1.12,2.5541942e-05,0.11762091503267973,0.0,0.010175057,13360.341786623001,13524,78.66,2.2781641
1.72,16.02486245075596,1.3308716e-05,2699960,1.28,1.3308716e-05,0.11516498316498318,0.0,0.010174845,13411.937511920929,13574,84.3,2.1805425
1.5217391304347827,16.472787829543943,3.522746e-05,2709992,1.4782608695652173,3.522746e-05,0.14934575569358174,0.0,0.008933181,13457.736836910248,13620,86.93478260869566,2.2781641
1.6,16.51680965546877,4.832967e-06,2719762,1.4,4.832967e-06,0.11360000000000005,0.0,0.010174845,13508.12278175354,13665,85.2,2.1805425
1.7755102040816326,15.6553288455218,1.2092177e-05,2729827,1.2244897959183674,1.2092177e-05,0.1452371745690757,0.0,0.008933174,13562.63790345192,13714,81.24489795918367,2.2781641
1.8125,16.257138879702413,1.49851485e-05,2739849,1.1875,1.49851485e-05,0.1215039682539683,0.0,0.010174758,13613.10057926178,13762,83.8125,2.1805425
1.6170212765957446,16.431858914853525,6.41339e-05,2749896,1.3829787234042554,6.41339e-05,0.14254708337575073,0.0,0.008933181,13660.713281869888,13809,85.91489361702128,2.2781641
1.7894736842105263,13.133667554446589,3.1513977e-05,2759806,1.2105263157894737,3.1513977e-05,0.10257122542607047,0.0,0.010174744,13711.682954072952,13866,68.6842105263158,2.1805425
1.607843137254902,15.245166927446023,4.1967774e-05,2769865,1.392156862745098,4.1967774e-05,0.12985620915032678,0.0,0.008933181,13767.112191677094,13917,79.17647058823529,2.2781641
1.7647058823529411,15.671048197870704,4.87559e-05,2779954,1.2352941176470589,4.87559e-05,0.12873132050841032,0.0,0.010174776,13814.66273856163,13968,80.94117647058823,2.1805425
1.625,15.889342558315027,8.967692e-05,2789986,1.375,8.967692e-05,0.11480952380952385,0.0,0.010174776,13863.746526002884,14016,83.9375,2.0829778
1.553191489361702,15.998506503889129,4.2576597e-05,2799784,1.446808510638298,4.2576597e-05,0.12687875717662953,0.0,0.010174758,13910.591317176819,14063,82.97872340425532,1.985358
1.6136363636363635,16.602977499371033,2.9101435e-05,2809800,1.3863636363636365,2.9101435e-05,0.1410661157024793,0.0,0.008933174,13965.341977119446,14107,87.3409090909091,2.0829778
1.3953488372093024,18.498018906739066,0.00017345378,2819807,1.6046511627906976,0.00017345378,0.15919379844961243,0.0,0.010174845,14014.564921855927,14150,96.27906976744185,1.985358
1.5416666666666667,15.245023039757626,2.0418804e-05,2829855,1.4583333333333333,2.0418804e-05,0.11415432098765432,0.0,0.010174744,14063.510787010193,14198,79.4375,1.8877903
1.2045454545454546,15.911116265843605,4.96226e-05,2839861,1.7954545454545454,4.96226e-05,0.11163636363636363,0.0,0.008933181,14109.745703697205,14242,83.72727272727273,1.985358
1.6818181818181819,16.432158003908736,2.799708e-05,2849875,1.3181818181818181,2.799708e-05,0.12284848484848485,0.0,0.010174852,14164.831275701523,14286,86.52272727272727,1.8877894
1.5416666666666667,15.28014971791403,1.31841025e-05,2859903,1.4583333333333333,1.31841025e-05,0.10801923076923074,0.0,0.008933181,14215.68560218811,14334,79.875,1.985358
