TimeElapsed,EpisodesSoFar,TimestepsSoFar,entropy,AttC,MtR,entloss,AttNC,surrgain,optimgain,Fce,TtR,meankl
10211.013080358505,9855,2019822,1.5117291,1.5909090909090908,19.408638822357265,0.0,1.4090909090909092,0.0005109294,0.0005109294,0.14417880435872596,100.97727272727273,0.0059622577
10256.36796283722,9906,2029803,1.4874377,2.0,17.10222190535123,0.0,1.0,0.00034546063,0.00034546063,0.1336100657299933,88.17647058823529,0.0034055796
10312.591932535172,9959,2039928,1.4890916,2.0377358490566038,16.987701468099445,0.0,0.9622641509433962,0.0004850057,0.0004850057,0.14405578960821505,88.01886792452831,0.0048229992
10360.634015083313,10006,2049876,1.4986573,1.6595744680851063,18.293639820776143,0.0,1.3404255319148937,0.0004785792,0.0004785792,0.13845297023584313,95.42553191489361,0.0036861242
10411.512098550797,10053,2059997,1.4929562,1.3617021276595744,17.667259513515052,0.0,1.6382978723404256,0.0007450465,0.0007450465,0.15291093898094585,93.57446808510639,0.007605
10458.573202848434,10098,2069789,1.4688268,1.4666666666666666,17.72553969901583,0.0,1.5333333333333334,0.0009870179,0.0009870179,0.12827240143369179,92.46666666666667,0.009533148
10516.680515050888,10140,2079831,1.4730674,1.2142857142857142,16.32454121139428,0.0,1.7857142857142858,0.0007367586,0.0007367586,0.11763763066202092,87.5,0.008133532
10565.3095536232,10183,2089896,1.479824,1.4651162790697674,17.957107625319168,0.0,1.5348837209302326,0.000523969,0.000523969,0.12885474904079558,93.4186046511628,0.002853194
10617.75730085373,10228,2099953,1.5241289,1.2444444444444445,17.152493554354972,0.0,1.7555555555555555,0.0003599396,0.0003599396,0.15101664925113203,91.73333333333333,0.005316662
10662.045904636383,10273,2109974,1.493533,1.5777777777777777,17.831931252932893,0.0,1.4222222222222223,0.0005756337,0.0005756337,0.13547936507936506,94.66666666666667,0.0065247808
10719.418226718903,10317,2119759,1.5080478,1.5454545454545454,17.766032603286853,0.0,1.4545454545454546,0.0005248469,0.0005248469,0.12554545454545454,94.1590909090909,0.00529233
10766.137283086777,10361,2129835,1.5295323,1.2954545454545454,17.731639878662364,0.0,1.7045454545454546,0.00057938794,0.00057938794,0.13014981628540953,94.02272727272727,0.003225975
10818.950084924698,10406,2139926,1.5744232,1.3777777777777778,18.7085758351929,0.0,1.6222222222222222,0.00048215993,0.00048215993,0.1540873563218391,97.46666666666667,0.003012786
10862.611068964005,10452,2149785,1.575564,1.6956521739130435,17.885408847630732,0.0,1.3043478260869565,0.0003867157,0.0003867157,0.13697012757094085,94.04347826086956,0.003552578
10914.226179122925,10500,2159816,1.5672287,1.7708333333333333,17.345647593467508,0.0,1.2291666666666667,0.00047581687,0.00047581687,0.1289008380487556,88.875,0.0017383061
10960.086747169495,10550,2169966,1.5309271,1.6,16.867644439665042,0.0,1.4,0.000545458,0.000545458,0.13470479224258505,87.78,0.004848023
11014.499315023422,10601,2179984,1.5066704,1.7058823529411764,16.024423704053703,0.0,1.2941176470588236,0.0006330213,0.0006330213,0.14941518022205538,82.76470588235294,0.010113702
11059.591506958008,10647,2189781,1.4375851,1.5,16.126351565412318,0.0,1.5,0.00032285048,0.00032285048,0.1155458937198068,84.91304347826087,0.008780129
11110.026270151138,10690,2199790,1.4631782,1.372093023255814,17.22278572083135,0.0,1.627906976744186,0.0005105525,0.0005105525,0.1250897009966777,91.3953488372093,0.004731545
11155.00481390953,10732,2209808,1.4743624,1.2857142857142858,17.537988396796216,0.0,1.7142857142857142,0.0003745624,0.0003745624,0.12724929971988802,92.5,0.005944213
11208.12549829483,10782,2219860,1.476276,1.52,14.475630728417716,0.0,1.48,0.0007374859,0.0007374859,0.12123555555555557,76.5,0.0069410866
11256.258734941483,10827,2229885,1.5245026,1.5333333333333334,16.452666815645927,0.0,1.4666666666666666,0.0005082367,0.0005082367,0.11537777777777779,86.53333333333333,0.0072086877
11305.266587018967,10872,2239910,1.5204289,1.5777777777777777,18.256485834667604,0.0,1.4222222222222223,0.0007192661,0.0007192661,0.15366153846153846,95.0,0.0072123324
11354.155629873276,10916,2249990,1.5115186,1.4772727272727273,18.9621296194936,0.0,1.5227272727272727,0.0008333323,0.0008333323,0.138021756021756,99.75,0.0064610536
11406.005058288574,10964,2259819,1.48218,1.9583333333333333,17.736114790416316,0.0,1.0416666666666667,0.00035036315,0.00035036315,0.13179660045836514,93.0,0.0056337346
11453.83644580841,11022,2269958,1.4391742,2.189655172413793,16.64760059932283,0.0,0.8103448275862069,0.0005531708,0.0005531708,0.17033005301799822,84.87931034482759,0.0067420877
11501.743569850922,11066,2279826,1.4189072,1.8409090909090908,19.641126922231464,0.0,1.1590909090909092,0.0010120769,0.0010120769,0.14735326491109604,103.1590909090909,0.0069853556
11550.58963894844,11127,2289926,1.4313096,2.278688524590164,15.339059998244911,0.0,0.7213114754098361,0.0004792142,0.0004792142,0.1413404716212481,77.11475409836065,0.005856977
11599.980841636658,11171,2299998,1.4569942,1.4772727272727273,20.996946273405015,0.0,1.5227272727272727,0.00067888695,0.00067888695,0.17909090909090908,111.47727272727273,0.005332193
11650.543603897095,11217,2309835,1.4765601,1.5217391304347827,18.438050742826206,0.0,1.4782608695652173,0.0006318858,0.0006318858,0.13977909384178347,96.32608695652173,0.008545527
11696.966211795807,11266,2319930,1.4616723,1.5918367346938775,17.16449418465437,0.0,1.4081632653061225,0.000772228,0.000772228,0.16809841299157022,89.44897959183673,0.007467563
11746.196766138077,11314,2329865,1.4534935,1.9583333333333333,16.527233886171643,0.0,1.0416666666666667,0.00073975476,0.00073975476,0.12817573438438162,87.375,0.007932709
11798.470734357834,11360,2339891,1.429312,1.4782608695652173,17.59883983698614,0.0,1.5217391304347827,0.0006254959,0.0006254959,0.14698550724637682,91.95652173913044,0.007244938
11846.99185013771,11407,2349944,1.3914318,1.6170212765957446,17.134089731640888,0.0,1.3829787234042554,0.00033878122,0.00033878122,0.12228166160081053,90.31914893617021,0.0038527593
11895.9613199234,11454,2359808,1.3802031,1.6170212765957446,16.479021800091164,0.0,1.3829787234042554,0.0009473816,0.0009473816,0.14462208365700938,86.29787234042553,0.007711272
11942.867987155914,11498,2369840,1.3855833,1.1590909090909092,17.150254362692767,0.0,1.8409090909090908,0.00069485273,0.00069485273,0.12245454545454543,90.0,0.0059300396
