MtR,meankl,optimgain,entloss,AttC,TtR,TimestepsSoFar,TimeElapsed,AttNC,Fce,entropy,surrgain,EpisodesSoFar
5.568101257701704,0.005580112,0.0015525757,0.0,0.7631578947368421,9.342105263157896,9836,40.3457088470459,0.23684210526315788,0.08525202700061989,1.4242989,0.0015525757,152
9.08837235466601,0.0043064207,0.0014601944,0.0,0.5454545454545454,15.818181818181818,19994,81.38597464561462,0.45454545454545453,0.0767619451328203,1.4160022,0.0014601944,240
11.871472148879644,0.0026290878,0.0013267089,0.0,0.417910447761194,20.850746268656717,29836,124.0906331539154,0.582089552238806,0.10901283058392247,1.3776685,0.0013267089,307
11.134415648742076,0.0024734044,0.0007998428,0.0,0.4117647058823529,19.573529411764707,39930,167.4373550415039,0.5882352941176471,0.09553820148749156,1.3584596,0.0007998428,375
12.6455550479104,0.005656712,0.0025574341,0.0,0.3333333333333333,22.1,49990,203.97466158866882,0.6666666666666666,0.0972089635854342,1.321655,0.0025574341,435
12.096237997749165,0.0045351526,0.001177298,0.0,0.36065573770491804,21.16393442622951,59800,245.24698305130005,0.639344262295082,0.09730002602133746,1.2863146,0.001177298,496
11.481583566957145,0.006486319,0.0012955475,0.0,0.375,20.328125,69856,285.908239364624,0.625,0.08862797619047619,1.2084962,0.0012955475,560
10.971972715507507,0.008940834,0.0018243012,0.0,0.40298507462686567,19.17910447761194,79907,327.24181747436523,0.5970149253731343,0.08549253731343284,1.2221677,0.0018243012,627
13.613576816661046,0.0023976895,0.001730368,0.0,0.24528301886792453,24.056603773584907,89926,371.7995870113373,0.7547169811320755,0.10244025157232704,1.228027,0.001730368,680
10.537026843692948,0.0016513176,0.0019178841,0.0,0.44285714285714284,18.5,99765,409.5361535549164,0.5571428571428572,0.07863116510818376,1.2120814,0.0019178841,750
13.183605002547031,0.005234523,0.0022689775,0.0,0.2857142857142857,23.142857142857142,109803,450.24567580223083,0.7142857142857143,0.12309523809523805,1.1708174,0.0022689775,806
12.157148553630204,0.00382247,0.0022958892,0.0,0.3442622950819672,21.40983606557377,119868,494.3828430175781,0.6557377049180327,0.08826114466494102,1.1265689,0.0022958892,867
13.729344529507097,0.0022596791,0.0012471642,0.0,0.2727272727272727,23.6,129897,529.7055714130402,0.7272727272727273,0.09634747474747477,1.0945652,0.0012471642,922
14.21520885318185,0.00089745503,0.0010859192,0.0,0.21568627450980393,24.80392156862745,139922,570.7706770896912,0.7843137254901961,0.10193837535014005,1.0956649,0.0010859192,973
13.435130406101822,0.004080488,0.001570974,0.0,0.2727272727272727,23.01818181818182,149947,618.435120344162,0.7272727272727273,0.09806060606060607,1.0583482,0.001570974,1028
11.145842434572701,0.0032516643,0.0011226226,0.0,0.3442622950819672,19.721311475409838,159978,656.6440525054932,0.6557377049180327,0.08209836065573771,1.0415887,0.0011226226,1089
14.343695115815047,0.004089595,0.0018299866,0.0,0.2,25.16,169994,693.7351937294006,0.8,0.10064000000000001,1.0238601,0.0018299866,1139
14.11974152048985,0.0032290267,0.0019353012,0.0,0.25,24.71153846153846,179771,733.3621497154236,0.75,0.10929914529914529,1.0158753,0.0019353012,1191
14.708700844842383,0.0021939003,0.0024279312,0.0,0.21568627450980393,25.607843137254903,189782,773.318293094635,0.7843137254901961,0.12196078431372546,1.0036625,0.0024279312,1242
13.002303549931126,0.0074612335,0.004085826,0.0,0.24528301886792453,23.132075471698112,199803,819.1732454299927,0.7547169811320755,0.09252830188679247,0.9964587,0.004085826,1295
13.437372490830313,0.006133819,0.0029416368,0.0,0.3220338983050847,22.93220338983051,209862,863.6881017684937,0.6779661016949152,0.09534541203974281,0.99060667,0.0029416368,1354
15.724285740910572,0.0023489327,0.0023975037,0.0,0.13043478260869565,27.26086956521739,219872,901.8926656246185,0.8695652173913043,0.13069565217391302,0.9976192,0.0023975037,1400
14.061889865613104,0.002136198,0.0029572616,0.0,0.25925925925925924,24.59259259259259,229900,942.1360683441162,0.7407407407407407,0.1015892255892256,0.9744471,0.0029572616,1454
13.007267304231673,0.003823054,0.0036375793,0.0,0.2982456140350877,22.842105263157894,239999,981.027911901474,0.7017543859649122,0.10361244917441861,0.95949346,0.0036375793,1511
15.406337246644043,0.0016746733,0.0029139938,0.0,0.1702127659574468,27.170212765957448,249769,1021.1227445602417,0.8297872340425532,0.11285106382978723,0.94898087,0.0029139938,1558
15.05639524933266,0.0064749825,0.0025916488,0.0,0.2,25.94,259807,1064.9916779994965,0.8,0.11260369747899157,0.93906033,0.0025916488,1608
13.864517962830895,0.0013786573,0.0019639714,0.0,0.21568627450980393,23.88235294117647,269834,1108.366815328598,0.7843137254901961,0.09767935409457904,0.93291605,0.0019639714,1659
14.650156413025826,0.0011479511,0.0021934204,0.0,0.21568627450980393,25.41176470588235,279857,1149.2269468307495,0.7843137254901961,0.12117647058823534,0.92191434,0.0021934204,1710
15.015746336266192,0.001296964,0.0025548493,0.0,0.14893617021276595,26.70212765957447,289868,1190.462960243225,0.851063829787234,0.11097872340425533,0.9269461,0.0025548493,1757
14.183396079131679,0.0030761447,0.002334957,0.0,0.24528301886792453,24.735849056603772,299911,1228.5096032619476,0.7547169811320755,0.12290788013318538,0.89002156,0.002334957,1810
13.068798530836254,0.0030768765,0.0029912132,0.0,0.25925925925925924,22.74074074074074,309929,1270.502759695053,0.7407407407407407,0.1094074074074074,0.8573882,0.0029912132,1864
13.158047166862929,0.0034437638,0.0031492524,0.0,0.24528301886792453,23.20754716981132,319948,1312.2016332149506,0.7547169811320755,0.09283018867924529,0.81152195,0.0031492524,1917
