AttNC,entloss,TimestepsSoFar,EpisodesSoFar,surrgain,TtR,Fce,meankl,AttC,TimeElapsed,entropy,MtR,optimgain
0.6753246753246753,0.0,9831,77,0.0005029114,60.74025974025974,0.1210611990549022,0.0049570813,2.324675324675325,114.20166349411011,1.4236709,11.946170608798923,0.0005029114
1.1272727272727272,0.0,19865,132,0.00045867436,83.23636363636363,0.1279292800605487,0.0010005896,1.8727272727272728,248.24322605133057,1.4143817,16.123530083131612,0.00045867436
1.0740740740740742,0.0,29862,186,0.00034778137,80.0,0.1614077041075993,0.00092785637,1.9259259259259258,379.8438057899475,1.4384767,15.340442778388251,0.00034778137
1.0754716981132075,0.0,39973,239,0.0006135211,83.37735849056604,0.12008225420326918,0.0042701126,1.9245283018867925,501.16896891593933,1.4268776,15.795726049374384,0.0006135211
1.32,0.0,49876,289,0.0011616414,80.76,0.14112297427271359,0.0066447076,1.68,640.1576492786407,1.3954965,15.368056862670048,0.0011616414
1.5454545454545454,0.0,59914,333,0.0006070089,93.61363636363636,0.12758934169279,0.0028622304,1.4545454545454546,765.3736019134521,1.4014922,17.79247750810757,0.0006070089
1.3061224489795917,0.0,69758,382,0.00063734537,83.0204081632653,0.16309450397498096,0.0011369522,1.6938775510204083,905.3112528324127,1.4036096,15.709919807252534,0.00063734537
1.5333333333333334,0.0,79781,427,0.00094358623,92.2,0.12926007326007327,0.0037890717,1.4666666666666666,1043.6893875598907,1.4044167,17.347129786044494,0.00094358623
1.3392857142857142,0.0,89912,483,0.0005579647,74.94642857142857,0.12708311814481651,0.0019762013,1.6607142857142858,1177.6081149578094,1.4265898,14.320204651858978,0.0005579647
1.3673469387755102,0.0,99758,532,0.00068323367,80.26530612244898,0.11706876108446539,0.0023398104,1.6326530612244898,1329.1403391361237,1.4143515,15.377686727105813,0.00068323367
1.8,0.0,109801,577,0.0009371259,91.66666666666667,0.12465882352941178,0.004006556,1.2,1455.2180271148682,1.416906,17.52126804281011,0.0009371259
1.4081632653061225,0.0,119968,626,0.00066150766,84.79591836734694,0.1286316583459441,0.0031283197,1.5918367346938775,1604.8791542053223,1.4222881,16.4474270051357,0.00066150766
1.3695652173913044,0.0,129789,672,0.00074334024,97.3695652173913,0.1342841570667658,0.0027826207,1.6304347826086956,1740.936582326889,1.4108531,18.585686941705955,0.00074334024
1.619047619047619,0.0,139807,714,0.0008464602,107.5,0.1433333333333333,0.008423241,1.380952380952381,1871.7856352329254,1.4099216,20.18482478331225,0.0008464602
1.6428571428571428,0.0,149819,756,0.00039566524,100.35714285714286,0.140017316017316,0.0018055218,1.3571428571428572,2029.8199849128723,1.3974162,19.16115414680995,0.00039566524
1.7857142857142858,0.0,159827,798,0.00068910216,92.21428571428571,0.122952380952381,0.0012888015,1.2142857142857142,2157.3480186462402,1.4016114,17.425121330556436,0.00068910216
1.7857142857142858,0.0,169857,840,0.0010227397,94.85714285714286,0.1420343093759243,0.0030576626,1.2142857142857142,2300.5896320343018,1.4041747,18.0530714893131,0.0010227397
1.6363636363636365,0.0,179863,884,0.00066325226,89.86363636363636,0.11981818181818188,0.002840837,1.3636363636363635,2455.2468276023865,1.411144,17.29995735068565,0.00066325226
1.511111111111111,0.0,189900,929,0.00064427184,92.06666666666666,0.12751604938271605,0.0033808867,1.488888888888889,2580.5608224868774,1.4084568,17.794928773766003,0.00064427184
1.8571428571428572,0.0,199930,971,0.0009035624,99.07142857142857,0.13499835796387522,0.0018075862,1.1428571428571428,2719.78013420105,1.4040995,18.88331000394017,0.0009035624
1.75,0.0,209970,1015,0.0012910904,93.27272727272727,0.13461964472309298,0.004417363,1.25,2869.5785405635834,1.4121124,17.79944700955156,0.0012910904
1.3877551020408163,0.0,219909,1064,0.0004136383,86.20408163265306,0.131884222989813,0.0012037953,1.6122448979591837,3000.1575407981873,1.4241166,16.58952295865557,0.0004136383
1.4893617021276595,0.0,229962,1111,0.0011336588,89.87234042553192,0.12911583924349884,0.005396508,1.5106382978723405,3128.167964220047,1.4408414,17.174969611092315,0.0011336588
