TimestepsSoFar,surrgain,entropy,TimeElapsed,AttC,TtR,optimgain,AttNC,Tbt,MpbtA,Ptt,Tmt,entloss,Tmc,MpbtN,MtR,EpisodesSoFar,meankl
9995,0.022893019,0.68422097,2124.296113729477,1.0,-80.25180722891567,0.022893019,0.0,345021.378313253,4.7210630674624925,81.92928129133546,84.23373493975903,0.0,19.59879518072289,95.27893693253722,-75.99395405415434,830,0.008953909
20000,0.01357983,0.6560254,3926.975261926651,1.0,-80.34896551724138,0.01357983,0.0,345792.7944827586,4.818262217418619,82.09776694471121,84.42206896551724,0.0,19.419310344827586,95.181737782581,-75.4552946562189,1555,0.0100510195
29989,0.01836996,0.6083243,5461.862268209457,1.0,-80.46422893481717,0.01836996,0.0,345490.11128775834,4.59650092880222,82.01048799013438,84.34817170111288,0.0,19.516693163751988,95.40349907119754,-74.83714209914496,2184,0.010171048
39994,0.01861818,0.5467731,6687.218405723572,1.0,-80.498,0.01861818,0.0,345473.024,4.55331600075255,82.01430247060281,84.344,0.0,19.512,95.44668399924726,-73.47168862349777,2684,0.009584654
49975,0.021682076,0.47333106,7652.131523370743,1.0,-80.07161125319693,0.021682076,0.0,344671.5907928389,4.840593692770192,81.82756636607091,84.14833759590793,0.0,19.713554987212277,95.15940630722989,-71.37485832206784,3075,0.009738461
59985,0.020174183,0.39613253,8317.587442398071,1.0,-79.62222222222222,0.020174183,0.0,344458.42962962965,5.315554822878682,81.77836330831012,84.0962962962963,0.0,19.766666666666666,94.68444517712136,-67.77213181354693,3345,0.009445666
69984,0.019967463,0.31099957,8735.163748264313,1.0,-78.83431952662721,0.019967463,0.0,346172.5917159763,6.72369520316925,82.20855499104907,84.51479289940828,0.0,19.29585798816568,93.27630479683079,-62.459921101311586,3514,0.009284933
79915,0.012410369,0.24174741,8951.207726955414,0.8674698795180723,-75.57831325301204,0.012410369,0.13253012048192772,342040.6746987952,9.522982555209728,81.2178797318694,83.50602409638554,0.0,20.373493975903614,90.47701744479029,-52.85449475550373,3597,0.0077183107
89854,0.007403816,0.19583559,9089.220896244049,0.7058823529411765,-73.50980392156863,0.007403816,0.29411764705882354,341975.8431372549,11.959493125290226,81.15726701973784,83.49019607843137,0.0,20.45098039215686,88.04050687470979,-43.76592867231743,3648,0.0055226428
99731,0.0034915272,0.203885,9203.249304294586,0.13157894736842105,-73.63157894736842,0.0034915272,0.868421052631579,340506.94736842107,11.448613190148416,80.81668311038287,83.13157894736842,0.0,20.81578947368421,88.55138680985158,-41.374264534305816,3686,0.0023316601
109746,0.006023819,0.25763085,9310.153015851974,0.1388888888888889,-72.97222222222223,0.006023819,0.8611111111111112,339512.8888888889,12.056300429946052,80.61493461825044,82.88888888888889,0.0,21.02777777777778,87.94369957005397,-39.81663488114442,3722,0.0072553772
119867,0.0029333434,0.23602386,9428.411850214005,0.4418604651162791,-72.55813953488372,0.0029333434,0.5581395348837209,345111.81395348837,13.88641481461015,81.93116631312184,84.25581395348837,0.0,19.6046511627907,86.11358518538985,-41.511611735792634,3765,0.0020351498
129948,0.0032244308,0.20606773,9549.069062948227,0.47619047619047616,-71.85714285714286,0.0032244308,0.5238095238095238,339870.4761904762,13.39493048497439,80.68803698289828,82.97619047619048,0.0,20.952380952380953,86.6050695150256,-41.45175999441783,3807,0.0040155416
139713,0.005862638,0.26999542,9659.80885887146,0.16216216216216217,-72.4054054054054,0.005862638,0.8378378378378378,339968.0,12.828172963011555,80.69734841447136,83.0,0.0,20.945945945945947,87.17182703698845,-40.38175386571629,3844,0.007384978
149902,0.0024067322,0.20369206,9775.106463193893,0.3902439024390244,-71.73170731707317,0.0024067322,0.6097560975609756,339868.0975609756,13.570312474529265,80.68969663808076,82.97560975609755,0.0,20.951219512195124,86.42968752547073,-40.52689950347459,3885,0.0027542831
159888,0.0069973175,0.28756323,9880.516337633133,0.1388888888888889,-72.08333333333333,0.0069973175,0.8611111111111112,340423.1111111111,13.316423678060994,80.77954319351616,83.11111111111111,0.0,20.86111111111111,86.68357632193899,-39.27727769299399,3921,0.007951767
169857,0.003970306,0.26928583,9995.85007739067,0.5365853658536586,-68.85365853658537,0.003970306,0.4634146341463415,335172.68292682926,15.94320999962753,79.58702137862826,81.82926829268293,0.0,22.146341463414632,84.0567900003725,-39.68350494856398,3962,0.0059121572
179876,0.0037065353,0.23873281,10118.935167074203,0.6818181818181818,-70.61363636363636,0.0037065353,0.3181818181818182,340061.0909090909,15.0011684432437,80.76511995182229,83.02272727272727,0.0,20.863636363636363,84.99883155675629,-40.40678712448072,4006,0.0040073604
189941,0.0043702484,0.25213316,10233.078782558441,0.325,-70.0,0.0043702484,0.675,341606.4,16.074227682598654,81.14484367924449,83.4,0.0,20.45,83.92577231740137,-39.521329515676925,4046,0.00430394
199827,0.0027148407,0.27313137,10343.944970846176,0.47368421052631576,-68.39473684210526,0.0027148407,0.5263157894736842,336195.36842105264,16.728842263770783,79.81948315914453,82.07894736842105,0.0,21.894736842105264,83.27115773622921,-38.07308029337345,4084,0.005221137
209786,0.0037602386,0.29137394,10463.4711227417,0.5581395348837209,-69.97674418604652,0.0037602386,0.4418604651162791,337681.8604651163,15.129842668285074,80.19201476213347,82.44186046511628,0.0,21.488372093023255,84.87015733171494,-40.20770851559043,4127,0.008058972
219860,0.0043551726,0.20269686,10590.694909095764,0.391304347826087,-70.8913043478261,0.0043551726,0.6086956521739131,341926.95652173914,15.09896645796844,81.16686761987948,83.47826086956522,0.0,20.434782608695652,84.90103354203156,-43.16057231514681,4173,0.007102467
229933,0.0024583268,0.19662915,10700.860694646835,0.2564102564102564,-70.61538461538461,0.0024583268,0.7435897435897436,339862.9743589744,14.930742042528664,80.65204175951645,82.97435897435898,0.0,21.0,85.06925795747134,-39.94189076675917,4212,0.006003313
239955,0.0067689028,0.2660452,10809.523809671402,0.13513513513513514,-71.08108108108108,0.0067689028,0.8648648648648649,340742.91891891893,14.599810388303922,80.87328967112411,83.1891891891892,0.0,20.756756756756758,85.40018961169606,-39.85620486011133,4249,0.0059743645
249780,0.0038208968,0.30757472,10918.566730499268,0.1388888888888889,-69.25,0.0038208968,0.8611111111111112,339171.55555555556,16.410378371084356,80.51799671020282,82.80555555555556,0.0,21.13888888888889,83.58962162891567,-38.325834632128704,4285,0.004810294
259841,0.0030571232,0.33553976,11028.044302463531,0.3,-67.675,0.0030571232,0.7,339353.6,18.342416796609257,80.57638251263603,82.85,0.0,21.075,81.65758320339076,-38.75451020452475,4325,0.0071836542
270000,0.0095051145,0.24733393,11175.392765045166,0.5789473684210527,-70.87719298245614,0.0095051145,0.42105263157894735,339536.84210526315,14.501864962132167,80.61398928940699,82.89473684210526,0.0,21.035087719298247,85.49813503786784,-45.42242660398874,4382,0.00761537
279936,0.003759414,0.25197628,11282.348133325577,0.13157894736842105,-67.36842105263158,0.003759414,0.868421052631579,337488.84210526315,18.2562213331821,80.09546822485012,82.39473684210526,0.0,21.605263157894736,81.74377866681789,-38.24301738798891,4420,0.0064164307
289867,0.0035532822,0.23171932,11392.886989116669,0.39473684210526316,-67.36842105263158,0.0035532822,0.6052631578947368,334578.5263157895,17.57536628821152,79.43076809154076,81.6842105263158,0.0,22.31578947368421,82.42463371178849,-36.72585639919889,4458,0.0046601375
299798,0.0054120575,0.27008167,11499.47515964508,0.08108108108108109,-69.24324324324324,0.0054120575,0.918918918918919,341075.02702702704,16.885893793094464,80.94897226537512,83.27027027027027,0.0,20.675675675675677,83.11410620690555,-38.27832422137184,4495,0.0067223907
309860,0.004734116,0.2559692,11607.183002948761,0.05263157894736842,-68.89473684210526,0.004734116,0.9473684210526315,337165.4736842105,16.35744475831766,80.0401589255242,82.3157894736842,0.0,21.657894736842106,83.64255524168233,-39.0485943695327,4533,0.005562675
319839,0.0055239135,0.29559472,11717.897542953491,0.23684210526315788,-68.76315789473684,0.0055239135,0.7631578947368421,338135.5789473684,16.74391381586811,80.26011610273532,82.55263157894737,0.0,21.42105263157895,83.25608618413187,-38.548755491692326,4571,0.00974219
329737,0.004116693,0.21349184,11833.27718281746,0.3170731707317073,-68.29268292682927,0.004116693,0.6829268292682927,337670.243902439,17.213423152242424,80.19273223144816,82.4390243902439,0.0,21.48780487804878,82.78657684775754,-39.91715979617063,4612,0.0076618637
