TtR,AttNC,Fce,EpisodesSoFar,TimeElapsed,AttC,entropy,meankl,optimgain,TimestepsSoFar,surrgain,MtR,entloss
68.8695652173913,0.6521739130434783,0.12236212152519375,69,56.76841115951538,2.347826086956522,1.4091346,0.005927136,0.00052012736,9971,0.00052012736,13.505762085029566,0.0
77.94827586206897,0.9137931034482759,0.1167221443663242,127,113.50943756103516,2.086206896551724,1.4243193,0.0048656827,0.0007454122,19906,0.0007454122,14.840241184410695,0.0
64.98591549295774,0.7746478873239436,0.13553673092866875,198,172.82721590995789,2.2253521126760565,1.4207654,0.003830162,0.0008332479,29932,0.0008332479,12.633375923307808,0.0
80.1923076923077,1.2307692307692308,0.12757625280702203,250,233.2730758190155,1.7692307692307692,1.4235467,0.0033352065,0.0005944911,39813,0.0005944911,15.695659521970372,0.0
82.96153846153847,0.9423076923076923,0.13291394226688347,302,293.9238736629486,2.0576923076923075,1.4350613,0.0007032924,0.00047200063,49949,0.00047200063,16.143920081877816,0.0
81.0,1.0566037735849056,0.1449152273303216,355,344.981618642807,1.9433962264150944,1.4178909,0.0031131532,0.0008576711,59887,0.0008576711,15.640024803750972,0.0
102.06818181818181,1.3409090909090908,0.14110041178333865,399,407.30821347236633,1.6590909090909092,1.4202127,0.003736553,0.000958326,69947,0.000958326,19.79039349368626,0.0
92.46,1.06,0.15175416137922024,449,469.44692301750183,1.94,1.4160154,0.0040301355,0.0009840828,79994,0.0009840828,18.067282738479186,0.0
82.15384615384616,1.1153846153846154,0.15901695079114428,501,532.8446626663208,1.8846153846153846,1.4003161,0.005789447,0.0014076383,89845,0.0014076383,15.579624390889688,0.0
91.8913043478261,1.434782608695652,0.1471925465838509,547,588.5664441585541,1.565217391304348,1.3981925,0.0020887293,0.000986033,99865,0.000986033,17.452073167882702,0.0
94.25581395348837,1.7209302325581395,0.13213289036544848,590,651.6357638835907,1.2790697674418605,1.4084005,0.00092680607,0.00085506286,109890,0.00085506286,18.196511214909087,0.0
99.29268292682927,1.6829268292682926,0.1566829268292683,631,705.7757318019867,1.3170731707317074,1.4199195,0.0011384313,0.0010198695,119891,0.0010198695,18.913131578543087,0.0
97.78571428571429,1.6666666666666667,0.13123809523809526,673,767.6929562091827,1.3333333333333333,1.4334258,0.0027309612,0.0014065069,129917,0.0014065069,18.397138326579476,0.0
88.34042553191489,1.4042553191489362,0.12031866236121554,720,826.8891174793243,1.5957446808510638,1.432655,0.00385137,0.0009662099,139980,0.0009662099,16.849246537713164,0.0
