surrgain,EpisodesSoFar,AttNC,entloss,Ptt,Tbt,TimestepsSoFar,MpbtN,Tmc,Tmt,meankl,AttC,MpbtA,entropy,TtR,TimeElapsed,MtR,optimgain
0.0031802612,8347,2.4680851063829787,0.0,73.286792535744,307810.0425531915,1299846,50.81206341524014,28.93617021276596,75.14893617021276,0.008350072,0.5319148936170213,49.18793658475986,0.19773285,-114.51063829787235,20157.231990098953,-24.26675039677569,0.0031802612
0.003824263,8395,2.6875,0.0,73.62971086057938,309248.0,1309996,50.15074142823773,28.5625,75.5,0.0084982645,0.3125,49.84925857176227,0.20293479,-113.375,20268.96660208702,-24.089946987488513,0.003824263
0.003134728,8442,2.3617021276595747,0.0,74.09817767475228,311121.7021276596,1319956,50.90835240829176,28.04255319148936,75.95744680851064,0.008808093,0.6382978723404256,49.09164759170824,0.21279742,-116.04255319148936,20381.433908224106,-24.45518125598398,0.003134728
0.0029938014,8488,2.608695652173913,0.0,73.3518521070387,307912.347826087,1329786,52.122506895721024,28.847826086956523,75.17391304347827,0.008508597,0.391304347826087,47.87749310427898,0.21365328,-117.58695652173913,20496.151898622513,-24.48966499179262,0.0029938014
0.0018572509,8535,1.7234042553191489,0.0,73.3852838667669,308245.78723404254,1339994,54.348858058513265,28.829787234042552,75.25531914893617,0.007431955,1.2765957446808511,45.65114194148673,0.17447798,-122.87234042553192,20615.127992868423,-25.010481685551884,0.0018572509
0.0028473872,8581,2.1956521739130435,0.0,73.37901842402475,308090.4347826087,1349807,54.90861904725897,28.82608695652174,75.21739130434783,0.007817588,0.8043478260869565,45.09138095274103,0.18274714,-123.97826086956522,20731.060578107834,-25.897206573883924,0.0028473872
0.002643386,8627,2.5,0.0,73.68230457041152,309426.0869565217,1359861,54.571654090191714,28.5,75.54347826086956,0.008381341,0.5,45.428345909808286,0.17841335,-123.97826086956522,20846.37859892845,-25.78056171853132,0.002643386
0.0022573324,8672,2.7555555555555555,0.0,72.71472819289988,305197.5111111111,1369800,49.598888855648724,29.533333333333335,74.5111111111111,0.008186919,0.24444444444444444,50.40111114435127,0.18883975,-110.86666666666666,20961.46469593048,-23.27844045770279,0.0022573324
0.0030027989,8719,2.9361702127659575,0.0,74.19698327727016,311731.74468085106,1379803,52.482947056420976,27.95744680851064,76.1063829787234,0.008978206,0.06382978723404255,47.517052943579024,0.19128545,-119.87234042553192,21073.729411125183,-25.03823762734016,0.0030027989
0.002149764,8765,2.717391304347826,0.0,73.14019065648928,307110.95652173914,1389810,52.8742804788306,29.08695652173913,74.97826086956522,0.0076551647,0.2826086956521739,47.1257195211694,0.20515582,-118.82608695652173,21190.063645124435,-25.378720758393477,0.002149764
0.0032637569,8812,2.425531914893617,0.0,74.32944465500927,312254.6382978723,1399837,51.58791443585697,27.80851063829787,76.23404255319149,0.009042188,0.574468085106383,48.41208556414302,0.19431423,-118.08510638297872,21303.936964035034,-24.823770579395656,0.0032637569
0.002373586,8859,2.595744680851064,0.0,72.9827930610557,306415.6595744681,1409955,52.890590525841674,29.25531914893617,74.80851063829788,0.008090697,0.40425531914893614,47.109409474158326,0.20309523,-118.53191489361703,21419.551267385483,-24.676653922513626,0.002373586
0.004582361,8905,1.934782608695652,0.0,73.24850625030005,307645.2173913043,1419993,51.0773534986134,28.97826086956522,75.1086956521739,0.0096832905,1.065217391304348,48.9226465013866,0.22224957,-115.17391304347827,21532.855650663376,-24.1125750841211,0.004582361
0.001868514,8953,1.625,0.0,73.37036089797523,308053.3333333333,1429899,51.870414642723965,28.833333333333332,75.20833333333333,0.003363157,1.375,48.129585357276035,0.20308991,-117.0,21647.754978895187,-25.11156804954825,0.001868514
0.0033888055,9000,1.4680851063829787,0.0,73.30078697192813,307810.0425531915,1439887,51.75160581437711,28.914893617021278,75.14893617021276,0.0066395663,1.5319148936170213,48.24839418562288,0.19359668,-116.48936170212765,21764.826109170914,-24.02391848718494,0.0033888055
0.0030920324,9047,1.7446808510638299,0.0,74.190887498498,311644.59574468085,1449860,53.83766876294939,27.95744680851064,76.08510638297872,0.008413735,1.2553191489361701,46.16233123705061,0.16824187,-122.93617021276596,21878.591507434845,-25.720621573035945,0.0030920324
0.0019101197,9094,2.617021276595745,0.0,73.42996972052937,308245.78723404254,1459891,49.63025480867059,28.76595744680851,75.25531914893617,0.0053348886,0.3829787234042553,50.36974519132941,0.19901928,-112.08510638297872,21992.778188705444,-23.758210815553895,0.0019101197
0.0025822865,9141,2.6595744680851063,0.0,73.4276341057959,308420.08510638296,1469993,50.76043612209958,28.78723404255319,75.29787234042553,0.0072465767,0.3404255319148936,49.23956387790044,0.20333922,-114.63829787234043,22108.717776060104,-24.167611155249077,0.0025822865
0.0012727026,9187,2.630434782608696,0.0,73.487035469525,308624.6956521739,1479906,52.29729598745939,28.717391304347824,75.34782608695652,0.0065009086,0.3695652173913043,47.70270401254061,0.1931564,-118.30434782608695,22220.642268419266,-24.791095113671126,0.0012727026
0.0023027018,9233,2.282608695652174,0.0,73.5547211613323,308980.8695652174,1489864,52.752160670505866,28.652173913043477,75.43478260869566,0.0078889,0.717391304347826,47.247839329494134,0.21884035,-119.21739130434783,22337.098594665527,-24.761877371453895,0.0023027018
0.0035412028,9280,2.3191489361702127,0.0,73.40666938940969,308332.93617021275,1499865,52.1391119244039,28.80851063829787,75.27659574468085,0.009372256,0.6808510638297872,47.8608880755961,0.21365504,-117.70212765957447,22450.583080291748,-25.025839131154843,0.0035412028
0.0015530518,9327,2.0851063829787235,0.0,73.80667102842649,309901.6170212766,1509855,51.86402576764722,28.361702127659573,75.65957446808511,0.00700885,0.9148936170212766,48.13597423235278,0.20705685,-117.70212765957447,22561.359338760376,-24.622495149304047,0.0015530518
0.001645401,9375,2.0416666666666665,0.0,73.67033339957685,309418.6666666667,1519850,52.83799563271722,28.520833333333332,75.54166666666667,0.0066584228,0.9583333333333334,47.162004367282776,0.2194641,-119.625,22675.623064517975,-25.533330996318103,0.001645401
0.0026197531,9423,1.75,0.0,74.84210974373967,314368.0,1529796,53.62314619352522,27.25,76.75,0.0074252086,1.25,46.37685380647477,0.20639358,-123.3125,22790.951950788498,-26.480082683727442,0.0026197531
