optimgain,AttC,AttNC,TimeElapsed,TtR,entloss,MtR,entropy,Tmt,Tmc,Tbt,MpbtN,EpisodesSoFar,TimestepsSoFar,meankl,MpbtA,surrgain,Ptt
0.008679895,3.0,0.0,1582.5362112522125,-228.5680473372781,0.0,-71.15974564925942,0.68505275,80.29733727810651,23.699704142011836,328897.89349112427,94.9057379614581,676,9991,0.008101402,5.094262038541818,0.008679895,78.14284691798818
0.0074633323,3.0,0.0,2933.4777371883392,-227.02716468590833,0.0,-69.94446678748108,0.66086394,80.67402376910017,23.31578947368421,330440.8013582343,93.82064323809482,1265,19985,0.008313499,6.179356761904999,0.0074633323,78.49943098744896
0.009724832,3.0,0.0,4058.7263448238373,-224.7621951219512,0.0,-68.13534278584125,0.6201981,80.88821138211382,23.101626016260163,331318.1138211382,92.65092814770614,1757,29992,0.009201388,7.34907185229382,0.009724832,78.69810877886172
0.011225643,3.0,0.0,4932.019433498383,-222.5968992248062,0.0,-65.83718596968237,0.5674319,81.5374677002584,22.44702842377261,333977.4677002584,91.03174456780059,2144,39954,0.009140598,8.968255432199525,0.011225643,79.30752385337429
0.012545717,3.0,0.0,5588.029506921768,-219.2892857142857,0.0,-62.14842446086531,0.5079071,81.42142857142858,22.571428571428573,333502.17142857146,89.80034740609385,2424,49979,0.00908597,10.19965259390616,0.012545717,79.1927415342374
0.010021114,3.0,0.0,5974.309431314468,-212.2235294117647,0.0,-54.86669297644926,0.45963034,81.65882352941176,22.31764705882353,334474.5411764706,86.66425300767784,2594,59974,0.0088887615,13.33574699232215,0.010021114,79.42686610450015
0.007309507,2.989795918367347,0.01020408163265306,6205.7781982421875,-198.79591836734693,0.0,-45.51404053926705,0.3950873,81.22448979591837,22.755102040816325,332695.51020408166,81.62051035974093,2692,69902,0.007506225,18.37948964025907,0.007309507,79.0211555129544
0.00476185,2.7547169811320753,0.24528301886792453,6347.6777675151825,-182.60377358490567,0.0,-36.19650285275649,0.3629119,80.54716981132076,23.433962264150942,329921.2075471698,75.52903880274299,2745,79832,0.0049466714,24.470961197257008,0.00476185,78.38934909124407
0.003761733,2.2666666666666666,0.7333333333333333,6466.013559818268,-179.73333333333332,0.0,-34.68206319542514,0.30068907,80.66666666666667,23.333333333333332,330410.6666666667,74.2423183767633,2790,89906,0.0035233903,25.757681623236724,0.003761733,78.48921618257515
0.0035590748,2.4186046511627906,0.5813953488372093,6585.661702871323,-179.09302325581396,0.0,-35.0954974405537,0.29465783,81.11627906976744,22.86046511627907,332252.27906976745,73.54818725913775,2833,99807,0.00482074,26.451812740862245,0.0035590748,78.92271230875201
0.0030140127,1.8372093023255813,1.1627906976744187,6698.101588010788,-165.0,0.0,-33.07393980336123,0.29554987,79.79069767441861,24.209302325581394,326822.6976744186,68.87496444492598,2876,109963,0.0030898305,31.12503555507403,0.0030140127,77.67122769457781
0.003078128,2.0232558139534884,0.9767441860465116,6817.595497131348,-163.8139534883721,0.0,-32.40596443456233,0.2785286,79.48837209302326,24.488372093023255,325584.37209302327,68.62489383679154,2919,119838,0.0028989776,31.37510616320844,0.003078128,77.40887540332398
0.006601411,1.8604651162790697,1.1395348837209303,6934.699202537537,-158.86046511627907,0.0,-31.604257976596976,0.34023914,78.86046511627907,25.13953488372093,323012.4651162791,67.11899341488885,2962,129996,0.0066676973,32.88100658511116,0.006601411,76.80715135992327
0.004666223,2.62,0.38,7063.260511159897,-161.88,0.0,-32.58148067956431,0.31952524,79.34,24.66,324976.64,67.95939697913622,3012,139947,0.005844803,32.040603020863806,0.004666223,77.25461721384558
0.0069017876,1.8837209302325582,1.1162790697674418,7179.514961481094,-149.65116279069767,0.0,-30.199135984637007,0.36613035,78.30232558139535,25.697674418604652,320726.32558139536,63.69960585422814,3055,149892,0.005600454,36.30039414577184,0.0069017876,76.28673224473633
0.0035410218,2.5918367346938775,0.40816326530612246,7305.413041830063,-155.57142857142858,0.0,-31.222857734296912,0.33508176,79.08163265306122,24.918367346938776,323918.36734693876,65.46637167745473,3104,159878,0.0044344463,34.53362832254528,0.0035410218,77.01184007942989
