entloss,AttNC,EpisodesSoFar,TimeElapsed,MtR,TtR,optimgain,Fce,AttC,TimestepsSoFar,meankl,surrgain,entropy
0.0,10.0,18227,115745.89853596687,142.8784238871937,2500.0,7.356884e-05,1.0,0.0,4419936,0.008933196,7.356884e-05,0.27494466
0.0,10.0,18267,115946.92801356316,142.8784238871937,2500.0,0.0001038859,1.0,0.0,4429936,0.01017476,0.0001038859,0.17735301
0.0,10.0,18307,116153.47418642044,142.8784238871937,2500.0,0.00019358822,1.0,0.0,4439936,0.008933416,0.00019358822,0.2749447
0.0,10.0,18347,116356.34581232071,142.85775975949431,2499.75,0.00074239325,0.9998999999999999,0.0,4449936,0.008933196,0.00074239325,0.37253124
0.0,10.0,18387,116554.89429736137,142.80661201106432,2499.0,0.0001599299,0.9995999999999998,0.0,4459936,0.008933196,0.0001599299,0.47012332
0.0,10.0,18427,116751.89814424515,142.76602564787422,2498.0,0.0009909759,0.9991999999999999,0.0,4469936,0.008933102,0.0009909759,0.5677168
0.0,10.0,18467,116953.54309797287,142.39943881115096,2492.0,9.233336e-05,0.9968,0.0,4479936,0.010174871,9.233336e-05,0.4701233
0.0,9.925,18507,117152.99821519852,142.24826548306987,2488.0,0.00065974233,0.9952000000000002,0.075,4489936,0.008933204,0.00065974233,0.5677168
0.0,9.452380952380953,18549,117355.2481405735,135.56353132960737,2369.5238095238096,0.00050980295,0.9615626102292768,0.5476190476190477,4499972,0.010174781,0.00050980295,0.47012332
0.0,9.452380952380953,18591,117553.495429039,135.65979721712864,2372.6190476190477,0.00019393355,0.9583809523809524,0.5476190476190477,4509980,0.010174781,0.00019393355,0.3725308
0.0,10.0,18631,117752.39451432228,142.8394257294946,2499.25,0.000120514145,0.9997,0.0,4519980,0.010174781,0.000120514145,0.27494466
0.0,10.0,18671,117981.90609192848,142.8784238871937,2500.0,4.957485e-07,1.0,0.0,4529980,0.00060504675,4.957485e-07,0.25054815
0.0,10.0,18711,118183.18158721924,142.8784238871937,2500.0,0.00018211918,1.0,0.0,4539980,0.010174863,0.00018211918,0.15295567
0.0,10.0,18751,118385.38093090057,142.8784238871937,2500.0,0.00018756773,1.0,0.0,4549980,0.010174781,0.00018756773,0.055366427
0.0,10.0,18791,118580.61936998367,142.8784238871937,2500.0,6.385271e-05,1.0,0.0,4559980,0.008933196,6.385271e-05,0.15295461
0.0,10.0,18831,118779.90774154663,142.8784238871937,2500.0,0.0009870462,1.0,0.0,4569980,0.008933204,0.0009870462,0.2505481
0.0,10.0,18871,118971.93012309074,142.8784238871937,2500.0,0.00013411672,1.0,0.0,4579980,0.010174781,0.00013411672,0.15295462
0.0,10.0,18911,119175.21336507797,142.8784238871937,2500.0,0.00074445753,1.0,0.0,4589980,0.008933204,0.00074445753,0.25054812
0.0,10.0,18951,119366.06341028214,142.8437768290919,2499.5,0.00023474469,0.9997999999999999,0.0,4599980,0.010174863,0.00023474469,0.15295461
0.0,10.0,18991,119568.47283363342,142.8784238871937,2500.0,0.00029964658,1.0,0.0,4609980,0.008933204,0.00029964658,0.25054812
0.0,10.0,19031,119761.97068929672,142.8784238871937,2500.0,0.00022103524,1.0,0.0,4619980,0.008933204,0.00022103524,0.3481337
0.0,10.0,19071,119953.44893217087,142.83031529847003,2499.0,0.00028233702,0.9995999999999998,0.0,4629980,0.008933204,0.00028233702,0.44572866
0.0,9.707317073170731,19112,120146.27679753304,139.09940474460257,2433.4146341463415,0.00033732722,0.9822589118198876,0.2926829268292683,4639993,0.010174871,0.00033732722,0.34813356
0.0,10.0,19152,120343.06930661201,142.8784238871937,2500.0,0.00022973621,1.0,0.0,4649993,0.008933102,0.00022973621,0.44572866
0.0,10.0,19192,120540.16680812836,142.73242243707102,2497.0,0.00021973049,0.9988000000000001,0.0,4659993,0.010174871,0.00021973049,0.34813356
0.0,10.0,19232,120729.47043561935,142.861257809864,2499.75,0.00021507202,0.9999,0.0,4669993,0.008933204,0.00021507202,0.44572866
