TimeElapsed,entropy,MtR,EpisodesSoFar,TimestepsSoFar,AttNC,optimgain,Fce,TtR,entloss,meankl,AttC,surrgain
4714.097583770752,-0.062498536,21.446497311421982,6301,1279803,0.9512195121951219,0.0019868652,0.15505154639175256,37.8780487804878,0.0,0.007081677,0.04878048780487805,0.0019868652
4752.182395935059,-0.059365954,19.020443425219444,6344,1289806,0.9302325581395349,0.0031278108,0.13460465116279072,33.651162790697676,0.0,0.0065196548,0.06976744186046512,0.0031278108
4791.622079372406,-0.09154871,19.90565273480407,6385,1299807,0.975609756097561,0.0024297256,0.13843902439024391,34.609756097560975,0.0,0.0066442247,0.024390243902439025,0.0024297256
4826.4809556007385,-0.09642391,21.39173076100395,6425,1309807,1.0,0.00019449006,0.15050000000000002,37.625,0.0,0.0001754755,0.0,0.00019449006
4863.451189041138,-0.043613397,20.321238159553367,6465,1319807,1.0,0.002239859,0.14550000000000002,36.375,0.0,0.006198063,0.0,0.002239859
4902.665786027908,-0.028402343,20.239926776635457,6507,1329829,0.9523809523809523,0.0024192107,0.14743977591036414,35.88095238095238,0.0,0.0027630841,0.047619047619047616,0.0024192107
4938.067802906036,-0.0335979,20.22455275601177,6548,1339830,0.975609756097561,0.00014298668,0.1431219512195122,35.78048780487805,0.0,0.011113878,0.024390243902439025,0.00014298668
4975.117099761963,0.018261889,19.780269760502023,6588,1349830,1.0,0.0018791321,0.14100000000000001,35.25,0.0,0.0073337997,0.0,0.0018791321
5011.914475440979,0.026803913,18.240548011870274,6631,1359833,0.9302325581395349,0.00299505,0.1304186046511628,32.604651162790695,0.0,0.009312909,0.06976744186046512,0.00299505
5045.826968431473,-0.010854862,19.267421027333093,6671,1369833,1.0,0.0023788088,0.13610000000000003,34.025,0.0,0.009734142,0.0,0.0023788088
5082.954324007034,0.022657327,17.606623120820306,6712,1379834,0.975609756097561,0.0041305632,0.12409756097560978,31.024390243902438,0.0,0.009010115,0.024390243902439025,0.0041305632
5118.11656999588,0.024904251,16.547688428562633,6752,1389834,1.0,0.002788089,0.11630000000000003,29.075,0.0,0.0049338685,0.0,0.002788089
5153.256674528122,0.054914,16.193605330873382,6794,1399836,0.9523809523809523,0.0016442962,0.11523809523809528,28.80952380952381,0.0,0.0063789766,0.047619047619047616,0.0016442962
5191.888815164566,0.088904254,16.808892956993308,6834,1409836,1.0,0.0026531327,0.11860000000000004,29.65,0.0,0.0067509073,0.0,0.0026531327
5229.391419649124,0.042444084,16.78714624812712,6877,1419869,0.9302325581395349,0.0033648103,0.12030307576894224,29.41860465116279,0.0,0.007161415,0.06976744186046512,0.0033648103
5264.765541791916,0.051853288,16.621289208950245,6918,1429870,0.975609756097561,0.0040832274,0.11756097560975615,29.390243902439025,0.0,0.007918802,0.024390243902439025,0.0040832274
5301.895660638809,0.069501296,18.208941603079538,6959,1439871,0.975609756097561,0.0019626296,0.1286829268292683,32.170731707317074,0.0,0.0031609593,0.024390243902439025,0.0019626296
5334.857147455215,0.04294586,18.871880852655202,6999,1449871,1.0,0.003141248,0.1344,33.6,0.0,0.008690996,0.0,0.003141248
5371.503467559814,0.067254476,20.221875811144272,7039,1459871,1.0,0.0024659578,0.14210000000000006,35.525,0.0,0.0036421467,0.0,0.0024659578
5412.664152145386,0.10309582,20.056614697394746,7080,1469882,0.975609756097561,0.002141175,0.14387583148558755,35.4390243902439,0.0,0.0070787566,0.024390243902439025,0.002141175
5446.8808805942535,0.054949354,20.63321357766568,7122,1479821,0.9285714285714286,0.0024072465,0.14442118665648074,35.904761904761905,0.0,0.0068336474,0.07142857142857142,0.0024072465
5483.91833615303,0.032143965,19.503984554698036,7166,1489835,0.9090909090909091,0.0020891144,0.13863636363636367,34.65909090909091,0.0,0.0066761565,0.09090909090909091,0.0020891144
5520.3340101242065,0.10298901,19.70381983741587,7209,1499860,0.9302325581395349,0.0013813782,0.14332457027300302,35.372093023255815,0.0,0.0073275007,0.06976744186046512,0.0013813782
5554.145450592041,0.095123276,18.73523684352781,7252,1509887,0.9302325581395349,0.0012981796,0.13403437815975736,33.27906976744186,0.0,0.0052723577,0.06976744186046512,0.0012981796
5594.358443975449,0.047065742,18.92186713757222,7296,1519762,0.8863636363636364,0.00209411,0.13517940466613035,33.40909090909091,0.0,0.006766539,0.11363636363636363,0.00209411
5632.1445944309235,0.1111341,20.60789097872078,7337,1529763,0.975609756097561,0.0034582345,0.14546341463414636,36.36585365853659,0.0,0.008034601,0.024390243902439025,0.0034582345
5667.051048994064,0.07119117,17.69934739059401,7384,1539915,0.8297872340425532,0.0020391587,0.13224898659187176,30.829787234042552,0.0,0.0068582594,0.1702127659574468,0.0020391587
5705.996651172638,0.035749607,20.72655605729819,7427,1549914,0.8837209302325582,0.0018386901,0.1545893682477685,35.97674418604651,0.0,0.0061011435,0.11627906976744186,0.0018386901
5741.881908655167,0.10287499,20.832711040381326,7467,1559914,1.0,0.0020783981,0.1482,37.05,0.0,0.007975181,0.0,0.0020783981
5778.670430421829,0.12740614,19.90251735621259,7508,1569915,0.975609756097561,0.0027208915,0.14107317073170733,35.26829268292683,0.0,0.006356075,0.024390243902439025,0.0027208915
5817.2787091732025,0.15576732,18.810023261629745,7551,1579918,0.9302325581395349,0.0022727265,0.13348837209302325,33.372093023255815,0.0,0.008295958,0.06976744186046512,0.0022727265
5852.49259018898,0.08542902,18.382225555681636,7596,1589959,0.8888888888888888,0.002250908,0.1325225589225589,32.4,0.0,0.008503025,0.1111111111111111,0.002250908
5890.485766649246,0.039424855,20.498677962784107,7637,1599984,0.975609756097561,0.004472608,0.15063414634146347,36.34146341463415,0.0,0.009158346,0.024390243902439025,0.004472608
5925.607320547104,0.07586549,20.428861694742345,7677,1609984,1.0,0.0039774887,0.14520000000000002,36.3,0.0,0.008188549,0.0,0.0039774887
5959.834676027298,0.09500497,20.236566271849444,7717,1619984,1.0,0.0017750565,0.1426,35.65,0.0,0.0071461718,0.0,0.0017750565
6000.543118238449,0.08020049,20.293203590577992,7757,1629984,1.0,0.001669233,0.14309999999999998,35.775,0.0,0.00756275,0.0,0.001669233
6037.090593099594,0.07518766,19.757509567219834,7798,1639985,0.975609756097561,0.00306399,0.1400975609756098,35.02439024390244,0.0,0.0073153167,0.024390243902439025,0.00306399
