TtR,entloss,MpbtA,AttNC,Tmc,entropy,EpisodesSoFar,AttC,surrgain,TimestepsSoFar,MpbtN,TimeElapsed,Ptt,Tmt,optimgain,MtR,Tbt,meankl
-80.38423645320196,0.0,4.944082472762529,0.0,19.254926108374384,0.6837424,812,1.0,0.02497762,9992,95.05591752723709,2003.320645570755,82.24863387151576,84.57142857142857,0.02497762,-76.02375902798227,346404.5714285714,0.009429934
-80.32373113854595,0.0,4.791994576789779,0.0,19.474622770919066,0.6567687,1541,1.0,0.012157392,19991,95.20800542320976,3845.3798825740814,82.04717566505522,84.37311385459533,0.012157392,-75.46085912133647,345592.2743484225,0.0092515
-80.48902821316615,0.0,4.54724637667902,0.0,19.53291536050157,0.61080027,2179,1.0,0.019760437,29994,95.45275362332077,5469.506522655487,81.99512278329539,84.32915360501568,0.019760437,-74.92280039365687,345412.2131661442,0.010183128
-80.38314176245211,0.0,4.515557645794081,0.0,19.68199233716475,0.5529839,2701,1.0,0.020226138,39991,95.48444235420584,6821.941131830215,81.85754117580375,84.18773946360153,0.020226138,-73.64465047111779,344832.9808429119,0.009512574
-80.18905472636816,0.0,4.626549236202971,0.0,19.786069651741293,0.48406798,3103,1.0,0.022792187,49993,95.37345076379701,7854.524968624115,81.76058712377343,84.08208955223881,0.022792187,-71.66388074095806,344400.2388059702,0.009518307
-79.70397111913357,0.0,5.0819215533047,0.0,19.906137184115522,0.40806583,3380,1.0,0.022065496,60000,94.91807844669535,8582.355118513107,81.65172431102238,83.9783393501805,0.022065496,-68.22008245881533,343975.27797833935,0.009402816
-78.60655737704919,0.0,6.454239768649403,0.00546448087431694,19.85792349726776,0.337375,3563,0.994535519125683,0.022143777,69968,93.54576023135061,9053.465972423553,81.6976139577588,84.02732240437159,0.022143777,-63.20685180071719,344175.912568306,0.00882126
-76.91588785046729,0.0,8.104777131754098,0.009345794392523364,20.261682242990656,0.28778374,3670,0.9906542056074766,0.014644983,79948,91.89522286824588,9343.248249053955,81.33444944472907,83.70093457943925,0.014644983,-54.629967571436005,342839.02803738316,0.007847396
-75.46753246753246,0.0,9.565958485969686,0.09090909090909091,20.454545454545453,0.24188413,3747,0.9090909090909091,0.0104597965,89929,90.4340415140303,9558.412136793137,81.14307632065623,83.42857142857143,0.0104597965,-49.76330623167855,341723.4285714286,0.0059691207
-74.75806451612904,0.0,10.858783796114553,0.11290322580645161,19.983870967741936,0.21322246,3809,0.8870967741935484,0.010874829,99945,89.14121620388548,9733.231982469559,81.57762896874611,83.87096774193549,0.010874829,-46.06190946241548,343535.48387096776,0.0054943427
-72.97777777777777,0.0,12.492599338858884,0.3111111111111111,20.57777777777778,0.2333759,3854,0.6888888888888889,0.007722931,109923,87.50740066114109,9871.464691400528,81.03669615541364,83.35555555555555,0.007722931,-41.3032265674898,341424.35555555555,0.003447562
-74.0,0.0,11.434323595849076,0.43478260869565216,20.391304347826086,0.21513516,3900,0.5652173913043478,0.0082256105,119959,88.5656764041509,10009.7984623909,81.2105218695605,83.54347826086956,0.0082256105,-41.95038599355985,342194.0869565217,0.0029253904
-72.54054054054055,0.0,12.533246284848753,0.7567567567567568,21.0,0.20873366,3937,0.24324324324324326,0.0038789886,129954,87.46675371515124,10128.422145366669,80.64583985084639,82.94594594594595,0.0038789886,-40.4196364275372,339746.5945945946,0.001122855
-74.05405405405405,0.0,11.403058506422374,0.7567567567567568,20.324324324324323,0.23449326,3974,0.24324324324324326,0.0062724575,139884,88.59694149357762,10249.443687915802,81.26873225580135,83.5945945945946,0.0062724575,-40.67290613347967,342403.45945945947,0.002476477
-71.22222222222223,0.0,13.933462629479214,0.9444444444444444,21.22222222222222,0.25910616,4010,0.05555555555555555,0.0071221376,149961,86.06653737052078,10361.797507762909,80.44050549998482,82.72222222222223,0.0071221376,-39.01084414095142,338830.22222222225,0.0030989356
-72.53333333333333,0.0,12.139156301509727,0.5777777777777777,21.42222222222222,0.21075347,4055,0.4222222222222222,0.010930412,159936,87.86084369849027,10498.71371626854,80.25263014009776,82.5111111111111,0.010930412,-43.99041455653325,337965.5111111111,0.0046819258
-71.86111111111111,0.0,13.400130403994362,0.7777777777777778,21.0,0.2475144,4091,0.2222222222222222,0.0068418756,169790,86.59986959600563,10613.940931081772,80.65106182274786,82.97222222222223,0.0068418756,-39.663189361474906,339854.22222222225,0.0035413369
-72.825,0.0,12.574045575102982,0.65,20.625,0.2517697,4131,0.35,0.008223283,179924,87.42595442489701,10733.994639396667,80.98938033189052,83.275,0.008223283,-41.18984633553886,341094.4,0.003020187
-72.33333333333333,0.0,13.223858092688339,0.5,20.547619047619047,0.20612662,4173,0.5,0.008746959,189929,86.77614190731167,10863.120507240295,81.05718197453918,83.33333333333333,0.008746959,-41.43430315777338,341333.3333333333,0.0034578296
-73.08108108108108,0.0,12.632929375724856,0.7297297297297297,20.324324324324323,0.28225526,4210,0.2702702702702703,0.0099530155,199726,87.36707062427513,10981.331844091415,81.27556344244842,83.62162162162163,0.0099530155,-40.483680870796114,342514.1621621622,0.0063164635
-70.47619047619048,0.0,14.549825170706677,0.47619047619047616,21.476190476190474,0.24095088,4252,0.5238095238095238,0.005859454,209933,85.45017482929332,11102.179713010788,80.20532228640393,82.47619047619048,0.005859454,-39.04617638777175,337822.4761904762,0.0015970904
-72.71111111111111,0.0,12.466973421202253,0.4222222222222222,20.933333333333334,0.2205105,4297,0.5777777777777777,0.008383377,219856,87.53302657879775,11237.712595701218,80.71433445761282,83.04444444444445,0.008383377,-42.23497052492942,340150.0444444445,0.0034724795
-71.62790697674419,0.0,13.688745626185865,0.3488372093023256,20.930232558139537,0.22705574,4340,0.6511627906976745,0.0071660425,229882,86.31125437381414,11365.820108175278,80.7062039151493,82.97674418604652,0.0071660425,-40.550906175262384,339872.74418604653,0.0026519282
-71.23684210526316,0.0,13.46138222815232,0.4473684210526316,21.657894736842106,0.24188851,4378,0.5526315789473685,0.007255093,239787,86.53861777184765,11483.083775997162,80.03465501751246,82.28947368421052,0.007255093,-39.329714862323286,337057.6842105263,0.002642944
-71.8974358974359,0.0,12.957822246754633,0.6153846153846154,21.384615384615383,0.22341563,4417,0.38461538461538464,0.0076708924,249836,87.04217775324537,11606.424458265305,80.28940276990387,82.56410256410257,0.0076708924,-40.15824648311401,338182.5641025641,0.004045597
-73.0,0.0,12.281215435839936,0.7,20.75,0.23146631,4457,0.3,0.008278184,259884,87.71878456416005,11733.485296487808,80.88070839345781,83.2,0.008278184,-41.9619035968171,340787.2,0.0035357643
-72.625,0.0,12.787116573294533,0.5,20.7,0.22067373,4497,0.5,0.009525825,269842,87.21288342670546,11855.151222229004,80.92640358834866,83.25,0.009525825,-40.223743961006775,340992.0,0.002948434
-73.07894736842105,0.0,12.64024417884144,0.631578947368421,20.263157894736842,0.21187359,4535,0.3684210526315789,0.007328045,279823,87.35975582115856,11972.333566188812,81.32503353695307,83.63157894736842,0.007328045,-40.212948264135726,342554.94736842107,0.0025708152
-72.29729729729729,0.0,13.68522691456468,0.5945945945945946,20.216216216216218,0.23421189,4572,0.40540540540540543,0.0069891624,289940,86.31477308543532,12088.522381544113,81.37579294391978,83.72972972972973,0.0069891624,-39.12951358244638,342956.97297297296,0.0036746273
-72.57894736842105,0.0,12.723629817536091,0.631578947368421,20.81578947368421,0.23113184,4610,0.3684210526315789,0.007984785,299910,87.27637018246388,12203.056584119797,80.8231878190644,83.15789473684211,0.007984785,-40.43124573813002,340614.7368421053,0.0036650582
-71.33333333333333,0.0,13.781512724341965,0.4358974358974359,21.23076923076923,0.2130047,4649,0.5641025641025641,0.0068656066,309857,86.21848727565802,12332.58547091484,80.43243163649345,82.71794871794872,0.0068656066,-39.863701803290446,338812.71794871794,0.0031277728
-73.63157894736842,0.0,11.874376009670971,0.6578947368421053,20.42105263157895,0.21010254,4687,0.34210526315789475,0.0066272537,319938,88.12562399032902,12450.121629476547,81.18467629480729,83.52631578947368,0.0066272537,-39.93564893351124,342123.7894736842,0.003553829
-72.52777777777777,0.0,12.30921293454773,0.8055555555555556,21.166666666666668,0.21404085,4723,0.19444444444444445,0.00815022,329924,87.69078706545228,12569.25966334343,80.48219125248576,82.72222222222223,0.00815022,-39.999265763792756,338830.22222222225,0.0028648688
-71.44736842105263,0.0,13.579165960623587,0.4473684210526316,21.18421052631579,0.23046347,4761,0.5526315789473685,0.008009683,339857,86.42083403937643,12691.882202148438,80.46682697668795,82.71052631578948,0.008009683,-39.38823384271756,338782.3157894737,0.0024740484
-72.05128205128206,0.0,13.167850579771448,0.5641025641025641,20.974358974358974,0.20359117,4800,0.4358974358974359,0.007209015,349915,86.83214942022856,12812.897319793701,80.67473537040388,83.0,0.007209015,-40.153668756145194,339968.0,0.0026436134
-73.0,0.0,12.204564734530791,0.8378378378378378,20.756756756756758,0.2770734,4837,0.16216216216216217,0.012415888,359932,87.79543526546922,12931.800352096558,80.8692113130552,83.16216216216216,0.012415888,-40.23083928791706,340632.2162162162,0.0075339903
-70.56756756756756,0.0,14.54789019805718,0.5945945945945946,21.37837837837838,0.24959785,4874,0.40540540540540543,0.0071948785,369713,85.4521098019428,13055.100519895554,80.29194600255235,82.54054054054055,0.0071948785,-39.254886696530974,338086.0540540541,0.0031940215
-71.17073170731707,0.0,14.583954340082588,0.6585365853658537,20.585365853658537,0.25714228,4915,0.34146341463414637,0.007185355,379997,85.41604565991744,13174.08330821991,81.02182652410069,83.29268292682927,0.007185355,-40.83913931491543,341166.8292682927,0.0036251426
-71.60975609756098,0.0,13.319322224891954,0.43902439024390244,21.365853658536587,0.21258594,4956,0.5609756097560976,0.006533728,389958,86.68067777510802,13303.43630862236,80.31159589234808,82.60975609756098,0.006533728,-40.7658423699964,338369.56097560975,0.003221231
