EpisodesSoFar,meankl,TimestepsSoFar,MtR,optimgain,AttNC,surrgain,TimeElapsed,entloss,AttC,entropy,TtR,Fce
141,0.002545924,9834,5.756707985006247,0.0013173004,0.2624113475177305,0.0013173004,31.30424165725708,0.0,0.7375886524822695,1.4105978,9.815602836879433,0.07652841847487793
278,0.004185894,19786,6.210383847594181,0.0016420509,0.25547445255474455,0.0016420509,61.83575987815857,0.0,0.7445255474452555,1.4082775,10.335766423357665,0.07588838305549318
396,0.0017117672,29937,7.437739847321682,0.0013607397,0.3305084745762712,0.0013607397,93.21366477012634,0.0,0.6694915254237288,1.395023,12.677966101694915,0.08034458997741623
475,0.00648899,39758,10.135479459994345,0.0021488862,0.4810126582278481,0.0021488862,123.92638635635376,0.0,0.5189873417721519,1.3788444,17.430379746835442,0.09494616277294489
549,0.0025473763,49956,11.457919774681228,0.0013282165,0.5405405405405406,0.0013282165,155.84166049957275,0.0,0.4594594594594595,1.3661327,19.72972972972973,0.09943962175810336
627,0.0045435415,59835,9.99507520631496,0.0011403504,0.5,0.0011403504,186.31532669067383,0.0,0.5,1.3416277,17.397435897435898,0.10358150395162277
682,0.005371365,69884,14.887575980776079,0.0012910805,0.7272727272727273,0.0012910805,217.31605410575867,0.0,0.2727272727272727,1.3068812,25.963636363636365,0.1168617079889807
755,0.00558383,79989,10.292318153596996,0.0018021072,0.547945205479452,0.0018021072,248.31053185462952,0.0,0.4520547945205479,1.2656664,18.410958904109588,0.08335614847342213
813,0.003879959,89798,12.737697823947723,0.0014098679,0.6724137931034483,0.0014098679,278.7050151824951,0.0,0.3275862068965517,1.2557414,22.103448275862068,0.10798029556650249
870,0.006317054,99821,13.067127725018949,0.0017736511,0.7017543859649122,0.0017736511,310.8884518146515,0.0,0.2982456140350877,1.2366983,23.17543859649123,0.115953216374269
925,0.004122367,109842,14.711274043705926,0.0016310158,0.7272727272727273,0.0016310158,341.6566536426544,0.0,0.2727272727272727,1.2191366,25.618181818181817,0.10247272727272727
