Tmt,Ptt,AttNC,optimgain,meankl,surrgain,TimestepsSoFar,MtR,TtR,Tmc,MpbtA,EpisodesSoFar,AttC,TimeElapsed,entropy,Tbt,MpbtN,entloss
80.36904761904762,78.2129370227395,0.0,0.0089846365,0.009081428,0.0089846365,9997,-71.01511538639747,-228.22767857142858,23.623511904761905,5.319609139647721,672,3.0,1541.783409833908,0.6840909,329191.61904761905,94.68039086035228,0.0
80.54974704890388,78.3783728233683,0.0,0.0064572273,0.010225094,0.0064572273,20000,-69.85299481882659,-226.65430016863405,23.446880269814503,6.187063603656375,1265,3.0,2906.248051404953,0.6560337,329931.7639123103,93.81293639634352,0.0
80.904,78.70972426687048,0.0,0.008159171,0.009432072,0.008159171,29995,-68.0778672069213,-224.256,23.09,7.576134714805996,1765,3.0,4090.288022041321,0.61433494,331382.784,92.42386528519397,0.0
81.26666666666667,79.0522959358905,0.0,0.008623807,0.008132458,0.008623807,39965,-66.3219366170707,-223.2,22.720987654320986,8.433505901740256,2170,3.0,5020.732702255249,0.56608397,332868.26666666666,91.56649409825978,0.0
81.52702702702703,79.29888735408102,0.0,0.00909621,0.008800769,0.00909621,49996,-62.68042277792069,-219.63851351351352,22.45608108108108,10.169734808643861,2466,3.0,5691.216415882111,0.5125252,333934.7027027027,89.83026519135612,0.0
81.23414634146341,79.0352427355926,0.0,0.008250842,0.008184715,0.008250842,59951,-57.504909558086084,-213.83414634146342,22.73658536585366,12.242326068930973,2671,3.0,6167.540416002274,0.4521087,332735.06341463415,87.75767393106904,0.0
81.6694214876033,79.43129421325055,0.0,0.007067939,0.0059701977,0.007067939,69967,-48.7711827430053,-202.7603305785124,22.31404958677686,17.21897343263973,2792,3.0,6451.932037353516,0.41522408,334517.9504132231,82.78102656736031,0.0
80.45945945945945,78.30464740265857,0.04054054054054054,0.0062255585,0.0050450936,0.0062255585,79889,-39.767773883496425,-185.1081081081081,23.527027027027028,23.40093119236324,2866,2.9594594594594597,6632.674345970154,0.38404804,329561.9459459459,76.59906880763673,0.0
79.3103448275862,77.22429366871727,0.13793103448275862,0.00571091,0.0043342896,0.00571091,89882,-34.068544885300476,-170.17241379310346,24.689655172413794,28.50059304273902,2924,2.8620689655172415,6781.232537984848,0.33868745,324855.1724137931,71.49940695726097,0.0
79.61702127659575,77.51227404980511,0.574468085106383,0.004513157,0.0026956922,0.004513157,99972,-32.44456506531293,-161.48936170212767,24.382978723404257,32.479141967589115,2971,2.425531914893617,6905.620919466019,0.35189715,326111.3191489362,67.5208580324109,0.0
79.4888888888889,77.39208039561399,0.5777777777777777,0.0042820387,0.003164705,0.0042820387,109939,-32.24719342343537,-161.8,24.511111111111113,32.19375230300487,3016,2.422222222222222,7023.528964996338,0.3508572,325586.4888888889,67.80624769699514,0.0
78.74418604651163,76.69711968615756,0.7674418604651163,0.0049350006,0.0025490713,0.0049350006,119994,-31.509319263105695,-159.06976744186048,25.25581395348837,32.681695967627554,3059,2.2325581395348837,7143.109196901321,0.3689004,322536.18604651163,67.31830403237245,0.0
79.80434782608695,77.68518694975316,0.391304347826087,0.005720677,0.0038189623,0.005720677,129876,-32.86681109734105,-165.06521739130434,24.195652173913043,31.02905606272268,3105,2.608695652173913,7266.129994630814,0.36256215,326878.60869565216,68.97094393727733,0.0
78.5952380952381,76.55771699391141,0.8095238095238095,0.0051334067,0.0033328126,0.0051334067,139796,-30.960980136090175,-161.92857142857142,25.404761904761905,31.39811800214842,3147,2.1904761904761907,7383.837181091309,0.34896725,321926.09523809527,68.60188199785156,0.0
79.5952380952381,77.49037029069504,0.8809523809523809,0.004364254,0.0031516629,0.004364254,149812,-31.989560076114124,-163.35714285714286,24.404761904761905,31.614977289528984,3189,2.119047619047619,7498.002115011215,0.3723338,326022.09523809527,68.38502271047099,0.0
79.11363636363636,77.04211443538532,0.75,0.0041727354,0.0021659378,0.0041727354,159835,-31.078035404505762,-159.75,24.886363636363637,32.79145388980499,3233,2.25,7614.994973182678,0.36045206,324049.45454545453,67.208546110195,0.0
78.3695652173913,76.3475963046667,0.6521739130434783,0.004300476,0.0025372726,0.004300476,169995,-31.553561441781884,-160.17391304347825,25.630434782608695,31.92864960608363,3279,2.347826086956522,7741.399550199509,0.33643103,321001.73913043475,68.07135039391635,0.0
78.73809523809524,76.69231935949725,0.9761904761904762,0.004816865,0.0026544416,0.004816865,179787,-31.159266728983322,-157.14285714285714,25.261904761904763,33.545320386340606,3321,2.0238095238095237,7859.536917209625,0.363571,322511.2380952381,66.45467961365942,0.0
78.52173913043478,76.49047148232174,0.6521739130434783,0.004932663,0.003711239,0.004932663,189849,-30.49702642287398,-154.2391304347826,25.47826086956522,34.57253003128435,3367,2.347826086956522,7980.350181102753,0.34133705,321625.04347826086,65.42746996871566,0.0
78.29268292682927,76.27612341328992,1.1951219512195121,0.004191827,0.0028719103,0.004191827,199807,-29.262057626486676,-150.0731707317073,25.70731707317073,36.08771266166044,3408,1.8048780487804879,8095.41594004631,0.3419127,320686.8292682927,63.912287338339574,0.0
79.16666666666667,77.09190174457375,1.1904761904761905,0.0047141956,0.0033013972,0.0047141956,209897,-30.04993517880369,-154.42857142857142,24.833333333333332,35.013290775543,3450,1.8095238095238095,8211.04100227356,0.35009322,324266.6666666667,64.986709224457,0.0
78.4090909090909,76.38449033033028,0.8181818181818182,0.005262217,0.005076412,0.005262217,219890,-30.94268679221611,-157.29545454545453,25.59090909090909,33.19512299793622,3494,2.1818181818181817,8332.557957410812,0.3094282,321163.63636363635,66.80487700206376,0.0
78.21951219512195,76.20799446526574,1.5853658536585367,0.0032282104,0.0024577058,0.0032282104,229929,-30.765463163858318,-156.8780487804878,25.78048780487805,33.18272907354095,3535,1.4146341463414633,8448.536153793335,0.33172882,320387.1219512195,66.81727092645907,0.0
78.65116279069767,76.61107491286312,1.1395348837209303,0.0053290892,0.0038831995,0.0053290892,239971,-30.81503298612122,-155.37209302325581,25.348837209302324,34.23138846300113,3578,1.8604651162790697,8564.199605226517,0.36193845,322155.16279069765,65.76861153699885,0.0
78.17777777777778,76.16991433440012,0.7333333333333333,0.0044157705,0.0030467794,0.0044157705,249945,-30.36926720823654,-153.66666666666666,25.822222222222223,34.54809131548096,3623,2.2666666666666666,8686.755008459091,0.33057615,320216.1777777778,65.45190868451904,0.0
77.53658536585365,75.56940180301845,1.1951219512195121,0.0052133277,0.0028641964,0.0052133277,259802,-29.071436240489884,-148.390243902439,26.463414634146343,36.3124745762155,3664,1.8048780487804879,8803.112506866455,0.34377545,317589.85365853657,63.68752542378447,0.0
78.6046511627907,76.56797987851171,0.9767441860465116,0.004015625,0.0027891798,0.004015625,269810,-30.13595793138721,-153.2093023255814,25.3953488372093,35.07313199493241,3707,2.0232558139534884,8922.551894664764,0.34041327,321964.6511627907,64.92686800506758,0.0
78.18604651162791,76.17672896813869,1.0465116279069768,0.005065391,0.0031310064,0.005065391,279920,-29.27523723171979,-150.34883720930233,25.813953488372093,35.94813256080049,3750,1.9534883720930232,9036.315456151962,0.34946218,320250.0465116279,64.05186743919951,0.0
78.31111111111112,76.29523064069967,0.9777777777777777,0.0030389354,0.0024644316,0.0030389354,289917,-31.46357833219616,-158.73333333333332,25.68888888888889,32.44980373238598,3795,2.022222222222222,9159.74424791336,0.33360508,320762.31111111114,67.55019626761401,0.0
78.04651162790698,76.04688610521812,0.9534883720930233,0.004540735,0.00310607,0.004540735,299954,-30.904073478502415,-159.06976744186048,25.953488372093023,32.18118165277519,3838,2.046511627906977,9280.417803525925,0.33258486,319678.511627907,67.81881834722483,0.0
78.1951219512195,76.18547910768103,1.3658536585365855,0.0036949397,0.0021061304,0.0036949397,309775,-29.895726559404448,-152.5609756097561,25.804878048780488,34.96537602026008,3879,1.6341463414634145,9398.538014888763,0.32010025,320287.2195121951,65.03462397973992,0.0
78.11363636363636,76.10957901834719,1.1818181818181819,0.003846886,0.002069342,0.003846886,319956,-29.93608658776741,-151.22727272727272,25.886363636363637,35.54526488899367,3923,1.8181818181818181,9518.239004850388,0.31959987,319953.45454545453,64.45473511100633,0.0
77.74418604651163,75.76500399610705,0.9302325581395349,0.0045639304,0.003533371,0.0045639304,329809,-29.410440623728057,-147.62790697674419,26.25581395348837,36.6712804255373,3966,2.0697674418604652,9637.567321538925,0.31647888,318440.18604651163,63.328719574462696,0.0
78.57777777777778,76.52740385939893,0.6666666666666666,0.0038524098,0.0023644217,0.0038524098,339759,-30.082928697023924,-149.4,25.444444444444443,36.67498240780318,4011,2.3333333333333335,9759.04898905754,0.3254498,321854.5777777778,63.32501759219682,0.0
76.82222222222222,74.90215837468479,0.7777777777777778,0.003380656,0.0022027572,0.003380656,349980,-29.447126338861406,-145.8,27.177777777777777,36.78764797531129,4056,2.2222222222222223,9878.359360218048,0.3291585,314663.8222222222,63.21235202468868,0.0
78.06521739130434,76.05089942060803,0.5434782608695652,0.0036038798,0.0045174817,0.0036038798,359960,-29.700982440647344,-148.82608695652175,25.956521739130434,36.5020198297205,4102,2.4565217391304346,9997.48774600029,0.2957614,319755.1304347826,63.49798017027947,0.0
78.0909090909091,76.07431618027269,1.0681818181818181,0.0038498347,0.0027373647,0.0038498347,369931,-29.707069871871127,-151.5681818181818,25.931818181818183,35.28876680435507,4146,1.9318181818181819,10117.140506982803,0.33250704,319860.36363636365,64.71123319564494,0.0
77.87234042553192,75.8830258785819,0.8723404255319149,0.0039061005,0.0034736572,0.0039061005,379836,-31.210324569750327,-157.46808510638297,26.127659574468087,32.763903264160916,4193,2.127659574468085,10243.334188461304,0.29568273,318965.10638297873,67.23609673583907,0.0
77.25,75.30259493389481,0.8181818181818182,0.0038856568,0.0030256342,0.0038856568,389981,-29.286317893559247,-150.75,26.75,35.09114503078739,4237,2.1818181818181817,10363.513198137283,0.29573998,316416.0,64.9088549692126,0.0
77.9047619047619,75.91468849067451,1.3095238095238095,0.004348649,0.0028756827,0.004348649,399839,-30.60793728245248,-152.85714285714286,26.095238095238095,34.64997961257518,4279,1.6904761904761905,10479.7943546772,0.31853116,319097.90476190473,65.3500203874248,0.0
78.23809523809524,76.22642687507361,1.0714285714285714,0.0037933202,0.0026407156,0.0037933202,409857,-28.994480088782314,-150.92857142857142,25.761904761904763,35.74797330953614,4321,1.9285714285714286,10596.349929094315,0.3278506,320463.2380952381,64.25202669046386,0.0
77.76190476190476,75.78026940515755,0.9047619047619048,0.0039907736,0.0025575876,0.0039907736,419814,-28.27679455331239,-145.35714285714286,26.238095238095237,37.73187210035902,4363,2.0952380952380953,10715.140798091888,0.3106619,318512.7619047619,62.268127899640994,0.0
78.18604651162791,76.17661544614155,1.2790697674418605,0.007318241,0.0070651,0.007318241,429751,-30.278750352098317,-151.6046511627907,25.813953488372093,35.381975615129406,4406,1.7209302325581395,10831.818546056747,0.3474176,320250.0465116279,64.61802438487058,0.0
78.23404255319149,76.22204908360443,0.7021276595744681,0.0043159076,0.003668378,0.0043159076,439806,-31.83430613560135,-158.48936170212767,25.76595744680851,32.5316727801884,4453,2.297872340425532,10959.149834632874,0.30515283,320446.6382978723,67.46832721981158,0.0
77.75555555555556,75.77515099402866,0.8666666666666667,0.004889936,0.0035390723,0.004889936,449783,-29.6924353775667,-150.73333333333332,26.244444444444444,35.425393422351256,4498,2.1333333333333333,11077.503336906433,0.2981459,318486.7555555556,64.57460657764875,0.0
77.88636363636364,75.89861084511809,1.2045454545454546,0.005131971,0.0033289471,0.005131971,459954,-29.595805242679354,-148.5681818181818,26.113636363636363,36.463959018172154,4542,1.7954545454545454,11193.503424167633,0.30833334,319022.54545454547,63.536040981827824,0.0
77.41463414634147,75.45534179412522,1.3902439024390243,0.005540342,0.0046582324,0.005540342,469898,-29.68697138626044,-151.609756097561,26.585365853658537,34.84616434254042,4583,1.6097560975609757,11310.706174373627,0.34208125,317090.34146341466,65.15383565745957,0.0
78.34883720930233,76.3282542082048,1.069767441860465,0.004673164,0.0033104224,0.004673164,479822,-29.98149955406259,-152.65116279069767,25.651162790697676,35.21024788945102,4626,1.930232558139535,11431.48503446579,0.33900657,320916.83720930235,64.78975211054896,0.0
79.06818181818181,77.00020960518498,0.9772727272727273,0.0040775193,0.0028571156,0.0040775193,489972,-31.214626232954473,-161.9318181818182,24.931818181818183,31.822053895657827,4670,2.022727272727273,11552.550443172455,0.34922826,323863.2727272727,68.1779461043422,0.0
77.70454545454545,75.72431847554746,0.9772727272727273,0.0047652028,0.0035362518,0.0047652028,499954,-31.02719525358009,-160.9090909090909,26.295454545454547,31.1239203442846,4714,2.022727272727273,11670.047152042389,0.30731153,318277.8181818182,68.87607965571539,0.0
78.30952380952381,76.29349802713197,1.2380952380952381,0.005795998,0.0038574396,0.005795998,509780,-30.44780672673315,-154.64285714285714,25.69047619047619,34.24029288198661,4756,1.7619047619047619,11786.55424785614,0.3503423,320755.8095238095,65.7597071180134,0.0
78.57777777777778,76.54104634007355,0.8,0.0057972935,0.004079084,0.0057972935,519925,-30.9949946774847,-158.33333333333334,25.42222222222222,32.96806301678597,4801,2.2,11905.08894276619,0.32897517,321854.5777777778,67.03193698321401,0.0
77.27906976744185,75.31423074505916,0.8372093023255814,0.004792346,0.00350649,0.004792346,529919,-29.36256770900117,-149.2325581395349,26.74418604651163,35.68710429513253,4844,2.1627906976744184,12026.949221372604,0.34155273,316535.06976744183,64.3128957048675,0.0
78.28260869565217,76.26406984587915,0.5217391304347826,0.0042427024,0.002396159,0.0042427024,539980,-30.633271638078803,-158.2173913043478,25.717391304347824,32.695606659678035,4890,2.4782608695652173,12154.98110294342,0.36576512,320645.5652173913,67.30439334032198,0.0
78.88372093023256,76.82855112013775,0.8604651162790697,0.0055391123,0.004482088,0.0055391123,549950,-30.55255619804865,-158.51162790697674,25.11627906976744,33.04951686595828,4933,2.13953488372093,12273.742652893066,0.34535208,323107.72093023255,66.95048313404169,0.0
