TimestepsSoFar,Tbt,surrgain,TimeElapsed,Tmc,TtR,optimgain,MtR,Ptt,AttNC,meankl,entloss,entropy,MpbtN,EpisodesSoFar,AttC,Tmt,MpbtA
9986,305900.3778966132,0.0020753217,1389.2146282196045,29.36185383244207,-727.5757575757576,0.0020753217,-66.91529990740504,72.86869481525636,0.0,0.008405827,0.0,0.6847655,97.4315589918826,561,10.0,74.68270944741533,2.5684410081174196
19985,300852.8925619835,0.0024056165,2621.980356693268,30.642561983471076,-709.7107438016529,0.0024056165,-64.35855280679279,71.68322828271303,0.0,0.00846218,0.0,0.6605948,96.63853684996876,1045,10.0,73.4504132231405,3.361463150031129
29985,296449.26419753087,0.0046972684,3628.0643696784973,31.782716049382717,-687.925925925926,0.0046972684,-61.16231732902877,70.63482400364249,0.0,0.009679403,0.0,0.6174991,95.0689019830578,1450,10.0,72.37530864197531,4.931098016942097
39950,293247.59365079366,0.0043225703,4414.453942537308,32.66031746031746,-661.1428571428571,0.0043225703,-56.895013405903775,69.84264659947118,0.0,0.008700499,0.0,0.5649929,92.3779260462289,1765,10.0,71.5936507936508,7.622073953771102
49967,292481.4065934066,0.002790949,4887.44140458107,32.87362637362637,-598.7912087912088,0.002790949,-46.704941783912986,69.6517606125049,0.0,0.008062948,0.0,0.51513237,83.88695583951092,1947,10.0,71.4065934065934,16.113044160489082
59881,284964.5714285714,0.002346773,5149.91313624382,34.98571428571429,-432.7142857142857,0.002346773,-27.622521594952772,67.7612570187876,0.6857142857142857,0.0069224006,0.0,0.4525999,61.710833417988425,2017,9.314285714285715,69.57142857142857,38.28916658201159
69915,275359.3962264151,0.0015425602,5412.544791936874,37.509433962264154,-260.75471698113205,0.0015425602,-16.06584860055277,65.45416845991524,5.7924528301886795,0.0033888635,0.0,0.37675336,38.68261776509335,2070,4.2075471698113205,67.22641509433963,61.31738223490666
79911,272004.74074074073,0.0012126685,5678.463771104813,38.46296296296296,-275.3703703703704,0.0012126685,-16.422834993212046,64.6020504101849,2.8703703703703702,0.0054140785,0.0,0.38247153,41.285810607985326,2124,7.12962962962963,66.4074074074074,58.71418939201466
89956,266459.4285714286,0.0021166352,5948.05288028717,39.839285714285715,-212.85714285714286,0.0021166352,-14.275653363627454,63.31696188859157,6.5,0.0059742485,0.0,0.349369,32.73176802498909,2180,3.5,65.05357142857143,67.26823197501086
99925,254799.44827586206,0.001534838,6229.53470993042,42.793103448275865,-196.72413793103448,0.001534838,-13.5532211790489,60.573891105761824,3.4310344827586206,0.0032998878,0.0,0.36670032,31.70645405265806,2238,6.568965517241379,62.206896551724135,68.29354594734194
109906,253952.0,0.00072658143,6502.306595563889,43.03389830508475,-181.52542372881356,0.00072658143,-12.520639365483483,60.36268112709815,2.9322033898305087,0.002081536,0.0,0.3315728,29.25718146031321,2297,7.067796610169491,62.0,70.7428185396868
119867,252702.37288135593,0.0018363867,6761.386896848679,43.30508474576271,-176.4406779661017,0.0018363867,-12.367030888330104,60.092669576367555,4.4576271186440675,0.003070613,0.0,0.3665553,28.630961857221553,2356,5.5423728813559325,61.69491525423729,71.36903814277842
129818,263016.91803278687,0.0009552888,7029.43733048439,40.75409836065574,-215.08196721311475,0.0009552888,-14.297770619961765,62.481080875648814,1.6885245901639345,0.0036718387,0.0,0.36204445,33.296262224213976,2417,8.311475409836065,64.21311475409836,66.70373777578601
139966,252563.5254237288,0.0012125284,7293.344643354416,43.30508474576271,-174.91525423728814,0.0012125284,-12.095303943083596,60.080209574619246,4.11864406779661,0.002989473,0.0,0.3349681,28.328978904289777,2476,5.88135593220339,61.66101694915254,71.67102109571023
149981,250129.06666666668,0.0015143076,7559.114489555359,43.93333333333333,-176.83333333333334,0.0015143076,-12.692614753521122,59.50242514005581,4.583333333333333,0.0050413804,0.0,0.36917517,28.911065787230054,2536,5.416666666666667,61.06666666666667,71.08893421276994
159857,254785.08474576272,0.0016326271,7847.47235417366,42.79661016949152,-194.91525423728814,0.0016326271,-12.596423099042731,60.56988242560352,1.728813559322034,0.008680315,0.0,0.32774404,31.212092405006967,2595,8.271186440677965,62.20338983050848,68.78790759499302
169906,250948.26666666666,0.0014062088,8129.586145877838,43.75,-175.16666666666666,0.0014062088,-11.923329781990617,59.681128018974974,4.333333333333333,0.0032127588,0.0,0.37080652,28.57332225465761,2655,5.666666666666667,61.266666666666666,71.42667774534239
179986,253952.0,0.0007908499,8413.496387004852,42.96610169491525,-181.52542372881356,0.0007908499,-11.965384029061365,60.39995305642793,2.3220338983050848,0.0037790712,0.0,0.31741062,29.1714696288436,2714,7.677966101694915,62.0,70.82853037115635
189850,251056.55172413794,0.0010166153,8713.80619931221,43.689655172413794,-174.48275862068965,0.0010166153,-11.803472628670683,59.722359944924904,4.275862068965517,0.0031481278,0.0,0.36555365,28.444429538890127,2772,5.724137931034483,61.293103448275865,71.55557046110987
199826,250133.69491525425,0.00092562835,9010.532296180725,43.94915254237288,-177.45762711864407,0.00092562835,-11.92502487319948,59.494282082268064,2.559322033898305,0.002911869,0.0,0.36217472,28.929807208723844,2831,7.440677966101695,61.067796610169495,71.07019279127614
