entloss,EpisodesSoFar,entropy,surrgain,AttC,AttNC,meankl,TimeElapsed,Fce,TtR,MtR,TimestepsSoFar,optimgain
0.0,68,1.4061304,0.000723938,2.323529411764706,0.6764705882352942,0.0074810423,109.79317259788513,0.13245801395146753,64.94117647058823,12.626064853081768,9827,0.000723938
0.0,129,1.3906256,0.00039595593,2.0327868852459017,0.9672131147540983,0.0023737825,253.5200695991516,0.16187344950178933,70.0327868852459,13.555246582848934,19765,0.00039595593
0.0,182,1.3741848,0.00043979211,1.8113207547169812,1.1886792452830188,0.001534789,398.2527301311493,0.13783002741493308,83.15094339622641,16.043578416285317,29826,0.00043979211
0.0,233,1.3857535,0.0007899852,1.803921568627451,1.196078431372549,0.005533716,545.7497856616974,0.1556976413753907,84.23529411764706,16.013652557642857,39883,0.0007899852
0.0,285,1.3737332,0.0006178571,1.9615384615384615,1.0384615384615385,0.0037236765,683.2032778263092,0.14153989600143446,83.59615384615384,15.848436360629856,49981,0.0006178571
0.0,333,1.3779303,0.0004754186,1.6875,1.3125,0.0009292543,794.7282681465149,0.14279950869236582,87.8125,16.692380555893887,59798,0.0004754186
0.0,378,1.4002682,0.00059081614,1.5777777777777777,1.4222222222222223,0.0043289834,943.9426782131195,0.1301135802469136,94.0,18.027388073208016,69843,0.00059081614
0.0,431,1.3909146,0.0010102587,1.8679245283018868,1.1320754716981132,0.003500367,1073.7429711818695,0.1322417708078085,84.73584905660377,16.253477368226815,79944,0.0010102587
0.0,480,1.3876569,0.00064723945,1.8979591836734695,1.1020408163265305,0.0038022806,1205.0106563568115,0.12888763470756268,89.0204081632653,17.056297686352032,89830,0.00064723945
0.0,527,1.3849708,0.0006730274,1.6808510638297873,1.3191489361702127,0.0044687665,1358.4618315696716,0.13397091482197868,94.59574468085107,18.114909685223427,99893,0.0006730274
0.0,575,1.3708467,0.0008323171,1.4791666666666667,1.5208333333333333,0.0021737788,1479.8068721294403,0.12412121212121212,90.375,17.49132137259158,109931,0.0008323171
