optimgain,surrgain,Tmt,Tbt,MpbtA,TimestepsSoFar,TimeElapsed,Tmc,AttC,meankl,Ptt,EpisodesSoFar,MtR,TtR,MpbtN,entloss,entropy,AttNC
0.008937707,0.008937707,80.09037900874635,328050.19241982506,5.091635324825448,9996,1590.3297145366669,23.909620991253643,3.0,0.00867219,77.94761201073877,686,-71.04001417919373,-227.9737609329446,94.90836467517445,0.0,0.68438107,0.0
0.005584022,0.005584022,80.4679054054054,329596.54054054053,6.155386235419481,19988,2977.4920151233673,23.52533783783784,3.0,0.008492038,78.30445091619015,1278,-69.79250341193423,-226.47972972972974,93.84461376458049,0.0,0.659384,0.0
0.009029375,0.009029375,81.02235772357723,331867.57723577233,7.329219943426136,30000,4118.666612148285,22.96747967479675,3.0,0.009307615,78.82381463635122,1770,-68.2643013606348,-225.1951219512195,92.67078005657393,0.0,0.6171964,0.0
0.012740203,0.012740203,81.45618556701031,333644.5360824742,8.746813924202733,39978,4989.713697195053,22.528350515463917,3.0,0.009634391,79.23179746552334,2158,-65.93904546790803,-222.91237113402062,91.25318607579732,0.0,0.5633935,0.0
0.010220351,0.010220351,81.51372549019608,333880.21960784314,10.776945768870243,49978,5579.413646697998,22.478431372549018,3.0,0.009241607,79.27985035137053,2413,-60.99085756788314,-218.10588235294117,89.22305423112978,0.0,0.51116997,0.0
0.007125209,0.007125209,81.65853658536585,334473.3658536585,15.885276455854056,59905,5867.446082830429,22.317073170731707,2.967479674796748,0.0074198376,79.42751243908035,2536,-50.69533664811603,-205.97560975609755,84.11472354414596,0.0,0.47540385,0.032520325203252036
0.007887834,0.007887834,80.87654320987654,331270.3209876543,20.046965018501375,69999,6065.285218000412,23.098765432098766,2.9753086419753085,0.008562772,78.70058834523427,2617,-42.14624096997272,-194.0,79.95303498149863,0.0,0.4150715,0.024691358024691357
0.0041811396,0.0041811396,80.45833333333333,329557.3333333333,27.07175887864337,79826,6191.133247852325,23.541666666666668,2.6041666666666665,0.005746801,78.29383917502213,2665,-34.601501051842455,-176.25,72.92824112135659,0.0,0.3645153,0.3958333333333333
0.0035463378,0.0035463378,80.3,328908.8,28.707314933630688,89756,6301.234647989273,23.7,1.75,0.003309893,78.14548970658434,2705,-32.80611682917687,-171.975,71.29268506636933,0.0,0.33309355,1.25
0.0043155337,0.0043155337,79.60975609756098,326081.56097560975,30.849379976550885,99875,6413.03777050972,24.390243902439025,1.5609756097560976,0.0036361665,77.50554662557748,2746,-32.12967332780174,-165.14634146341464,69.1506200234491,0.0,0.32787248,1.4390243902439024
0.0030099682,0.0030099682,79.14285714285714,324169.14285714284,32.898605876169036,109864,6527.1194088459015,24.857142857142858,1.4523809523809523,0.003347297,77.07033574939848,2788,-31.600745334010167,-159.42857142857142,67.10139412383094,0.0,0.29892793,1.5476190476190477
0.0034499634,0.0034499634,78.74418604651163,322536.18604651163,32.243805475262235,119978,6642.2073340415955,25.25581395348837,1.7906976744186047,0.0026927213,76.69698109032288,2831,-31.84575716991096,-160.11627906976744,67.75619452473772,0.0,0.31847557,1.2093023255813953
0.003390517,0.003390517,78.53488372093024,321678.88372093026,35.10539096362212,129988,6760.182925224304,25.488372093023255,1.7906976744186047,0.0028201337,76.48865571220927,2874,-30.88234265212929,-152.93023255813952,64.89460903637789,0.0,0.32939383,1.2093023255813953
0.004150893,0.004150893,78.16279069767442,320154.79069767444,37.194912867350624,139863,6874.858356714249,25.837209302325583,1.6046511627906976,0.004201915,76.15794717309562,2917,-29.830815190928327,-147.2093023255814,62.80508713264936,0.0,0.3398034,1.3953488372093024
0.003577508,0.003577508,77.0952380952381,315782.09523809527,37.71990379011996,149864,6989.967026472092,26.904761904761905,2.0,0.005095032,75.1594458448891,2959,-28.471263750891268,-144.07142857142858,62.28009620988004,0.0,0.32024744,1.0
0.0033324626,0.0033324626,78.21951219512195,320387.1219512195,37.789767115128335,159770,7106.708011865616,25.78048780487805,1.146341463414634,0.0034458868,76.2089464897278,3000,-29.190674412541284,-146.0487804878049,62.210232884871665,0.0,0.3084177,1.853658536585366
0.0033205485,0.0033205485,78.9090909090909,323211.63636363635,34.85760125774603,169998,7219.947967529297,25.09090909090909,1.3181818181818181,0.003712649,76.85442450233344,3044,-31.2825254729687,-154.29545454545453,65.14239874225393,0.0,0.32398275,1.6818181818181819
0.0031057477,0.0031057477,78.16666666666667,320170.6666666667,39.1500734960444,179802,7334.875058412552,25.857142857142858,1.6666666666666667,0.0036846125,76.14376147253363,3086,-28.69909553369165,-142.71428571428572,60.84992650395558,0.0,0.32759973,1.3333333333333333
0.0042387494,0.0042387494,78.52272727272727,321629.0909090909,37.33462438497183,189824,7449.952337741852,25.477272727272727,1.4772727272727273,0.0029861913,76.49300706077516,3130,-29.835114766078473,-147.75,62.66537561502817,0.0,0.33661342,1.5227272727272727
0.00411044,0.00411044,76.97727272727273,315298.9090909091,40.51754957121999,199965,7564.134426832199,27.045454545454547,1.3636363636363635,0.0042511947,75.03688230756103,3174,-27.57250744160922,-137.3181818181818,59.48245042878002,0.0,0.34537524,1.6363636363636365
0.0032138643,0.0032138643,78.06666666666666,319761.06666666665,39.34652697378634,209752,7680.759901762009,25.933333333333334,2.022222222222222,0.0029324172,76.0670820412698,3219,-29.166003774877137,-142.13333333333333,60.653473026213646,0.0,0.33930624,0.9777777777777777
0.002999882,0.002999882,78.15555555555555,320125.15555555554,37.89290160682397,219902,7796.675206899643,25.844444444444445,1.5777777777777777,0.0038728456,76.15030397878719,3264,-29.12390041117107,-145.66666666666666,62.107098393176045,0.0,0.31273508,1.4222222222222223
0.0042752847,0.0042752847,78.06976744186046,319773.76744186046,38.85300162639465,229968,7911.928135633469,25.953488372093023,1.0465116279069768,0.004116464,76.05627430630156,3307,-28.850424944045972,-143.30232558139534,61.14699837360534,0.0,0.33699852,1.9534883720930232
0.004221806,0.004221806,77.56818181818181,317719.2727272727,39.65841143356928,239783,8031.79837012291,26.431818181818183,1.4318181818181819,0.0048353323,75.60283667522404,3351,-28.62695834553224,-140.52272727272728,60.34158856643069,0.0,0.35166466,1.5681818181818181
0.0043355213,0.0043355213,77.42222222222222,317121.4222222222,40.394732937441276,249819,8148.394446611404,26.6,2.0,0.0042395787,75.44935213079528,3396,-27.147602720652532,-138.53333333333333,59.60526706255876,0.0,0.32410482,1.0
0.0045793946,0.0045793946,76.8409090909091,314740.36363636365,39.52736959781881,259797,8264.190843820572,27.181818181818183,1.5454545454545454,0.005643369,74.90658386008964,3440,-28.578145543853967,-139.63636363636363,60.47263040218118,0.0,0.33149797,1.4545454545454546
0.0035239086,0.0035239086,77.38636363636364,316974.54545454547,41.2770610911568,269918,8377.925125837326,26.636363636363637,1.5454545454545454,0.0030591898,75.41903401013471,3484,-27.60747325503362,-136.4318181818182,58.722938908843204,0.0,0.33705235,1.4545454545454546
0.0046146517,0.0046146517,77.81395348837209,318725.9534883721,38.67547629475796,279877,8492.274292707443,26.186046511627907,1.372093023255814,0.0041720327,75.8311803373003,3527,-28.37804422851283,-143.09302325581396,61.32452370524204,0.0,0.3653562,1.627906976744186
0.005861277,0.005861277,76.81395348837209,314629.9534883721,40.53572085346722,289847,8605.811497926712,27.209302325581394,1.4883720930232558,0.005501793,74.88231907104354,3570,-27.728748726809346,-137.2325581395349,59.4642791465328,0.0,0.36081928,1.5116279069767442
0.0038072967,0.0038072967,77.17777777777778,316120.1777777778,42.631538772130895,299871,8726.767789840698,26.822222222222223,2.1333333333333333,0.004199882,75.2371805204631,3615,-27.390965416315957,-133.06666666666666,57.36846122786909,0.0,0.33578327,0.8666666666666667
0.0046917745,0.0046917745,76.44444444444444,313116.44444444444,41.47210796683407,309794,8843.446315526962,27.57777777777778,1.7555555555555555,0.0053824224,74.53856858725555,3660,-27.521631405810634,-134.4,58.52789203316592,0.0,0.36378965,1.2444444444444445
0.0036638041,0.0036638041,77.25531914893617,316437.78723404254,42.28984891626403,319926,8958.176460266113,26.74468085106383,1.851063829787234,0.0038945766,75.31040441202497,3707,-27.237756112925464,-133.91489361702128,57.71015108373599,0.0,0.347608,1.148936170212766
0.005549061,0.005549061,76.25,312320.0,42.06741823104084,329927,9075.745272159576,27.75,2.0454545454545454,0.0055585764,74.36945566041435,3751,-26.39788986700057,-132.61363636363637,57.93258176895915,0.0,0.35807043,0.9545454545454546
0.003863969,0.003863969,76.37777777777778,312843.3777777778,43.510043195154985,339788,9191.699263334274,27.666666666666668,1.8666666666666667,0.0038591346,74.46099255452414,3796,-26.700301419530014,-129.53333333333333,56.48995680484503,0.0,0.31732097,1.1333333333333333
0.005142403,0.005142403,76.0,311296.0,43.71405655110548,349783,9304.395448923111,28.045454545454547,1.7727272727272727,0.005539705,74.10531603224707,3840,-26.72911130851386,-128.52272727272728,56.28594344889452,0.0,0.36206537,1.2272727272727273
0.0039136535,0.0039136535,76.0,311296.0,42.91676490419928,359869,9420.778356790543,28.066666666666666,1.8888888888888888,0.0048164846,74.09410491024461,3885,-26.52875706895009,-130.33333333333334,57.083235095800724,0.0,0.35031354,1.1111111111111112
0.0040206835,0.0040206835,76.48837209302326,313296.37209302327,40.53616092633893,369914,9531.147138357162,27.558139534883722,1.7674418604651163,0.0035695406,74.56044434223801,3928,-26.711576336091913,-136.67441860465115,59.46383907366107,0.0,0.35698462,1.2325581395348837
0.0037776388,0.0037776388,76.64444444444445,313935.64444444445,41.30327565866427,379884,9641.538698911667,27.377777777777776,1.8,0.0034891062,74.72481055569885,3973,-27.130496857941857,-135.06666666666666,58.69672434133575,0.0,0.34647456,1.2
0.0042403573,0.0042403573,77.41304347826087,317083.82608695654,41.66158208477775,389939,9757.14238166809,26.58695652173913,1.8043478260869565,0.004552185,75.4581717488857,4019,-27.572120567066413,-135.52173913043478,58.33841791522224,0.0,0.3148299,1.1956521739130435
0.004053366,0.004053366,77.0,315392.0,41.43702970934912,399959,9870.86312174797,27.0,1.4222222222222223,0.0041837036,75.07131198633446,4064,-27.71427279087669,-135.6,58.562970290650874,0.0,0.328295,1.5777777777777777
0.004568572,0.004568572,77.0,315392.0,42.47448020685029,409902,9986.412792682648,27.0,1.4666666666666666,0.0038499485,75.07236105370295,4109,-27.129091954624883,-133.0,57.52551979314969,0.0,0.31666312,1.5333333333333334
0.0049461387,0.0049461387,76.38636363636364,312878.54545454547,42.56394228797002,419966,10099.34016251564,27.613636363636363,1.3636363636363635,0.0037499457,74.49599382649714,4153,-26.952978064869352,-131.9318181818182,57.436057712029985,0.0,0.3341775,1.6363636363636365
0.003852944,0.003852944,77.04444444444445,315574.0444444445,42.46679551428813,429941,10212.901357412338,26.955555555555556,1.6666666666666667,0.0038412793,75.1104546550001,4198,-27.17562101976427,-133.06666666666666,57.53320448571187,0.0,0.34237656,1.3333333333333333
0.0039996603,0.0039996603,78.11111111111111,319943.1111111111,41.99865786862326,439982,10326.052338600159,25.88888888888889,2.0,0.0034689824,76.10815992461677,4243,-27.777688532943255,-136.2,58.00134213137673,0.0,0.3515448,1.0
0.0043030316,0.0043030316,76.8,314572.8,41.815625784887516,449914,10442.80564212799,27.244444444444444,2.2888888888888888,0.003967239,74.8540414826049,4288,-26.6568307756485,-134.06666666666666,58.1843742151125,0.0,0.31462875,0.7111111111111111
0.004868425,0.004868425,77.37777777777778,316939.3777777778,41.84875524497877,459939,10556.552445173264,26.666666666666668,1.9777777777777779,0.0044340543,75.39413452465546,4333,-27.269336644045687,-135.2,58.15124475502123,0.0,0.32907793,1.0222222222222221
0.004542461,0.004542461,75.2,308019.2,45.07213108476044,469920,10676.72481250763,28.844444444444445,1.8,0.0046316218,73.3579849950393,4378,-25.983673086342474,-123.93333333333334,54.92786891523956,0.0,0.32832927,1.2
0.0046171946,0.0046171946,76.34042553191489,312690.3829787234,41.750847398521,479842,10795.90790438652,27.659574468085108,2.276595744680851,0.004973355,74.45280865050648,4425,-27.049502489575897,-133.53191489361703,58.249152601479,0.0,0.3169967,0.723404255319149
0.0032400473,0.0032400473,76.82608695652173,314679.652173913,44.049402428472526,489950,10906.873555660248,27.17391304347826,1.826086956521739,0.0030518926,74.91068130576863,4471,-26.34880693118814,-129.1304347826087,55.95059757152745,0.0,0.3354049,1.173913043478261
0.0034022308,0.0034022308,75.95555555555555,311113.9555555555,42.5893775916847,499830,11021.619357585907,28.044444444444444,1.8444444444444446,0.0035961503,74.09533733002814,4516,-26.40099098942037,-130.93333333333334,57.410622408315255,0.0,0.30380723,1.1555555555555554
0.0041048615,0.0041048615,76.4,312934.4,44.42267101300867,509912,11139.382959604263,27.622222222222224,1.4,0.0042989757,74.4972060201874,4561,-26.2959052039086,-127.46666666666667,55.57732898699135,0.0,0.3134921,1.6
0.0026999628,0.0026999628,76.33333333333333,312661.3333333333,44.4417224144142,519862,11253.897778749466,27.711111111111112,1.4666666666666666,0.002072341,74.42128329759527,4606,-26.128259782557542,-127.2,55.5582775855858,0.0,0.29325092,1.5333333333333334
0.0038665247,0.0038665247,77.30434782608695,316638.60869565216,42.04888120977222,529972,11367.903439760208,26.695652173913043,1.6956521739130435,0.003767628,75.35696915832236,4652,-27.38797883886727,-134.54347826086956,57.95111879022777,0.0,0.2847605,1.3043478260869565
0.003102592,0.003102592,76.3409090909091,312692.36363636365,44.00490803559855,539805,11485.542160749435,27.65909090909091,1.4545454545454546,0.0025766443,74.45464380824747,4696,-26.555763134755093,-128.25,55.99509196440146,0.0,0.28385898,1.5454545454545454
0.004851597,0.004851597,76.44444444444444,313116.44444444444,43.90510572835864,549865,11599.825798511505,27.555555555555557,1.2,0.0051365728,74.55337082504975,4741,-26.36295425876751,-128.73333333333332,56.09489427164135,0.0,0.29060632,1.8
0.005277952,0.005277952,76.78260869565217,314501.5652173913,41.816231810293054,559817,11717.285249471664,27.23913043478261,1.434782608695652,0.0049646916,74.85585018854198,4787,-27.46548803045073,-134.02173913043478,58.183768189706946,0.0,0.2843384,1.565217391304348
0.0035616455,0.0035616455,75.4,308838.4,43.450284186104156,569998,11836.537108898163,28.6,1.6888888888888889,0.0026819548,73.5740265378021,4832,-26.146177466434303,-128.0,56.54971581389585,0.0,0.30115324,1.3111111111111111
0.0037911183,0.0037911183,77.17777777777778,316120.1777777778,42.52227340616905,579855,11950.768544197083,26.844444444444445,1.4222222222222223,0.00312518,75.22355473198371,4877,-27.392330214923984,-133.33333333333334,57.477726593830944,0.0,0.29245156,1.5777777777777777
