EpisodesSoFar,TimestepsSoFar,AttC,TtR,TimeElapsed,surrgain,AttNC,entropy,MtR,meankl,entloss,Fce,optimgain
12838,3059788,0.0,2500.0,33916.79414653778,0.0002025633,10.0,-0.21985856,142.8784238871937,0.010174863,0.0,1.0,0.0002025633
12878,3069788,0.0,2500.0,34010.165357112885,7.9218866e-05,10.0,-0.31744483,142.8784238871937,0.01017476,0.0,1.0,7.9218866e-05
12918,3079788,0.0,2500.0,34107.79080724716,0.00089790695,10.0,-0.21985856,142.8784238871937,0.008933204,0.0,1.0,0.00089790695
12958,3089788,0.0,2500.0,34207.271347761154,0.000505622,10.0,-0.31744483,142.8784238871937,0.01017476,0.0,1.0,0.000505622
12998,3099788,0.0,2500.0,34302.743441820145,0.0002381706,10.0,-0.21985848,142.8784238871937,0.008933204,0.0,1.0,0.0002381706
13038,3109788,0.0,2500.0,34400.009741067886,0.00031895936,10.0,-0.31744483,142.8784238871937,0.010174781,0.0,1.0,0.00031895936
13078,3119788,0.0,2500.0,34495.75308728218,0.00016157811,10.0,-0.41503847,142.8784238871937,0.01017476,0.0,1.0,0.00016157811
13118,3129788,0.0,2500.0,34588.85115361214,0.00013640792,10.0,-0.5126319,142.8784238871937,0.010174863,0.0,1.0,0.00013640792
13158,3139788,0.0,2500.0,34695.72254228592,0.00050911325,10.0,-0.41503885,142.8784238871937,0.008933196,0.0,1.0,0.00050911325
13198,3149788,0.0,2500.0,34800.64846611023,7.74765e-08,10.0,-0.41198733,142.8784238871937,9.298325e-06,0.0,1.0,7.74765e-08
13238,3159788,0.0,2500.0,34896.24960064888,0.00018267946,10.0,-0.5095806,142.8784238871937,0.010174781,0.0,1.0,0.00018267946
13278,3169788,0.0,2500.0,34998.83328294754,0.0002272825,10.0,-0.6071714,142.8784238871937,0.010175116,0.0,1.0,0.0002272825
13318,3179788,0.0,2500.0,35093.96215415001,0.0005960069,10.0,-0.70476586,142.8784238871937,0.010174781,0.0,1.0,0.0005960069
13358,3189788,0.0,2500.0,35194.54438281059,1.323185e-05,10.0,-0.75354654,142.8784238871937,0.0024604485,0.0,1.0,1.323185e-05
13398,3199788,0.0,2500.0,35291.27588272095,0.0003370907,10.0,-0.6559682,142.8784238871937,0.008933077,0.0,1.0,0.0003370907
13438,3209788,0.0,2500.0,35382.91809248924,0.00031437585,10.0,-0.558378,142.8784238871937,0.00893351,0.0,1.0,0.00031437585
13478,3219788,0.0,2500.0,35482.99902486801,0.00023386825,10.0,-0.46078485,142.8784238871937,0.008933102,0.0,1.0,0.00023386825
13518,3229788,0.0,2500.0,35582.239223480225,0.00013262879,10.0,-0.36319226,142.8784238871937,0.008933204,0.0,1.0,0.00013262879
