TimeElapsed,Tbt,TimestepsSoFar,MpbtN,AttC,entropy,Ptt,MtR,meankl,AttNC,Tmc,surrgain,EpisodesSoFar,Tmt,MpbtA,entloss,TtR,optimgain
1589.9710531234741,328737.2271386431,9988,94.80554332902332,3.0,0.6840332,78.10793410324939,-71.05950884636263,0.009204581,0.0,23.735988200589972,0.009008282,678,80.25811209439529,5.194456670976497,0.0,-228.21238938053096,0.009008282
2957.7934200763702,330503.86348122865,19984,93.68204374572343,3.0,0.6552575,78.51570008224121,-69.7999966477998,0.010339044,0.0,23.296928327645052,0.0059740893,1264,80.68941979522184,6.317956254276362,0.0,-226.7098976109215,0.0059740893
4027.6796674728394,331741.3615221987,29972,92.89321131148124,3.0,0.60779715,78.79372554321611,-68.15818065978866,0.011101156,0.0,23.0,0.008313127,1737,80.99154334038055,7.106788688518745,0.0,-225.6342494714588,0.008313127
4831.879638910294,332128.7111111111,39992,91.48809377408365,3.0,0.56192815,78.88979810882803,-65.2239275654109,0.007527587,0.0,22.894444444444446,0.0068219295,2097,81.08611111111111,8.511906225916363,0.0,-222.50833333333333,0.0068219295
5436.944451332092,334626.0684410646,49985,90.03427441443183,3.0,0.50463426,79.45786595928242,-61.943322564132714,0.009023171,0.0,22.285171102661597,0.008269284,2360,81.69581749049429,9.965725585568231,0.0,-220.59695817490496,0.008269284
5760.520717382431,334256.676056338,59967,84.633110884993,3.0,0.45380953,79.36465960267866,-52.04092057902236,0.0084983865,0.0,22.387323943661972,0.0074813394,2502,81.6056338028169,15.366889115007005,0.0,-207.16901408450704,0.0074813394
5927.547891378403,329845.02857142856,69928,77.71139040501139,2.842857142857143,0.4089981,78.40199331787493,-40.341034472834124,0.0074991314,0.15714285714285714,23.414285714285715,0.0048202635,2572,80.52857142857142,22.28860959498862,0.0,-187.62857142857143,0.0048202635
6039.6761865615845,327777.5238095238,79889,67.7959777295611,1.7380952380952381,0.41452482,77.89033021077292,-31.2914412728541,0.006069028,1.2619047619047619,23.976190476190474,0.0018812347,2614,80.02380952380952,32.204022270438884,0.0,-162.85714285714286,0.0018812347
6188.907913446426,326499.7966101695,89901,71.90026492636436,2.6610169491525424,0.39025837,77.61253207873891,-35.17518468328059,0.0058430037,0.3389830508474576,24.271186440677965,0.0034024129,2673,79.71186440677967,28.099735073635618,0.0,-172.01694915254237,0.0034024129
6309.660199403763,325166.54545454547,99915,66.04080971244643,1.2954545454545454,0.38484055,77.29814750897211,-31.191804746606692,0.006458314,1.7045454545454546,24.613636363636363,0.0019705007,2717,79.38636363636364,33.959190287553554,0.0,-157.4318181818182,0.0019705007
6445.52233505249,328081.56862745096,109802,71.50326716562546,2.5098039215686274,0.4051416,77.95830678553244,-34.45607352941232,0.007407675,0.49019607843137253,23.901960784313726,0.0037859771,2768,80.09803921568627,28.496732834374534,0.0,-172.11764705882354,0.0037859771
6560.562975883484,322121.14285714284,119947,67.18656886200885,0.9523809523809523,0.36745492,76.60174366456812,-30.65012354201661,0.0067698895,2.0476190476190474,25.357142857142858,0.0021442373,2810,78.64285714285714,32.81343113799113,0.0,-158.71428571428572,0.0021442373
6677.780526399612,322839.2727272727,129930,66.61496369954382,2.0,0.42369363,76.76754572583678,-30.493138622082185,0.004136048,1.0,25.181818181818183,0.0023570242,2854,78.81818181818181,33.385036300456164,0.0,-157.5681818181818,0.0023570242
6802.024067163467,322497.306122449,139890,68.15329954433629,2.5714285714285716,0.40000397,76.67460918329917,-31.424559066281926,0.0046190787,0.42857142857142855,25.285714285714285,0.0029677798,2903,78.73469387755102,31.84670045566369,0.0,-161.26530612244898,0.0029677798
6919.109418392181,320268.1904761905,149775,64.65811680536162,1.1904761904761905,0.40749195,76.16731737607896,-29.70143218813959,0.0076529826,1.8095238095238095,25.833333333333332,0.0032727642,2945,78.19047619047619,35.341883194638385,0.0,-151.85714285714286,0.0032727642
7056.573928117752,325707.85185185185,159863,72.96453136461103,2.5,0.42597282,77.41919512159592,-35.264363357730254,0.006461048,0.5,24.48148148148148,0.0042527425,2999,79.51851851851852,27.035468635388956,0.0,-174.27777777777777,0.0042527425
7173.445531606674,321583.62790697673,169936,65.5763002317091,1.1162790697674418,0.38474882,76.48049543367117,-30.4226989868485,0.006108956,1.8837209302325582,25.488372093023255,0.0026725347,3042,78.51162790697674,34.423699768290895,0.0,-154.46511627906978,0.0026725347
7292.11045217514,323049.73913043475,179818,64.54937527976188,1.7173913043478262,0.34554592,76.8317804627159,-30.97102619947292,0.0064121857,1.2826086956521738,25.108695652173914,0.0023431152,3088,78.8695652173913,35.45062472023812,0.0,-153.19565217391303,0.0023431152
7408.018286943436,321964.6511627907,189925,63.88180210745411,1.0,0.36581084,76.5686060756815,-30.057052321786887,0.009608834,2.0,25.3953488372093,0.005280544,3131,78.6046511627907,36.118197892545886,0.0,-150.69767441860466,0.005280544
7526.735528469086,322400.7111111111,199847,65.32612066713124,2.066666666666667,0.41573337,76.66875619475442,-30.205737052469527,0.0055786273,0.9333333333333333,25.288888888888888,0.0030348836,3176,78.71111111111111,34.67387933286876,0.0,-154.2,0.0030348836
7638.857146263123,320378.4347826087,209812,61.12096777733462,1.8695652173913044,0.40238085,76.20888081242241,-29.0508712472608,0.0069515496,1.1304347826086956,25.782608695652176,0.0021782918,3222,78.21739130434783,38.87903222266533,0.0,-143.6086956521739,0.0021782918
