TimeElapsed,MpbtA,surrgain,Tmc,EpisodesSoFar,TimestepsSoFar,meankl,Ptt,optimgain,TtR,entropy,Tbt,entloss,Tmt,AttC,AttNC,MtR,MpbtN
1558.0025882720947,5.168766935280772,0.007628291,23.70948905109489,685,9985,0.00853271,78.13365487117234,0.007628291,-228.35912408759125,0.68468565,328851.99416058394,0.0,80.28613138686131,3.0,0.0,-71.16304288789868,94.83123306471907
2908.960163831711,6.264873233705093,0.004500882,23.317032040472174,1278,19988,0.008100528,78.49836679746713,0.004500882,-226.81112984822934,0.6617979,330449.807757167,0.0,80.67622259696459,3.0,0.0,-69.89752471233716,93.73512676629484
4093.392890691757,7.1211574440923595,0.010452325,23.152509652509654,1796,29996,0.009644087,78.65139272990801,0.010452325,-225.1911196911197,0.6200247,331119.6911196911,0.0,80.83976833976834,3.0,0.0,-68.5909961839792,92.87884255590764
5046.362852811813,8.467686269487917,0.009835929,22.520581113801452,2209,39989,0.009415909,79.23824547692365,0.009835929,-223.59806295399517,0.5661024,333650.4406779661,0.0,81.45762711864407,3.0,0.0,-66.58006327322781,91.53231373051212
5712.479301929474,10.403587850883348,0.012582639,22.510344827586206,2499,49964,0.0093928585,79.24852433364278,0.012582639,-218.89655172413794,0.50523865,333725.13103448274,0.0,81.47586206896551,3.0,0.0,-62.395790439027145,89.59641214911672
6144.049196958542,13.128951221696216,0.01130964,22.614525139664803,2678,59976,0.008691982,79.15326292032256,0.01130964,-211.99441340782124,0.4431869,333309.13966480445,0.0,81.37430167597765,2.994413407821229,0.00558659217877095,-55.8772329119137,86.87104877830383
6372.360807180405,21.400047031177554,0.008005858,23.584269662921347,2767,69975,0.007887078,78.25110471954234,0.008005858,-189.64044943820224,0.38382423,329336.80898876407,0.0,80.40449438202248,3.0,0.0,-42.84335132620349,78.59995296882245
6519.525508642197,32.118951544395806,0.0048180125,24.54,2817,79860,0.0061531006,77.36413445367812,0.0048180125,-161.94,0.30135676,325468.16,0.0,79.46,2.44,0.56,-31.67814181209615,67.88104845560419
6651.290619134903,34.42358506832181,0.0036363322,24.261904761904763,2859,89816,0.0039296467,77.62469803081197,0.0036363322,-156.71428571428572,0.31269914,326607.2380952381,0.0,79.73809523809524,1.7142857142857142,1.2857142857142858,-31.204511257899515,65.57641493167819
6788.879164457321,31.624637509280774,0.0028095215,24.90909090909091,2903,99813,0.006336495,77.02794651019893,0.0028095215,-162.47727272727272,0.25622955,324049.45454545453,0.0,79.11363636363636,1.9772727272727273,1.0227272727272727,-33.31264589102389,68.37536249071924
6920.736204385757,30.976396228143308,0.0033362336,24.714285714285715,2945,109900,0.0038150263,77.20409595130066,0.0033362336,-164.21428571428572,0.294327,324754.28571428574,0.0,79.28571428571429,1.2380952380952381,1.7619047619047619,-32.73496212292931,69.02360377185668
7053.740362405777,31.569082101274624,0.0026416602,24.8,2985,119852,0.0025553594,77.12263054255207,0.0026416602,-162.6,0.3120259,324403.2,0.0,79.2,1.6,1.4,-31.958821881069515,68.43091789872538
7188.843739748001,32.98653401882792,0.0038954783,26.142857142857142,3027,129967,0.003123959,75.86889649622367,0.0038954783,-156.5,0.3562619,318902.85714285716,0.0,77.85714285714286,1.7857142857142858,1.2142857142857142,-30.890324440246665,67.01346598117209
7323.558088302612,35.60334404494551,0.0019437302,25.651162790697676,3070,139797,0.0022616019,76.33668793743622,0.0019437302,-151.53488372093022,0.34422767,321012.0930232558,0.0,78.37209302325581,1.9534883720930232,1.0465116279069768,-30.790508015654108,64.3966559550545
7455.782126426697,33.66459874721659,0.0028912597,25.523809523809526,3112,149818,0.0035596124,76.44705184972334,0.0028912597,-156.28571428571428,0.36145607,321438.4761904762,0.0,78.47619047619048,2.1904761904761907,0.8095238095238095,-30.187592483536417,66.33540125278344
7586.808930158615,32.98967086295257,0.0035056672,25.714285714285715,3154,159753,0.0034883183,76.27015623515183,0.0035056672,-157.57142857142858,0.37936434,320658.28571428574,0.0,78.28571428571429,2.0238095238095237,0.9761904761904762,-29.957577672470443,67.01032913704744
7717.549338102341,31.52014223799161,0.0032084803,25.26829268292683,3195,169942,0.004605559,76.68535001611201,0.0032084803,-161.9268292682927,0.36520222,322485.0731707317,0.0,78.73170731707317,2.024390243902439,0.975609756097561,-30.794397590102385,68.4798577620084
7851.622318029404,29.86745507674615,0.0022896114,24.441860465116278,3238,179857,0.0027116907,77.45520706984871,0.0022896114,-167.4418604651163,0.36962253,325870.1395348837,0.0,79.55813953488372,2.13953488372093,0.8604651162790697,-32.27990053147571,70.13254492325383
7985.202714443207,31.252732871563033,0.0019050598,25.186046511627907,3281,189877,0.00284906,76.76241050880918,0.0019050598,-162.69767441860466,0.34006888,322821.9534883721,0.0,78.81395348837209,2.13953488372093,0.8604651162790697,-31.46481606323707,68.74726712843697
8115.754437446594,32.23855667238676,0.003422817,25.5,3323,199958,0.0039799223,76.46880627950065,0.003422817,-159.78571428571428,0.35406542,321536.0,0.0,78.5,2.0952380952380953,0.9047619047619048,-30.804816607237985,67.76144332761325
8250.944198846817,30.513062517708757,0.0023964779,24.6046511627907,3366,209991,0.0027540796,77.30499891869218,0.0023964779,-165.62790697674419,0.34978354,325203.3488372093,0.0,79.3953488372093,2.0930232558139537,0.9069767441860465,-31.693676760609197,69.48693748229122
8387.242529630661,35.23755341081857,0.0026661651,24.818181818181817,3410,219984,0.004244458,77.10609805491525,0.0026661651,-154.1590909090909,0.30013117,324328.7272727273,0.0,79.18181818181819,2.0681818181818183,0.9318181818181818,-29.686195011392098,64.76244658918141
