meankl,entropy,surrgain,EpisodesSoFar,TimestepsSoFar,TimeElapsed,MtR,entloss,optimgain,Fce,AttC,AttNC,TtR
5.9604645e-07,0.3439941,-1.2531281e-08,13750,3319914,16805.71762895584,142.83317905167868,0.0,-1.2531281e-08,0.9995999999999998,0.0,10.0,2499.0
0.010174781,0.24640296,0.00021401321,13790,3329914,16847.30560708046,142.82412935247868,0.0,0.00021401321,0.9995,0.0,10.0,2498.75
0.008933204,0.34399414,0.000399749,13830,3339914,16888.9377348423,142.8784238871937,0.0,0.000399749,1.0,0.0,10.0,2500.0
0.008933204,0.44158703,0.0003703887,13870,3349914,16930.478026628494,142.86430595103496,0.0,0.0003703887,0.9999,0.0,10.0,2499.75
0.009519998,0.3470881,0.00011094475,13910,3359914,16972.525962114334,142.09470180153988,0.0,0.00011094475,0.9944999999999997,0.075,9.925,2486.25
0.01017476,0.24949668,0.00039582993,13950,3369914,17014.12191414833,142.82286465377442,0.0,0.00039582993,0.9996,0.0,10.0,2499.0
0.0034542694,0.2972107,0.00078064203,13990,3379914,17055.99107193947,142.6825963644027,0.0,0.00078064203,0.9984999999999999,0.075,9.925,2496.25
0.01239234,0.38049313,0.0009522124,14030,3389914,17098.344390153885,142.8784238871937,0.0,0.0009522124,1.0,0.0,10.0,2500.0
0.005831598,0.32710177,0.00050990854,14070,3399914,17140.919615983963,142.71341747010018,0.0,0.00050990854,0.999,0.0,10.0,2497.5
0.002229539,0.3699307,0.00018832489,14110,3409914,17183.070863962173,142.81942941289918,0.0,0.00018832489,0.9997000000000001,0.0,10.0,2499.25
0.006950874,0.292156,0.00033739736,14150,3419914,17225.35990214348,142.76069873057335,0.0,0.00033739736,0.9990999999999998,0.0,10.0,2497.75
0.012296494,0.36693996,0.00047933983,14190,3429914,17267.332048654556,142.86974208181397,0.0,0.00047933983,0.9998999999999999,0.0,10.0,2499.75
0.0039221453,0.3601546,0.0005523368,14230,3439914,17310.107628583908,142.766942917098,0.0,0.0005523368,0.9991,0.0,10.0,2497.75
0.0013816586,0.37504765,0.0003443869,14270,3449914,17353.050573587418,142.47311429396228,0.0,0.0003443869,0.9974000000000001,0.0,10.0,2493.5
0.002154942,0.34544212,0.00048156516,14311,3459927,17396.270007133484,139.16575500500937,0.0,0.00048156516,0.9811632270168857,0.24390243902439024,9.75609756097561,2435.121951219512
0.0018477981,0.36318883,0.0005019312,14351,3469927,17438.895653247833,142.6180373605179,0.0,0.0005019312,0.9981,0.0,10.0,2495.25
0.0035187206,0.41685155,0.00031697834,14391,3479927,17481.43228149414,142.77352589510565,0.0,0.00031697834,0.999,0.0,10.0,2497.5
0.002788294,0.378093,0.0005245231,14432,3489940,17524.332870960236,138.93405562374497,0.0,0.0005245231,0.9810881801125704,0.24390243902439024,9.75609756097561,2430.487804878049
0.0014534646,0.3945925,0.00034834424,14472,3499940,17566.794539690018,142.57997737067043,0.0,0.00034834424,0.9978999999999999,0.0,10.0,2494.75
0.0070396145,0.3285825,0.00088028214,14513,3509969,17610.308181524277,139.35008969027638,0.0,0.00088028214,0.9828124474348191,0.24390243902439024,9.75609756097561,2436.5853658536585
0.0049009016,0.2931058,0.00041207278,14553,3519969,17653.008078098297,142.77584415146762,0.0,0.00041207278,0.9992000000000001,0.0,10.0,2498.0
0.0042430037,0.34469876,0.0004139116,14593,3529969,17695.836367845535,142.85037111564498,0.0,0.0004139116,0.9998000000000001,0.0,10.0,2499.5
0.0015307873,0.31108013,0.000286075,14633,3539969,17737.70374059677,142.78389854944862,0.0,0.000286075,0.9994,0.0,10.0,2498.5
0.011195126,0.36874712,0.0007909078,14673,3549969,17780.19743537903,142.8404353892639,0.0,0.0007909078,0.9997,0.0,10.0,2499.25
0.007567686,0.2995108,0.0009898512,14713,3559969,17823.725954294205,142.53108894087478,0.0,0.0009898512,0.9977,0.0,10.0,2494.25
0.0072847935,0.35797116,0.00078431825,14753,3569969,17866.09616947174,142.75764712367317,0.0,0.00078431825,0.999,0.0,10.0,2497.5
0.0078052343,0.41527188,0.001102662,14793,3579969,17909.172517061234,142.65733600433563,0.0,0.001102662,0.9982000000000001,0.0,10.0,2495.5
0.0047339727,0.3751189,0.0006607961,14833,3589969,17952.229400396347,141.7785046922948,0.0,0.0006607961,0.9921000000000001,0.0,10.0,2480.25
0.0047117346,0.32406926,0.00086269394,14874,3599972,17995.668568134308,138.53018789959904,0.0,0.00086269394,0.9773983739837397,0.24390243902439024,9.75609756097561,2423.4146341463415
0.0057893945,0.34425437,0.0011603931,14914,3609972,18039.052821159363,141.22535224805614,0.0,0.0011603931,0.9882000000000002,0.075,9.925,2470.5
0.0028415015,0.36508265,0.00092088914,14954,3619972,18083.680883169174,141.45352669655853,0.0,0.00092088914,0.9898,0.0,10.0,2474.5
0.003458185,0.34843272,0.0011430131,14994,3629972,18128.140533924103,140.85303819718712,0.0,0.0011430131,0.9850000000000001,0.0,10.0,2462.5
0.003620001,0.36211038,0.0006851549,15034,3639972,18172.75510764122,141.30612237464985,0.0,0.0006851549,0.9889000000000001,0.0,10.0,2472.25
0.0057910047,0.3267937,0.0013992004,15074,3649972,18216.482254981995,141.28633211363208,0.0,0.0013992004,0.9890000000000002,0.0,10.0,2472.5
0.006025012,0.28398243,0.00086348783,15114,3659972,18260.04222202301,142.03629888962047,0.0,0.00086348783,0.994,0.0,10.0,2485.0
0.0050187176,0.31665137,0.00058471056,15154,3669972,18303.089026927948,142.6631229839931,0.0,0.00058471056,0.9982000000000001,0.0,10.0,2495.5
0.0037622629,0.35023063,0.0008696822,15194,3679972,18346.278438091278,142.5832713970022,0.0,0.0008696822,0.9977,0.0,10.0,2494.25
0.0031168396,0.37172183,0.0006110205,15234,3689972,18389.286197423935,142.61616193517972,0.0,0.0006110205,0.9979000000000001,0.0,10.0,2494.75
0.006547954,0.4059137,0.0009359879,15274,3699972,18433.007856845856,142.39596613783846,0.0,0.0009359879,0.9965999999999997,0.0,10.0,2491.5
0.004768012,0.44911608,0.0010643676,15314,3709972,18476.664098739624,141.73300774928643,0.0,0.0010643676,0.9917999999999999,0.0,10.0,2479.5
0.0034121515,0.44047156,0.0006348263,15354,3719972,18520.475250005722,140.33102476783392,0.0,0.0006348263,0.9817999999999998,0.0,10.0,2454.5
