TtR,Ptt,entropy,TimestepsSoFar,AttNC,surrgain,AttC,entloss,Tmt,EpisodesSoFar,Tmc,MtR,MpbtA,meankl,Tbt,optimgain,TimeElapsed,MpbtN
-80.18280871670702,81.94737596159693,0.68411636,9996,0.0,0.025763495,1.0,0.0,84.27845036319613,826,19.584745762711865,-75.91047677740082,4.8547232254374215,0.009237108,345204.53268765134,0.025763495,1998.0600399971008,95.14527677456229
-80.21793103448276,81.94036896949999,0.6550255,19996,0.0,0.014340944,1.0,0.0,84.2496551724138,1551,19.587586206896553,-75.33134993856946,4.777668401970496,0.010316817,345086.5875862069,0.014340944,3764.011090517044,95.22233159802914
-80.45954692556634,82.0254054009045,0.6094602,29989,0.0,0.017784314,1.0,0.0,84.3495145631068,2169,19.498381877022652,-74.71847461049751,4.609473869704796,0.009694942,345495.6116504854,0.017784314,5279.515690803528,95.39052613029492
-80.74901185770752,82.20952654069976,0.5470045,39990,0.0,0.023349585,1.0,0.0,84.53952569169961,2675,19.298418972332016,-73.77273104377056,4.474284686466155,0.010020648,346273.8972332016,0.023349585,6506.263628005981,95.52571531353364
-80.33668341708542,81.99854345027106,0.47106835,49978,0.0,0.026625616,1.0,0.0,84.321608040201,3073,19.527638190954775,-71.7552234334428,4.720020775139385,0.01017375,345381.3065326633,0.026625616,7466.654821872711,95.2799792248605
-79.50746268656717,81.70887633301102,0.4002049,59971,0.0,0.02347214,1.0,0.0,84.02985074626865,3341,19.84328358208955,-67.60692302379776,5.3828026895264545,0.00933461,344186.2686567164,0.02347214,8126.247781991959,94.61719731047364
-78.42857142857143,81.35122282835833,0.33030272,69963,0.0,0.020954276,1.0,0.0,83.6923076923077,3523,20.236263736263737,-62.37645469389075,6.28176482588095,0.008745653,342803.6923076923,0.020954276,8585.625473737717,93.71823517411907
-77.56666666666666,81.62812666333907,0.27661684,79920,0.008333333333333333,0.013821927,0.9916666666666667,0.0,83.95833333333333,3643,19.933333333333334,-56.15895930076851,7.607532969625777,0.007904949,343893.3333333333,0.013821927,8891.419339895248,92.39246703037423
-76.50602409638554,81.71754450619929,0.24112236,89855,0.012048192771084338,0.009438336,0.9879518072289156,0.0,84.02409638554217,3726,19.83132530120482,-49.9214622259597,8.946753431028373,0.0064793327,344162.6987951807,0.009438336,9111.209368944168,91.05324656897162
-75.5909090909091,81.56747518384664,0.212277,99987,0.045454545454545456,0.010516411,0.9545454545454546,0.0,83.89393939393939,3792,20.0,-47.03034986396597,9.93758723422378,0.0058038826,343629.57575757575,0.010516411,9286.09577202797,90.06241276577622
