entropy,EpisodesSoFar,surrgain,Fce,TimeElapsed,AttC,MtR,meankl,TtR,entloss,AttNC,optimgain,TimestepsSoFar
1.4173443,44,0.00031229583,0.16429900942374517,97.84277510643005,7.431818181818182,22.662320342900017,0.0075954515,387.27272727272725,0.0,2.5681818181818183,0.00031229583,9863
1.4074281,94,0.0012642175,0.19615999445116422,208.48386788368225,7.54,25.75802001643125,0.001757286,433.4,0.0,2.46,0.0012642175,19829
1.4033664,147,0.002172161,0.2132078395842083,311.30508685112,6.90566037735849,28.186600017175557,0.001958922,478.49056603773585,0.0,3.0943396226415096,0.002172161,29853
1.403079,196,0.0012364588,0.21272782118066494,414.26602053642273,7.448979591836735,27.824009669052586,0.002912379,463.6734693877551,0.0,2.5510204081632653,0.0012364588,39830
1.4104006,244,0.00076837157,0.20193007716676603,511.1165728569031,6.729166666666667,26.512537986470083,0.00929056,449.375,0.0,3.2708333333333335,0.00076837157,49827
1.411087,286,0.0013353537,0.18738019652305365,615.0993211269379,6.071428571428571,26.43748916574099,0.009495935,453.8095238095238,0.0,3.9285714285714284,0.0013353537,59843
1.4063691,328,0.002165852,0.1564921062764729,713.0479373931885,6.119047619047619,21.668311809587983,0.007148518,375.4761904761905,0.0,3.880952380952381,0.002165852,69917
1.3995469,368,0.0022389651,0.13880000000000003,822.4379606246948,5.95,19.89211266336021,0.004263037,347.0,0.0,4.05,0.0022389651,79917
1.382524,408,0.0015400155,0.11060000000000003,922.851081609726,5.075,15.654797411430412,0.0015723692,276.5,0.0,4.925,0.0015400155,89917
1.3619386,448,0.0007705269,0.09760000000000005,1033.252546787262,4.5,13.89553180642893,0.0011128149,244.0,0.0,5.5,0.0007705269,99917
1.3586463,488,0.00015896569,0.08700000000000005,1132.1108601093292,4.475,12.777296813914688,0.002150071,217.5,0.0,5.525,0.00015896569,109917
1.3197508,528,6.209683e-05,0.08570000000000005,1236.5578608512878,4.0,12.142499449835375,0.009418649,214.25,0.0,6.0,6.209683e-05,119917
1.3208736,568,0.00020166443,0.08900000000000005,1331.2632937431335,4.15,12.702365362411184,0.0030486402,222.5,0.0,5.85,0.00020166443,129917
1.3189081,608,0.00019769128,0.08440000000000004,1428.3902263641357,4.35,12.014727140415458,0.0022458665,211.0,0.0,5.65,0.00019769128,139917
1.3609622,648,0.00017681046,0.09160000000000004,1525.7308840751648,4.475,12.91193167310266,0.0026196528,229.0,0.0,5.525,0.00017681046,149917
