MtR,AttNC,AttC,TimeElapsed,surrgain,entloss,optimgain,TimestepsSoFar,entropy,EpisodesSoFar,TtR,meankl,Fce
8.311582735861453,0.36893203883495146,0.6310679611650486,31.214474201202393,0.0008572143,0.0,0.0008572143,9915,1.439327,103,14.009708737864077,0.002235157,0.0892934693974729
7.283142443444382,0.35185185185185186,0.6481481481481481,63.52296495437622,0.0019582673,0.0,0.0019582673,19793,1.4242543,211,12.5,0.006633296,0.0925939963863219
10.35274073400861,0.5064935064935064,0.4935064935064935,94.65233087539673,0.0009973145,0.0,0.0009973145,29769,1.4033036,288,18.12987012987013,0.0046772687,0.10765005962159274
12.222373542755646,0.6349206349206349,0.36507936507936506,125.8008234500885,0.00082665024,0.0,0.00082665024,39836,1.395372,351,21.07936507936508,0.0016098192,0.08831895676340121
9.844985408573129,0.48148148148148145,0.5185185185185185,158.20126080513,0.001886586,0.0,0.001886586,49784,1.3662571,432,16.85185185185185,0.0046591507,0.11371193527138945
12.314795234709502,0.6349206349206349,0.36507936507936506,188.81626391410828,0.0010725158,0.0,0.0010725158,59819,1.3764478,495,21.746031746031747,0.0023063563,0.12080725623582764
11.205555478790252,0.5714285714285714,0.42857142857142855,221.37677025794983,0.0018724216,0.0,0.0018724216,69895,1.3522328,565,19.742857142857144,0.0062645827,0.0868847805788982
10.211697863148729,0.5131578947368421,0.4868421052631579,251.6804654598236,0.0017500091,0.0,0.0017500091,79762,1.31213,641,17.61842105263158,0.004094438,0.10658174543216094
12.7497064448854,0.6349206349206349,0.36507936507936506,283.06791520118713,0.0010511657,0.0,0.0010511657,89997,1.2941438,704,21.984126984126984,0.0022178465,0.10847171696077622
14.0171765295133,0.7037037037037037,0.2962962962962963,314.41581439971924,0.002172464,0.0,0.002172464,99813,1.2565728,758,24.24074074074074,0.0044806474,0.12683958995447422
13.339012955875026,0.6557377049180327,0.3442622950819672,345.6226177215576,0.0018296703,0.0,0.0018296703,109908,1.2034352,819,23.0327868852459,0.0062373267,0.12271423979427837
13.40786286445454,0.7017543859649122,0.2982456140350877,377.3112995624542,0.0019570184,0.0,0.0019570184,119955,1.1846356,876,23.666666666666668,0.005647696,0.1073216374269006
15.36354967748954,0.7647058823529411,0.23529411764705882,407.72281312942505,0.0015759065,0.0,0.0015759065,129755,1.1658378,927,26.901960784313726,0.005595033,0.11747355912061795
14.41208134648082,0.7017543859649122,0.2982456140350877,439.2411644458771,0.0015280548,0.0,0.0015280548,139830,1.16266,984,24.894736842105264,0.0035353561,0.12082209087781842
12.527311271162809,0.5909090909090909,0.4090909090909091,469.8274598121643,0.0024847442,0.0,0.0024847442,149815,1.1091137,1050,21.484848484848484,0.0068134065,0.10325213939470892
12.631518577750658,0.6349206349206349,0.36507936507936506,501.04681396484375,0.0026715728,0.0,0.0026715728,159906,1.0494326,1113,22.047619047619047,0.006882291,0.09358518025184694
13.88872304605091,0.7272727272727273,0.2727272727272727,532.2481758594513,0.0014441503,0.0,0.0014441503,169947,1.0303583,1168,24.454545454545453,0.0055345288,0.13759999999999997
15.721542934377036,0.8333333333333334,0.16666666666666666,562.8676664829254,0.002013762,0.0,0.002013762,179961,1.0499042,1216,27.604166666666668,0.0050735367,0.11041666666666666
14.951135585366746,0.7547169811320755,0.24528301886792453,594.3167314529419,0.0017990059,0.0,0.0017990059,189998,1.0465878,1269,26.0,0.004386766,0.10564600179694524
14.078661505257099,0.6842105263157895,0.3157894736842105,625.1728584766388,0.0032038009,0.0,0.0032038009,199834,1.0146422,1326,24.45614035087719,0.0058113257,0.11179769666726189
15.545245694289699,0.8,0.2,656.0628325939178,0.0017793212,0.0,0.0017793212,209878,0.99816895,1376,27.16,0.0037429046,0.10951238095238097
15.38082467145875,0.7547169811320755,0.24528301886792453,686.5432133674622,0.0014028992,0.0,0.0014028992,219975,1.0022349,1429,26.849056603773583,0.0029384946,0.11688868413153798
12.38155367427823,0.6290322580645161,0.3709677419354839,717.6933493614197,0.0027193436,0.0,0.0027193436,229898,0.955627,1491,21.661290322580644,0.006273077,0.09228265276989032
15.296203249815674,0.8,0.2,749.5505411624908,0.0016413819,0.0,0.0016413819,239932,0.94000906,1541,26.7,0.0031288455,0.11177008403361345
14.368088486534061,0.7090909090909091,0.2909090909090909,780.2262432575226,0.0032135819,0.0,0.0032135819,249794,0.93066543,1596,24.98181818181818,0.0054904465,0.127256695295198
15.634602767702441,0.7843137254901961,0.21568627450980393,811.5567908287048,0.0019544929,0.0,0.0019544929,259821,0.8943812,1647,27.313725490196077,0.003999019,0.13088453159041394
14.559039576692363,0.7407407407407407,0.25925925925925924,842.9787330627441,0.0025618135,0.0,0.0025618135,269857,0.84845704,1701,25.85185185185185,0.005018273,0.10442265795206973
14.697964891818035,0.7692307692307693,0.23076923076923078,874.0524210929871,0.0020434516,0.0,0.0020434516,279895,0.8210221,1753,26.153846153846153,0.0034893556,0.12851425497579344
16.542461973510743,0.8333333333333334,0.16666666666666666,905.2299828529358,0.0018863243,0.0,0.0018863243,289919,0.78701985,1801,29.208333333333332,0.005805397,0.1197261904761905
14.902674805035506,0.7547169811320755,0.24528301886792453,936.9534459114075,0.0024682435,0.0,0.0024682435,299940,0.7587503,1854,25.754716981132077,0.0051088477,0.10301886792452832
14.190498249030856,0.7272727272727273,0.2727272727272727,968.8820927143097,0.0021651352,0.0,0.0021651352,309977,0.73382515,1909,24.90909090909091,0.0039887778,0.1187422459893048
15.028594192973433,0.7647058823529411,0.23529411764705882,999.3725953102112,0.0024347687,0.0,0.0024347687,319753,0.6936731,1960,26.098039215686274,0.006606413,0.11255377302436124
17.14529932200854,0.8888888888888888,0.1111111111111111,1030.372933626175,0.0025513642,0.0,0.0025513642,329758,0.6842742,2005,29.77777777777778,0.0036727246,0.11911111111111114
15.398405852579334,0.7843137254901961,0.21568627450980393,1061.5146007537842,0.0016651963,0.0,0.0016651963,339775,0.68022937,2056,26.568627450980394,0.002311427,0.11657516339869282
17.207807820995946,0.8695652173913043,0.13043478260869565,1092.2658035755157,0.0023865753,0.0,0.0023865753,349785,0.683892,2102,29.891304347826086,0.0041652676,0.13388405797101452
18.63986757796649,0.9302325581395349,0.06976744186046512,1124.4777266979218,0.0029353355,0.0,0.0029353355,359790,0.67730945,2145,32.651162790697676,0.005974773,0.13060465116279069
16.465313615701525,0.851063829787234,0.14893617021276595,1155.5958886146545,0.0026048217,0.0,0.0026048217,369803,0.68201596,2192,28.872340425531913,0.004999506,0.13668085106382977
15.44658367347055,0.7547169811320755,0.24528301886792453,1185.9124040603638,0.003655432,0.0,0.003655432,379852,0.6342699,2245,26.49056603773585,0.0053856405,0.11820689655172414
17.38671578831497,0.9090909090909091,0.09090909090909091,1217.9900171756744,0.0023701766,0.0,0.0023701766,389858,0.6039123,2289,30.568181818181817,0.002946011,0.12227272727272727
18.735949048335222,0.9302325581395349,0.06976744186046512,1248.8398916721344,0.0042594536,0.0,0.0042594536,399861,0.5930891,2332,32.86046511627907,0.005653748,0.13144186046511627
17.401541535108585,0.8333333333333334,0.16666666666666666,1281.3513865470886,0.0028949243,0.0,0.0028949243,409875,0.571065,2380,30.666666666666668,0.0040727057,0.1226666666666667
18.093561910243416,0.8888888888888888,0.1111111111111111,1312.0564727783203,0.0023177727,0.0,0.0023177727,419880,0.59197193,2425,32.13333333333333,0.0027201648,0.1285333333333333
18.52911775411528,0.9090909090909091,0.09090909090909091,1344.2162625789642,0.00284841,0.0,0.00284841,429888,0.5741274,2469,32.70454545454545,0.006303696,0.1308181818181818
