surrgain,EpisodesSoFar,MtR,optimgain,meankl,AttC,Fce,TimeElapsed,AttNC,entloss,TtR,TimestepsSoFar,entropy
5.4779052e-06,14052,13.96870241211389,5.4779052e-06,0.01017287,2.017543859649123,0.12835382872911474,15574.37124800682,0.9824561403508771,0.0,72.84210526315789,2889779,2.496602
1.764323e-05,14104,14.718423743851714,1.764323e-05,0.010174758,1.8269230769230769,0.13387658318692802,15624.02769780159,1.1730769230769231,0.0,77.59615384615384,2899847,2.3990304
6.9286216e-05,14158,14.557086264030572,6.9286216e-05,0.010174758,1.9074074074074074,0.14934391534391533,15677.43331861496,1.0925925925925926,0.0,75.83333333333333,2909911,2.3014214
3.0135092e-05,14206,16.019879091491163,3.0135092e-05,0.009021237,1.8541666666666667,0.11658333333333332,15728.240791797638,1.1458333333333333,0.0,84.375,2919937,2.2093596
2.8282675e-05,14250,16.732755500108563,2.8282675e-05,0.008292352,1.3636363636363635,0.14321925133689842,15778.59597826004,1.6363636363636365,0.0,88.56818181818181,2929957,2.30331
4.1799925e-05,14303,15.145271855506195,4.1799925e-05,0.00940546,1.9433962264150944,0.12044422663290588,15829.28372502327,1.0566037735849056,0.0,79.18867924528301,2939793,2.209349
0.00023038025,14352,15.9636345092011,0.00023038025,0.0055564386,1.6734693877551021,0.1373912703837516,15879.642598867416,1.3265306122448979,0.0,84.9795918367347,2949840,2.1394026
0.00012177175,14396,17.66263596534946,0.00012177175,0.004065721,1.5,0.12300000000000001,15930.965828180313,1.5,0.0,92.25,2959864,2.2031007
2.5436402e-05,14442,17.254318326209177,2.5436402e-05,0.00031122987,1.565217391304348,0.1417391304347826,15985.647296905518,1.434782608695652,0.0,90.06521739130434,2969908,2.220489
3.8970567e-05,14489,16.63056622798261,3.8970567e-05,0.008933181,1.6382978723404256,0.1458723404255319,16035.382158517838,1.3617021276595744,0.0,87.25531914893617,2979929,2.3181145
6.0468927e-05,14538,16.206280811829007,6.0468927e-05,0.008933095,1.6122448979591837,0.11924716553287981,16086.759762763977,1.3877551020408163,0.0,84.79591836734694,2989964,2.415687
2.5767008e-06,14591,14.585845854950712,2.5767008e-06,0.008933181,1.849056603773585,0.1288825529844603,16137.58487033844,1.150943396226415,0.0,76.18867924528301,2999822,2.5132847
1.38113655e-05,14644,15.842156418322702,1.38113655e-05,0.008933181,1.9622641509433962,0.12676052406997854,16188.794729232788,1.0377358490566038,0.0,82.52830188679245,3009961,2.6108603
1.3057963e-05,14694,15.858552995870689,1.3057963e-05,0.010174758,1.82,0.1425386096256684,16237.2790954113,1.18,0.0,83.46,3019782,2.5132847
5.6650797e-06,14751,14.548330744004343,5.6650797e-06,0.010174845,1.9649122807017543,0.14591831357048748,16287.613772392273,1.0350877192982457,0.0,75.47368421052632,3029869,2.4156876
6.81839e-06,14804,14.506968142290695,6.81839e-06,0.010174758,1.6981132075471699,0.14463157248062908,16340.9880797863,1.3018867924528301,0.0,75.73584905660377,3039978,2.3181145
1.4251709e-06,14854,15.199393084246466,1.4251709e-06,0.010173898,1.62,0.1317619656019656,16388.78905749321,1.38,0.0,80.16,3049807,2.2205496
8.41067e-05,14901,16.19405601608986,8.41067e-05,0.008933181,1.6808510638297873,0.1553191489361702,16434.07703113556,1.3191489361702127,0.0,84.70212765957447,3059830,2.318115
4.413249e-05,14950,16.75745262839641,4.413249e-05,0.008933181,1.8571428571428572,0.12777954877203,16484.70135140419,1.1428571428571428,0.0,86.63265306122449,3069913,2.415688
6.841049e-05,14998,15.74235309979234,6.841049e-05,0.008933417,1.6041666666666667,0.12030952380952381,16536.357220172882,1.3958333333333333,0.0,81.9375,3079969,2.5132883
5.4609172e-05,15050,14.714836797718572,5.4609172e-05,0.010174776,1.9423076923076923,0.13625218371372222,16586.294764995575,1.0576923076923077,0.0,77.1923076923077,3089778,2.4156885
1.2679036e-05,15100,16.535501879502092,1.2679036e-05,0.008933174,1.88,0.11935205811138017,16633.33722758293,1.12,0.0,86.46,3099872,2.5132883
7.76062e-06,15142,19.4065344245143,7.76062e-06,0.008933417,1.5714285714285714,0.13447619047619047,16682.94970726967,1.4285714285714286,0.0,100.85714285714286,3109874,2.6108606
5.285136e-06,15199,14.13240638914593,5.285136e-06,0.010174845,1.9298245614035088,0.16469495004479526,16731.907490491867,1.0701754385964912,0.0,74.15789473684211,3119951,2.5132883
2.9912568e-05,15251,14.39541376170019,2.9912568e-05,0.008933181,1.8846153846153846,0.185033966033966,16783.52212882042,1.1153846153846154,0.0,75.34615384615384,3129756,2.6108606
5.7499696e-05,15302,15.751106958791304,5.7499696e-05,0.010174758,1.9607843137254901,0.1430644176379854,16832.642910718918,1.0392156862745099,0.0,81.11764705882354,3139895,2.5132883
7.324219e-07,15350,16.19643959385218,7.324219e-07,0.008933095,1.7083333333333333,0.13989957264957267,16886.015543222427,1.2916666666666667,0.0,85.125,3149951,2.6108606
8.727061e-05,15404,15.230677615599431,8.727061e-05,0.010174758,1.9444444444444444,0.1727783089478004,16934.368504285812,1.0555555555555556,0.0,78.83333333333333,3159884,2.5132883
3.764852e-06,15456,15.873628041315033,3.764852e-06,0.008933095,1.9230769230769231,0.12492732353244738,16982.71048116684,1.0769230769230769,0.0,82.61538461538461,3169861,2.6108606
2.0345052e-08,15504,16.41592867941535,2.0345052e-08,0.0078066476,1.8125,0.14867171717171715,17030.718113183975,1.1875,0.0,86.375,3179887,2.7019088
1.8228659e-05,15556,15.518686146623176,1.8228659e-05,0.010174845,1.9615384615384615,0.11832187470649011,17085.82456302643,1.0384615384615385,0.0,82.03846153846153,3189973,2.6043303
1.1423493e-05,15598,18.65042840719912,1.1423493e-05,0.008933095,1.7380952380952381,0.1308960155490768,17132.26257801056,1.2619047619047619,0.0,97.0,3199776,2.7019088
1.3393911e-05,15644,17.98487050780488,1.3393911e-05,0.010174776,1.7608695652173914,0.13797628458498024,17186.126841545105,1.2391304347826086,0.0,95.67391304347827,3209826,2.6043303
1.1578623e-05,15694,16.612735538372846,1.1578623e-05,0.008933095,1.72,0.1660653594771242,17233.18696165085,1.28,0.0,87.3,3219886,2.7019088
1.7717997e-06,15747,15.254625411545955,1.7717997e-06,0.008933181,1.849056603773585,0.12362120309415767,17283.640704631805,1.150943396226415,0.0,78.90566037735849,3229794,2.7995381
