entropy,Tmc,Tbt,AttC,MpbtA,meankl,EpisodesSoFar,TimestepsSoFar,surrgain,MtR,Ptt,TimeElapsed,entloss,MpbtN,Tmt,TtR,optimgain,AttNC
0.6848961,29.3015873015873,306123.6261022928,10.0,2.6040676381770327,0.008375093,567,9992,0.0028271466,-66.99987126669207,72.92262496385077,1296.0213980674744,0.0,97.39593236182286,74.73721340388008,-727.8306878306878,0.0028271466,0.0
0.6558739,30.404517453798768,301724.64887063653,10.0,3.226371266554825,0.010954472,1054,19984,0.0042229607,-64.67939782532184,71.8987910587995,2397.6966168880463,0.0,96.77362873344512,73.66324435318275,-712.7720739219712,0.0042229607,0.0
0.6209526,31.551546391752577,297361.1546391753,10.0,5.127397072665029,0.0068180305,1442,29987,0.003828426,-60.92405426351862,70.8495033434392,3276.8641448020935,0.0,94.87260292733498,72.5979381443299,-688.659793814433,0.003828426,0.0
0.5715878,32.226027397260275,294926.0273972603,10.0,8.039071043328036,0.00903807,1734,39919,0.004469899,-56.38837010346934,70.24221739256802,3920.7798924446106,0.0,91.96092895667194,72.00342465753425,-661.986301369863,0.004469899,0.0
0.52683556,33.0632183908046,291710.5287356322,10.0,15.705166477911344,0.008912627,1908,49983,0.0039538476,-46.4015317723624,69.47456696472211,4296.789580106735,0.0,84.29483352208864,71.2183908045977,-600.0,0.0039538476,0.0
0.4999863,35.52238805970149,282929.67164179106,9.82089552238806,40.85991759279835,0.0075494703,1975,59827,0.0022030908,-25.13040245976203,67.27052023451216,4457.201694250107,0.0,59.14008240720165,69.07462686567165,-409.1044776119403,0.0022030908,0.1791044776119403
0.455344,39.63157894736842,267533.4736842105,5.228070175438597,66.33253661133556,0.009139218,2032,69972,0.0022964093,-14.366759621190893,63.52965692362975,4597.870059967041,0.0,33.66746338866444,65.3157894736842,-219.82456140350877,0.0022964093,4.771929824561403
0.48536575,36.80327868852459,278259.40983606555,9.491803278688524,49.940357137083815,0.006927256,2093,79829,0.0021404508,-20.356865434092224,66.11570077945512,4746.512499094009,0.0,50.059642862916185,67.93442622950819,-341.1475409836066,0.0021404508,0.5081967213114754
0.40346438,39.68421052631579,267174.1754385965,3.824561403508772,67.04560312995781,0.0077043176,2150,89987,0.0021103772,-14.350963302756893,63.469108145131536,4894.641401052475,0.0,32.95439687004218,65.2280701754386,-215.26315789473685,0.0021103772,6.175438596491228
0.4739301,37.13461538461539,276873.8461538461,8.153846153846153,52.79238628280102,0.009669674,2202,99862,0.0015784607,-18.627971909433832,65.80302538002428,5031.959490776062,0.0,47.20761371719898,67.59615384615384,-320.5769230769231,0.0015784607,1.8461538461538463
0.3758336,38.69642857142857,271140.5714285714,2.875,66.21882459591218,0.008815447,2258,109919,0.0030161643,-14.69332096667624,64.38995042115094,5181.554024934769,0.0,33.78117540408784,66.19642857142857,-224.46428571428572,0.0030161643,7.125
0.41137007,39.648148148148145,267377.77777777775,7.425925925925926,64.38663100119244,0.0050118878,2312,119817,0.0011887696,-14.079090536314046,63.50619709318682,5314.280419111252,0.0,35.61336899880756,65.27777777777777,-233.5185185185185,0.0011887696,2.574074074074074
0.37557817,40.741379310344826,263062.0689655172,2.689655172413793,69.70570995649427,0.00883404,2370,129866,0.002642351,-13.258840041401456,62.49235951160681,5466.907291650772,0.0,30.294290043505722,64.22413793103448,-195.0,0.002642351,7.310344827586207
0.39444476,41.42372881355932,260408.40677966102,6.559322033898305,69.06702082245926,0.003808349,2429,139977,0.0010920141,-12.598932311927589,61.86392131147919,5605.150952100754,0.0,30.932979177540744,63.57627118644068,-196.27118644067798,0.0010920141,3.440677966101695
0.4071175,42.74576271186441,254993.35593220338,5.796610169491525,71.61710164247717,0.005172905,2488,149864,0.0010815503,-11.95226212380881,60.61904327039314,5745.544942617416,0.0,28.38289835752285,62.25423728813559,-177.79661016949152,0.0010815503,4.203389830508475
0.4006168,42.932203389830505,254299.11864406778,6.491525423728813,69.95792843613091,0.003075917,2547,159834,0.00085709593,-12.223830015323545,60.45020869479182,5884.874703407288,0.0,30.042071563869058,62.08474576271186,-187.45762711864407,0.00085709593,3.5084745762711864
0.38994417,44.193548387096776,249063.2258064516,4.258064516129032,72.72820284076603,0.0056520985,2609,169959,0.0019620354,-11.75528946994272,59.2559325453529,6033.25890994072,0.0,27.271797159233937,60.806451612903224,-166.1290322580645,0.0019620354,5.741935483870968
0.41861793,42.45614035087719,256179.64912280702,7.2631578947368425,66.86354992011931,0.0030657381,2666,179932,0.0006850061,-13.21232987242888,60.888883646072586,6172.868591308594,0.0,33.136450079880674,62.54385964912281,-208.59649122807016,0.0006850061,2.736842105263158
0.3826618,44.0,249787.73333333334,5.75,72.56521418398721,0.003977288,2726,189866,0.00062803953,-11.352482429402045,59.431174367577654,6317.809140920639,0.0,27.434785816012802,60.983333333333334,-167.0,0.00062803953,4.25
0.35140023,42.847457627118644,254576.81355932204,6.084745762711864,68.52207808768695,0.0066407784,2785,199892,0.001151792,-12.83769209072913,60.524570395868686,6465.156219959259,0.0,31.477921912313043,62.152542372881356,-196.77966101694915,0.001151792,3.9152542372881354
0.3449501,45.095238095238095,245564.95238095237,2.1587301587301586,73.42527231676938,0.0061334344,2848,209937,0.0013537251,-11.685596380257685,58.42693300145502,6620.958726167679,0.0,26.574727683230613,59.95238095238095,-159.68253968253967,0.0013537251,7.841269841269841
0.3822265,42.983870967741936,254018.06451612903,5.112903225806452,72.70277288287178,0.002345813,2910,219994,0.0006891185,-11.641898375137654,60.396032835872866,6768.853455543518,0.0,27.29722711712818,62.016129032258064,-169.3548387096774,0.0006891185,4.887096774193548
0.32475862,44.91935483870968,246156.38709677418,6.741935483870968,70.97545687737562,0.006397223,2972,229994,0.0007154269,-11.978690418160847,58.57875809546667,6911.668746471405,0.0,29.02454312262437,60.096774193548384,-175.0,0.0007154269,3.2580645161290325
0.36949506,44.88709677419355,246420.64516129033,3.935483870967742,74.77017624520332,0.0065740235,3034,239855,0.0018713932,-10.777025865103806,58.624483877475335,7065.314476490021,0.0,25.229823754796705,60.16129032258065,-151.4516129032258,0.0018713932,6.064516129032258
