meankl,MtR,AttC,EpisodesSoFar,TimestepsSoFar,AttNC,TtR,surrgain,optimgain,entloss,entropy,TimeElapsed,Fce
0.0014225257,11.192375269578816,2.345679012345679,81,9832,0.654320987654321,55.96296296296296,0.0006508474,0.0006508474,0.0,1.4121865,40.48150968551636,0.17760499787631395
0.0023144246,15.5538340389648,2.1016949152542375,140,19810,0.8983050847457628,80.69491525423729,0.00042366536,0.00042366536,0.0,1.4098344,81.65178370475769,0.16511652631902404
0.0045588156,16.742916619244305,1.9038461538461537,192,29916,1.0961538461538463,86.88461538461539,0.0006872528,0.0006872528,0.0,1.4067292,121.30424618721008,0.1689549944047097
0.0029450017,13.44957228883169,2.032258064516129,254,39835,0.967741935483871,70.79032258064517,0.0008969297,0.0008969297,0.0,1.4051877,162.33434915542603,0.1754647103830357
0.0042214966,15.85206434592489,2.0727272727272728,309,49988,0.9272727272727272,81.27272727272727,0.00085939944,0.00085939944,0.0,1.3891599,201.48064923286438,0.13185774398671024
0.001234009,15.48468473901558,1.9423076923076923,361,59879,1.0576923076923077,80.53846153846153,0.0004982315,0.0004982315,0.0,1.3870881,244.76693296432495,0.11784758830912677
0.0056030285,16.12113355902162,2.076923076923077,413,69828,0.9230769230769231,84.57692307692308,0.00097077,0.00097077,0.0,1.3697883,283.50381207466125,0.14666942677499198
0.0014617579,16.27087472878801,1.8333333333333333,461,79888,1.1666666666666667,85.9375,0.0007507614,0.0007507614,0.0,1.3701538,324.6295654773712,0.1701308825583019
0.0035723988,16.482291032693347,1.530612244897959,510,89967,1.469387755102041,86.3265306122449,0.0010526922,0.0010526922,0.0,1.375405,364.25901675224304,0.13153196010338866
0.00675589,15.98139362553177,1.9814814814814814,564,99880,1.0185185185185186,83.05555555555556,0.0013658031,0.0013658031,0.0,1.3504516,405.68233489990234,0.12780944084327248
0.0027716206,19.070230472583173,1.3555555555555556,609,109921,1.6444444444444444,99.13333333333334,0.00073865306,0.00073865306,0.0,1.3880231,445.4771718978882,0.1358326797385621
0.0025874039,17.418328547084002,1.9375,657,119776,1.0625,89.8125,0.0005027212,0.0005027212,0.0,1.4055086,485.657968044281,0.12658802580861409
0.00542624,17.54619586891498,1.7708333333333333,705,129926,1.2291666666666667,91.125,0.0008127483,0.0008127483,0.0,1.4196424,525.2396886348724,0.1453472034787824
0.0057000327,16.16434293381785,1.9423076923076923,757,139845,1.0576923076923077,83.9423076923077,0.00095925905,0.00095925905,0.0,1.4117343,565.3998551368713,0.14827991803573545
0.004134834,17.235900938159237,1.816326530612245,806,149982,1.183673469387755,88.59183673469387,0.00077648426,0.00077648426,0.0,1.3847558,604.7457711696625,0.1358374655020618
0.00242665,17.076980123652366,1.7391304347826086,852,159785,1.2608695652173914,90.91304347826087,0.00084293605,0.00084293605,0.0,1.3728791,645.3351180553436,0.14471248246844318
0.0051306617,17.01783035568737,1.8085106382978724,899,169846,1.1914893617021276,89.04255319148936,0.001244551,0.001244551,0.0,1.3648283,686.3763439655304,0.15511869690593097
0.00466258,17.724250921156873,1.8958333333333333,947,179753,1.1041666666666667,91.25,0.0010877167,0.0010877167,0.0,1.3496844,726.3250377178192,0.1375473147947474
0.0018846217,19.59914438908572,1.697674418604651,990,189782,1.302325581395349,102.55813953488372,0.0007619652,0.0007619652,0.0,1.3427733,766.9958200454712,0.14488997688018493
0.0021363276,17.875610334275404,1.9148936170212767,1037,199873,1.0851063829787233,94.2127659574468,0.0006838066,0.0006838066,0.0,1.355469,807.25994181633,0.14244650538623269
0.005958489,18.03808537900143,1.8085106382978724,1084,209805,1.1914893617021276,93.70212765957447,0.0013668708,0.0013668708,0.0,1.3583863,849.0268692970276,0.13723159022236212
0.00315363,18.25785901291985,1.275,1124,219805,1.725,95.7,0.00087137375,0.00087137375,0.0,1.3733367,888.4483015537262,0.12760000000000005
0.00285493,18.261059018626067,1.4186046511627908,1167,229844,1.5813953488372092,95.37209302325581,0.0009959548,0.0009959548,0.0,1.3775628,929.1694667339325,0.13393653339443237
0.0030619206,17.81910243267167,1.3488372093023255,1210,239893,1.6511627906976745,93.62790697674419,0.0016492121,0.0016492121,0.0,1.3758911,968.1913850307465,0.13006407545942428
0.0025091893,14.677620922306057,1.588235294117647,1261,249962,1.411764705882353,77.11764705882354,0.0008456884,0.0008456884,0.0,1.3638544,1009.2195296287537,0.11800684718331778
0.0040182546,14.35255597202933,1.1702127659574468,1308,259834,1.8297872340425532,74.42553191489361,0.0010064525,0.0010064525,0.0,1.3809445,1048.8364062309265,0.1042458628841608
0.00400459,15.135894864663294,1.3125,1356,269765,1.6875,79.5625,0.0009951063,0.0009951063,0.0,1.3655547,1088.714017868042,0.14371065366907154
0.0038295975,17.655615374470578,1.1219512195121952,1397,279770,1.8780487804878048,91.90243902439025,0.0008691081,0.0008691081,0.0,1.3607084,1129.552341222763,0.12731707317073176
0.0051185954,15.97806706449124,0.9512195121951219,1438,289779,2.048780487804878,82.17073170731707,0.0010738624,0.0010738624,0.0,1.352295,1169.828721523285,0.10956097560975614
0.0036320374,16.13476556444543,1.0465116279069768,1481,299788,1.9534883720930232,85.25581395348837,0.00056483457,0.00056483457,0.0,1.3789033,1210.6513690948486,0.11367441860465118
0.002325854,14.447027950385928,1.5,1533,309783,1.5,74.48076923076923,0.0012398844,0.0012398844,0.0,1.3837416,1249.591076374054,0.13473291517104224
0.002490162,16.621031512262554,1.2857142857142858,1575,319789,1.7142857142857142,89.14285714285714,0.00068542635,0.00068542635,0.0,1.3907351,1292.3250930309296,0.11885714285714288
0.0022787093,16.514067478471386,1.0952380952380953,1617,329833,1.9047619047619047,88.35714285714286,0.00089514925,0.00089514925,0.0,1.3778079,1331.363337278366,0.12453724053724055
0.0035559903,15.560181128402329,1.2826086956521738,1663,339913,1.7173913043478262,81.65217391304348,0.0012053149,0.0012053149,0.0,1.3732908,1372.6963846683502,0.14138440303657693
0.0017591008,17.059284871582765,1.3255813953488371,1706,349934,1.6744186046511629,88.81395348837209,0.00076690037,0.00076690037,0.0,1.3702763,1411.8141114711761,0.12340051679586567
0.002353127,15.829173349522602,1.3636363636363635,1750,359958,1.6363636363636365,82.9090909090909,0.00085719745,0.00085719745,0.0,1.3915654,1452.2731597423553,0.1138601398601399
0.0029724925,16.50568400831086,1.3488372093023255,1793,369762,1.6511627906976745,85.74418604651163,0.00063706003,0.00063706003,0.0,1.4355845,1491.0845036506653,0.11673626917367641
